http://www.worldgovernmentbonds.com/sovereign-cds/
http://www.worldgovernmentbonds.com/sovereign-cds/
http://www.worldgovernmentbonds.com/sovereign-cds/
DCDSCDSDDDDDDCDS
CDS
[{'Name': 'Germany', 'Value': '13.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Norway', 'Value': '13.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '17.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '18.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '18.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '23.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '26.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '31.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '37.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '59.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '65.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '132.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '173.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '194.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '547.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '5500.20', 'Unit': 'Spread', 'bptChange': ''}]
[{'Name': 'Germany', 'Value': '13.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Norway', 'Value': '13.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '17.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '18.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '18.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '23.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '26.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '31.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '37.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '59.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '65.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '132.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '173.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '194.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '547.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '5500.20', 'Unit': 'Spread', 'bptChange': ''}]
[{'Name': 'Germany', 'Value': '13.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Norway', 'Value': '13.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '17.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '18.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '18.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '23.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '26.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '31.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '37.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '59.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '65.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '132.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '173.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '194.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '547.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '5500.20', 'Unit': 'Spread', 'bptChange': ''}]
[{'Name': 'Germany', 'Value': '13.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Norway', 'Value': '13.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '17.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '18.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '18.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '23.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '26.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '31.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '37.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '59.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '65.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '132.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '173.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '194.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '547.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '5500.20', 'Unit': 'Spread', 'bptChange': ''}]
[{'Name': 'Germany', 'Value': '13.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Norway', 'Value': '13.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '17.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '18.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '18.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '23.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '26.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '31.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '37.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '59.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '65.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '132.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '173.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '194.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '547.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '5500.20', 'Unit': 'Spread', 'bptChange': ''}]
[{'Name': 'Germany', 'Value': '13.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Norway', 'Value': '13.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '17.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '18.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '18.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '23.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '26.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '31.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '37.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '59.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '65.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '132.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '173.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '194.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '547.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '5500.20', 'Unit': 'Spread', 'bptChange': ''}]
[{'Name': 'Germany', 'Value': '13.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Norway', 'Value': '13.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '17.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '18.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '18.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '23.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '26.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '31.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '37.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '59.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '65.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '132.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '173.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '194.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '547.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '5500.20', 'Unit': 'Spread', 'bptChange': ''}]
[{'Name': 'Germany', 'Value': '13.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Norway', 'Value': '13.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '17.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '18.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '18.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '23.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '26.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '31.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '37.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '59.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '65.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '132.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '173.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '194.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '547.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '5500.20', 'Unit': 'Spread', 'bptChange': ''}]
[{'Name': 'Germany', 'Value': '13.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Norway', 'Value': '13.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '17.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '18.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '18.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '23.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '26.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '31.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '37.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '59.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '65.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '132.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '173.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '194.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '547.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '5500.20', 'Unit': 'Spread', 'bptChange': ''}]
[{'Name': 'Germany', 'Value': '13.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Norway', 'Value': '13.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '17.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '18.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '18.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '23.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '26.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '31.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '37.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '59.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '65.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '132.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '173.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '194.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '547.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '5500.20', 'Unit': 'Spread', 'bptChange': ''}]
[{'Name': 'Germany', 'Value': '13.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Norway', 'Value': '13.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '17.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '18.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '18.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '19.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '23.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '26.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '31.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '37.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '59.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '65.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '132.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '173.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '194.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '547.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '5500.20', 'Unit': 'Spread', 'bptChange': ''}]
