https://www.bloomberg.com/quote/GBTPGR10:IND
https://www.bloomberg.com/quote/GBTPGR10:IND
https://www.bloomberg.com/quote/GBTPGR10:IND
TITA10.YITA10.YTTTTTTITA10.Y
ITA10.Y
{'Date': '2017/08/07 16:14 Mon', 'Price': '1.994', 'Open': '2.042', 'DayH': '2.042', 'DayL': '1.982', '52H': '2.423', '52L': '1.033', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GBTPGR10:IND', 'FullName': 'ItalyGenericGovt10YYield'}
{'Date': '2017/08/07 16:19 Mon', 'Price': '1.994', 'Open': '2.042', 'DayH': '2.042', 'DayL': '1.982', '52H': '2.423', '52L': '1.033', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GBTPGR10:IND', 'FullName': 'ItalyGenericGovt10YYield'}
{'Date': '2017/08/07 16:38 Mon', 'Price': '1.994', 'Open': '2.042', 'DayH': '2.042', 'DayL': '1.982', '52H': '2.423', '52L': '1.033', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GBTPGR10:IND', 'FullName': 'ItalyGenericGovt10YYield'}
{'Date': '2017/08/07 16:40 Mon', 'Price': '1.994', 'Open': '2.042', 'DayH': '2.042', 'DayL': '1.982', '52H': '2.423', '52L': '1.033', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GBTPGR10:IND', 'FullName': 'ItalyGenericGovt10YYield'}
{'Date': '2017/08/07 16:48 Mon', 'Price': '1.994', 'Open': '2.042', 'DayH': '2.042', 'DayL': '1.982', '52H': '2.423', '52L': '1.033', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GBTPGR10:IND', 'FullName': 'ItalyGenericGovt10YYield'}
{'Date': '2017/08/07 16:50 Mon', 'Price': '1.994', 'Open': '2.042', 'DayH': '2.042', 'DayL': '1.982', '52H': '2.423', '52L': '1.033', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GBTPGR10:IND', 'FullName': 'ItalyGenericGovt10YYield'}
{'Date': '2017/08/07 17:22 Mon', 'Price': '1.994', 'Open': '2.042', 'DayH': '2.042', 'DayL': '1.982', '52H': '2.423', '52L': '1.033', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GBTPGR10:IND', 'FullName': 'ItalyGenericGovt10YYield'}
{'Date': '2017/08/07 17:27 Mon', 'Price': '1.994', 'Open': '2.042', 'DayH': '2.042', 'DayL': '1.982', '52H': '2.423', '52L': '1.033', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GBTPGR10:IND', 'FullName': 'ItalyGenericGovt10YYield'}
{'Date': '2017/08/07 17:30 Mon', 'Price': '1.994', 'Open': '2.042', 'DayH': '2.042', 'DayL': '1.982', '52H': '2.423', '52L': '1.033', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GBTPGR10:IND', 'FullName': 'ItalyGenericGovt10YYield'}
{'Date': '2017/08/07 17:32 Mon', 'Price': '1.994', 'Open': '2.042', 'DayH': '2.042', 'DayL': '1.982', '52H': '2.423', '52L': '1.033', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GBTPGR10:IND', 'FullName': 'ItalyGenericGovt10YYield'}
{'Date': '2017/08/07 17:37 Mon', 'Price': '1.994', 'Open': '2.042', 'DayH': '2.042', 'DayL': '1.982', '52H': '2.423', '52L': '1.033', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GBTPGR10:IND', 'FullName': 'ItalyGenericGovt10YYield'}
