https://www.bloomberg.com/quote/GJGB5:IND
https://www.bloomberg.com/quote/GJGB5:IND
https://www.bloomberg.com/quote/GJGB5:IND
AJAP5.YJAP5.YAAAAAAJAP5.Y
JAP5.Y
{'Date': '2017/08/07 16:14 Mon', 'Price': '-0.053', 'Open': '-0.056', 'DayH': '-0.050', 'DayL': '-0.059', '52H': '-0.027', '52L': '-0.255', 'Volume': '', 'OpenInterest': '', 'Ticker': 'GJGB5:IND', 'FullName': 'JapanGovtBondYeartomaturity5YearSimpleYield'}
{'Date': '2017/08/07 16:19 Mon', 'Price': '-0.053', 'Open': '-0.056', 'DayH': '-0.050', 'DayL': '-0.059', '52H': '-0.027', '52L': '-0.255', 'Volume': '', 'OpenInterest': '', 'Ticker': 'GJGB5:IND', 'FullName': 'JapanGovtBondYeartomaturity5YearSimpleYield'}
{'Date': '2017/08/07 16:38 Mon', 'Price': '-0.053', 'Open': '-0.056', 'DayH': '-0.050', 'DayL': '-0.059', '52H': '-0.027', '52L': '-0.255', 'Volume': '', 'OpenInterest': '', 'Ticker': 'GJGB5:IND', 'FullName': 'JapanGovtBondYeartomaturity5YearSimpleYield'}
{'Date': '2017/08/07 16:40 Mon', 'Price': '-0.053', 'Open': '-0.056', 'DayH': '-0.050', 'DayL': '-0.059', '52H': '-0.027', '52L': '-0.255', 'Volume': '', 'OpenInterest': '', 'Ticker': 'GJGB5:IND', 'FullName': 'JapanGovtBondYeartomaturity5YearSimpleYield'}
{'Date': '2017/08/07 16:48 Mon', 'Price': '-0.053', 'Open': '-0.056', 'DayH': '-0.050', 'DayL': '-0.059', '52H': '-0.027', '52L': '-0.255', 'Volume': '', 'OpenInterest': '', 'Ticker': 'GJGB5:IND', 'FullName': 'JapanGovtBondYeartomaturity5YearSimpleYield'}
{'Date': '2017/08/07 16:50 Mon', 'Price': '-0.053', 'Open': '-0.056', 'DayH': '-0.050', 'DayL': '-0.059', '52H': '-0.027', '52L': '-0.255', 'Volume': '', 'OpenInterest': '', 'Ticker': 'GJGB5:IND', 'FullName': 'JapanGovtBondYeartomaturity5YearSimpleYield'}
{'Date': '2017/08/07 17:22 Mon', 'Price': '-0.053', 'Open': '-0.056', 'DayH': '-0.050', 'DayL': '-0.059', '52H': '-0.027', '52L': '-0.255', 'Volume': '', 'OpenInterest': '', 'Ticker': 'GJGB5:IND', 'FullName': 'JapanGovtBondYeartomaturity5YearSimpleYield'}
{'Date': '2017/08/07 17:27 Mon', 'Price': '-0.053', 'Open': '-0.056', 'DayH': '-0.050', 'DayL': '-0.059', '52H': '-0.027', '52L': '-0.255', 'Volume': '', 'OpenInterest': '', 'Ticker': 'GJGB5:IND', 'FullName': 'JapanGovtBondYeartomaturity5YearSimpleYield'}
{'Date': '2017/08/07 17:30 Mon', 'Price': '-0.053', 'Open': '-0.056', 'DayH': '-0.050', 'DayL': '-0.059', '52H': '-0.027', '52L': '-0.255', 'Volume': '', 'OpenInterest': '', 'Ticker': 'GJGB5:IND', 'FullName': 'JapanGovtBondYeartomaturity5YearSimpleYield'}
{'Date': '2017/08/07 17:32 Mon', 'Price': '-0.053', 'Open': '-0.056', 'DayH': '-0.050', 'DayL': '-0.059', '52H': '-0.027', '52L': '-0.255', 'Volume': '', 'OpenInterest': '', 'Ticker': 'GJGB5:IND', 'FullName': 'JapanGovtBondYeartomaturity5YearSimpleYield'}
{'Date': '2017/08/07 17:37 Mon', 'Price': '-0.053', 'Open': '-0.056', 'DayH': '-0.050', 'DayL': '-0.059', '52H': '-0.027', '52L': '-0.255', 'Volume': '', 'OpenInterest': '', 'Ticker': 'GJGB5:IND', 'FullName': 'JapanGovtBondYeartomaturity5YearSimpleYield'}
