https://www.bloomberg.com/quote/XAG:CUR
https://www.bloomberg.com/quote/XAG:CUR
https://www.bloomberg.com/quote/XAG:CUR
ISILVER.SSILVER.SIIIIIISILVER.S
SILVER.S
{'Date': '2017/08/07 16:14 Mon', 'Price': '16.2493', 'Open': '16.2765', 'DayH': '16.3187', 'DayL': '16.1312', '52H': '20.4909', '52L': '15.1892', 'Volume': '', 'OpenInterest': '', 'Ticker': 'XAG:CUR', 'FullName': 'XAGUSDSpotExchangeRate'}
{'Date': '2017/08/07 16:19 Mon', 'Price': '16.2501', 'Open': '16.2765', 'DayH': '16.3187', 'DayL': '16.1312', '52H': '20.4909', '52L': '15.1892', 'Volume': '', 'OpenInterest': '', 'Ticker': 'XAG:CUR', 'FullName': 'XAGUSDSpotExchangeRate'}
{'Date': '2017/08/07 16:38 Mon', 'Price': '16.2557', 'Open': '16.2765', 'DayH': '16.3187', 'DayL': '16.1312', '52H': '20.4909', '52L': '15.1892', 'Volume': '', 'OpenInterest': '', 'Ticker': 'XAG:CUR', 'FullName': 'XAGUSDSpotExchangeRate'}
{'Date': '2017/08/07 16:40 Mon', 'Price': '16.2557', 'Open': '16.2765', 'DayH': '16.3187', 'DayL': '16.1312', '52H': '20.4909', '52L': '15.1892', 'Volume': '', 'OpenInterest': '', 'Ticker': 'XAG:CUR', 'FullName': 'XAGUSDSpotExchangeRate'}
{'Date': '2017/08/07 16:49 Mon', 'Price': '16.2580', 'Open': '16.2765', 'DayH': '16.3187', 'DayL': '16.1312', '52H': '20.4909', '52L': '15.1892', 'Volume': '', 'OpenInterest': '', 'Ticker': 'XAG:CUR', 'FullName': 'XAGUSDSpotExchangeRate'}
{'Date': '2017/08/07 16:50 Mon', 'Price': '16.2580', 'Open': '16.2765', 'DayH': '16.3187', 'DayL': '16.1312', '52H': '20.4909', '52L': '15.1892', 'Volume': '', 'OpenInterest': '', 'Ticker': 'XAG:CUR', 'FullName': 'XAGUSDSpotExchangeRate'}
{'Date': '2017/08/07 17:22 Mon', 'Price': '16.2675', 'Open': '16.2744', 'DayH': '16.2797', 'DayL': '16.2660', '52H': '20.4909', '52L': '15.1892', 'Volume': '', 'OpenInterest': '', 'Ticker': 'XAG:CUR', 'FullName': 'XAGUSDSpotExchangeRate'}
{'Date': '2017/08/07 17:27 Mon', 'Price': '16.2675', 'Open': '16.2744', 'DayH': '16.2797', 'DayL': '16.2660', '52H': '20.4909', '52L': '15.1892', 'Volume': '', 'OpenInterest': '', 'Ticker': 'XAG:CUR', 'FullName': 'XAGUSDSpotExchangeRate'}
{'Date': '2017/08/07 17:31 Mon', 'Price': '16.2675', 'Open': '16.2744', 'DayH': '16.2797', 'DayL': '16.2660', '52H': '20.4909', '52L': '15.1892', 'Volume': '', 'OpenInterest': '', 'Ticker': 'XAG:CUR', 'FullName': 'XAGUSDSpotExchangeRate'}
{'Date': '2017/08/07 17:32 Mon', 'Price': '16.2675', 'Open': '16.2744', 'DayH': '16.2797', 'DayL': '16.2660', '52H': '20.4909', '52L': '15.1892', 'Volume': '', 'OpenInterest': '', 'Ticker': 'XAG:CUR', 'FullName': 'XAGUSDSpotExchangeRate'}
{'Date': '2017/08/07 17:37 Mon', 'Price': '16.2675', 'Open': '16.2744', 'DayH': '16.2797', 'DayL': '16.2660', '52H': '20.4909', '52L': '15.1892', 'Volume': '', 'OpenInterest': '', 'Ticker': 'XAG:CUR', 'FullName': 'XAGUSDSpotExchangeRate'}
