https://www.bloomberg.com/quote/SX5E:IND
https://www.bloomberg.com/quote/SX5E:IND
https://www.bloomberg.com/quote/SX5E:IND
TSTOXX50.iSTOXX50.iTTTTTTSTOXX50.i
STOXX50.i
{'Date': '2017/08/07 16:13 Mon', 'Price': '3505.80', 'Open': '3509.59', 'DayH': '3516.78', 'DayL': '3497.21', '52H': '3666.80', '52L': '2922.82', 'Volume': '419812192', 'OpenInterest': '', 'Ticker': 'SX5E:IND', 'FullName': 'EUROSTOXX50PriceEUR'}
{'Date': '2017/08/07 16:19 Mon', 'Price': '3505.80', 'Open': '3509.59', 'DayH': '3516.78', 'DayL': '3497.21', '52H': '3666.80', '52L': '2922.82', 'Volume': '419812192', 'OpenInterest': '', 'Ticker': 'SX5E:IND', 'FullName': 'EUROSTOXX50PriceEUR'}
{'Date': '2017/08/07 16:37 Mon', 'Price': '3505.80', 'Open': '3509.59', 'DayH': '3516.78', 'DayL': '3497.21', '52H': '3666.80', '52L': '2922.82', 'Volume': '419812192', 'OpenInterest': '', 'Ticker': 'SX5E:IND', 'FullName': 'EUROSTOXX50PriceEUR'}
{'Date': '2017/08/07 16:39 Mon', 'Price': '3505.80', 'Open': '3509.59', 'DayH': '3516.78', 'DayL': '3497.21', '52H': '3666.80', '52L': '2922.82', 'Volume': '419812192', 'OpenInterest': '', 'Ticker': 'SX5E:IND', 'FullName': 'EUROSTOXX50PriceEUR'}
{'Date': '2017/08/07 16:48 Mon', 'Price': '3505.80', 'Open': '3509.59', 'DayH': '3516.78', 'DayL': '3497.21', '52H': '3666.80', '52L': '2922.82', 'Volume': '419812192', 'OpenInterest': '', 'Ticker': 'SX5E:IND', 'FullName': 'EUROSTOXX50PriceEUR'}
{'Date': '2017/08/07 16:49 Mon', 'Price': '3505.80', 'Open': '3509.59', 'DayH': '3516.78', 'DayL': '3497.21', '52H': '3666.80', '52L': '2922.82', 'Volume': '419812192', 'OpenInterest': '', 'Ticker': 'SX5E:IND', 'FullName': 'EUROSTOXX50PriceEUR'}
{'Date': '2017/08/07 17:21 Mon', 'Price': '3505.80', 'Open': '3509.59', 'DayH': '3516.78', 'DayL': '3497.21', '52H': '3666.80', '52L': '2922.82', 'Volume': '419812192', 'OpenInterest': '', 'Ticker': 'SX5E:IND', 'FullName': 'EUROSTOXX50PriceEUR'}
{'Date': '2017/08/07 17:27 Mon', 'Price': '3505.80', 'Open': '3509.59', 'DayH': '3516.78', 'DayL': '3497.21', '52H': '3666.80', '52L': '2922.82', 'Volume': '419812192', 'OpenInterest': '', 'Ticker': 'SX5E:IND', 'FullName': 'EUROSTOXX50PriceEUR'}
{'Date': '2017/08/07 17:30 Mon', 'Price': '3505.80', 'Open': '3509.59', 'DayH': '3516.78', 'DayL': '3497.21', '52H': '3666.80', '52L': '2922.82', 'Volume': '419812192', 'OpenInterest': '', 'Ticker': 'SX5E:IND', 'FullName': 'EUROSTOXX50PriceEUR'}
{'Date': '2017/08/07 17:32 Mon', 'Price': '3505.80', 'Open': '3509.59', 'DayH': '3516.78', 'DayL': '3497.21', '52H': '3666.80', '52L': '2922.82', 'Volume': '419812192', 'OpenInterest': '', 'Ticker': 'SX5E:IND', 'FullName': 'EUROSTOXX50PriceEUR'}
{'Date': '2017/08/07 17:37 Mon', 'Price': '3505.80', 'Open': '3509.59', 'DayH': '3516.78', 'DayL': '3497.21', '52H': '3666.80', '52L': '2922.82', 'Volume': '419812192', 'OpenInterest': '', 'Ticker': 'SX5E:IND', 'FullName': 'EUROSTOXX50PriceEUR'}
