2017-08-29 13:45 Tue // ['3279644', '970252', '0'] // ['ESU7', '2443.00', '2443.75', '2434.00', '2444.75', '2421.00', '1202836', '3165053', '0'] // [['ESU7', '2443.00', '2443.75', '2434.00', '2444.75', '2421.00', '1202836', '3165053', '0'], ['ESZ7', '2441.00', '2441.75', '2433.25', '2442.75', '2419.25', '18130', '108841', '0'], ['ESH8', '2440.50', '2440.25', '2430.25', '2440.50', '2418.75', '774', '5278', '0'], ['ESM8', '', '2439.50', '', '', '', '10', '456', '0'], ['ESU8', '2430.00', '2439.00', '2430.00', '2430.00', '2430.00', '4', '16', '0'], ['ESZ8', '', '', '', '', '', '0', '', '']]
2017-08-30 13:45 Wed // ['3301271', '1639669', '0'] // ['ESU7', '2458.00', '2447.00', '2446.50', '2458.75', '2442.75', '783424', '3176774', '0'] // [['ESU7', '2458.00', '2447.00', '2446.50', '2458.75', '2442.75', '783424', '3176774', '0'], ['ESZ7', '2456.00', '2445.00', '2445.00', '2456.75', '2440.75', '12739', '117878', '0'], ['ESH8', '2454.50', '2443.75', '2443.25', '2454.50', '2443.25', '1770', '6138', '0'], ['ESM8', '', '2442.25', '', '', '', '2', '463', '0'], ['ESU8', '', '2442.00', '', '', '', '0', '18', '0'], ['ESZ8', '', '', '', '', '', '0', '', '']]
2017-08-31 13:45 Thu // ['3326239', '1324809', '0'] // ['ESU7', '2467.50', '2455.75', '2455.25', '2469.50', '2454.75', '925094', '3193564', '0'] // [['ESU7', '2467.50', '2455.75', '2455.25', '2469.50', '2454.75', '925094', '3193564', '0'], ['ESZ7', '2465.75', '2453.75', '2453.25', '2467.50', '2453.00', '28218', '122290', '0'], ['ESH8', '2465.00', '2452.50', '2455.50', '2466.00', '2454.50', '239', '9902', '0'], ['ESM8', '2457.00', '2451.25', '2457.00', '2457.00', '2457.00', '7', '465', '0'], ['ESU8', '', '2450.75', '', '', '', '0', '18', '0'], ['ESZ8', '', '', '', '', '', '0', '', '']]
2017-09-01 13:45 Fri // ['3366821', '1795189', '16000'] // ['ESU7', '2479.00', '2470.00', '2470.25', '2479.75', '2470.00', '714955', '3208773', '16000'] // [['ESU7', '2479.00', '2470.00', '2470.25', '2479.75', '2470.00', '714955', '3208773', '16000'], ['ESZ7', '2476.75', '2468.00', '2468.25', '2477.75', '2468.25', '18890', '147656', '0'], ['ESH8', '2475.50', '2467.00', '2468.50', '2476.25', '2467.75', '85', '9908', '0'], ['ESM8', '', '2465.50', '', '', '', '0', '466', '0'], ['ESU8', '', '2465.00', '', '', '', '0', '18', '0'], ['ESZ8', '', '', '', '', '', '0', '', '']]
2017-09-04 13:45 Mon // ['3362137', '1082617', '3223'] // ['ESU7', '2468.00', '2474.25', '2461.25', '2469.00', '2460.25', '210218', '3192258', '3223'] // [['ESU7', '2468.00', '2474.25', '2461.25', '2469.00', '2460.25', '210218', '3192258', '3223'], ['ESZ7', '2466.00', '2472.25', '2460.25', '2467.00', '2452.00', '6710', '159522', '0'], ['ESH8', '2465.00', '2471.00', '2459.00', '2465.00', '2458.75', '52', '9873', '0'], ['ESM8', '', '2469.75', '', '', '', '0', '466', '0'], ['ESU8', '', '2469.25', '', '', '', '0', '18', '0'], ['ESZ8', '', '0.00', '', '', '', '0', '', '']]
2017-09-05 13:45 Tue // ['3359504', '1082617', '3223'] // ['ESU7', '2448.50', '2474.25', '2461.25', '2471.25', '2445.50', '1450532', '3189967', '3223'] // [['ESU7', '2448.50', '2474.25', '2461.25', '2471.25', '2445.50', '1450532', '3189967', '3223'], ['ESZ7', '2446.50', '2472.25', '2460.25', '2469.50', '2443.75', '55679', '159180', '0'], ['ESH8', '2448.00', '2471.00', '2459.00', '2466.25', '2443.00', '178', '9873', '0'], ['ESM8', '', '2469.75', '', '', '', '0', '466', '0'], ['ESU8', '', '2469.25', '', '', '', '0', '18', '0'], ['ESZ8', '', '0.00', '', '', '', '0', '', '']]
2017-09-06 13:45 Wed // ['3327423', '2204668', '1250'] // ['ESU7', '2464.75', '2459.75', '2460.25', '2467.00', '2456.50', '1045199', '3120167', '1250'] // [['ESU7', '2464.75', '2459.75', '2460.25', '2467.00', '2456.50', '1045199', '3120167', '1250'], ['ESZ7', '2463.25', '2458.00', '2458.25', '2465.25', '2454.75', '153704', '196874', '0'], ['ESH8', '2461.00', '2456.75', '2455.75', '2462.50', '2455.00', '89', '9898', '0'], ['ESM8', '2454.00', '2455.25', '2457.00', '2457.00', '2454.00', '11', '466', '0'], ['ESU8', '', '2455.00', '', '', '', '0', '18', '0'], ['ESZ8', '', '0.00', '', '', '', '0', '', '']]
2017-09-07 13:45 Thu // ['3391652', '1796273', '0'] // ['ESU7', '2463.25', '2465.50', '2464.00', '2468.75', '2457.50', '1126108', '3048416', '0'] // [['ESU7', '2463.25', '2465.50', '2464.00', '2468.75', '2457.50', '1126108', '3048416', '0'], ['ESZ7', '2461.25', '2463.75', '2462.25', '2467.00', '2455.75', '503000', '332843', '0'], ['ESH8', '2458.50', '2462.50', '2459.50', '2464.50', '2458.50', '61', '9906', '0'], ['ESM8', '2461.00', '2461.00', '2461.00', '2461.00', '2461.00', '3', '469', '0'], ['ESU8', '', '2460.75', '', '', '', '0', '18', '0'], ['ESZ8', '', '0.00', '', '', '', '0', '', '']]
2017-09-08 13:45 Fri // ['3492125', '2235669', '1808'] // ['ESZ7', '2460.50', '2464.75', '2464.75', '2465.75', '2455.25', '974129', '719665', '0'] // [['ESU7', '2462.25', '2466.50', '2466.50', '2467.50', '2456.75', '777985', '2761044', '1808'], ['ESZ7', '2460.50', '2464.75', '2464.75', '2465.75', '2455.25', '974129', '719665', '0'], ['ESH8', '2461.00', '2463.50', '2459.75', '2462.50', '2456.25', '412', '10928', '0'], ['ESM8', '', '2462.00', '', '', '', '0', '470', '0'], ['ESU8', '', '2461.75', '', '', '', '0', '18', '0'], ['ESZ8', '', '0.00', '', '', '', '0', '', '']]
2017-09-11 13:45 Mon // ['3545523', '2709155', '9600'] // ['ESZ7', '2485.75', '2461.00', '2467.75', '2487.00', '2466.75', '1383344', '1244827', '0'] // [['ESU7', '2487.50', '2462.50', '2468.00', '2488.75', '2468.00', '986626', '2288874', '9600'], ['ESZ7', '2485.75', '2461.00', '2467.75', '2487.00', '2466.75', '1383344', '1244827', '0'], ['ESH8', '2484.25', '2459.75', '2468.00', '2485.50', '2467.75', '212', '11335', '0'], ['ESM8', '2477.00', '2458.50', '2469.50', '2477.00', '2469.50', '3', '469', '0'], ['ESU8', '', '2458.00', '', '', '', '0', '18', '0'], ['ESZ8', '', '0.00', '', '', '', '0', '', '']]
2017-09-12 13:45 Tue // ['3587211', '3226763', '9500'] // ['ESZ7', '2493.25', '2485.75', '2486.50', '2493.50', '2485.25', '1212336', '1942428', '0'] // [['ESU7', '2495.00', '2487.50', '2488.25', '2495.25', '2486.75', '762843', '1632949', '9500'], ['ESZ7', '2493.25', '2485.75', '2486.50', '2493.50', '2485.25', '1212336', '1942428', '0'], ['ESH8', '2492.50', '2484.75', '2485.50', '2492.50', '2485.00', '491', '11346', '0'], ['ESM8', '2490.00', '2483.25', '2483.25', '2490.00', '2482.75', '30', '470', '0'], ['ESU8', '2489.00', '2483.00', '2489.00', '2489.00', '2489.00', '1', '18', '0'], ['ESZ8', '', '0.00', '', '', '', '0', '', '']]
