2017-08-29 13:45 Tue // ['21450', '2000', '0'] // ['RYU7', '131.10', '130.71', '130.35', '131.26', '129.70', '4876', '21376', '0'] // [['RYU7', '131.10', '130.71', '130.35', '131.26', '129.70', '4876', '21376', '0'], ['RYZ7', '130.78', '130.77', '129.99', '130.78', '129.99', '83', '74', '0'], ['RYH8', '', '130.77', '', '', '', '0', '', ''], ['RYM8', '', '130.79', '', '', '', '0', '', ''], ['RYU8', '', '130.79', '', '', '', '0', '', ''], ['RYZ8', '', '130.78', '', '', '', '0', '', '']]
2017-08-30 13:45 Wed // ['21383', '6067', '0'] // ['RYU7', '131.31', '131.57', '131.25', '131.73', '131.17', '2585', '21259', '0'] // [['RYU7', '131.31', '131.57', '131.25', '131.73', '131.17', '2585', '21259', '0'], ['RYZ7', '131.35', '131.62', '131.38', '131.38', '131.34', '12', '124', '0'], ['RYH8', '', '131.62', '', '', '', '0', '', ''], ['RYM8', '', '131.65', '', '', '', '0', '', ''], ['RYU8', '', '131.65', '', '', '', '0', '', ''], ['RYZ8', '', '131.64', '', '', '', '0', '', '']]
2017-08-31 13:45 Thu // ['21293', '2747', '0'] // ['RYU7', '130.93', '131.24', '131.16', '131.59', '130.73', '2379', '21162', '0'] // [['RYU7', '130.93', '131.24', '131.16', '131.59', '130.73', '2379', '21162', '0'], ['RYZ7', '130.85', '131.30', '131.43', '131.43', '130.85', '13', '131', '0'], ['RYH8', '', '131.31', '', '', '', '0', '', ''], ['RYM8', '', '131.34', '', '', '', '0', '', ''], ['RYU8', '', '131.34', '', '', '', '0', '', ''], ['RYZ8', '', '131.31', '', '', '', '0', '', '']]
2017-09-01 13:45 Fri // ['21460', '2545', '0'] // ['RYU7', '130.82', '130.92', '131.08', '131.35', '130.68', '3656', '21324', '0'] // [['RYU7', '130.82', '130.92', '131.08', '131.35', '130.68', '3656', '21324', '0'], ['RYZ7', '', '130.98', '', '', '', '0', '136', '0'], ['RYH8', '', '130.99', '', '', '', '0', '', ''], ['RYM8', '', '131.03', '', '', '', '0', '', ''], ['RYU8', '', '131.04', '', '', '', '0', '', ''], ['RYZ8', '', '131.03', '', '', '', '0', '', '']]
2017-09-04 13:45 Mon // ['21330', '3760', '0'] // ['RYU7', '130.48', '130.84', '130.29', '130.70', '130.15', '1040', '21194', '0'] // [['RYU7', '130.48', '130.84', '130.29', '130.70', '130.15', '1040', '21194', '0'], ['RYZ7', '130.30', '130.91', '130.30', '130.30', '130.30', '1', '136', '0'], ['RYH8', '', '130.91', '', '', '', '0', '', ''], ['RYM8', '', '130.94', '', '', '', '0', '', ''], ['RYU8', '', '130.95', '', '', '', '0', '', ''], ['RYZ8', '', '130.94', '', '', '', '0', '', ''], ['RYH9', '', '', '', '', '', '0', '', '']]
2017-09-05 13:45 Tue // ['21330', '3760', '0'] // ['RYU7', '129.42', '130.84', '130.29', '130.70', '129.42', '3515', '21194', '0'] // [['RYU7', '129.42', '130.84', '130.29', '130.70', '129.42', '3515', '21194', '0'], ['RYZ7', '129.50', '130.91', '130.30', '130.30', '129.50', '24', '136', '0'], ['RYH8', '', '130.91', '', '', '', '0', '', ''], ['RYM8', '', '130.94', '', '', '', '0', '', ''], ['RYU8', '', '130.95', '', '', '', '0', '', ''], ['RYZ8', '', '130.94', '', '', '', '0', '', ''], ['RYH9', '', '', '', '', '', '0', '', '']]
2017-09-06 13:45 Wed // ['21905', '3961', '83'] // ['RYU7', '130.35', '129.50', '129.47', '130.41', '129.41', '2386', '21758', '83'] // [['RYU7', '130.35', '129.50', '129.47', '130.41', '129.41', '2386', '21758', '83'], ['RYZ7', '130.13', '129.57', '129.68', '130.13', '129.68', '185', '147', '0'], ['RYH8', '', '129.58', '', '', '', '0', '', ''], ['RYM8', '', '129.61', '', '', '', '0', '', ''], ['RYU8', '', '129.64', '', '', '', '0', '', ''], ['RYZ8', '', '129.63', '', '', '', '0', '', ''], ['RYH9', '', '', '', '', '', '0', '', '']]
2017-09-07 13:45 Thu // ['22460', '2929', '195'] // ['RYU7', '130.22', '130.24', '130.23', '131.09', '129.92', '4388', '22176', '195'] // [['RYU7', '130.22', '130.24', '130.23', '131.09', '129.92', '4388', '22176', '195'], ['RYZ7', '130.18', '130.29', '130.53', '131.06', '130.14', '318', '284', '0'], ['RYH8', '', '130.31', '', '', '', '0', '', ''], ['RYM8', '', '130.34', '', '', '', '0', '', ''], ['RYU8', '', '130.35', '', '', '', '0', '', ''], ['RYZ8', '', '130.32', '', '', '', '0', '', ''], ['RYH9', '', '130.29', '', '', '', '0', '', '']]
2017-09-08 13:45 Fri // ['22570', '17430', '12458'] // ['RYU7', '129.77', '130.47', '130.30', '130.66', '129.47', '3185', '15934', '6229'] // [['RYU7', '129.77', '130.47', '130.30', '130.66', '129.47', '3185', '15934', '6229'], ['RYZ7', '129.92', '130.54', '130.66', '130.66', '129.57', '456', '6636', '6229'], ['RYH8', '', '130.56', '', '', '', '0', '', ''], ['RYM8', '', '130.59', '', '', '', '0', '', ''], ['RYU8', '', '130.61', '', '', '', '0', '', ''], ['RYZ8', '', '130.61', '', '', '', '0', '', ''], ['RYH9', '', '130.59', '', '', '', '0', '', '']]
2017-09-11 13:45 Mon // ['22923', '4175', '210'] // ['RYU7', '130.67', '129.67', '130.05', '130.67', '129.99', '1863', '15678', '0'] // [['RYU7', '130.67', '129.67', '130.05', '130.67', '129.99', '1863', '15678', '0'], ['RYZ7', '130.66', '129.76', '130.20', '130.66', '130.20', '647', '7245', '210'], ['RYH8', '', '129.79', '', '', '', '0', '', ''], ['RYM8', '', '129.82', '', '', '', '0', '', ''], ['RYU8', '', '129.84', '', '', '', '0', '', ''], ['RYZ8', '', '129.84', '', '', '', '0', '', ''], ['RYH9', '', '129.84', '', '', '', '0', '', '']]
2017-09-12 13:45 Tue // ['23041', '2998', '0'] // ['RYU7', '131.65', '130.82', '130.77', '131.78', '130.71', '4715', '15184', '0'] // [['RYU7', '131.65', '130.82', '130.77', '131.78', '130.71', '4715', '15184', '0'], ['RYZ7', '131.71', '130.91', '130.89', '131.88', '130.89', '3096', '7857', '0'], ['RYH8', '', '130.94', '', '', '', '0', '', ''], ['RYM8', '', '130.98', '', '', '', '0', '', ''], ['RYU8', '', '131.00', '', '', '', '0', '', ''], ['RYZ8', '', '131.01', '', '', '', '0', '', ''], ['RYH9', '', '131.00', '', '', '', '0', '', '']]
2017-09-13 13:45 Wed // ['23569', '8298', '0'] // ['RYU7', '131.41', '131.80', '131.83', '132.00', '131.27', '13700', '13499', '0'] // [['RYU7', '131.41', '131.80', '131.83', '132.00', '131.27', '13700', '13499', '0'], ['RYZ7', '131.49', '131.88', '131.97', '132.01', '131.45', '12307', '10070', '0'], ['RYH8', '', '131.93', '', '', '', '0', '', ''], ['RYM8', '', '131.97', '', '', '', '0', '', ''], ['RYU8', '', '131.98', '', '', '', '0', '', ''], ['RYZ8', '', '131.98', '', '', '', '0', '', ''], ['RYH9', '', '131.96', '', '', '', '0', '', '']]
2017-09-14 13:45 Thu // ['25662', '26562', '0'] // ['RYU7', '131.75', '131.41', '131.39', '131.75', '131.11', '4083', '7827', '0'] // [['RYU7', '131.75', '131.41', '131.39', '131.75', '131.11', '4083', '7827', '0'], ['RYZ7', '131.80', '131.51', '131.52', '131.82', '131.22', '3391', '17835', '0'], ['RYH8', '', '131.54', '', '', '', '0', '', ''], ['RYM8', '', '131.58', '', '', '', '0', '', ''], ['RYU8', '', '131.61', '', '', '', '0', '', ''], ['RYZ8', '', '131.61', '', '', '', '0', '', ''], ['RYH9', '', '131.60', '', '', '', '0', '', '']]
2017-09-15 13:45 Fri // ['26289', '9341', '644'] // ['RYZ7', '132.39', '131.80', '131.43', '133.16', '130.72', '5797', '19657', '644'] // [['RYU7', '132.68', '131.71', '130.83', '133.05', '130.65', '1970', '6632', '0'], ['RYZ7', '132.39', '131.80', '131.43', '133.16', '130.72', '5797', '19657', '644'], ['RYH8', '', '131.84', '', '', '', '0', '', ''], ['RYM8', '', '131.89', '', '', '', '0', '', ''], ['RYU8', '', '131.90', '', '', '', '0', '', ''], ['RYZ8', '', '131.89', '', '', '', '0', '', ''], ['RYH9', '', '131.88', '', '', '', '0', '', '']]
2017-09-19 13:45 Tue // ['29097', '2366', '83'] // ['RYZ7', '133.84', '133.31', '133.45', '134.25', '133.34', '3416', '22886', '83'] // [['RYZ7', '133.84', '133.31', '133.45', '134.25', '133.34', '3416', '22886', '83'], ['RYH8', '', '133.34', '', '', '', '0', '', ''], ['RYM8', '', '133.40', '', '', '', '0', '', ''], ['RYU8', '', '133.42', '', '', '', '0', '', ''], ['RYZ8', '', '133.41', '', '', '', '0', '', ''], ['RYH9', '', '133.39', '', '', '', '0', '', '']]
