2017-08-29 16:30 Tue // ['1423991', '323279', '0'] // ['ZCZ7', '348.2', '351.0', '350.6', '351.0', '347.0', '203671', '790370', '0'] // [['ZCU7', '333.2', '336.0', '335.4', '336.0', '332.0', '114056', '130442', '0'], ['ZCZ7', '348.2', '351.0', '350.6', '351.0', '347.0', '203671', '790370', '0'], ['ZCH8', '361.2', '364.0', '364.0', '364.0', '360.0', '31099', '241743', '0'], ['ZCK8', '369.0', '371.2', '371.0', '371.0', '367.4', '10498', '53739', '0'], ['ZCN8', '375.4', '378.0', '377.6', '377.6', '374.0', '15435', '106409', '0'], ['ZCU8', '382.0', '384.2', '384.2', '384.2', '380.4', '2180', '27351', '0'], ['ZCZ8', '390.2', '393.0', '392.2', '392.4', '389.0', '7689', '68915', '0'], ['ZCH9', '400.6', '402.0', '401.0', '401.0', '398.6', '403', '1816', '0'], ['ZCK9', '405.2', '407.0', '405.2', '405.2', '404.6', '180', '503', '0'], ['ZCN9', '409.6', '411.6', '410.0', '410.0', '409.2', '335', '918', '0'], ['ZCU9', '', '404.4', '', '', '', '0', '232', '0'], ['ZCZ9', '403.0', '405.4', '403.0', '405.0', '403.0', '177', '1553', '0']]
2017-08-30 16:30 Wed // ['1373874', '411821', '0'] // ['ZCZ7', '345.0', '348.6', '348.2', '349.2', '345.0', '229704', '781645', '0'] // [['ZCU7', '329.2', '333.4', '333.0', '334.0', '329.0', '152717', '79003', '0'], ['ZCZ7', '345.0', '348.6', '348.2', '349.2', '345.0', '229704', '781645', '0'], ['ZCH8', '358.0', '361.4', '361.2', '362.0', '358.0', '38954', '245469', '0'], ['ZCK8', '365.2', '369.0', '368.6', '369.4', '365.2', '9911', '55084', '0'], ['ZCN8', '372.0', '375.6', '375.2', '376.0', '371.6', '15412', '111163', '0'], ['ZCU8', '378.6', '382.0', '381.6', '382.2', '378.4', '2046', '27581', '0'], ['ZCZ8', '387.2', '390.6', '390.2', '390.6', '387.0', '7669', '68721', '0'], ['ZCH9', '397.4', '400.0', '398.4', '398.6', '397.4', '653', '1997', '0'], ['ZCK9', '402.4', '405.2', '402.4', '402.4', '402.4', '56', '526', '0'], ['ZCN9', '407.0', '410.2', '408.0', '408.2', '407.0', '218', '820', '0'], ['ZCU9', '', '402.6', '', '', '', '12', '232', '0'], ['ZCZ9', '402.0', '403.6', '403.6', '403.6', '402.0', '105', '1633', '0']]
2017-08-31 16:30 Thu // ['1315393', '475457', '0'] // ['ZCZ7', '357.4', '345.4', '345.0', '358.4', '344.2', '265094', '781731', '0'] // [['ZCU7', '341.6', '329.4', '329.2', '342.6', '328.4', '14093', '12742', '0'], ['ZCZ7', '357.4', '345.4', '345.0', '358.4', '344.2', '265094', '781731', '0'], ['ZCH8', '370.0', '358.2', '358.2', '371.0', '357.2', '66511', '248481', '0'], ['ZCK8', '377.0', '365.6', '365.4', '378.2', '364.6', '13812', '56725', '0'], ['ZCN8', '383.6', '372.2', '372.0', '384.6', '371.0', '29373', '112337', '0'], ['ZCU8', '389.6', '378.6', '378.4', '390.4', '377.6', '4336', '28110', '0'], ['ZCZ8', '397.6', '387.2', '387.0', '399.0', '386.2', '15973', '69597', '0'], ['ZCH9', '407.0', '397.4', '397.4', '407.0', '397.2', '259', '2329', '0'], ['ZCK9', '410.2', '402.6', '408.6', '410.2', '408.6', '64', '533', '0'], ['ZCN9', '416.0', '407.4', '408.0', '416.0', '407.2', '48', '885', '0'], ['ZCU9', '401.4', '400.6', '401.4', '401.4', '401.4', '29', '238', '0'], ['ZCZ9', '408.6', '401.4', '402.0', '408.6', '401.2', '241', '1685', '0']]
2017-09-01 16:30 Fri // ['1316468', '429227', '0'] // ['ZCZ7', '354.6', '357.6', '357.0', '360.6', '353.2', '174385', '781766', '0'] // [['ZCU7', '339.6', '342.2', '341.4', '345.4', '338.0', '7646', '6780', '0'], ['ZCZ7', '354.6', '357.6', '357.0', '360.6', '353.2', '174385', '781766', '0'], ['ZCH8', '367.0', '370.4', '369.6', '373.0', '365.6', '57864', '251026', '0'], ['ZCK8', '375.0', '377.6', '377.0', '380.0', '373.2', '13489', '57807', '0'], ['ZCN8', '381.2', '384.0', '383.4', '386.0', '379.6', '14278', '113614', '0'], ['ZCU8', '387.4', '390.0', '389.4', '391.6', '386.0', '1839', '28041', '0'], ['ZCZ8', '396.2', '398.2', '397.4', '400.0', '394.0', '7094', '71609', '0'], ['ZCH9', '405.2', '408.0', '409.0', '409.0', '405.2', '60', '2414', '0'], ['ZCK9', '411.6', '413.0', '413.0', '413.0', '410.0', '97', '549', '0'], ['ZCN9', '415.0', '417.6', '415.6', '415.6', '415.0', '25', '882', '0'], ['ZCU9', '407.6', '408.2', '407.6', '407.6', '407.6', '13', '239', '0'], ['ZCZ9', '408.4', '408.6', '408.6', '409.6', '405.2', '24', '1741', '0']]
2017-09-04 16:30 Mon // ['1332133', '287884', '0'] // [] // [['ZCU7', '', '340.0', '', '', '', '0', '4682', '0'], ['ZCZ7', '', '355.2', '', '', '', '0', '795599', '0'], ['ZCH8', '', '367.6', '', '', '', '0', '252749', '0'], ['ZCK8', '', '375.2', '', '', '', '0', '59054', '0'], ['ZCN8', '', '381.6', '', '', '', '0', '114057', '0'], ['ZCU8', '', '388.0', '', '', '', '0', '28327', '0'], ['ZCZ8', '', '396.4', '', '', '', '0', '71799', '0'], ['ZCH9', '', '406.2', '', '', '', '0', '2428', '0'], ['ZCK9', '', '411.2', '', '', '', '0', '574', '0'], ['ZCN9', '', '415.6', '', '', '', '0', '884', '0'], ['ZCU9', '', '406.6', '', '', '', '0', '239', '0'], ['ZCZ9', '', '408.4', '', '', '', '0', '1741', '0']]
2017-09-05 16:30 Tue // ['1331047', '287884', '0'] // ['ZCZ7', '357.4', '355.2', '354.6', '360.4', '354.6', '134478', '794649', '0'] // [['ZCU7', '343.4', '340.0', '343.2', '345.6', '341.2', '4571', '4697', '0'], ['ZCZ7', '357.4', '355.2', '354.6', '360.4', '354.6', '134478', '794649', '0'], ['ZCH8', '370.2', '367.6', '367.4', '373.2', '367.4', '39212', '252598', '0'], ['ZCK8', '378.0', '375.2', '374.6', '380.4', '374.6', '10501', '59054', '0'], ['ZCN8', '384.4', '381.6', '381.0', '386.6', '381.0', '15696', '114057', '0'], ['ZCU8', '390.6', '388.0', '388.6', '393.0', '388.6', '1182', '28327', '0'], ['ZCZ8', '399.2', '396.4', '395.4', '401.0', '395.4', '7282', '71799', '0'], ['ZCH9', '410.4', '406.2', '405.2', '410.4', '405.2', '106', '2428', '0'], ['ZCK9', '414.4', '411.2', '413.0', '415.0', '413.0', '59', '574', '0'], ['ZCN9', '418.6', '415.6', '415.6', '419.0', '415.6', '183', '884', '0'], ['ZCU9', '', '406.6', '', '', '', '0', '239', '0'], ['ZCZ9', '409.6', '408.4', '408.4', '410.0', '408.4', '18', '1741', '0']]
2017-09-06 16:30 Wed // ['1337632', '227372', '0'] // ['ZCZ7', '360.6', '358.4', '357.4', '362.0', '356.0', '120210', '799417', '0'] // [['ZCU7', '347.0', '344.2', '343.6', '347.2', '342.0', '2849', '2981', '0'], ['ZCZ7', '360.6', '358.4', '357.4', '362.0', '356.0', '120210', '799417', '0'], ['ZCH8', '373.0', '371.0', '370.2', '374.4', '368.6', '28791', '251997', '0'], ['ZCK8', '381.0', '378.4', '378.2', '382.0', '376.2', '11013', '59695', '0'], ['ZCN8', '387.4', '385.0', '384.0', '388.2', '382.6', '14637', '115122', '0'], ['ZCU8', '392.6', '391.2', '390.0', '394.2', '389.0', '1753', '28533', '0'], ['ZCZ8', '401.0', '400.0', '398.6', '402.2', '397.4', '6301', '73871', '0'], ['ZCH9', '410.6', '409.6', '408.0', '411.0', '408.0', '41', '2490', '0'], ['ZCK9', '416.0', '414.6', '413.2', '416.0', '413.2', '47', '604', '0'], ['ZCN9', '420.0', '419.0', '417.0', '420.0', '417.0', '25', '945', '0'], ['ZCU9', '407.0', '409.0', '407.0', '407.0', '407.0', '1', '239', '0'], ['ZCZ9', '409.2', '410.6', '407.6', '410.4', '407.6', '41', '1738', '0']]
2017-09-07 16:30 Thu // ['1345159', '198618', '0'] // ['ZCZ7', '355.0', '361.0', '360.0', '360.2', '354.6', '116336', '805431', '0'] // [['ZCU7', '341.6', '347.0', '346.6', '346.6', '341.6', '1744', '2316', '0'], ['ZCZ7', '355.0', '361.0', '360.0', '360.2', '354.6', '116336', '805431', '0'], ['ZCH8', '367.4', '373.4', '372.6', '373.0', '367.2', '26943', '249239', '0'], ['ZCK8', '375.0', '381.0', '381.0', '381.0', '375.0', '12595', '59979', '0'], ['ZCN8', '382.0', '387.4', '387.4', '387.4', '381.2', '12617', '117734', '0'], ['ZCU8', '388.2', '393.2', '392.2', '393.0', '387.6', '2742', '28806', '0'], ['ZCZ8', '396.4', '401.4', '400.2', '401.0', '396.0', '9079', '75578', '0'], ['ZCH9', '408.4', '411.0', '410.0', '410.6', '407.2', '92', '2501', '0'], ['ZCK9', '413.0', '415.4', '411.6', '413.0', '411.6', '46', '627', '0'], ['ZCN9', '416.4', '419.6', '418.2', '418.2', '416.2', '15', '948', '0'], ['ZCU9', '411.0', '409.4', '411.0', '411.0', '411.0', '1', '238', '0'], ['ZCZ9', '409.2', '410.6', '411.4', '411.4', '408.2', '27', '1762', '0']]
2017-09-08 16:30 Fri // ['1352748', '194177', '0'] // ['ZCZ7', '356.4', '355.2', '355.2', '358.6', '355.0', '109487', '807511', '0'] // [['ZCU7', '344.4', '341.6', '342.2', '345.4', '342.2', '775', '1624', '0'], ['ZCZ7', '356.4', '355.2', '355.2', '358.6', '355.0', '109487', '807511', '0'], ['ZCH8', '369.0', '367.6', '367.6', '371.0', '367.6', '40978', '247708', '0'], ['ZCK8', '377.0', '375.4', '375.4', '378.4', '375.4', '16167', '63169', '0'], ['ZCN8', '383.2', '381.6', '382.0', '384.6', '382.0', '10201', '119062', '0'], ['ZCU8', '389.2', '388.0', '388.2', '390.4', '388.2', '2212', '29091', '0'], ['ZCZ8', '397.4', '396.2', '396.2', '399.0', '396.2', '5270', '78470', '0'], ['ZCH9', '407.6', '406.0', '407.0', '408.4', '407.0', '44', '2539', '0'], ['ZCK9', '412.4', '410.6', '412.6', '412.6', '412.4', '12', '630', '0'], ['ZCN9', '417.0', '415.0', '417.0', '417.0', '416.6', '5', '945', '0'], ['ZCU9', '', '406.2', '', '', '', '0', '239', '0'], ['ZCZ9', '409.0', '407.4', '409.2', '409.2', '409.0', '19', '1760', '0']]
2017-09-11 17:11 Mon // ['1351922', '197069', '0'] // ['ZCZ7', '358.0', '356.6', '356.4', '359.2', '354.6', '116099', '803092', '0'] // [['ZCU7', '346.0', '344.2', '345.2', '346.4', '342.6', '754', '1157', '0'], ['ZCZ7', '358.0', '356.6', '356.4', '359.2', '354.6', '116099', '803092', '0'], ['ZCH8', '370.0', '369.0', '369.0', '371.4', '367.2', '46388', '243408', '0'], ['ZCK8', '377.6', '376.6', '377.0', '379.2', '374.6', '20938', '69039', '0'], ['ZCN8', '384.2', '383.2', '383.0', '385.4', '381.2', '15411', '120709', '0'], ['ZCU8', '390.2', '389.2', '389.4', '391.4', '387.6', '2179', '29257', '0'], ['ZCZ8', '399.0', '398.0', '398.0', '399.6', '396.0', '9539', '79145', '0'], ['ZCH9', '409.0', '407.2', '406.0', '409.6', '406.0', '128', '2530', '0'], ['ZCK9', '413.2', '412.0', '411.0', '413.2', '411.0', '14', '623', '0'], ['ZCN9', '417.2', '416.6', '415.6', '417.2', '415.6', '16', '945', '0'], ['ZCU9', '408.4', '408.0', '407.6', '410.0', '407.6', '7', '239', '0'], ['ZCZ9', '410.0', '409.4', '408.2', '410.4', '408.2', '20', '1778', '0']]
2017-09-12 16:30 Tue // ['1360001', '229782', '0'] // ['ZCZ7', '351.4', '357.4', '357.0', '357.2', '345.4', '261184', '799012', '0'] // [['ZCU7', '336.0', '345.4', '346.0', '346.0', '336.0', '447', '803', '0'], ['ZCZ7', '351.4', '357.4', '357.0', '357.2', '345.4', '261184', '799012', '0'], ['ZCH8', '363.4', '369.6', '369.0', '369.2', '358.0', '65966', '241443', '0'], ['ZCK8', '371.6', '377.6', '377.0', '377.0', '366.0', '24558', '77129', '0'], ['ZCN8', '378.4', '384.0', '383.6', '383.6', '372.4', '26328', '124064', '0'], ['ZCU8', '384.4', '390.2', '389.0', '389.2', '379.0', '3945', '29918', '0'], ['ZCZ8', '393.6', '398.6', '397.6', '398.0', '388.0', '18079', '81412', '0'], ['ZCH9', '402.4', '408.4', '403.6', '403.6', '398.0', '36', '2616', '0'], ['ZCK9', '402.6', '413.2', '405.4', '405.4', '402.6', '13', '627', '0'], ['ZCN9', '409.0', '417.4', '415.0', '416.0', '406.6', '125', '958', '0'], ['ZCU9', '401.4', '408.6', '410.0', '410.0', '401.4', '4', '243', '0'], ['ZCZ9', '406.0', '410.0', '409.0', '410.4', '401.0', '143', '1776', '0']]
