2017-08-29 16:30 Tue // ['149244', '90201', '0'] // ['YMU7', '21873', '21791', '21751', '21879', '21644', '159312', '148117', '0'] // [['YMU7', '21873', '21791', '21751', '21879', '21644', '159312', '148117', '0'], ['YMZ7', '21830', '21749', '21708', '21830', '21555', '594', '1093', '0'], ['YMH8', '21745', '21713', '21686', '21745', '21575', '7', '32', '0'], ['YMM8', '', '21682', '', '', '', '0', '2', '0'], ['YMU8', '', '', '', '', '', '0', '', '']]
2017-08-30 16:30 Wed // ['155436', '160549', '0'] // ['YMU7', '21873', '21874', '21872', '21959', '21832', '114823', '154077', '0'] // [['YMU7', '21873', '21874', '21872', '21959', '21832', '114823', '154077', '0'], ['YMZ7', '21831', '21829', '21828', '21897', '21791', '633', '1323', '0'], ['YMH8', '21790', '21794', '21800', '21864', '21790', '23', '34', '0'], ['YMM8', '', '21763', '', '', '', '0', '2', '0'], ['YMU8', '', '', '', '', '', '0', '', '']]
2017-08-31 16:30 Thu // ['150938', '116382', '0'] // ['YMU7', '21955', '21871', '21886', '21985', '21874', '113812', '149478', '0'] // [['YMU7', '21955', '21871', '21886', '21985', '21874', '113812', '149478', '0'], ['YMZ7', '21919', '21826', '21841', '21938', '21841', '614', '1423', '0'], ['YMH8', '21830', '21791', '21830', '21830', '21830', '1', '35', '0'], ['YMM8', '', '21760', '', '', '', '0', '2', '0'], ['YMU8', '', '', '', '', '', '0', '', '']]
2017-09-01 16:30 Fri // ['152555', '115037', '0'] // ['YMU7', '21979', '21950', '21976', '22037', '21966', '86163', '150918', '0'] // [['YMU7', '21979', '21950', '21976', '22037', '21966', '86163', '150918', '0'], ['YMZ7', '21938', '21909', '21932', '21995', '21925', '791', '1600', '0'], ['YMH8', '21891', '21874', '21895', '21920', '21891', '4', '35', '0'], ['YMM8', '', '21843', '', '', '', '0', '2', '0'], ['YMU8', '', '', '', '', '', '0', '', '']]
2017-09-04 16:30 Mon // ['152873', '87928', '0'] // ['YMU7', '21919', '21980', '21885', '21944', '21877', '26464', '150970', '0'] // [['YMU7', '21919', '21980', '21885', '21944', '21877', '26464', '150970', '0'], ['YMZ7', '21891', '21941', '21899', '21899', '21841', '348', '1864', '0'], ['YMH8', '', '21906', '', '', '', '0', '37', '0'], ['YMM8', '', '21875', '', '', '', '0', '2', '0'], ['YMU8', '', '0', '', '', '', '0', '', '']]
2017-09-05 16:30 Tue // ['152634', '87928', '0'] // ['YMU7', '21768', '21980', '21885', '21948', '21703', '210495', '150731', '0'] // [['YMU7', '21768', '21980', '21885', '21948', '21703', '210495', '150731', '0'], ['YMZ7', '21726', '21941', '21899', '21904', '21661', '2647', '1864', '0'], ['YMH8', '21813', '21906', '21840', '21840', '21813', '2', '37', '0'], ['YMM8', '21700', '21875', '21700', '21700', '21700', '1', '2', '0'], ['YMU8', '', '0', '', '', '', '0', '', '']]
2017-09-06 16:30 Wed // ['149637', '214280', '0'] // ['YMU7', '21816', '21764', '21781', '21844', '21740', '134119', '147245', '0'] // [['YMU7', '21816', '21764', '21781', '21844', '21740', '134119', '147245', '0'], ['YMZ7', '21775', '21722', '21722', '21804', '21700', '7743', '2352', '0'], ['YMH8', '', '21687', '', '', '', '0', '38', '0'], ['YMM8', '21700', '21656', '21700', '21700', '21700', '1', '2', '0'], ['YMU8', '', '0', '', '', '', '0', '', '']]
2017-09-07 16:30 Thu // ['152500', '142224', '0'] // ['YMU7', '21806', '21812', '21800', '21853', '21747', '149352', '146294', '0'] // [['YMU7', '21806', '21812', '21800', '21853', '21747', '149352', '146294', '0'], ['YMZ7', '21774', '21775', '21745', '21817', '21711', '39046', '6165', '0'], ['YMH8', '21731', '21740', '21734', '21734', '21731', '11', '38', '0'], ['YMM8', '', '21709', '', '', '', '0', '3', '0'], ['YMU8', '', '0', '', '', '', '0', '', '']]
2017-09-08 16:30 Fri // ['158217', '189112', '0'] // ['YMZ7', '21777', '21770', '21769', '21810', '21679', '132464', '31064', '0'] // [['YMU7', '21813', '21804', '21800', '21844', '21713', '101802', '127107', '0'], ['YMZ7', '21777', '21770', '21769', '21810', '21679', '132464', '31064', '0'], ['YMH8', '21738', '21735', '21688', '21752', '21654', '29', '43', '0'], ['YMM8', '', '21704', '', '', '', '0', '3', '0'], ['YMU8', '', '0', '', '', '', '0', '', '']]
2017-09-11 17:11 Mon // ['157244', '236341', '0'] // ['YMZ7', '22034', '21778', '21835', '22038', '21817', '127443', '72959', '0'] // [['YMU7', '22070', '21812', '21848', '22077', '21848', '69490', '84215', '0'], ['YMZ7', '22034', '21778', '21835', '22038', '21817', '127443', '72959', '0'], ['YMH8', '22000', '21743', '21884', '22000', '21860', '66', '67', '0'], ['YMM8', '', '21712', '', '', '', '0', '3', '0'], ['YMU8', '', '0', '', '', '', '0', '', '']]
2017-09-12 16:30 Tue // ['168678', '197049', '0'] // ['YMZ7', '22091', '22017', '22033', '22100', '22022', '117126', '110200', '0'] // [['YMU7', '22125', '22053', '22066', '22135', '22055', '40461', '58395', '0'], ['YMZ7', '22091', '22017', '22033', '22100', '22022', '117126', '110200', '0'], ['YMH8', '22040', '21982', '22000', '22040', '22000', '5', '80', '0'], ['YMM8', '22000', '21951', '22000', '22000', '22000', '1', '3', '0'], ['YMU8', '', '0', '', '', '', '0', '', '']]
