2017-08-29 16:30 Tue // ['21450', '2000', '0'] // ['RYU7', '131.26', '130.71', '130.35', '131.64', '129.70', '5769', '21376', '0'] // [['RYU7', '131.26', '130.71', '130.35', '131.64', '129.70', '5769', '21376', '0'], ['RYZ7', '131.17', '130.77', '129.99', '131.17', '129.99', '84', '74', '0'], ['RYH8', '', '130.77', '', '', '', '0', '', ''], ['RYM8', '', '130.79', '', '', '', '0', '', ''], ['RYU8', '', '130.79', '', '', '', '0', '', ''], ['RYZ8', '', '130.78', '', '', '', '0', '', '']]
2017-08-30 16:30 Wed // ['21383', '6067', '0'] // ['RYU7', '131.16', '131.57', '131.25', '131.73', '131.15', '2710', '21259', '0'] // [['RYU7', '131.16', '131.57', '131.25', '131.73', '131.15', '2710', '21259', '0'], ['RYZ7', '131.35', '131.62', '131.38', '131.38', '131.34', '12', '124', '0'], ['RYH8', '', '131.62', '', '', '', '0', '', ''], ['RYM8', '', '131.65', '', '', '', '0', '', ''], ['RYU8', '', '131.65', '', '', '', '0', '', ''], ['RYZ8', '', '131.64', '', '', '', '0', '', '']]
2017-08-31 16:30 Thu // ['21293', '2747', '0'] // ['RYU7', '130.88', '131.24', '131.16', '131.59', '130.73', '2492', '21162', '0'] // [['RYU7', '130.88', '131.24', '131.16', '131.59', '130.73', '2492', '21162', '0'], ['RYZ7', '130.85', '131.30', '131.43', '131.43', '130.85', '13', '131', '0'], ['RYH8', '', '131.31', '', '', '', '0', '', ''], ['RYM8', '', '131.34', '', '', '', '0', '', ''], ['RYU8', '', '131.34', '', '', '', '0', '', ''], ['RYZ8', '', '131.31', '', '', '', '0', '', '']]
2017-09-01 16:30 Fri // ['21460', '2545', '0'] // ['RYU7', '130.83', '130.92', '131.08', '131.35', '130.68', '3717', '21324', '0'] // [['RYU7', '130.83', '130.92', '131.08', '131.35', '130.68', '3717', '21324', '0'], ['RYZ7', '', '130.98', '', '', '', '0', '136', '0'], ['RYH8', '', '130.99', '', '', '', '0', '', ''], ['RYM8', '', '131.03', '', '', '', '0', '', ''], ['RYU8', '', '131.04', '', '', '', '0', '', ''], ['RYZ8', '', '131.03', '', '', '', '0', '', '']]
2017-09-04 16:30 Mon // ['21330', '3760', '0'] // ['RYU7', '130.48', '130.84', '130.29', '130.70', '130.15', '1040', '21194', '0'] // [['RYU7', '130.48', '130.84', '130.29', '130.70', '130.15', '1040', '21194', '0'], ['RYZ7', '130.30', '130.91', '130.30', '130.30', '130.30', '1', '136', '0'], ['RYH8', '', '130.91', '', '', '', '0', '', ''], ['RYM8', '', '130.94', '', '', '', '0', '', ''], ['RYU8', '', '130.95', '', '', '', '0', '', ''], ['RYZ8', '', '130.94', '', '', '', '0', '', ''], ['RYH9', '', '', '', '', '', '0', '', '']]
2017-09-05 16:30 Tue // ['21330', '3760', '0'] // ['RYU7', '129.70', '130.84', '130.29', '130.70', '129.42', '3840', '21194', '0'] // [['RYU7', '129.70', '130.84', '130.29', '130.70', '129.42', '3840', '21194', '0'], ['RYZ7', '129.70', '130.91', '130.30', '130.30', '129.50', '27', '136', '0'], ['RYH8', '', '130.91', '', '', '', '0', '', ''], ['RYM8', '', '130.94', '', '', '', '0', '', ''], ['RYU8', '', '130.95', '', '', '', '0', '', ''], ['RYZ8', '', '130.94', '', '', '', '0', '', ''], ['RYH9', '', '', '', '', '', '0', '', '']]
2017-09-06 16:30 Wed // ['21905', '3961', '83'] // ['RYU7', '130.25', '129.50', '129.47', '130.41', '129.41', '2503', '21758', '83'] // [['RYU7', '130.25', '129.50', '129.47', '130.41', '129.41', '2503', '21758', '83'], ['RYZ7', '130.39', '129.57', '129.68', '130.39', '129.68', '186', '147', '0'], ['RYH8', '', '129.58', '', '', '', '0', '', ''], ['RYM8', '', '129.61', '', '', '', '0', '', ''], ['RYU8', '', '129.64', '', '', '', '0', '', ''], ['RYZ8', '', '129.63', '', '', '', '0', '', ''], ['RYH9', '', '', '', '', '', '0', '', '']]
2017-09-07 16:30 Thu // ['22460', '2929', '195'] // ['RYU7', '130.46', '130.24', '130.23', '131.09', '129.92', '4625', '22176', '195'] // [['RYU7', '130.46', '130.24', '130.23', '131.09', '129.92', '4625', '22176', '195'], ['RYZ7', '130.56', '130.29', '130.53', '131.06', '130.14', '330', '284', '0'], ['RYH8', '', '130.31', '', '', '', '0', '', ''], ['RYM8', '', '130.34', '', '', '', '0', '', ''], ['RYU8', '', '130.35', '', '', '', '0', '', ''], ['RYZ8', '', '130.32', '', '', '', '0', '', ''], ['RYH9', '', '130.29', '', '', '', '0', '', '']]
2017-09-08 16:30 Fri // ['22570', '17430', '12458'] // ['RYU7', '129.74', '130.47', '130.30', '130.66', '129.47', '3416', '15934', '6229'] // [['RYU7', '129.74', '130.47', '130.30', '130.66', '129.47', '3416', '15934', '6229'], ['RYZ7', '129.92', '130.54', '130.66', '130.66', '129.57', '458', '6636', '6229'], ['RYH8', '', '130.56', '', '', '', '0', '', ''], ['RYM8', '', '130.59', '', '', '', '0', '', ''], ['RYU8', '', '130.61', '', '', '', '0', '', ''], ['RYZ8', '', '130.61', '', '', '', '0', '', ''], ['RYH9', '', '130.59', '', '', '', '0', '', '']]
2017-09-11 17:11 Mon // ['22923', '4175', '210'] // ['RYU7', '130.84', '129.67', '130.05', '130.91', '129.99', '2158', '15678', '0'] // [['RYU7', '130.84', '129.67', '130.05', '130.91', '129.99', '2158', '15678', '0'], ['RYZ7', '130.92', '129.76', '130.20', '130.93', '130.20', '680', '7245', '210'], ['RYH8', '', '129.79', '', '', '', '0', '', ''], ['RYM8', '', '129.82', '', '', '', '0', '', ''], ['RYU8', '', '129.84', '', '', '', '0', '', ''], ['RYZ8', '', '129.84', '', '', '', '0', '', ''], ['RYH9', '', '129.84', '', '', '', '0', '', '']]
2017-09-12 16:30 Tue // ['23041', '2998', '0'] // ['RYU7', '131.88', '130.82', '130.77', '131.89', '130.71', '5071', '15184', '0'] // [['RYU7', '131.88', '130.82', '130.77', '131.89', '130.71', '5071', '15184', '0'], ['RYZ7', '131.95', '130.91', '130.89', '131.98', '130.89', '3135', '7857', '0'], ['RYH8', '', '130.94', '', '', '', '0', '', ''], ['RYM8', '', '130.98', '', '', '', '0', '', ''], ['RYU8', '', '131.00', '', '', '', '0', '', ''], ['RYZ8', '', '131.01', '', '', '', '0', '', ''], ['RYH9', '', '131.00', '', '', '', '0', '', '']]
