2017-08-29 16:30 Tue // ['224935', '67189', '0'] // ['6BU7', '1.2928', '1.2948', '1.2941', '1.2988', '1.2910', '87031', '219426', '0'] // [['6BU7', '1.2928', '1.2948', '1.2941', '1.2988', '1.2910', '87031', '219426', '0'], ['6BV7', '1.2950', '1.2961', '1.2933', '1.2977', '1.2933', '42', '377', '0'], ['6BX7', '1.2961', '1.2972', '1.2975', '1.2975', '1.2961', '14', '21', '0'], ['6BZ7', '1.2965', '1.2987', '1.2981', '1.3022', '1.2965', '835', '4549', '0'], ['6BF8', '1.3010', '1.2999', '1.2988', '1.3011', '1.2988', '4', '', ''], ['6BH8', '1.3018', '1.3028', '1.3016', '1.3056', '1.3016', '8', '342', '0'], ['6BM8', '1.3084', '1.3067', '1.3025', '1.3084', '1.3025', '2', '199', '0'], ['6BU8', '', '1.3106', '', '', '', '0', '11', '0'], ['6BZ8', '', '1.3146', '', '', '', '0', '10', '0'], ['6BH9', '', '1.3186', '', '', '', '0', '', ''], ['6BM9', '', '1.3225', '', '', '', '0', '', ''], ['6BU9', '', '1.3265', '', '', '', '0', '', ''], ['6BZ9', '', '1.3304', '', '', '', '0', '', ''], ['6BH0', '', '1.3344', '', '', '', '0', '', ''], ['6BM0', '', '1.3383', '', '', '', '0', '', ''], ['6BU0', '', '1.3423', '', '', '', '0', '', ''], ['6BZ0', '', '1.3462', '', '', '', '0', '', ''], ['6BH1', '', '1.3502', '', '', '', '0', '', ''], ['6BM1', '', '1.3541', '', '', '', '0', '', ''], ['6BU1', '', '1.3580', '', '', '', '0', '', ''], ['6BZ1', '', '1.3620', '', '', '', '0', '', ''], ['6BH2', '', '1.3659', '', '', '', '0', '', ''], ['6BM2', '', '1.3699', '', '', '', '0', '', '']]
2017-08-30 16:30 Wed // ['224031', '88548', '0'] // ['6BU7', '1.2928', '1.2931', '1.2930', '1.2946', '1.2886', '89100', '218330', '0'] // [['6BU7', '1.2928', '1.2931', '1.2930', '1.2946', '1.2886', '89100', '218330', '0'], ['6BV7', '1.2954', '1.2945', '1.2936', '1.2954', '1.2904', '46', '377', '0'], ['6BX7', '1.2952', '1.2956', '1.2958', '1.2960', '1.2917', '28', '24', '0'], ['6BZ7', '1.2965', '1.2970', '1.2968', '1.2982', '1.2930', '444', '4734', '0'], ['6BF8', '1.2983', '1.2982', '1.2983', '1.2983', '1.2983', '1', '2', '0'], ['6BH8', '1.2973', '1.3012', '1.2973', '1.2973', '1.2973', '1', '344', '0'], ['6BM8', '', '1.3052', '', '', '', '0', '199', '0'], ['6BU8', '', '1.3090', '', '', '', '0', '11', '0'], ['6BZ8', '', '1.3131', '', '', '', '0', '10', '0'], ['6BH9', '', '1.3171', '', '', '', '0', '', ''], ['6BM9', '', '1.3211', '', '', '', '0', '', ''], ['6BU9', '', '1.3252', '', '', '', '0', '', ''], ['6BZ9', '', '1.3292', '', '', '', '0', '', ''], ['6BH0', '', '1.3332', '', '', '', '0', '', ''], ['6BM0', '', '1.3372', '', '', '', '0', '', ''], ['6BU0', '', '1.3412', '', '', '', '0', '', ''], ['6BZ0', '', '1.3452', '', '', '', '0', '', ''], ['6BH1', '', '1.3492', '', '', '', '0', '', ''], ['6BM1', '', '1.3532', '', '', '', '0', '', ''], ['6BU1', '', '1.3572', '', '', '', '0', '', ''], ['6BZ1', '', '1.3612', '', '', '', '0', '', ''], ['6BH2', '', '1.3652', '', '', '', '0', '', ''], ['6BM2', '', '1.3692', '', '', '', '0', '', '']]
2017-08-31 16:30 Thu // ['224945', '90361', '0'] // ['6BU7', '1.2935', '1.2933', '1.2932', '1.2942', '1.2857', '105152', '219059', '0'] // [['6BU7', '1.2935', '1.2933', '1.2932', '1.2942', '1.2857', '105152', '219059', '0'], ['6BV7', '1.2948', '1.2946', '1.2942', '1.2948', '1.2875', '210', '381', '0'], ['6BX7', '1.2950', '1.2957', '1.2937', '1.2950', '1.2888', '35', '35', '0'], ['6BZ7', '1.2973', '1.2972', '1.2966', '1.2979', '1.2898', '2093', '4903', '0'], ['6BF8', '', '1.2983', '', '', '', '0', '3', '0'], ['6BH8', '', '1.3013', '', '', '', '28', '344', '0'], ['6BM8', '', '1.3052', '', '', '', '0', '199', '0'], ['6BU8', '', '1.3092', '', '', '', '0', '11', '0'], ['6BZ8', '', '1.3132', '', '', '', '0', '10', '0'], ['6BH9', '', '1.3173', '', '', '', '0', '', ''], ['6BM9', '', '1.3214', '', '', '', '0', '', ''], ['6BU9', '', '1.3254', '', '', '', '0', '', ''], ['6BZ9', '', '1.3294', '', '', '', '0', '', ''], ['6BH0', '', '1.3334', '', '', '', '0', '', ''], ['6BM0', '', '1.3374', '', '', '', '0', '', ''], ['6BU0', '', '1.3413', '', '', '', '0', '', ''], ['6BZ0', '', '1.3453', '', '', '', '0', '', ''], ['6BH1', '', '1.3493', '', '', '', '0', '', ''], ['6BM1', '', '1.3533', '', '', '', '0', '', ''], ['6BU1', '', '1.3572', '', '', '', '0', '', ''], ['6BZ1', '', '1.3612', '', '', '', '0', '', ''], ['6BH2', '', '1.3652', '', '', '', '0', '', ''], ['6BM2', '', '1.3692', '', '', '', '0', '', '']]
2017-09-01 16:30 Fri // ['225103', '108084', '0'] // ['6BU7', '1.2961', '1.2940', '1.2932', '1.3002', '1.2911', '104956', '218815', '0'] // [['6BU7', '1.2961', '1.2940', '1.2932', '1.3002', '1.2911', '104956', '218815', '0'], ['6BV7', '1.2972', '1.2953', '1.2962', '1.3013', '1.2928', '384', '479', '0'], ['6BX7', '1.2994', '1.2964', '1.2961', '1.3021', '1.2941', '96', '30', '0'], ['6BZ7', '1.3001', '1.2978', '1.2977', '1.3040', '1.2955', '1654', '5213', '0'], ['6BF8', '', '1.2990', '', '', '', '0', '3', '0'], ['6BH8', '', '1.3020', '', '', '', '0', '343', '0'], ['6BM8', '', '1.3059', '', '', '', '0', '199', '0'], ['6BU8', '', '1.3098', '', '', '', '0', '11', '0'], ['6BZ8', '', '1.3138', '', '', '', '0', '10', '0'], ['6BH9', '', '1.3178', '', '', '', '0', '', ''], ['6BM9', '', '1.3218', '', '', '', '0', '', ''], ['6BU9', '', '1.3258', '', '', '', '0', '', ''], ['6BZ9', '', '1.3297', '', '', '', '0', '', ''], ['6BH0', '', '1.3336', '', '', '', '0', '', ''], ['6BM0', '', '1.3375', '', '', '', '0', '', ''], ['6BU0', '', '1.3414', '', '', '', '0', '', ''], ['6BZ0', '', '1.3453', '', '', '', '0', '', ''], ['6BH1', '', '1.3493', '', '', '', '0', '', ''], ['6BM1', '', '1.3532', '', '', '', '0', '', ''], ['6BU1', '', '1.3571', '', '', '', '0', '', ''], ['6BZ1', '', '1.3610', '', '', '', '0', '', ''], ['6BH2', '', '1.3649', '', '', '', '0', '', ''], ['6BM2', '', '1.3688', '', '', '', '0', '', '']]
2017-09-04 16:30 Mon // ['220234', '107708', '0'] // ['6BU7', '1.2925', '1.2961', '1.2970', '1.2972', '1.2917', '27007', '213879', '0'] // [['6BU7', '1.2925', '1.2961', '1.2970', '1.2972', '1.2917', '27007', '213879', '0'], ['6BV7', '1.2963', '1.2974', '1.2963', '1.2963', '1.2963', '1', '533', '0'], ['6BX7', '', '1.2985', '', '', '', '0', '35', '0'], ['6BZ7', '1.2961', '1.2999', '1.2996', '1.3009', '1.2958', '275', '5221', '0'], ['6BF8', '', '1.3011', '', '', '', '0', '3', '0'], ['6BH8', '', '1.3041', '', '', '', '0', '343', '0'], ['6BM8', '', '1.3080', '', '', '', '0', '199', '0'], ['6BU8', '', '1.3119', '', '', '', '0', '11', '0'], ['6BZ8', '', '1.3159', '', '', '', '0', '10', '0'], ['6BH9', '', '1.3198', '', '', '', '0', '', ''], ['6BM9', '', '1.3238', '', '', '', '0', '', ''], ['6BU9', '', '1.3278', '', '', '', '0', '', ''], ['6BZ9', '', '1.3316', '', '', '', '0', '', ''], ['6BH0', '', '1.3355', '', '', '', '0', '', ''], ['6BM0', '', '1.3394', '', '', '', '0', '', ''], ['6BU0', '', '1.3433', '', '', '', '0', '', ''], ['6BZ0', '', '1.3472', '', '', '', '0', '', ''], ['6BH1', '', '1.3511', '', '', '', '0', '', ''], ['6BM1', '', '1.3549', '', '', '', '0', '', ''], ['6BU1', '', '1.3588', '', '', '', '0', '', ''], ['6BZ1', '', '1.3627', '', '', '', '0', '', ''], ['6BH2', '', '1.3666', '', '', '', '0', '', ''], ['6BM2', '', '1.3705', '', '', '', '0', '', ''], ['6BU2', '', '', '', '', '', '0', '', '']]
2017-09-05 16:30 Tue // ['220036', '107708', '0'] // ['6BU7', '1.3037', '1.2961', '1.2970', '1.3049', '1.2913', '141758', '213682', '0'] // [['6BU7', '1.3037', '1.2961', '1.2970', '1.3049', '1.2913', '141758', '213682', '0'], ['6BV7', '1.3050', '1.2974', '1.2963', '1.3050', '1.2941', '29', '532', '0'], ['6BX7', '1.3037', '1.2985', '1.2945', '1.3037', '1.2945', '30', '35', '0'], ['6BZ7', '1.3070', '1.2999', '1.2996', '1.3087', '1.2958', '1756', '5221', '0'], ['6BF8', '', '1.3011', '', '', '', '0', '3', '0'], ['6BH8', '1.3077', '1.3041', '1.3077', '1.3077', '1.3077', '1', '343', '0'], ['6BM8', '', '1.3080', '', '', '', '0', '199', '0'], ['6BU8', '', '1.3119', '', '', '', '0', '11', '0'], ['6BZ8', '1.3224', '1.3159', '1.3232', '1.3232', '1.3224', '4', '10', '0'], ['6BH9', '', '1.3198', '', '', '', '0', '', ''], ['6BM9', '', '1.3238', '', '', '', '0', '', ''], ['6BU9', '', '1.3278', '', '', '', '0', '', ''], ['6BZ9', '', '1.3316', '', '', '', '0', '', ''], ['6BH0', '', '1.3355', '', '', '', '0', '', ''], ['6BM0', '', '1.3394', '', '', '', '0', '', ''], ['6BU0', '', '1.3433', '', '', '', '0', '', ''], ['6BZ0', '', '1.3472', '', '', '', '0', '', ''], ['6BH1', '', '1.3511', '', '', '', '0', '', ''], ['6BM1', '', '1.3549', '', '', '', '0', '', ''], ['6BU1', '', '1.3588', '', '', '', '0', '', ''], ['6BZ1', '', '1.3627', '', '', '', '0', '', ''], ['6BH2', '', '1.3666', '', '', '', '0', '', ''], ['6BM2', '', '1.3705', '', '', '', '0', '', ''], ['6BU2', '', '', '', '', '', '0', '', '']]
2017-09-06 16:30 Wed // ['219048', '144244', '93'] // ['6BU7', '1.3047', '1.3047', '1.3042', '1.3088', '1.3024', '100961', '212151', '93'] // [['6BU7', '1.3047', '1.3047', '1.3042', '1.3088', '1.3024', '100961', '212151', '93'], ['6BV7', '1.3056', '1.3060', '1.3059', '1.3097', '1.3053', '49', '532', '0'], ['6BX7', '1.3079', '1.3071', '1.3070', '1.3079', '1.3068', '3', '37', '0'], ['6BZ7', '1.3081', '1.3085', '1.3085', '1.3125', '1.3062', '10615', '5766', '0'], ['6BF8', '', '1.3097', '', '', '', '0', '3', '0'], ['6BH8', '', '1.3127', '', '', '', '0', '343', '0'], ['6BM8', '', '1.3167', '', '', '', '0', '199', '0'], ['6BU8', '', '1.3206', '', '', '', '0', '11', '0'], ['6BZ8', '', '1.3246', '', '', '', '0', '6', '0'], ['6BH9', '', '1.3286', '', '', '', '0', '', ''], ['6BM9', '', '1.3326', '', '', '', '0', '', ''], ['6BU9', '', '1.3366', '', '', '', '0', '', ''], ['6BZ9', '', '1.3404', '', '', '', '0', '', ''], ['6BH0', '', '1.3442', '', '', '', '0', '', ''], ['6BM0', '', '1.3480', '', '', '', '0', '', ''], ['6BU0', '', '1.3518', '', '', '', '0', '', ''], ['6BZ0', '', '1.3556', '', '', '', '0', '', ''], ['6BH1', '', '1.3594', '', '', '', '0', '', ''], ['6BM1', '', '1.3632', '', '', '', '0', '', ''], ['6BU1', '', '1.3671', '', '', '', '0', '', ''], ['6BZ1', '', '1.3709', '', '', '', '0', '', ''], ['6BH2', '', '1.3747', '', '', '', '0', '', ''], ['6BM2', '', '1.3785', '', '', '', '0', '', ''], ['6BU2', '', '', '', '', '', '0', '', '']]
2017-09-07 16:30 Thu // ['216181', '112918', '0'] // ['6BU7', '1.3106', '1.3045', '1.3047', '1.3119', '1.3037', '113683', '200926', '0'] // [['6BU7', '1.3106', '1.3045', '1.3047', '1.3119', '1.3037', '113683', '200926', '0'], ['6BV7', '1.3116', '1.3058', '1.3062', '1.3130', '1.3058', '376', '528', '0'], ['6BX7', '1.3117', '1.3069', '1.3072', '1.3120', '1.3072', '187', '39', '0'], ['6BZ7', '1.3142', '1.3083', '1.3086', '1.3157', '1.3075', '3401', '14126', '0'], ['6BF8', '', '1.3095', '', '', '', '0', '3', '0'], ['6BH8', '', '1.3125', '', '', '', '0', '343', '0'], ['6BM8', '', '1.3164', '', '', '', '0', '199', '0'], ['6BU8', '', '1.3204', '', '', '', '0', '11', '0'], ['6BZ8', '', '1.3244', '', '', '', '0', '6', '0'], ['6BH9', '', '1.3283', '', '', '', '0', '', ''], ['6BM9', '', '1.3323', '', '', '', '0', '', ''], ['6BU9', '', '1.3363', '', '', '', '0', '', ''], ['6BZ9', '', '1.3402', '', '', '', '0', '', ''], ['6BH0', '', '1.3441', '', '', '', '0', '', ''], ['6BM0', '', '1.3480', '', '', '', '0', '', ''], ['6BU0', '', '1.3519', '', '', '', '0', '', ''], ['6BZ0', '', '1.3558', '', '', '', '0', '', ''], ['6BH1', '', '1.3597', '', '', '', '0', '', ''], ['6BM1', '', '1.3636', '', '', '', '0', '', ''], ['6BU1', '', '1.3675', '', '', '', '0', '', ''], ['6BZ1', '', '1.3713', '', '', '', '0', '', ''], ['6BH2', '', '1.3752', '', '', '', '0', '', ''], ['6BM2', '', '1.3791', '', '', '', '0', '', ''], ['6BU2', '', '1.3833', '', '', '', '0', '', '']]
2017-09-08 16:30 Fri // ['217750', '118977', '0'] // ['6BU7', '1.3207', '1.3087', '1.3102', '1.3227', '1.3098', '136826', '200957', '0'] // [['6BU7', '1.3207', '1.3087', '1.3102', '1.3227', '1.3098', '136826', '200957', '0'], ['6BV7', '1.3214', '1.3100', '1.3119', '1.3230', '1.3118', '163', '513', '0'], ['6BX7', '1.3229', '1.3111', '1.3165', '1.3245', '1.3163', '29', '211', '0'], ['6BZ7', '1.3245', '1.3125', '1.3140', '1.3265', '1.3138', '21515', '15507', '0'], ['6BF8', '', '1.3136', '', '', '', '0', '3', '0'], ['6BH8', '1.3278', '1.3166', '1.3231', '1.3289', '1.3231', '5', '343', '0'], ['6BM8', '1.3315', '1.3205', '1.3315', '1.3315', '1.3315', '16', '199', '0'], ['6BU8', '', '1.3244', '', '', '', '0', '11', '0'], ['6BZ8', '', '1.3284', '', '', '', '0', '6', '0'], ['6BH9', '', '1.3323', '', '', '', '0', '', ''], ['6BM9', '', '1.3363', '', '', '', '0', '', ''], ['6BU9', '', '1.3403', '', '', '', '0', '', ''], ['6BZ9', '', '1.3442', '', '', '', '0', '', ''], ['6BH0', '', '1.3481', '', '', '', '0', '', ''], ['6BM0', '', '1.3521', '', '', '', '0', '', ''], ['6BU0', '', '1.3560', '', '', '', '0', '', ''], ['6BZ0', '', '1.3599', '', '', '', '0', '', ''], ['6BH1', '', '1.3638', '', '', '', '0', '', ''], ['6BM1', '', '1.3678', '', '', '', '0', '', ''], ['6BU1', '', '1.3717', '', '', '', '0', '', ''], ['6BZ1', '', '1.3756', '', '', '', '0', '', ''], ['6BH2', '', '1.3795', '', '', '', '0', '', ''], ['6BM2', '', '1.3835', '', '', '', '0', '', ''], ['6BU2', '', '1.3877', '', '', '', '0', '', '']]
2017-09-11 17:11 Mon // ['236576', '161202', '1051'] // ['6BU7', '1.3163', '1.3203', '1.3195', '1.3226', '1.3163', '125128', '203577', '1051'] // [['6BU7', '1.3163', '1.3203', '1.3195', '1.3226', '1.3163', '125128', '203577', '1051'], ['6BV7', '1.3182', '1.3216', '1.3200', '1.3219', '1.3182', '23', '444', '0'], ['6BX7', '1.3205', '1.3227', '1.3209', '1.3219', '1.3200', '34', '218', '0'], ['6BZ7', '1.3200', '1.3240', '1.3234', '1.3262', '1.3200', '50675', '31763', '0'], ['6BF8', '', '1.3252', '', '', '', '3', '3', '0'], ['6BH8', '1.3275', '1.3281', '1.3265', '1.3298', '1.3265', '67', '347', '0'], ['6BM8', '1.3320', '1.3319', '1.3320', '1.3320', '1.3320', '1', '207', '0'], ['6BU8', '', '1.3357', '', '', '', '0', '11', '0'], ['6BZ8', '', '1.3396', '', '', '', '0', '6', '0'], ['6BH9', '', '1.3435', '', '', '', '0', '', ''], ['6BM9', '', '1.3474', '', '', '', '0', '', ''], ['6BU9', '', '1.3513', '', '', '', '0', '', ''], ['6BZ9', '', '1.3551', '', '', '', '0', '', ''], ['6BH0', '', '1.3590', '', '', '', '0', '', ''], ['6BM0', '', '1.3629', '', '', '', '0', '', ''], ['6BU0', '', '1.3667', '', '', '', '0', '', ''], ['6BZ0', '', '1.3706', '', '', '', '0', '', ''], ['6BH1', '', '1.3745', '', '', '', '0', '', ''], ['6BM1', '', '1.3783', '', '', '', '0', '', ''], ['6BU1', '', '1.3822', '', '', '', '0', '', ''], ['6BZ1', '', '1.3861', '', '', '', '0', '', ''], ['6BH2', '', '1.3899', '', '', '', '0', '', ''], ['6BM2', '', '1.3938', '', '', '', '0', '', ''], ['6BU2', '', '1.3980', '', '', '', '0', '', '']]
2017-09-12 16:30 Tue // ['233114', '176046', '0'] // ['6BU7', '1.3285', '1.3177', '1.3172', '1.3301', '1.3163', '188176', '168843', '0'] // [['6BU7', '1.3285', '1.3177', '1.3172', '1.3301', '1.3163', '188176', '168843', '0'], ['6BV7', '1.3300', '1.3190', '1.3182', '1.3306', '1.3182', '254', '444', '0'], ['6BX7', '1.3297', '1.3200', '1.3223', '1.3302', '1.3223', '136', '218', '0'], ['6BZ7', '1.3321', '1.3214', '1.3209', '1.3337', '1.3201', '65785', '62999', '0'], ['6BF8', '', '1.3225', '', '', '', '3', '3', '0'], ['6BH8', '1.3350', '1.3255', '1.3350', '1.3360', '1.3348', '1618', '382', '0'], ['6BM8', '', '1.3293', '', '', '', '0', '208', '0'], ['6BU8', '', '1.3331', '', '', '', '22', '11', '0'], ['6BZ8', '', '1.3370', '', '', '', '0', '6', '0'], ['6BH9', '', '1.3409', '', '', '', '0', '', ''], ['6BM9', '', '1.3447', '', '', '', '0', '', ''], ['6BU9', '', '1.3486', '', '', '', '0', '', ''], ['6BZ9', '', '1.3525', '', '', '', '0', '', ''], ['6BH0', '', '1.3563', '', '', '', '0', '', ''], ['6BM0', '', '1.3602', '', '', '', '0', '', ''], ['6BU0', '', '1.3641', '', '', '', '0', '', ''], ['6BZ0', '', '1.3680', '', '', '', '0', '', ''], ['6BH1', '', '1.3718', '', '', '', '0', '', ''], ['6BM1', '', '1.3757', '', '', '', '0', '', ''], ['6BU1', '', '1.3796', '', '', '', '0', '', ''], ['6BZ1', '', '1.3834', '', '', '', '0', '', ''], ['6BH2', '', '1.3873', '', '', '', '0', '', ''], ['6BM2', '', '1.3912', '', '', '', '0', '', ''], ['6BU2', '', '1.3953', '', '', '', '0', '', '']]
2017-09-13 16:30 Wed // ['273720', '260617', '114'] // ['6BU7', '1.3207', '1.3297', '1.3290', '1.3331', '1.3186', '193922', '170658', '0'] // [['6BU7', '1.3207', '1.3297', '1.3290', '1.3331', '1.3186', '193922', '170658', '0'], ['6BV7', '1.3219', '1.3310', '1.3301', '1.3341', '1.3203', '446', '447', '0'], ['6BX7', '1.3225', '1.3320', '1.3325', '1.3341', '1.3214', '231', '306', '0'], ['6BZ7', '1.3242', '1.3333', '1.3330', '1.3367', '1.3222', '100578', '100138', '114'], ['6BF8', '', '1.3346', '', '', '', '8', '6', '0'], ['6BH8', '1.3280', '1.3372', '1.3400', '1.3400', '1.3280', '58', '1924', '0'], ['6BM8', '', '1.3408', '', '', '', '0', '208', '0'], ['6BU8', '', '1.3445', '', '', '', '0', '27', '0'], ['6BZ8', '1.3376', '1.3481', '1.3376', '1.3376', '1.3376', '3', '6', '0'], ['6BH9', '', '1.3518', '', '', '', '0', '', ''], ['6BM9', '', '1.3555', '', '', '', '0', '', ''], ['6BU9', '', '1.3592', '', '', '', '0', '', ''], ['6BZ9', '', '1.3629', '', '', '', '0', '', ''], ['6BH0', '', '1.3666', '', '', '', '0', '', ''], ['6BM0', '', '1.3703', '', '', '', '0', '', ''], ['6BU0', '', '1.3740', '', '', '', '0', '', ''], ['6BZ0', '', '1.3777', '', '', '', '0', '', ''], ['6BH1', '', '1.3814', '', '', '', '0', '', ''], ['6BM1', '', '1.3851', '', '', '', '0', '', ''], ['6BU1', '', '1.3888', '', '', '', '0', '', ''], ['6BZ1', '', '1.3925', '', '', '', '0', '', ''], ['6BH2', '', '1.3962', '', '', '', '0', '', ''], ['6BM2', '', '1.3999', '', '', '', '0', '', ''], ['6BU2', '', '1.4039', '', '', '', '0', '', '']]
2017-09-14 16:30 Thu // ['276467', '297765', '0'] // ['6BU7', '1.3399', '1.3199', '1.3208', '1.3406', '1.3150', '203138', '110533', '0'] // [['6BU7', '1.3399', '1.3199', '1.3208', '1.3406', '1.3150', '203138', '110533', '0'], ['6BV7', '1.3413', '1.3212', '1.3224', '1.3416', '1.3168', '494', '463', '0'], ['6BX7', '1.3427', '1.3222', '1.3232', '1.3427', '1.3230', '386', '187', '0'], ['6BZ7', '1.3434', '1.3235', '1.3244', '1.3441', '1.3188', '114533', '163086', '0'], ['6BF8', '', '1.3248', '', '', '', '6', '11', '0'], ['6BH8', '1.3455', '1.3273', '1.3290', '1.3455', '1.3290', '212', '1944', '0'], ['6BM8', '1.3500', '1.3311', '1.3310', '1.3500', '1.3310', '3', '208', '0'], ['6BU8', '1.3340', '1.3347', '1.3340', '1.3340', '1.3340', '1', '27', '0'], ['6BZ8', '', '1.3385', '', '', '', '0', '8', '0'], ['6BH9', '', '1.3423', '', '', '', '0', '', ''], ['6BM9', '', '1.3460', '', '', '', '0', '', ''], ['6BU9', '', '1.3498', '', '', '', '0', '', ''], ['6BZ9', '', '1.3536', '', '', '', '0', '', ''], ['6BH0', '', '1.3574', '', '', '', '0', '', ''], ['6BM0', '', '1.3611', '', '', '', '0', '', ''], ['6BU0', '', '1.3649', '', '', '', '0', '', ''], ['6BZ0', '', '1.3687', '', '', '', '0', '', ''], ['6BH1', '', '1.3725', '', '', '', '0', '', ''], ['6BM1', '', '1.3763', '', '', '', '0', '', ''], ['6BU1', '', '1.3801', '', '', '', '0', '', ''], ['6BZ1', '', '1.3839', '', '', '', '0', '', ''], ['6BH2', '', '1.3877', '', '', '', '0', '', ''], ['6BM2', '', '1.3915', '', '', '', '0', '', ''], ['6BU2', '', '1.3956', '', '', '', '0', '', '']]
2017-09-15 16:30 Fri // ['276204', '327200', '259'] // ['6BZ7', '1.3628', '1.3434', '1.3436', '1.3652', '1.3418', '221571', '187176', '259'] // [['6BU7', '1.3594', '1.3399', '1.3397', '1.3616', '1.3383', '42564', '85941', '0'], ['6BV7', '1.3611', '1.3412', '1.3407', '1.3627', '1.3398', '503', '601', '0'], ['6BX7', '1.3598', '1.3422', '1.3423', '1.3626', '1.3423', '303', '302', '0'], ['6BZ7', '1.3628', '1.3434', '1.3436', '1.3652', '1.3418', '221571', '187176', '259'], ['6BF8', '', '1.3445', '', '', '', '5', '14', '0'], ['6BH8', '1.3631', '1.3471', '1.3481', '1.3666', '1.3481', '33', '1926', '0'], ['6BM8', '1.3670', '1.3505', '1.3670', '1.3670', '1.3670', '1', '209', '0'], ['6BU8', '', '1.3539', '', '', '', '0', '27', '0'], ['6BZ8', '', '1.3574', '', '', '', '0', '8', '0'], ['6BH9', '', '1.3609', '', '', '', '0', '', ''], ['6BM9', '', '1.3645', '', '', '', '0', '', ''], ['6BU9', '', '1.3680', '', '', '', '0', '', ''], ['6BZ9', '', '1.3715', '', '', '', '0', '', ''], ['6BH0', '', '1.3749', '', '', '', '0', '', ''], ['6BM0', '', '1.3784', '', '', '', '0', '', ''], ['6BU0', '', '1.3818', '', '', '', '0', '', ''], ['6BZ0', '', '1.3853', '', '', '', '0', '', ''], ['6BH1', '', '1.3887', '', '', '', '0', '', ''], ['6BM1', '', '1.3922', '', '', '', '0', '', ''], ['6BU1', '', '1.3956', '', '', '', '0', '', ''], ['6BZ1', '', '1.3991', '', '', '', '0', '', ''], ['6BH2', '', '1.4025', '', '', '', '0', '', ''], ['6BM2', '', '1.4060', '', '', '', '0', '', ''], ['6BU2', '', '1.4097', '', '', '', '0', '', '']]
2017-09-18 16:40 Mon // ['271867', '268162', '0'] // ['6BZ7', '1.3535', '1.3608', '1.3625', '1.3655', '1.3501', '155611', '198148', '0'] // [['6BU7', '1.3565', '1.3573', '1.3590', '1.3616', '1.3534', '3641', '70739', '0'], ['6BV7', '1.3503', '1.3585', '1.3598', '1.3625', '1.3484', '308', '654', '0'], ['6BX7', '1.3514', '1.3595', '1.3627', '1.3627', '1.3495', '403', '128', '0'], ['6BZ7', '1.3535', '1.3608', '1.3625', '1.3655', '1.3501', '155611', '198148', '0'], ['6BF8', '1.3521', '1.3618', '1.3612', '1.3614', '1.3519', '33', '17', '0'], ['6BH8', '1.3652', '1.3644', '1.3639', '1.3652', '1.3639', '12', '1937', '0'], ['6BM8', '', '1.3678', '', '', '', '0', '209', '0'], ['6BU8', '', '1.3710', '', '', '', '0', '27', '0'], ['6BZ8', '', '1.3743', '', '', '', '0', '8', '0'], ['6BH9', '', '1.3777', '', '', '', '0', '', ''], ['6BM9', '', '1.3810', '', '', '', '0', '', ''], ['6BU9', '', '1.3843', '', '', '', '0', '', ''], ['6BZ9', '', '1.3876', '', '', '', '0', '', ''], ['6BH0', '', '1.3909', '', '', '', '0', '', ''], ['6BM0', '', '1.3941', '', '', '', '0', '', ''], ['6BU0', '', '1.3974', '', '', '', '0', '', ''], ['6BZ0', '', '1.4007', '', '', '', '0', '', ''], ['6BH1', '', '1.4040', '', '', '', '0', '', ''], ['6BM1', '', '1.4073', '', '', '', '0', '', ''], ['6BU1', '', '1.4106', '', '', '', '0', '', ''], ['6BZ1', '', '1.4138', '', '', '', '0', '', ''], ['6BH2', '', '1.4171', '', '', '', '0', '', ''], ['6BM2', '', '1.4204', '', '', '', '0', '', ''], ['6BU2', '', '1.4239', '', '', '', '0', '', '']]
