2017-08-29 16:30 Tue // ['537503', '369814', '3198'] // ['GCZ7', '1314.1', '1315.3', '1320.5', '1331.9', '1310.6', '442047', '417701', '2404'] // [['GCQ7', '1314.0', '1309.7', '1318.8', '1323.8', '1314.0', '298', '615', '0'], ['GCU7', '1308.3', '1309.8', '1313.0', '1325.0', '1305.7', '1175', '1158', '0'], ['GCV7', '1310.2', '1311.8', '1315.6', '1328.2', '1306.9', '20045', '51147', '150'], ['GCX7', '', '0.0', '', '', '', '0', '', ''], ['GCZ7', '1314.1', '1315.3', '1320.5', '1331.9', '1310.6', '442047', '417701', '2404'], ['GCG8', '1318.4', '1318.9', '1324.6', '1335.0', '1315.0', '2103', '28089', '0'], ['GCJ8', '1321.2', '1322.5', '1333.9', '1338.5', '1319.6', '630', '6650', '0'], ['GCM8', '1325.2', '1326.1', '1332.2', '1342.6', '1322.9', '1481', '9457', '0'], ['GCQ8', '1331.4', '1329.7', '1335.6', '1346.0', '1331.4', '790', '7064', '0'], ['GCV8', '1343.2', '1333.2', '1344.0', '1348.7', '1343.2', '35', '2627', '0'], ['GCZ8', '1333.2', '1336.9', '1345.0', '1352.1', '1333.2', '418', '8565', '644'], ['GCG9', '', '1340.7', '', '', '', '0', '9', '0'], ['GCJ9', '', '1344.5', '', '', '', '0', '', ''], ['GCM9', '', '1348.4', '', '', '', '25', '748', '0'], ['GCZ9', '1368.3', '1359.7', '1368.7', '1368.7', '1368.3', '2', '2464', '0'], ['GCM0', '', '1370.6', '', '', '', '0', '284', '0'], ['GCZ0', '', '1382.6', '', '', '', '0', '675', '0'], ['GCM1', '', '1395.1', '', '', '', '0', '15', '0'], ['GCZ1', '', '1408.5', '', '', '', '0', '225', '0'], ['GCM2', '', '1421.5', '', '', '', '0', '5', '0'], ['GCZ2', '', '1435.5', '', '', '', '0', '5', '0'], ['GCM3', '', '1449.5', '', '', '', '0', '', '']]
2017-08-30 16:30 Wed // ['538875', '488484', '2150'] // ['GCZ7', '1313.3', '1318.9', '1314.8', '1319.3', '1310.1', '299617', '420043', '1334'] // [['GCU7', '1306.4', '1313.1', '1308.2', '1312.5', '1304.9', '372', '1026', '0'], ['GCV7', '1309.7', '1315.3', '1311.4', '1315.0', '1306.4', '13262', '50276', '222'], ['GCX7', '', '0.0', '', '', '', '0', '', ''], ['GCZ7', '1313.3', '1318.9', '1314.8', '1319.3', '1310.1', '299617', '420043', '1334'], ['GCG8', '1317.0', '1322.7', '1318.6', '1322.2', '1315.0', '921', '27996', '17'], ['GCJ8', '1320.7', '1326.2', '1322.0', '1324.9', '1318.4', '378', '6849', '147'], ['GCM8', '1324.4', '1329.7', '1327.3', '1329.3', '1323.5', '397', '9641', '30'], ['GCQ8', '1327.5', '1333.3', '1327.5', '1327.5', '1327.5', '30', '7240', '200'], ['GCV8', '', '1336.9', '', '', '', '0', '2631', '0'], ['GCZ8', '1335.6', '1340.6', '1335.2', '1335.6', '1334.4', '350', '8275', '200'], ['GCG9', '1337.0', '1344.2', '1337.0', '1337.0', '1337.0', '101', '9', '0'], ['GCJ9', '', '1347.8', '', '', '', '0', '', ''], ['GCM9', '', '1351.5', '', '', '', '0', '773', '0'], ['GCZ9', '', '1362.8', '', '', '', '0', '2463', '0'], ['GCM0', '', '1373.7', '', '', '', '0', '284', '0'], ['GCZ0', '', '1385.7', '', '', '', '0', '675', '0'], ['GCM1', '', '1398.2', '', '', '', '0', '15', '0'], ['GCZ1', '', '1411.6', '', '', '', '0', '225', '0'], ['GCM2', '', '1424.6', '', '', '', '0', '5', '0'], ['GCZ2', '', '1438.6', '', '', '', '0', '5', '0'], ['GCM3', '', '1452.6', '', '', '', '0', '', '']]
2017-08-31 16:30 Thu // ['534892', '328541', '1197'] // ['GCZ7', '1327.6', '1314.1', '1314.1', '1329.0', '1302.3', '357093', '421666', '519'] // [['GCU7', '1322.1', '1308.1', '1306.6', '1322.3', '1301.7', '313', '867', '0'], ['GCV7', '1323.9', '1310.4', '1310.4', '1325.1', '1298.6', '12295', '45451', '32'], ['GCX7', '1314.7', '1312.3', '1314.8', '1315.1', '1314.5', '10', '', ''], ['GCZ7', '1327.6', '1314.1', '1314.1', '1329.0', '1302.3', '357093', '421666', '519'], ['GCG8', '1330.8', '1317.8', '1317.3', '1331.3', '1306.9', '13403', '27929', '0'], ['GCJ8', '1335.2', '1321.4', '1319.6', '1335.2', '1315.0', '4310', '6622', '600'], ['GCM8', '1338.1', '1324.9', '1324.9', '1338.1', '1314.8', '6145', '9656', '0'], ['GCQ8', '', '1328.5', '', '', '', '1789', '7244', '0'], ['GCV8', '1341.2', '1332.1', '1340.9', '1341.2', '1340.9', '177', '2631', '0'], ['GCZ8', '1349.0', '1335.8', '1329.0', '1349.0', '1329.0', '1209', '8273', '46'], ['GCG9', '', '1339.4', '', '', '', '0', '108', '0'], ['GCJ9', '', '1343.0', '', '', '', '0', '', ''], ['GCM9', '1351.5', '1346.7', '1351.5', '1351.5', '1351.5', '1', '773', '0'], ['GCZ9', '', '1358.0', '', '', '', '0', '2463', '0'], ['GCM0', '', '1368.9', '', '', '', '0', '284', '0'], ['GCZ0', '1393.7', '1380.9', '1389.5', '1393.7', '1389.5', '3', '675', '0'], ['GCM1', '', '1393.4', '', '', '', '0', '15', '0'], ['GCZ1', '1425.0', '1406.8', '1425.0', '1425.0', '1425.0', '1', '225', '0'], ['GCM2', '', '1419.8', '', '', '', '0', '5', '0'], ['GCZ2', '1450.0', '1433.8', '1450.0', '1450.0', '1450.0', '1', '5', '0'], ['GCM3', '', '1447.8', '', '', '', '0', '', '']]
2017-09-01 16:30 Fri // ['550171', '418609', '3506'] // ['GCZ7', '1330.3', '1322.2', '1326.9', '1334.5', '1321.4', '357115', '434981', '925'] // [['GCU7', '1325.1', '1316.2', '1320.2', '1327.7', '1316.9', '39', '851', '0'], ['GCV7', '1326.4', '1318.5', '1323.0', '1330.8', '1317.9', '9910', '45844', '1775'], ['GCX7', '1329.0', '1320.4', '1327.3', '1329.0', '1327.0', '42', '10', '0'], ['GCZ7', '1330.3', '1322.2', '1326.9', '1334.5', '1321.4', '357115', '434981', '925'], ['GCG8', '1335.0', '1325.9', '1330.3', '1337.4', '1326.0', '9039', '28297', '332'], ['GCJ8', '1337.0', '1329.4', '1334.0', '1339.3', '1329.8', '2107', '7265', '0'], ['GCM8', '1340.6', '1332.8', '1337.6', '1344.7', '1334.5', '1543', '9394', '300'], ['GCQ8', '1344.7', '1336.2', '1338.0', '1347.9', '1336.3', '1620', '7521', '0'], ['GCV8', '1347.4', '1339.7', '1341.4', '1347.5', '1341.4', '119', '2631', '0'], ['GCZ8', '1351.5', '1343.4', '1347.7', '1351.9', '1345.1', '305', '8876', '0'], ['GCG9', '', '1347.0', '', '', '', '1', '108', '0'], ['GCJ9', '', '1350.6', '', '', '', '0', '', ''], ['GCM9', '', '1354.3', '', '', '', '10', '719', '174'], ['GCZ9', '', '1365.6', '', '', '', '0', '2463', '0'], ['GCM0', '', '1376.5', '', '', '', '0', '284', '0'], ['GCZ0', '', '1388.5', '', '', '', '0', '675', '0'], ['GCM1', '', '1401.0', '', '', '', '0', '15', '0'], ['GCZ1', '', '1414.4', '', '', '', '0', '226', '0'], ['GCM2', '', '1427.4', '', '', '', '0', '5', '0'], ['GCZ2', '', '1441.4', '', '', '', '0', '6', '0'], ['GCM3', '', '1455.4', '', '', '', '0', '', '']]
2017-09-04 16:30 Mon // ['558133', '393671', '538'] // ['GCZ7', '1339.4', '1330.4', '1339.7', '1345.5', '1336.7', '173203', '437893', '226'] // [['GCU7', '1332.8', '1324.5', '1335.2', '1336.8', '1332.6', '20', '833', '0'], ['GCV7', '1335.6', '1326.6', '1338.0', '1341.5', '1333.0', '3022', '46492', '0'], ['GCX7', '1336.9', '1328.5', '1338.1', '1342.3', '1336.9', '119', '2', '0'], ['GCZ7', '1339.4', '1330.4', '1339.7', '1345.5', '1336.7', '173203', '437893', '226'], ['GCG8', '1343.3', '1334.2', '1340.2', '1348.9', '1340.2', '254', '32191', '74'], ['GCJ8', '1347.0', '1337.7', '1347.2', '1351.4', '1345.8', '184', '7225', '181'], ['GCM8', '1351.4', '1341.2', '1350.5', '1354.5', '1348.9', '84', '9366', '0'], ['GCQ8', '1354.6', '1344.7', '1354.4', '1357.6', '1354.4', '16', '7972', '0'], ['GCV8', '1358.7', '1348.3', '1358.7', '1361.6', '1358.7', '13', '2678', '57'], ['GCZ8', '1362.4', '1352.0', '1360.2', '1362.4', '1360.1', '13', '8971', '0'], ['GCG9', '', '1355.6', '', '', '', '0', '108', '0'], ['GCJ9', '', '1359.2', '', '', '', '0', '', ''], ['GCM9', '', '1362.9', '', '', '', '0', '728', '0'], ['GCQ9', '', '', '', '', '', '0', '', ''], ['GCZ9', '1387.5', '1374.2', '1387.5', '1387.5', '1387.5', '1', '2463', '0'], ['GCM0', '1399.9', '1385.1', '1386.5', '1399.9', '1386.3', '12', '284', '0'], ['GCZ0', '', '1397.1', '', '', '', '0', '675', '0'], ['GCM1', '', '1409.6', '', '', '', '0', '15', '0'], ['GCZ1', '', '1423.0', '', '', '', '0', '226', '0'], ['GCM2', '', '1436.0', '', '', '', '0', '5', '0'], ['GCZ2', '', '1450.0', '', '', '', '0', '6', '0'], ['GCM3', '', '1464.0', '', '', '', '0', '', '']]
2017-09-05 16:30 Tue // ['555543', '393671', '538'] // ['GCZ7', '1343.9', '1330.4', '1339.7', '1349.7', '1331.1', '544324', '435966', '226'] // [['GCU7', '1336.9', '1324.5', '1335.2', '1337.0', '1328.6', '74', '833', '0'], ['GCV7', '1340.1', '1326.6', '1338.0', '1345.6', '1327.4', '10395', '45841', '0'], ['GCX7', '1345.1', '1328.5', '1338.1', '1347.3', '1330.4', '273', '2', '0'], ['GCZ7', '1343.9', '1330.4', '1339.7', '1349.7', '1331.1', '544324', '435966', '226'], ['GCG8', '1347.7', '1334.2', '1340.2', '1353.1', '1337.0', '6288', '32191', '74'], ['GCJ8', '1356.5', '1337.7', '1347.2', '1356.5', '1342.1', '1679', '7223', '181'], ['GCM8', '1356.4', '1341.2', '1350.5', '1359.9', '1346.8', '537', '9364', '0'], ['GCQ8', '1359.4', '1344.7', '1354.4', '1360.8', '1346.3', '488', '7966', '0'], ['GCV8', '1358.7', '1348.3', '1358.7', '1361.6', '1358.7', '416', '2676', '57'], ['GCZ8', '1368.5', '1352.0', '1360.2', '1368.5', '1360.1', '633', '8971', '0'], ['GCG9', '', '1355.6', '', '', '', '0', '108', '0'], ['GCJ9', '', '1359.2', '', '', '', '0', '', ''], ['GCM9', '1366.0', '1362.9', '1366.0', '1366.0', '1366.0', '1', '728', '0'], ['GCQ9', '', '', '', '', '', '0', '', ''], ['GCZ9', '1387.5', '1374.2', '1387.5', '1387.5', '1387.5', '1', '2463', '0'], ['GCM0', '1399.9', '1385.1', '1386.5', '1399.9', '1386.3', '12', '284', '0'], ['GCZ0', '', '1397.1', '', '', '', '0', '675', '0'], ['GCM1', '', '1409.6', '', '', '', '0', '15', '0'], ['GCZ1', '', '1423.0', '', '', '', '0', '226', '0'], ['GCM2', '', '1436.0', '', '', '', '0', '5', '0'], ['GCZ2', '', '1450.0', '', '', '', '0', '6', '0'], ['GCM3', '', '1464.0', '', '', '', '0', '', '']]
2017-09-06 16:30 Wed // ['566817', '579412', '1604'] // ['GCZ7', '1338.9', '1344.5', '1345.0', '1347.7', '1336.4', '296010', '446088', '1188'] // [['GCU7', '1333.4', '1339.2', '1340.0', '1340.3', '1332.6', '20', '835', '0'], ['GCV7', '1334.7', '1340.6', '1341.0', '1343.5', '1332.7', '8743', '45185', '275'], ['GCX7', '1337.5', '1342.6', '1343.7', '1345.1', '1335.6', '96', '118', '0'], ['GCZ7', '1338.9', '1344.5', '1345.0', '1347.7', '1336.4', '296010', '446088', '1188'], ['GCG8', '1342.0', '1348.4', '1348.7', '1351.1', '1341.4', '5000', '33075', '23'], ['GCJ8', '1345.9', '1351.9', '1353.0', '1354.7', '1345.2', '2039', '7624', '0'], ['GCM8', '1349.8', '1355.5', '1356.6', '1356.6', '1348.1', '1070', '9489', '15'], ['GCQ8', '1353.4', '1359.0', '1357.2', '1360.4', '1352.1', '1040', '7978', '0'], ['GCV8', '1355.5', '1362.6', '1355.5', '1355.5', '1355.5', '121', '2865', '3'], ['GCZ8', '1360.3', '1366.4', '1366.1', '1366.1', '1360.3', '380', '9049', '50'], ['GCG9', '', '1370.0', '', '', '', '0', '108', '0'], ['GCJ9', '', '1373.5', '', '', '', '0', '', ''], ['GCM9', '', '1377.1', '', '', '', '0', '729', '50'], ['GCQ9', '', '', '', '', '', '0', '', ''], ['GCZ9', '', '1388.3', '', '', '', '0', '2463', '0'], ['GCM0', '', '1399.2', '', '', '', '0', '284', '0'], ['GCZ0', '', '1411.2', '', '', '', '0', '675', '0'], ['GCM1', '', '1423.7', '', '', '', '0', '15', '0'], ['GCZ1', '', '1437.1', '', '', '', '0', '226', '0'], ['GCM2', '', '1450.1', '', '', '', '0', '5', '0'], ['GCZ2', '', '1464.1', '', '', '', '0', '6', '0'], ['GCM3', '', '1478.1', '', '', '', '0', '', '']]
2017-09-07 16:30 Thu // ['566318', '328513', '982'] // ['GCZ7', '1353.4', '1339.0', '1339.0', '1355.5', '1337.2', '351800', '444795', '467'] // [['GCU7', '1349.0', '1333.9', '1336.4', '1349.0', '1336.4', '26', '830', '0'], ['GCV7', '1349.5', '1335.2', '1334.7', '1351.6', '1333.5', '6299', '44889', '10'], ['GCX7', '1352.1', '1337.1', '1337.8', '1352.5', '1337.8', '217', '156', '0'], ['GCZ7', '1353.4', '1339.0', '1339.0', '1355.5', '1337.2', '351800', '444795', '467'], ['GCG8', '1357.7', '1343.0', '1341.7', '1359.0', '1341.7', '3405', '33924', '0'], ['GCJ8', '1359.0', '1346.5', '1351.1', '1362.9', '1351.1', '2869', '7472', '100'], ['GCM8', '1365.4', '1350.1', '1349.3', '1365.9', '1349.3', '1795', '9582', '94'], ['GCQ8', '1368.6', '1353.6', '1362.0', '1369.4', '1359.6', '873', '8029', '0'], ['GCV8', '1372.0', '1357.2', '1356.8', '1372.0', '1356.8', '374', '3014', '161'], ['GCZ8', '1376.2', '1361.1', '1370.7', '1378.1', '1370.7', '441', '9116', '75'], ['GCG9', '', '1364.7', '', '', '', '0', '108', '0'], ['GCJ9', '', '1368.2', '', '', '', '1', '', ''], ['GCM9', '', '1371.8', '', '', '', '2', '729', '0'], ['GCQ9', '', '', '', '', '', '0', '', ''], ['GCZ9', '1397.8', '1383.0', '1397.8', '1397.8', '1397.8', '2', '2463', '0'], ['GCM0', '', '1393.9', '', '', '', '0', '284', '0'], ['GCZ0', '', '1405.9', '', '', '', '0', '675', '75'], ['GCM1', '', '1418.4', '', '', '', '0', '15', '0'], ['GCZ1', '', '1431.8', '', '', '', '0', '226', '0'], ['GCM2', '', '1444.8', '', '', '', '0', '5', '0'], ['GCZ2', '', '1458.8', '', '', '', '0', '6', '0'], ['GCM3', '', '1472.8', '', '', '', '0', '', '']]
2017-09-08 16:30 Fri // ['579581', '380899', '1612'] // ['GCZ7', '1351.4', '1350.3', '1354.0', '1362.4', '1347.1', '375512', '456876', '872'] // [['GCU7', '1348.7', '1345.1', '1351.0', '1355.8', '1345.6', '36', '832', '0'], ['GCV7', '1347.5', '1346.5', '1349.9', '1358.5', '1343.2', '8660', '45150', '682'], ['GCX7', '1349.5', '1348.4', '1352.2', '1359.0', '1346.8', '163', '187', '0'], ['GCZ7', '1351.4', '1350.3', '1354.0', '1362.4', '1347.1', '375512', '456876', '872'], ['GCG8', '1356.2', '1354.3', '1357.9', '1365.8', '1351.4', '9478', '34694', '58'], ['GCJ8', '1359.0', '1358.1', '1363.2', '1370.0', '1356.6', '1993', '7734', '0'], ['GCM8', '1364.2', '1361.8', '1367.9', '1373.6', '1359.8', '1812', '9354', '0'], ['GCQ8', '1366.9', '1365.5', '1373.8', '1378.0', '1364.3', '1201', '8054', '0'], ['GCV8', '1377.3', '1369.3', '1377.3', '1377.3', '1377.3', '368', '3018', '0'], ['GCZ8', '1371.9', '1373.2', '1381.4', '1381.4', '1371.9', '1123', '9169', '0'], ['GCG9', '', '1376.8', '', '', '', '21', '108', '0'], ['GCJ9', '', '1380.3', '', '', '', '0', '1', '0'], ['GCM9', '1388.0', '1383.9', '1391.1', '1391.1', '1388.0', '2', '729', '0'], ['GCQ9', '', '', '', '', '', '0', '', ''], ['GCZ9', '', '1395.1', '', '', '', '0', '2464', '0'], ['GCM0', '', '1406.0', '', '', '', '0', '284', '0'], ['GCZ0', '', '1418.0', '', '', '', '0', '675', '0'], ['GCM1', '', '1430.5', '', '', '', '0', '15', '0'], ['GCZ1', '', '1443.9', '', '', '', '0', '226', '0'], ['GCM2', '', '1456.9', '', '', '', '0', '5', '0'], ['GCZ2', '', '1470.9', '', '', '', '0', '6', '0'], ['GCM3', '', '1484.9', '', '', '', '0', '', '']]
2017-09-11 17:11 Mon // ['577444', '412827', '1112'] // ['GCZ7', '1331.7', '1351.2', '1341.5', '1344.6', '1330.6', '292049', '454725', '184'] // [['GCU7', '1327.3', '1346.0', '1330.0', '1330.0', '1327.3', '9', '828', '0'], ['GCV7', '1328.0', '1347.3', '1338.8', '1340.0', '1326.8', '7558', '42789', '150'], ['GCX7', '1328.8', '1349.1', '1346.0', '1346.0', '1328.8', '181', '257', '0'], ['GCZ7', '1331.7', '1351.2', '1341.5', '1344.6', '1330.6', '292049', '454725', '184'], ['GCG8', '1335.6', '1355.3', '1345.0', '1347.8', '1334.8', '1403', '36280', '135'], ['GCJ8', '1339.9', '1359.1', '1350.0', '1350.7', '1339.9', '522', '8065', '217'], ['GCM8', '1342.9', '1362.9', '1350.1', '1355.4', '1342.9', '865', '9501', '37'], ['GCQ8', '1347.3', '1366.7', '1359.0', '1359.0', '1347.0', '812', '7945', '0'], ['GCV8', '', '1370.4', '', '', '', '353', '3018', '69'], ['GCZ8', '1354.6', '1374.5', '1365.7', '1366.5', '1354.6', '563', '9502', '320'], ['GCG9', '', '1378.1', '', '', '', '0', '129', '0'], ['GCJ9', '', '1381.6', '', '', '', '0', '1', '0'], ['GCM9', '', '1385.2', '', '', '', '0', '729', '0'], ['GCQ9', '', '', '', '', '', '0', '', ''], ['GCZ9', '', '1396.4', '', '', '', '0', '2464', '0'], ['GCM0', '1377.8', '1407.3', '1377.8', '1377.8', '1377.8', '1', '284', '0'], ['GCZ0', '', '1419.3', '', '', '', '0', '675', '0'], ['GCM1', '', '1431.8', '', '', '', '0', '15', '0'], ['GCZ1', '', '1445.2', '', '', '', '0', '226', '0'], ['GCM2', '', '1458.2', '', '', '', '0', '5', '0'], ['GCZ2', '', '1472.2', '', '', '', '0', '6', '0'], ['GCM3', '', '1486.2', '', '', '', '0', '', '']]
2017-09-12 16:30 Tue // ['574119', '316333', '2578'] // ['GCZ7', '1335.6', '1335.7', '1331.7', '1336.2', '1326.7', '279601', '451372', '1640'] // [['GCU7', '1326.4', '1331.0', '1327.0', '1327.0', '1325.2', '15', '820', '0'], ['GCV7', '1331.6', '1331.8', '1328.3', '1332.2', '1322.9', '6791', '41494', '135'], ['GCX7', '1330.6', '1333.2', '1330.5', '1330.7', '1324.4', '126', '359', '0'], ['GCZ7', '1335.6', '1335.7', '1331.7', '1336.2', '1326.7', '279601', '451372', '1640'], ['GCG8', '1339.7', '1339.8', '1337.3', '1340.0', '1331.0', '1106', '36753', '33'], ['GCJ8', '1343.2', '1343.6', '1337.9', '1343.4', '1335.4', '1014', '8261', '270'], ['GCM8', '1347.4', '1347.5', '1344.9', '1347.4', '1339.6', '1185', '9325', '0'], ['GCQ8', '1350.4', '1351.3', '1346.3', '1350.4', '1343.1', '1114', '8398', '250'], ['GCV8', '', '1355.2', '', '', '', '100', '3018', '0'], ['GCZ8', '1358.4', '1359.3', '1353.3', '1358.4', '1352.7', '820', '9784', '250'], ['GCG9', '', '1362.9', '', '', '', '0', '129', '0'], ['GCJ9', '', '1366.4', '', '', '', '0', '1', '0'], ['GCM9', '', '1370.0', '', '', '', '0', '729', '0'], ['GCQ9', '', '', '', '', '', '0', '', ''], ['GCZ9', '', '1381.2', '', '', '', '0', '2464', '0'], ['GCM0', '1397.4', '1392.1', '1397.4', '1397.4', '1397.4', '1', '285', '0'], ['GCZ0', '1406.6', '1404.1', '1406.6', '1406.6', '1406.6', '1', '675', '0'], ['GCM1', '', '1416.6', '', '', '', '0', '15', '0'], ['GCZ1', '', '1430.0', '', '', '', '0', '226', '0'], ['GCM2', '', '1443.0', '', '', '', '0', '5', '0'], ['GCZ2', '', '1457.0', '', '', '', '0', '6', '0'], ['GCM3', '', '1471.0', '', '', '', '0', '', '']]
