2017-08-29 16:30 Tue // ['285220', '217366', '0'] // ['NQU7', '5870.00', '5844.75', '5820.00', '5875.50', '5777.25', '331983', '282261', '0'] // [['NQU7', '5870.00', '5844.75', '5820.00', '5875.50', '5777.25', '331983', '282261', '0'], ['NQZ7', '5876.50', '5852.00', '5838.50', '5881.75', '5784.50', '2424', '2909', '0'], ['NQH8', '5875.00', '5860.50', '5833.00', '5875.00', '5815.00', '4', '50', '0'], ['NQM8', '', '5862.50', '', '', '', '0', '', ''], ['NQU8', '', '5867.50', '', '', '', '0', '', ''], ['NQZ8', '', '', '', '', '', '0', '', '']]
2017-08-30 16:30 Wed // ['290894', '336779', '0'] // ['NQU7', '5936.25', '5869.75', '5869.75', '5944.00', '5862.50', '271524', '287457', '0'] // [['NQU7', '5936.25', '5869.75', '5869.75', '5944.00', '5862.50', '271524', '287457', '0'], ['NQZ7', '5941.00', '5876.25', '5875.00', '5950.75', '5870.00', '2736', '3388', '0'], ['NQH8', '5957.25', '5884.75', '5897.00', '5957.25', '5897.00', '19', '49', '0'], ['NQM8', '', '5886.75', '', '', '', '0', '', ''], ['NQU8', '', '5891.75', '', '', '', '0', '', ''], ['NQZ8', '', '', '', '', '', '0', '', '']]
2017-08-31 16:30 Thu // ['296711', '276732', '0'] // ['NQU7', '5992.25', '5935.00', '5936.25', '5998.00', '5932.50', '269552', '292978', '0'] // [['NQU7', '5992.25', '5935.00', '5936.25', '5998.00', '5932.50', '269552', '292978', '0'], ['NQZ7', '5999.50', '5941.75', '5942.00', '6004.25', '5940.75', '2867', '3687', '0'], ['NQH8', '6007.75', '5950.25', '5958.00', '6008.00', '5958.00', '14', '46', '0'], ['NQM8', '', '5952.25', '', '', '', '0', '', ''], ['NQU8', '', '5957.25', '', '', '', '0', '', ''], ['NQZ8', '', '', '', '', '', '0', '', '']]
2017-09-01 16:30 Fri // ['297265', '276770', '0'] // ['NQU7', '5987.75', '5990.75', '5994.00', '6019.75', '5973.25', '228959', '293170', '0'] // [['NQU7', '5987.75', '5990.75', '5994.00', '6019.75', '5973.25', '228959', '293170', '0'], ['NQZ7', '5995.75', '5997.75', '6005.00', '6025.75', '5980.50', '3148', '4040', '0'], ['NQH8', '6003.00', '6006.25', '6017.00', '6025.00', '6003.00', '8', '55', '0'], ['NQM8', '', '6008.25', '', '', '', '0', '', ''], ['NQU8', '', '6013.25', '', '', '', '0', '', ''], ['NQZ8', '', '', '', '', '', '0', '', '']]
2017-09-04 16:30 Mon // ['295561', '233028', '0'] // ['NQU7', '5979.25', '5988.25', '5956.50', '5982.25', '5946.50', '49164', '291435', '0'] // [['NQU7', '5979.25', '5988.25', '5956.50', '5982.25', '5946.50', '49164', '291435', '0'], ['NQZ7', '5987.00', '5995.25', '5973.75', '5988.00', '5953.75', '989', '4070', '0'], ['NQH8', '', '6003.75', '', '', '', '0', '56', '0'], ['NQM8', '', '6005.75', '', '', '', '0', '', ''], ['NQU8', '', '6010.75', '', '', '', '0', '', ''], ['NQZ8', '', '0.00', '', '', '', '0', '', '']]
2017-09-05 16:30 Tue // ['294328', '233028', '0'] // ['NQU7', '5940.50', '5988.25', '5956.50', '5984.75', '5889.50', '476271', '290210', '0'] // [['NQU7', '5940.50', '5988.25', '5956.50', '5984.75', '5889.50', '476271', '290210', '0'], ['NQZ7', '5946.50', '5995.25', '5973.75', '5991.50', '5897.00', '11281', '4062', '0'], ['NQH8', '5949.75', '6003.75', '5983.00', '5983.00', '5909.00', '10', '56', '0'], ['NQM8', '', '6005.75', '', '', '', '0', '', ''], ['NQU8', '', '6010.75', '', '', '', '0', '', ''], ['NQZ8', '', '0.00', '', '', '', '0', '', '']]
2017-09-06 16:30 Wed // ['281453', '496975', '0'] // ['NQU7', '5955.75', '5939.25', '5943.50', '5965.75', '5909.25', '331874', '274638', '0'] // [['NQU7', '5955.75', '5939.25', '5943.50', '5965.75', '5909.25', '331874', '274638', '0'], ['NQZ7', '5962.00', '5946.50', '5946.00', '5972.75', '5916.50', '23227', '6761', '0'], ['NQH8', '5975.00', '5955.00', '5975.00', '5975.00', '5975.00', '1', '54', '0'], ['NQM8', '', '5957.00', '', '', '', '0', '', ''], ['NQU8', '', '5962.00', '', '', '', '0', '', ''], ['NQZ8', '', '0.00', '', '', '', '0', '', '']]
2017-09-07 16:30 Thu // ['290889', '359028', '0'] // ['NQU7', '5971.25', '5955.00', '5952.00', '5981.50', '5932.25', '299695', '269340', '0'] // [['NQU7', '5971.25', '5955.00', '5952.00', '5981.50', '5932.25', '299695', '269340', '0'], ['NQZ7', '5978.75', '5962.25', '5956.00', '5988.75', '5940.00', '76153', '21495', '0'], ['NQH8', '5974.25', '5970.75', '5980.00', '5980.00', '5974.25', '5', '54', '0'], ['NQM8', '', '5972.75', '', '', '', '0', '', ''], ['NQU8', '', '5977.75', '', '', '', '0', '', ''], ['NQZ8', '', '0.00', '', '', '', '0', '', '']]
2017-09-08 16:30 Fri // ['310676', '378611', '0'] // ['NQZ7', '5924.75', '5977.50', '5977.25', '5979.50', '5915.25', '242547', '58125', '0'] // [['NQU7', '5916.75', '5970.00', '5969.25', '5972.00', '5907.50', '188351', '252498', '0'], ['NQZ7', '5924.75', '5977.50', '5977.25', '5979.50', '5915.25', '242547', '58125', '0'], ['NQH8', '5928.00', '5986.00', '5976.25', '5976.25', '5925.00', '31', '53', '0'], ['NQM8', '', '5988.00', '', '', '', '0', '', ''], ['NQU8', '', '5993.00', '', '', '', '0', '', ''], ['NQZ8', '', '0.00', '', '', '', '0', '', '']]
2017-09-11 17:11 Mon // ['312791', '434689', '0'] // ['NQZ7', '5992.00', '5924.50', '5943.75', '6000.25', '5942.00', '261150', '114235', '0'] // [['NQU7', '5985.00', '5916.25', '5928.75', '5991.75', '5928.75', '158988', '198497', '0'], ['NQZ7', '5992.00', '5924.50', '5943.75', '6000.25', '5942.00', '261150', '114235', '0'], ['NQH8', '5992.25', '5933.00', '5980.25', '6009.75', '5980.25', '59', '59', '0'], ['NQM8', '5997.50', '5935.00', '6004.00', '6004.00', '5997.50', '5', '', ''], ['NQU8', '', '5940.00', '', '', '', '0', '', ''], ['NQZ8', '', '0.00', '', '', '', '0', '', '']]
2017-09-12 16:30 Tue // ['347601', '421216', '0'] // ['NQZ7', '6003.75', '5990.75', '5990.00', '6012.25', '5975.25', '294480', '183300', '0'] // [['NQU7', '5995.75', '5982.50', '5981.25', '6004.00', '5967.50', '123411', '164200', '0'], ['NQZ7', '6003.75', '5990.75', '5990.00', '6012.25', '5975.25', '294480', '183300', '0'], ['NQH8', '6006.00', '5999.25', '6000.00', '6011.75', '5983.25', '38', '97', '0'], ['NQM8', '5996.50', '6001.25', '6011.75', '6016.00', '5996.50', '21', '4', '0'], ['NQU8', '', '6006.25', '', '', '', '0', '', ''], ['NQZ8', '', '0.00', '', '', '', '0', '', '']]
