2017-08-29 16:30 Tue // ['17979', '17721', '100'] // ['RTYU7', '1382.50', '1381.80', '1375.40', '1386.00', '1368.50', '26783', '16207', '50'] // [['RTYU7', '1382.50', '1381.80', '1375.40', '1386.00', '1368.50', '26783', '16207', '50'], ['RTYZ7', '1376.60', '1380.60', '1370.70', '1376.60', '1370.70', '4807', '1772', '50'], ['RTYH8', '', '1380.60', '', '', '', '0', '', ''], ['RTYM8', '', '1379.80', '', '', '', '0', '', ''], ['RTYU8', '', '1379.00', '', '', '', '0', '', ''], ['RTYZ8', '', '', '', '', '', '0', '', '']]
2017-08-30 16:30 Wed // ['18967', '32067', '0'] // ['RTYU7', '1390.70', '1382.70', '1383.50', '1392.80', '1378.90', '20539', '16085', '0'] // [['RTYU7', '1390.70', '1382.70', '1383.50', '1392.80', '1378.90', '20539', '16085', '0'], ['RTYZ7', '1390.00', '1381.50', '1380.30', '1390.00', '1380.30', '3343', '2882', '0'], ['RTYH8', '', '1382.00', '', '', '', '0', '', ''], ['RTYM8', '', '1381.30', '', '', '', '0', '', ''], ['RTYU8', '', '1380.40', '', '', '', '0', '', ''], ['RTYZ8', '', '', '', '', '', '0', '', '']]
2017-08-31 16:30 Thu // ['20214', '24073', '0'] // ['RTYU7', '1403.90', '1390.80', '1389.70', '1407.20', '1389.30', '27400', '16285', '0'] // [['RTYU7', '1403.90', '1390.80', '1389.70', '1407.20', '1389.30', '27400', '16285', '0'], ['RTYZ7', '1404.90', '1389.50', '1392.00', '1404.90', '1392.00', '1708', '3929', '0'], ['RTYH8', '', '1389.70', '', '', '', '0', '', ''], ['RTYM8', '', '1388.90', '', '', '', '0', '', ''], ['RTYU8', '', '1388.10', '', '', '', '0', '', ''], ['RTYZ8', '', '', '', '', '', '0', '', '']]
2017-09-01 16:30 Fri // ['21376', '30044', '0'] // ['RTYU7', '1411.30', '1405.00', '1403.50', '1414.50', '1403.50', '18551', '16427', '0'] // [['RTYU7', '1411.30', '1405.00', '1403.50', '1414.50', '1403.50', '18551', '16427', '0'], ['RTYZ7', '1412.00', '1403.80', '1407.40', '1413.00', '1404.60', '3590', '4949', '0'], ['RTYH8', '', '1404.00', '', '', '', '0', '', ''], ['RTYM8', '', '1403.20', '', '', '', '0', '', ''], ['RTYU8', '', '1402.40', '', '', '', '0', '', ''], ['RTYZ8', '', '', '', '', '', '0', '', '']]
2017-09-04 16:30 Mon // ['22248', '22262', '0'] // ['RTYU7', '1416.40', '1411.70', '1404.50', '1419.70', '1402.00', '1399', '16779', '0'] // [['RTYU7', '1416.40', '1411.70', '1404.50', '1419.70', '1402.00', '1399', '16779', '0'], ['RTYZ7', '1419.00', '1410.60', '1406.00', '1419.00', '1404.10', '16', '5469', '0'], ['RTYH8', '', '1411.90', '', '', '', '0', '', ''], ['RTYM8', '', '1411.10', '', '', '', '0', '', ''], ['RTYU8', '', '1410.30', '', '', '', '0', '', ''], ['RTYZ8', '', '0.00', '', '', '', '0', '', '']]
2017-09-05 16:30 Tue // ['22243', '22262', '0'] // ['RTYU7', '1401.30', '1411.70', '1404.50', '1419.90', '1393.50', '57124', '16774', '0'] // [['RTYU7', '1401.30', '1411.70', '1404.50', '1419.90', '1393.50', '57124', '16774', '0'], ['RTYZ7', '1399.60', '1410.60', '1406.00', '1419.00', '1392.80', '31507', '5469', '0'], ['RTYH8', '', '1411.90', '', '', '', '0', '', ''], ['RTYM8', '', '1411.10', '', '', '', '0', '', ''], ['RTYU8', '', '1410.30', '', '', '', '0', '', ''], ['RTYZ8', '', '0.00', '', '', '', '0', '', '']]
2017-09-06 16:30 Wed // ['37497', '89663', '0'] // ['RTYU7', '1401.50', '1401.20', '1400.00', '1407.80', '1397.90', '54899', '22975', '0'] // [['RTYU7', '1401.50', '1401.20', '1400.00', '1407.80', '1397.90', '54899', '22975', '0'], ['RTYZ7', '1401.00', '1400.30', '1403.50', '1406.90', '1398.10', '39194', '14522', '0'], ['RTYH8', '', '1398.00', '', '', '', '0', '', ''], ['RTYM8', '', '1397.30', '', '', '', '0', '', ''], ['RTYU8', '', '1396.40', '', '', '', '0', '', ''], ['RTYZ8', '', '0.00', '', '', '', '0', '', '']]
2017-09-07 16:30 Thu // ['68692', '95637', '0'] // ['RTYU7', '1398.60', '1401.60', '1400.00', '1404.60', '1393.30', '109233', '38391', '0'] // [['RTYU7', '1398.60', '1401.60', '1400.00', '1404.60', '1393.30', '109233', '38391', '0'], ['RTYZ7', '1397.90', '1400.90', '1399.60', '1404.10', '1392.70', '96772', '30301', '0'], ['RTYH8', '', '1400.60', '', '', '', '0', '', ''], ['RTYM8', '', '1399.80', '', '', '', '0', '', ''], ['RTYU8', '', '1399.00', '', '', '', '0', '', ''], ['RTYZ8', '', '0.00', '', '', '', '0', '', '']]
2017-09-08 16:30 Fri // ['171931', '231157', '22937'] // ['RTYZ7', '1402.20', '1397.80', '1398.60', '1405.00', '1392.50', '190587', '95795', '22937'] // [['RTYU7', '1403.00', '1398.50', '1398.60', '1405.80', '1393.40', '152739', '76136', '0'], ['RTYZ7', '1402.20', '1397.80', '1398.60', '1405.00', '1392.50', '190587', '95795', '22937'], ['RTYH8', '', '1397.10', '', '', '', '0', '', ''], ['RTYM8', '', '1396.30', '', '', '', '0', '', ''], ['RTYU8', '', '1395.50', '', '', '', '0', '', ''], ['RTYZ8', '', '0.00', '', '', '', '0', '', '']]
2017-09-11 17:11 Mon // ['402702', '419466', '67864'] // ['RTYZ7', '1415.70', '1402.50', '1407.10', '1416.40', '1407.10', '211492', '229074', '49008'] // [['RTYU7', '1416.60', '1403.50', '1401.50', '1417.20', '1401.50', '178896', '173628', '18856'], ['RTYZ7', '1415.70', '1402.50', '1407.10', '1416.40', '1407.10', '211492', '229074', '49008'], ['RTYH8', '', '1397.80', '', '', '', '0', '', ''], ['RTYM8', '', '1397.10', '', '', '', '0', '', ''], ['RTYU8', '', '1396.20', '', '', '', '0', '', ''], ['RTYZ8', '', '0.00', '', '', '', '0', '', '']]
2017-09-12 16:30 Tue // ['595748', '424640', '32827'] // ['RTYZ7', '1423.00', '1415.80', '1415.00', '1424.10', '1414.90', '208455', '329888', '31545'] // [['RTYU7', '1423.70', '1416.60', '1415.80', '1424.80', '1415.70', '164251', '265860', '1282'], ['RTYZ7', '1423.00', '1415.80', '1415.00', '1424.10', '1414.90', '208455', '329888', '31545'], ['RTYH8', '', '1413.20', '', '', '', '0', '', ''], ['RTYM8', '', '1412.50', '', '', '', '0', '', ''], ['RTYU8', '', '1411.60', '', '', '', '0', '', ''], ['RTYZ8', '', '0.00', '', '', '', '0', '', '']]
