2017-08-29 16:30 Tue // ['190058', '157802', '135'] // ['SIU7', '17.365', '17.441', '17.540', '17.665', '17.255', '113318', '28784', '135'] // [['SIQ7', '', '17.431', '', '', '', '1', '0', '0'], ['SIU7', '17.365', '17.441', '17.540', '17.665', '17.255', '113318', '28784', '135'], ['SIV7', '17.380', '17.467', '17.510', '17.675', '17.300', '359', '842', '0'], ['SIX7', '', '0.000', '', '', '', '0', '', ''], ['SIZ7', '17.460', '17.529', '17.610', '17.755', '17.345', '83279', '144535', '0'], ['SIF8', '17.455', '17.560', '17.650', '17.650', '17.455', '9', '55', '0'], ['SIH8', '17.515', '17.622', '17.700', '17.835', '17.495', '1297', '9066', '0'], ['SIK8', '17.665', '17.684', '17.810', '17.840', '17.665', '60', '2722', '0'], ['SIN8', '17.800', '17.746', '17.880', '17.880', '17.800', '8', '1464', '0'], ['SIU8', '17.820', '17.808', '17.890', '17.965', '17.820', '91', '319', '0'], ['SIZ8', '17.955', '17.904', '17.950', '17.975', '17.950', '14', '1687', '0'], ['SIF9', '', '17.951', '', '', '', '0', '49', '0'], ['SIH9', '', '17.993', '', '', '', '0', '', ''], ['SIK9', '', '18.028', '', '', '', '0', '', ''], ['SIN9', '18.065', '18.066', '18.000', '18.240', '18.000', '8', '110', '0'], ['SIZ9', '', '18.261', '', '', '', '0', '129', '0'], ['SIN0', '', '18.492', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.704', '', '', '', '0', '295', '0'], ['SIN1', '', '18.877', '', '', '', '0', '', ''], ['SIZ1', '', '19.050', '', '', '', '0', '', ''], ['SIN2', '', '19.222', '', '', '', '0', '', '']]
2017-08-30 16:30 Wed // ['182823', '201958', '388'] // ['SIZ7', '17.480', '17.516', '17.440', '17.555', '17.370', '86862', '151651', '188'] // [['SIU7', '17.385', '17.426', '17.390', '17.460', '17.285', '21128', '14125', '200'], ['SIV7', '17.410', '17.451', '17.425', '17.475', '17.345', '220', '873', '0'], ['SIX7', '', '0.000', '', '', '', '0', '', ''], ['SIZ7', '17.480', '17.516', '17.440', '17.555', '17.370', '86862', '151651', '188'], ['SIF8', '', '17.547', '', '', '', '10', '56', '0'], ['SIH8', '17.565', '17.608', '17.545', '17.625', '17.490', '1251', '9263', '0'], ['SIK8', '', '17.671', '', '', '', '63', '2729', '0'], ['SIN8', '', '17.734', '', '', '', '24', '1463', '0'], ['SIU8', '', '17.797', '', '', '', '47', '382', '0'], ['SIZ8', '', '17.893', '', '', '', '66', '1696', '0'], ['SIF9', '', '17.940', '', '', '', '0', '49', '0'], ['SIH9', '', '17.982', '', '', '', '0', '', ''], ['SIK9', '', '18.017', '', '', '', '0', '', ''], ['SIN9', '', '18.055', '', '', '', '0', '110', '0'], ['SIZ9', '', '18.250', '', '', '', '2', '129', '0'], ['SIN0', '', '18.481', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.693', '', '', '', '0', '295', '0'], ['SIN1', '', '18.866', '', '', '', '0', '', ''], ['SIZ1', '', '19.039', '', '', '', '0', '', ''], ['SIN2', '', '19.211', '', '', '', '0', '', '']]
2017-08-31 16:30 Thu // ['178343', '111482', '0'] // ['SIZ7', '17.665', '17.503', '17.510', '17.695', '17.340', '79370', '156730', '0'] // [['SIU7', '17.575', '17.404', '17.420', '17.600', '17.255', '1469', '4103', '0'], ['SIV7', '17.600', '17.438', '17.395', '17.600', '17.275', '155', '890', '0'], ['SIX7', '17.450', '17.470', '17.440', '17.455', '17.440', '6', '', ''], ['SIZ7', '17.665', '17.503', '17.510', '17.695', '17.340', '79370', '156730', '0'], ['SIF8', '17.595', '17.535', '17.640', '17.640', '17.595', '11', '58', '0'], ['SIH8', '17.770', '17.597', '17.570', '17.790', '17.485', '1682', '9594', '0'], ['SIK8', '17.770', '17.660', '17.760', '17.770', '17.710', '121', '2742', '0'], ['SIN8', '', '17.723', '', '', '', '84', '1482', '0'], ['SIU8', '', '17.786', '', '', '', '28', '422', '0'], ['SIZ8', '18.035', '17.882', '17.980', '18.035', '17.925', '63', '1736', '0'], ['SIF9', '', '17.929', '', '', '', '0', '49', '0'], ['SIH9', '', '17.971', '', '', '', '0', '', ''], ['SIK9', '', '18.006', '', '', '', '0', '', ''], ['SIN9', '', '18.045', '', '', '', '0', '110', '0'], ['SIZ9', '', '18.240', '', '', '', '0', '131', '0'], ['SIN0', '', '18.471', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.683', '', '', '', '0', '295', '0'], ['SIN1', '', '18.856', '', '', '', '0', '', ''], ['SIZ1', '', '19.029', '', '', '', '0', '', ''], ['SIN2', '', '19.201', '', '', '', '0', '', '']]
2017-09-01 16:30 Fri // ['178897', '85153', '205'] // ['SIZ7', '17.780', '17.575', '17.660', '17.825', '17.505', '98262', '158485', '205'] // [['SIU7', '17.690', '17.480', '17.565', '17.720', '17.445', '530', '2179', '0'], ['SIV7', '17.730', '17.508', '17.545', '17.750', '17.470', '165', '899', '0'], ['SIX7', '17.660', '17.541', '17.560', '17.660', '17.560', '9', '6', '0'], ['SIZ7', '17.780', '17.575', '17.660', '17.825', '17.505', '98262', '158485', '205'], ['SIF8', '17.810', '17.606', '17.675', '17.835', '17.640', '12', '57', '0'], ['SIH8', '17.885', '17.667', '17.680', '17.915', '17.625', '1824', '10243', '0'], ['SIK8', '17.965', '17.728', '17.820', '17.965', '17.805', '342', '2760', '0'], ['SIN8', '', '17.789', '', '', '', '291', '1477', '0'], ['SIU8', '', '17.850', '', '', '', '0', '442', '0'], ['SIZ8', '18.145', '17.945', '17.970', '18.145', '17.970', '33', '1763', '0'], ['SIF9', '', '17.992', '', '', '', '0', '49', '0'], ['SIH9', '', '18.034', '', '', '', '0', '', ''], ['SIK9', '', '18.069', '', '', '', '0', '', ''], ['SIN9', '', '18.108', '', '', '', '0', '110', '0'], ['SIZ9', '', '18.303', '', '', '', '0', '131', '0'], ['SIN0', '', '18.534', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.746', '', '', '', '0', '295', '0'], ['SIN1', '', '18.919', '', '', '', '0', '', ''], ['SIZ1', '', '19.092', '', '', '', '0', '', ''], ['SIN2', '', '19.264', '', '', '', '0', '', '']]
2017-09-04 16:30 Mon // ['180204', '104583', '343'] // ['SIZ7', '17.980', '17.816', '17.880', '18.030', '17.835', '38530', '159225', '143'] // [['SIU7', '17.860', '17.719', '17.780', '17.880', '17.775', '344', '1875', '0'], ['SIV7', '17.915', '17.747', '17.905', '17.960', '17.800', '174', '912', '0'], ['SIX7', '17.905', '17.781', '17.855', '17.945', '17.855', '15', '15', '0'], ['SIZ7', '17.980', '17.816', '17.880', '18.030', '17.835', '38530', '159225', '143'], ['SIF8', '17.995', '17.848', '17.975', '17.995', '17.950', '16', '59', '0'], ['SIH8', '18.060', '17.909', '17.975', '18.105', '17.975', '95', '10820', '50'], ['SIK8', '', '17.969', '', '', '', '5', '2780', '100'], ['SIN8', '', '18.030', '', '', '', '0', '1731', '50'], ['SIU8', '', '18.091', '', '', '', '1', '442', '0'], ['SIZ8', '', '18.186', '', '', '', '0', '1759', '0'], ['SIF9', '', '18.233', '', '', '', '0', '49', '0'], ['SIH9', '', '18.275', '', '', '', '0', '', ''], ['SIK9', '', '18.310', '', '', '', '0', '', ''], ['SIN9', '', '18.349', '', '', '', '0', '110', '0'], ['SIZ9', '18.650', '18.544', '18.650', '18.650', '18.650', '1', '131', '0'], ['SIN0', '', '18.775', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.987', '', '', '', '0', '295', '0'], ['SIN1', '', '19.160', '', '', '', '0', '', ''], ['SIZ1', '', '19.333', '', '', '', '0', '', ''], ['SIN2', '', '19.505', '', '', '', '0', '', '']]
2017-09-05 16:30 Tue // ['179695', '104583', '343'] // ['SIZ7', '17.950', '17.816', '17.880', '18.090', '17.835', '122765', '158719', '143'] // [['SIU7', '17.895', '17.719', '17.780', '17.980', '17.775', '953', '1875', '0'], ['SIV7', '17.890', '17.747', '17.905', '18.005', '17.800', '335', '912', '0'], ['SIX7', '17.900', '17.781', '17.855', '18.020', '17.855', '59', '15', '0'], ['SIZ7', '17.950', '17.816', '17.880', '18.090', '17.835', '122765', '158719', '143'], ['SIF8', '18.050', '17.848', '17.975', '18.055', '17.950', '26', '59', '0'], ['SIH8', '18.105', '17.909', '17.975', '18.175', '17.975', '1169', '10817', '50'], ['SIK8', '18.105', '17.969', '18.210', '18.210', '18.105', '210', '2780', '100'], ['SIN8', '', '18.030', '', '', '', '79', '1731', '50'], ['SIU8', '18.215', '18.091', '18.240', '18.260', '18.215', '201', '442', '0'], ['SIZ8', '18.350', '18.186', '18.320', '18.350', '18.315', '8', '1759', '0'], ['SIF9', '', '18.233', '', '', '', '0', '49', '0'], ['SIH9', '', '18.275', '', '', '', '0', '', ''], ['SIK9', '', '18.310', '', '', '', '0', '', ''], ['SIN9', '', '18.349', '', '', '', '0', '110', '0'], ['SIZ9', '18.720', '18.544', '18.650', '18.720', '18.650', '3', '131', '0'], ['SIN0', '', '18.775', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.987', '', '', '', '0', '295', '0'], ['SIN1', '', '19.160', '', '', '', '0', '', ''], ['SIZ1', '', '19.333', '', '', '', '0', '', ''], ['SIN2', '', '19.505', '', '', '', '0', '', '']]
2017-09-06 16:30 Wed // ['183276', '132234', '911'] // ['SIZ7', '17.950', '17.941', '17.980', '18.070', '17.885', '70435', '161957', '911'] // [['SIU7', '17.845', '17.845', '17.915', '17.970', '17.800', '287', '1610', '0'], ['SIV7', '17.840', '17.871', '17.940', '17.990', '17.825', '154', '951', '0'], ['SIX7', '', '17.906', '', '', '', '0', '36', '0'], ['SIZ7', '17.950', '17.941', '17.980', '18.070', '17.885', '70435', '161957', '911'], ['SIF8', '17.985', '17.973', '18.045', '18.045', '17.985', '3', '61', '0'], ['SIH8', '18.040', '18.035', '18.075', '18.150', '17.995', '5023', '11383', '0'], ['SIK8', '18.060', '18.096', '18.170', '18.205', '18.060', '426', '2818', '0'], ['SIN8', '18.240', '18.157', '18.245', '18.245', '18.240', '330', '1722', '0'], ['SIU8', '', '18.218', '', '', '', '68', '393', '0'], ['SIZ8', '18.300', '18.313', '18.360', '18.415', '18.300', '36', '1761', '0'], ['SIF9', '', '18.360', '', '', '', '0', '49', '0'], ['SIH9', '', '18.402', '', '', '', '0', '', ''], ['SIK9', '', '18.437', '', '', '', '0', '', ''], ['SIN9', '', '18.476', '', '', '', '0', '110', '0'], ['SIZ9', '18.775', '18.671', '18.775', '18.775', '18.775', '1', '129', '0'], ['SIN0', '', '18.902', '', '', '', '0', '1', '0'], ['SIZ0', '19.090', '19.114', '19.090', '19.090', '19.090', '2', '295', '0'], ['SIN1', '', '19.287', '', '', '', '0', '', ''], ['SIZ1', '', '19.460', '', '', '', '0', '', ''], ['SIN2', '', '19.632', '', '', '', '0', '', '']]
2017-09-07 16:30 Thu // ['184142', '78980', '0'] // ['SIZ7', '18.180', '17.910', '17.950', '18.215', '17.865', '87256', '160556', '0'] // [['SIU7', '18.020', '17.816', '17.840', '18.060', '17.795', '805', '1566', '0'], ['SIV7', '18.115', '17.838', '17.855', '18.120', '17.820', '330', '949', '0'], ['SIX7', '18.090', '17.875', '17.930', '18.095', '17.925', '56', '32', '0'], ['SIZ7', '18.180', '17.910', '17.950', '18.215', '17.865', '87256', '160556', '0'], ['SIF8', '18.215', '17.942', '18.080', '18.215', '18.065', '5', '61', '0'], ['SIH8', '18.285', '18.004', '18.050', '18.295', '17.975', '1025', '13689', '0'], ['SIK8', '18.345', '18.064', '18.060', '18.345', '18.035', '421', '2821', '0'], ['SIN8', '', '18.124', '', '', '', '120', '1734', '0'], ['SIU8', '', '18.184', '', '', '', '22', '388', '0'], ['SIZ8', '18.450', '18.279', '18.390', '18.490', '18.390', '64', '1763', '0'], ['SIF9', '', '18.326', '', '', '', '0', '49', '0'], ['SIH9', '', '18.368', '', '', '', '0', '', ''], ['SIK9', '', '18.403', '', '', '', '0', '', ''], ['SIN9', '', '18.442', '', '', '', '0', '110', '0'], ['SIZ9', '18.800', '18.637', '18.675', '18.800', '18.675', '2', '129', '0'], ['SIN0', '', '18.868', '', '', '', '0', '1', '0'], ['SIZ0', '19.120', '19.080', '19.090', '19.120', '19.090', '86', '294', '0'], ['SIN1', '', '19.253', '', '', '', '0', '', ''], ['SIZ1', '', '19.426', '', '', '', '0', '', ''], ['SIN2', '', '19.598', '', '', '', '0', '', '']]
2017-09-08 16:30 Fri // ['187152', '92952', '86'] // ['SIZ7', '18.050', '18.116', '18.205', '18.290', '17.965', '84122', '162815', '0'] // [['SIU7', '18.000', '18.016', '18.090', '18.160', '17.915', '355', '1620', '0'], ['SIV7', '18.005', '18.042', '18.100', '18.205', '17.905', '409', '972', '0'], ['SIX7', '18.225', '18.080', '18.225', '18.225', '18.225', '72', '33', '0'], ['SIZ7', '18.050', '18.116', '18.205', '18.290', '17.965', '84122', '162815', '0'], ['SIF8', '18.135', '18.148', '18.260', '18.300', '18.125', '186', '62', '0'], ['SIH8', '18.165', '18.209', '18.280', '18.360', '18.060', '1867', '14230', '82'], ['SIK8', '18.245', '18.269', '18.360', '18.380', '18.120', '1452', '2867', '0'], ['SIN8', '18.395', '18.329', '18.390', '18.395', '18.390', '292', '1789', '0'], ['SIU8', '', '18.389', '', '', '', '132', '405', '0'], ['SIZ8', '18.470', '18.482', '18.520', '18.520', '18.470', '106', '1776', '4'], ['SIF9', '', '18.529', '', '', '', '0', '49', '0'], ['SIH9', '', '18.571', '', '', '', '0', '', ''], ['SIK9', '', '18.606', '', '', '', '0', '', ''], ['SIN9', '', '18.651', '', '', '', '0', '110', '0'], ['SIZ9', '', '18.818', '', '', '', '0', '129', '0'], ['SIN0', '', '19.001', '', '', '', '0', '1', '0'], ['SIZ0', '', '19.168', '', '', '', '0', '294', '0'], ['SIN1', '', '19.341', '', '', '', '0', '', ''], ['SIZ1', '', '19.514', '', '', '', '0', '', ''], ['SIN2', '', '19.686', '', '', '', '0', '', '']]
2017-09-11 17:11 Mon // ['188341', '91322', '740'] // ['SIZ7', '17.855', '18.123', '17.920', '17.990', '17.770', '77987', '162901', '360'] // [['SIU7', '17.775', '18.027', '17.890', '17.890', '17.695', '397', '1301', '0'], ['SIV7', '17.790', '18.051', '17.840', '17.910', '17.750', '134', '1066', '0'], ['SIX7', '17.785', '18.087', '17.840', '17.850', '17.750', '8', '56', '0'], ['SIZ7', '17.855', '18.123', '17.920', '17.990', '17.770', '77987', '162901', '360'], ['SIF8', '17.925', '18.155', '17.895', '17.960', '17.845', '135', '138', '0'], ['SIH8', '17.950', '18.217', '17.940', '18.050', '17.870', '5574', '14432', '95'], ['SIK8', '17.975', '18.277', '18.000', '18.100', '17.975', '1070', '3546', '190'], ['SIN8', '18.040', '18.338', '18.060', '18.060', '18.040', '378', '1948', '95'], ['SIU8', '', '18.401', '', '', '', '332', '493', '0'], ['SIZ8', '18.325', '18.494', '18.300', '18.325', '18.200', '99', '1877', '0'], ['SIF9', '', '18.541', '', '', '', '0', '49', '0'], ['SIH9', '', '18.583', '', '', '', '0', '', ''], ['SIK9', '', '18.618', '', '', '', '0', '', ''], ['SIN9', '', '18.664', '', '', '', '0', '110', '0'], ['SIZ9', '', '18.831', '', '', '', '0', '129', '0'], ['SIN0', '', '19.014', '', '', '', '0', '1', '0'], ['SIZ0', '', '19.181', '', '', '', '0', '294', '0'], ['SIN1', '', '19.354', '', '', '', '0', '', ''], ['SIZ1', '', '19.527', '', '', '', '0', '', ''], ['SIN2', '', '19.699', '', '', '', '0', '', '']]
2017-09-12 16:30 Tue // ['187176', '87955', '105'] // ['SIZ7', '17.950', '17.902', '17.885', '17.960', '17.785', '60853', '160530', '105'] // [['SIU7', '17.850', '17.807', '17.780', '17.850', '17.705', '326', '1054', '0'], ['SIV7', '17.870', '17.831', '17.820', '17.895', '17.735', '154', '1105', '0'], ['SIX7', '17.880', '17.866', '17.825', '17.880', '17.795', '6', '59', '0'], ['SIZ7', '17.950', '17.902', '17.885', '17.960', '17.785', '60853', '160530', '105'], ['SIF8', '17.940', '17.935', '17.865', '17.940', '17.865', '4', '138', '0'], ['SIH8', '18.050', '17.997', '17.905', '18.050', '17.895', '2744', '15065', '0'], ['SIK8', '18.105', '18.059', '18.005', '18.105', '18.005', '1124', '3986', '0'], ['SIN8', '18.095', '18.122', '18.110', '18.110', '18.095', '288', '1970', '0'], ['SIU8', '18.180', '18.187', '18.165', '18.180', '18.165', '575', '727', '0'], ['SIZ8', '18.260', '18.280', '18.185', '18.260', '18.180', '565', '1959', '0'], ['SIF9', '', '18.327', '', '', '', '0', '49', '0'], ['SIH9', '', '18.369', '', '', '', '0', '', ''], ['SIK9', '', '18.404', '', '', '', '0', '', ''], ['SIN9', '', '18.451', '', '', '', '0', '110', '0'], ['SIZ9', '', '18.618', '', '', '', '0', '129', '0'], ['SIN0', '', '18.801', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.968', '', '', '', '0', '294', '0'], ['SIN1', '', '19.141', '', '', '', '0', '', ''], ['SIZ1', '', '19.314', '', '', '', '0', '', ''], ['SIN2', '', '19.486', '', '', '', '0', '', '']]
2017-09-13 16:30 Wed // ['188207', '68435', '142'] // ['SIZ7', '17.835', '17.890', '17.970', '18.125', '17.725', '80358', '159583', '50'] // [['SIU7', '17.710', '17.795', '17.860', '17.910', '17.635', '424', '1077', '0'], ['SIV7', '17.750', '17.820', '18.030', '18.030', '17.660', '401', '1076', '0'], ['SIX7', '17.800', '17.855', '17.900', '17.970', '17.740', '14', '62', '0'], ['SIZ7', '17.835', '17.890', '17.970', '18.125', '17.725', '80358', '159583', '50'], ['SIF8', '17.795', '17.924', '17.965', '17.965', '17.795', '11', '136', '0'], ['SIH8', '17.920', '17.987', '18.075', '18.160', '17.830', '4631', '15736', '92'], ['SIK8', '17.975', '18.050', '18.250', '18.250', '17.975', '2543', '4257', '0'], ['SIN8', '17.990', '18.114', '17.990', '17.990', '17.990', '699', '2049', '0'], ['SIU8', '18.160', '18.182', '18.090', '18.160', '18.090', '555', '1217', '0'], ['SIZ8', '18.145', '18.278', '18.395', '18.400', '18.125', '683', '2431', '0'], ['SIF9', '', '18.325', '', '', '', '0', '49', '0'], ['SIH9', '', '18.367', '', '', '', '0', '', ''], ['SIK9', '', '18.402', '', '', '', '0', '', ''], ['SIN9', '', '18.450', '', '', '', '0', '110', '0'], ['SIZ9', '', '18.617', '', '', '', '0', '129', '0'], ['SIN0', '', '18.800', '', '', '', '0', '1', '0'], ['SIZ0', '18.900', '18.967', '18.900', '18.900', '18.900', '2', '294', '0'], ['SIN1', '', '19.140', '', '', '', '0', '', ''], ['SIZ1', '', '19.313', '', '', '', '0', '', ''], ['SIN2', '', '19.485', '', '', '', '0', '', '']]
