2017-08-29 16:30 Tue // ['659082', '132922', '0'] // ['ZSX7', '936.4', '941.2', '940.2', '943.6', '934.4', '94477', '382850', '0'] // [['ZSU7', '929.4', '935.2', '934.4', '937.2', '929.4', '16591', '20521', '0'], ['ZSX7', '936.4', '941.2', '940.2', '943.6', '934.4', '94477', '382850', '0'], ['ZSF8', '945.6', '950.2', '949.0', '952.6', '943.4', '22976', '74145', '0'], ['ZSH8', '954.4', '959.2', '958.2', '961.4', '952.4', '12446', '62027', '0'], ['ZSK8', '963.0', '967.2', '966.4', '969.4', '960.4', '3861', '35501', '0'], ['ZSN8', '970.0', '974.0', '973.4', '976.4', '967.4', '3194', '54793', '0'], ['ZSQ8', '972.6', '974.4', '974.4', '974.4', '967.6', '76', '1927', '0'], ['ZSU8', '964.6', '966.0', '966.6', '966.6', '960.2', '477', '668', '0'], ['ZSX8', '955.0', '958.2', '957.4', '959.6', '952.6', '2272', '25982', '0'], ['ZSF9', '', '963.0', '', '', '', '0', '179', '0'], ['ZSH9', '', '965.6', '', '', '', '0', '59', '0'], ['ZSK9', '', '969.0', '', '', '', '0', '27', '0'], ['ZSN9', '', '972.4', '', '', '', '0', '46', '0'], ['ZSQ9', '', '970.2', '', '', '', '0', '7', '0'], ['ZSU9', '', '964.4', '', '', '', '0', '14', '0'], ['ZSX9', '955.2', '956.0', '955.6', '955.6', '955.2', '12', '314', '0'], ['ZSN0', '', '970.0', '', '', '', '0', '5', '0'], ['ZSX0', '', '950.4', '', '', '', '0', '17', '0']]
2017-08-30 16:30 Wed // ['652422', '166223', '0'] // ['ZSX7', '932.4', '937.2', '936.4', '941.0', '931.4', '91752', '381664', '0'] // [['ZSU7', '922.2', '930.6', '929.6', '933.6', '921.6', '20004', '12467', '0'], ['ZSX7', '932.4', '937.2', '936.4', '941.0', '931.4', '91752', '381664', '0'], ['ZSF8', '941.4', '946.4', '945.6', '950.0', '940.6', '21719', '75684', '0'], ['ZSH8', '950.6', '955.4', '954.6', '959.2', '950.0', '13924', '61613', '0'], ['ZSK8', '959.4', '963.6', '962.6', '967.0', '958.2', '4630', '36230', '0'], ['ZSN8', '966.4', '970.4', '970.4', '974.0', '965.6', '5398', '55242', '0'], ['ZSQ8', '967.6', '971.0', '971.4', '971.4', '967.6', '22', '1957', '0'], ['ZSU8', '959.4', '962.4', '964.4', '964.4', '959.4', '24', '794', '0'], ['ZSX8', '954.4', '955.2', '955.0', '958.4', '952.2', '1725', '26094', '0'], ['ZSF9', '964.0', '960.0', '963.4', '964.0', '963.4', '2', '179', '0'], ['ZSH9', '', '962.4', '', '', '', '0', '59', '0'], ['ZSK9', '', '965.6', '', '', '', '0', '27', '0'], ['ZSN9', '', '969.0', '', '', '', '0', '46', '0'], ['ZSQ9', '', '966.6', '', '', '', '0', '7', '0'], ['ZSU9', '', '961.0', '', '', '', '0', '14', '0'], ['ZSX9', '952.4', '952.6', '954.0', '954.0', '952.4', '19', '323', '0'], ['ZSN0', '', '966.6', '', '', '', '0', '5', '0'], ['ZSX0', '', '947.2', '', '', '', '0', '17', '0']]
2017-08-31 16:30 Thu // ['653141', '168127', '0'] // ['ZSX7', '946.2', '933.2', '932.4', '948.6', '932.2', '108045', '383463', '0'] // [['ZSU7', '936.6', '923.0', '923.4', '939.6', '923.4', '4188', '4660', '0'], ['ZSX7', '946.2', '933.2', '932.4', '948.6', '932.2', '108045', '383463', '0'], ['ZSF8', '956.0', '942.6', '941.2', '958.0', '941.2', '18903', '78910', '0'], ['ZSH8', '965.4', '952.2', '951.4', '967.2', '951.4', '10630', '63091', '0'], ['ZSK8', '974.0', '960.6', '961.0', '976.0', '960.4', '4766', '37141', '0'], ['ZSN8', '981.0', '967.6', '967.6', '983.0', '967.0', '4071', '56342', '0'], ['ZSQ8', '979.0', '968.2', '969.2', '980.6', '969.0', '77', '1957', '0'], ['ZSU8', '972.6', '961.0', '965.2', '972.6', '965.2', '28', '793', '0'], ['ZSX8', '968.2', '954.6', '955.4', '969.2', '954.6', '2038', '26097', '0'], ['ZSF9', '963.6', '959.4', '963.6', '963.6', '963.6', '6', '180', '0'], ['ZSH9', '974.0', '962.0', '973.0', '974.0', '973.0', '15', '59', '0'], ['ZSK9', '', '965.2', '', '', '', '0', '27', '0'], ['ZSN9', '981.2', '969.2', '981.6', '981.6', '981.2', '44', '46', '0'], ['ZSQ9', '', '967.0', '', '', '', '0', '7', '0'], ['ZSU9', '', '961.2', '', '', '', '0', '14', '0'], ['ZSX9', '963.4', '951.6', '965.0', '965.0', '963.0', '31', '332', '0'], ['ZSN0', '', '965.6', '', '', '', '0', '5', '0'], ['ZSX0', '', '946.2', '', '', '', '0', '17', '0']]
2017-09-01 16:30 Fri // ['657710', '167590', '0'] // ['ZSX7', '950.2', '945.2', '945.2', '952.0', '943.0', '85495', '383732', '0'] // [['ZSU7', '942.0', '936.2', '937.2', '943.2', '935.4', '1686', '2845', '0'], ['ZSX7', '950.2', '945.2', '945.2', '952.0', '943.0', '85495', '383732', '0'], ['ZSF8', '959.6', '954.6', '954.6', '961.4', '952.4', '18661', '81005', '0'], ['ZSH8', '969.2', '964.2', '964.4', '971.0', '961.6', '8656', '66073', '0'], ['ZSK8', '977.6', '972.6', '973.2', '979.4', '970.4', '6960', '37356', '0'], ['ZSN8', '984.4', '980.0', '980.2', '986.2', '977.6', '5145', '56854', '0'], ['ZSQ8', '985.6', '980.6', '981.4', '985.6', '979.6', '65', '1965', '0'], ['ZSU8', '977.0', '973.0', '972.4', '977.0', '972.4', '15', '783', '0'], ['ZSX8', '972.2', '966.6', '968.0', '973.6', '965.2', '1528', '26352', '0'], ['ZSF9', '977.4', '971.2', '971.0', '977.4', '971.0', '54', '179', '0'], ['ZSH9', '', '973.0', '', '', '', '59', '62', '0'], ['ZSK9', '', '975.4', '', '', '', '0', '27', '0'], ['ZSN9', '', '979.2', '', '', '', '0', '81', '0'], ['ZSQ9', '', '977.0', '', '', '', '0', '7', '0'], ['ZSU9', '', '971.2', '', '', '', '0', '14', '0'], ['ZSX9', '966.6', '963.4', '965.2', '968.2', '965.2', '18', '353', '0'], ['ZSN0', '', '977.4', '', '', '', '0', '5', '0'], ['ZSX0', '', '958.0', '', '', '', '0', '17', '0']]
2017-09-04 16:30 Mon // ['662695', '135512', '0'] // [] // [['ZSU7', '', '942.0', '', '', '', '0', '1732', '0'], ['ZSX7', '', '949.4', '', '', '', '0', '385836', '0'], ['ZSF8', '', '959.2', '', '', '', '0', '82429', '0'], ['ZSH8', '', '968.4', '', '', '', '0', '66422', '0'], ['ZSK8', '', '977.4', '', '', '', '0', '37871', '0'], ['ZSN8', '', '985.0', '', '', '', '0', '58109', '0'], ['ZSQ8', '', '985.4', '', '', '', '0', '1965', '0'], ['ZSU8', '', '978.2', '', '', '', '0', '781', '0'], ['ZSX8', '', '972.4', '', '', '', '0', '26760', '0'], ['ZSF9', '', '977.0', '', '', '', '0', '180', '0'], ['ZSH9', '', '979.4', '', '', '', '0', '115', '0'], ['ZSK9', '', '982.2', '', '', '', '0', '27', '0'], ['ZSN9', '', '986.0', '', '', '', '0', '81', '0'], ['ZSQ9', '', '983.6', '', '', '', '0', '7', '0'], ['ZSU9', '', '978.0', '', '', '', '0', '14', '0'], ['ZSX9', '', '968.0', '', '', '', '0', '344', '0'], ['ZSN0', '', '982.0', '', '', '', '0', '5', '0'], ['ZSX0', '', '962.4', '', '', '', '0', '17', '0']]
2017-09-05 16:30 Tue // ['661828', '135512', '0'] // ['ZSX7', '968.6', '949.4', '953.6', '973.4', '952.2', '153946', '384969', '0'] // [['ZSU7', '961.2', '942.0', '945.0', '965.0', '945.0', '1399', '1732', '0'], ['ZSX7', '968.6', '949.4', '953.6', '973.4', '952.2', '153946', '384969', '0'], ['ZSF8', '978.2', '959.2', '964.0', '983.0', '962.0', '28347', '82429', '0'], ['ZSH8', '987.4', '968.4', '974.0', '992.2', '971.6', '15521', '66422', '0'], ['ZSK8', '996.2', '977.4', '981.2', '1000.6', '980.6', '7463', '37871', '0'], ['ZSN8', '1003.0', '985.0', '988.4', '1007.4', '987.6', '8616', '58109', '0'], ['ZSQ8', '1002.0', '985.4', '994.0', '1005.0', '994.0', '155', '1965', '0'], ['ZSU8', '994.4', '978.2', '996.2', '996.4', '993.2', '28', '781', '0'], ['ZSX8', '988.2', '972.4', '975.6', '993.4', '975.2', '2400', '26760', '0'], ['ZSF9', '993.0', '977.0', '977.0', '993.4', '977.0', '68', '180', '0'], ['ZSH9', '989.2', '979.4', '989.2', '989.2', '989.2', '33', '115', '0'], ['ZSK9', '', '982.2', '', '', '', '0', '27', '0'], ['ZSN9', '', '986.0', '', '', '', '2', '81', '0'], ['ZSQ9', '', '983.6', '', '', '', '0', '7', '0'], ['ZSU9', '', '978.0', '', '', '', '0', '14', '0'], ['ZSX9', '', '968.0', '', '', '', '6', '344', '0'], ['ZSN0', '', '982.0', '', '', '', '0', '5', '0'], ['ZSX0', '965.0', '962.4', '965.0', '965.0', '965.0', '3', '17', '0']]
2017-09-06 16:30 Wed // ['663179', '227786', '0'] // ['ZSX7', '971.2', '968.4', '967.0', '976.6', '964.6', '104309', '386099', '0'] // [['ZSU7', '965.4', '960.4', '960.4', '968.2', '960.0', '910', '954', '0'], ['ZSX7', '971.2', '968.4', '967.0', '976.6', '964.6', '104309', '386099', '0'], ['ZSF8', '980.4', '978.2', '976.4', '986.2', '974.4', '21539', '81340', '0'], ['ZSH8', '989.2', '987.4', '986.0', '995.2', '983.6', '7991', '67034', '0'], ['ZSK8', '998.0', '996.2', '994.6', '1003.4', '992.2', '5831', '37143', '0'], ['ZSN8', '1004.6', '1003.2', '1001.6', '1010.4', '999.2', '5425', '60573', '0'], ['ZSQ8', '1008.2', '1004.0', '1008.2', '1008.2', '1008.2', '84', '1976', '0'], ['ZSU8', '999.0', '995.4', '1001.0', '1001.0', '999.0', '31', '789', '0'], ['ZSX8', '988.6', '988.2', '987.2', '994.4', '984.6', '3076', '26431', '0'], ['ZSF9', '', '993.4', '', '', '', '0', '209', '0'], ['ZSH9', '', '996.0', '', '', '', '0', '136', '0'], ['ZSK9', '', '998.6', '', '', '', '0', '27', '0'], ['ZSN9', '', '1002.4', '', '', '', '0', '81', '0'], ['ZSQ9', '', '1000.2', '', '', '', '0', '7', '0'], ['ZSU9', '', '994.4', '', '', '', '0', '14', '0'], ['ZSX9', '983.4', '981.6', '986.4', '986.4', '983.4', '28', '346', '0'], ['ZSN0', '', '995.6', '', '', '', '0', '5', '0'], ['ZSX0', '975.0', '972.6', '975.0', '975.0', '975.0', '4', '15', '0']]
2017-09-07 16:30 Thu // ['658109', '159425', '0'] // ['ZSX7', '969.0', '971.0', '971.0', '977.4', '965.6', '86480', '380060', '0'] // [['ZSU7', '965.2', '964.4', '963.0', '970.0', '959.2', '330', '495', '0'], ['ZSX7', '969.0', '971.0', '971.0', '977.4', '965.6', '86480', '380060', '0'], ['ZSF8', '978.6', '980.6', '980.2', '986.6', '975.2', '13997', '82361', '0'], ['ZSH8', '987.4', '989.6', '989.6', '995.2', '984.2', '7600', '66942', '0'], ['ZSK8', '995.2', '998.2', '998.0', '1003.6', '993.0', '4480', '36931', '0'], ['ZSN8', '1003.0', '1005.2', '1005.0', '1010.4', '1000.0', '6347', '60973', '0'], ['ZSQ8', '1003.6', '1005.6', '1001.4', '1008.0', '1001.4', '161', '1974', '0'], ['ZSU8', '1000.0', '996.6', '998.0', '1000.0', '997.0', '46', '787', '0'], ['ZSX8', '988.4', '989.2', '989.2', '994.2', '985.0', '2121', '26726', '0'], ['ZSF9', '994.4', '994.2', '994.4', '994.4', '994.4', '18', '209', '0'], ['ZSH9', '995.0', '997.0', '995.0', '995.0', '995.0', '16', '136', '0'], ['ZSK9', '1000.0', '999.6', '1000.0', '1000.0', '1000.0', '5', '27', '0'], ['ZSN9', '1004.2', '1003.0', '1005.0', '1005.0', '1004.2', '6', '81', '0'], ['ZSQ9', '1000.0', '1000.6', '1000.0', '1000.0', '1000.0', '12', '7', '0'], ['ZSU9', '', '995.0', '', '', '', '0', '14', '0'], ['ZSX9', '985.4', '983.2', '980.0', '985.4', '980.0', '5', '366', '0'], ['ZSN0', '', '997.2', '', '', '', '0', '5', '0'], ['ZSX0', '', '974.2', '', '', '', '0', '15', '0']]
2017-09-08 16:30 Fri // ['653567', '130893', '0'] // ['ZSX7', '961.4', '968.6', '968.0', '976.6', '961.4', '98100', '375240', '0'] // [['ZSU7', '956.6', '963.2', '966.6', '968.0', '956.2', '152', '258', '0'], ['ZSX7', '961.4', '968.6', '968.0', '976.6', '961.4', '98100', '375240', '0'], ['ZSF8', '971.4', '978.4', '977.6', '986.2', '971.2', '27612', '82230', '0'], ['ZSH8', '980.2', '987.2', '986.0', '995.0', '980.0', '12398', '67497', '0'], ['ZSK8', '988.4', '995.6', '994.2', '1003.0', '988.2', '7233', '35765', '0'], ['ZSN8', '995.4', '1003.0', '1003.0', '1010.2', '995.4', '7365', '61651', '0'], ['ZSQ8', '999.4', '1004.0', '1006.6', '1007.0', '999.4', '77', '2055', '0'], ['ZSU8', '991.0', '995.4', '998.0', '998.0', '990.2', '43', '796', '0'], ['ZSX8', '980.4', '988.4', '986.6', '993.6', '980.0', '4287', '27179', '0'], ['ZSF9', '988.2', '993.6', '990.0', '990.0', '988.2', '33', '221', '0'], ['ZSH9', '993.6', '996.2', '993.6', '993.6', '993.6', '54', '146', '0'], ['ZSK9', '998.6', '1000.2', '995.0', '998.6', '995.0', '86', '28', '0'], ['ZSN9', '1000.0', '1005.4', '1006.0', '1006.0', '1000.0', '71', '84', '0'], ['ZSQ9', '', '1003.2', '', '', '', '0', '14', '0'], ['ZSU9', '', '997.2', '', '', '', '0', '14', '0'], ['ZSX9', '980.0', '982.4', '980.0', '980.0', '980.0', '8', '369', '0'], ['ZSN0', '', '996.4', '', '', '', '0', '5', '0'], ['ZSX0', '', '973.4', '', '', '', '0', '15', '0']]
2017-09-11 17:11 Mon // ['649522', '167876', '0'] // ['ZSX7', '961.2', '962.0', '964.0', '968.4', '956.6', '85681', '369919', '0'] // [['ZSU7', '955.4', '956.4', '955.0', '955.4', '952.0', '51', '105', '0'], ['ZSX7', '961.2', '962.0', '964.0', '968.4', '956.6', '85681', '369919', '0'], ['ZSF8', '971.2', '972.0', '973.6', '978.2', '966.6', '18881', '83034', '0'], ['ZSH8', '980.2', '980.4', '982.2', '987.0', '975.4', '11313', '66789', '0'], ['ZSK8', '988.4', '988.6', '991.0', '995.2', '983.6', '4444', '35324', '0'], ['ZSN8', '996.0', '996.0', '997.6', '1002.2', '991.6', '3275', '62612', '0'], ['ZSQ8', '993.4', '997.0', '998.4', '998.4', '992.6', '51', '2067', '0'], ['ZSU8', '986.0', '988.2', '987.6', '987.6', '985.2', '31', '798', '0'], ['ZSX8', '981.0', '981.0', '982.0', '986.4', '976.4', '2236', '27932', '0'], ['ZSF9', '985.2', '987.0', '986.2', '986.2', '984.2', '12', '224', '0'], ['ZSH9', '', '990.4', '', '', '', '19', '154', '0'], ['ZSK9', '', '994.2', '', '', '', '13', '34', '0'], ['ZSN9', '', '998.6', '', '', '', '0', '109', '0'], ['ZSQ9', '', '995.2', '', '', '', '0', '14', '0'], ['ZSU9', '990.0', '991.0', '990.0', '990.0', '990.0', '7', '14', '0'], ['ZSX9', '', '976.0', '', '', '', '24', '373', '0'], ['ZSN0', '', '990.0', '', '', '', '0', '5', '0'], ['ZSX0', '', '967.0', '', '', '', '0', '15', '0']]
2017-09-12 16:30 Tue // ['653453', '140011', '0'] // ['ZSX7', '950.4', '960.0', '960.6', '965.4', '937.4', '164290', '369304', '0'] // [['ZSU7', '942.4', '954.6', '955.2', '955.2', '937.4', '52', '59', '0'], ['ZSX7', '950.4', '960.0', '960.6', '965.4', '937.4', '164290', '369304', '0'], ['ZSF8', '960.6', '970.0', '971.0', '975.4', '947.4', '31964', '87206', '0'], ['ZSH8', '969.4', '978.4', '979.4', '983.6', '956.4', '17120', '66720', '0'], ['ZSK8', '978.0', '987.2', '988.0', '992.0', '965.0', '9712', '36053', '0'], ['ZSN8', '985.4', '994.6', '996.0', '999.4', '973.2', '11073', '62286', '0'], ['ZSQ8', '987.0', '995.6', '993.2', '994.4', '977.2', '241', '2067', '0'], ['ZSU8', '980.0', '987.6', '990.6', '990.6', '980.0', '98', '805', '0'], ['ZSX8', '971.6', '980.2', '980.2', '984.2', '959.2', '7873', '27999', '0'], ['ZSF9', '983.6', '986.2', '983.6', '983.6', '983.6', '17', '220', '0'], ['ZSH9', '', '989.2', '', '', '', '1', '154', '0'], ['ZSK9', '', '992.4', '', '', '', '1', '43', '0'], ['ZSN9', '985.6', '997.0', '985.6', '985.6', '985.6', '2', '109', '0'], ['ZSQ9', '', '993.4', '', '', '', '0', '14', '0'], ['ZSU9', '', '989.2', '', '', '', '0', '21', '0'], ['ZSX9', '965.0', '975.2', '961.4', '965.0', '955.0', '46', '373', '0'], ['ZSN0', '', '989.2', '', '', '', '0', '5', '0'], ['ZSX0', '', '966.2', '', '', '', '0', '15', '0']]
