2017-08-29 16:30 Tue // ['3465664', '3514549', '3600'] // ['ZNU7', '127.070', '127.000', '127.010', '127.190', '127.010', '2542123', '1105525', '3600'] // [['ZNU7', '127.070', '127.000', '127.010', '127.190', '127.010', '2542123', '1105525', '3600'], ['ZNZ7', '126.315', '126.235', '126.270', '127.105', '126.240', '1855688', '2360139', '0'], ['ZNH8', '', '126.115', '', '', '', '0', '', '']]
2017-08-30 16:30 Wed // ['3578517', '4584633', '36500'] // ['ZNZ7', '126.270', '126.300', '126.305', '127.000', '126.230', '1224226', '3036440', '10000'] // [['ZNU7', '127.035', '127.060', '127.065', '127.075', '126.315', '1185815', '542077', '26500'], ['ZNZ7', '126.270', '126.300', '126.305', '127.000', '126.230', '1224226', '3036440', '10000'], ['ZNH8', '', '126.180', '', '', '', '0', '', '']]
2017-08-31 16:30 Thu // ['3500533', '2543187', '10000'] // ['ZNZ7', '126.315', '126.260', '126.285', '127.010', '126.230', '1301564', '3234592', '10000'] // [['ZNU7', '127.080', '127.025', '127.045', '127.095', '126.315', '234592', '265941', '0'], ['ZNZ7', '126.315', '126.260', '126.285', '127.010', '126.230', '1301564', '3234592', '10000'], ['ZNH8', '', '126.140', '', '', '', '0', '', '']]
2017-09-01 16:30 Fri // ['3426366', '1636358', '5000'] // ['ZNZ7', '126.210', '126.315', '127.005', '127.075', '126.195', '1493462', '3235554', '5000'] // [['ZNU7', '126.295', '127.080', '127.085', '127.155', '126.280', '109915', '190812', '0'], ['ZNZ7', '126.210', '126.315', '127.005', '127.075', '126.195', '1493462', '3235554', '5000'], ['ZNH8', '', '126.195', '', '', '', '0', '', '']]
2017-09-04 16:30 Mon // ['3432109', '1687403', '6700'] // ['ZNZ7', '126.285', '126.215', '126.295', '126.305', '126.255', '173579', '3280023', '6700'] // [['ZNU7', '127.050', '126.305', '127.055', '127.070', '127.020', '16024', '152086', '0'], ['ZNZ7', '126.285', '126.215', '126.295', '126.305', '126.255', '173579', '3280023', '6700'], ['ZNH8', '', '126.095', '', '', '', '0', '', ''], ['ZNM8', '', '', '', '', '', '0', '', '']]
2017-09-05 16:30 Tue // ['3427917', '1687403', '6700'] // ['ZNZ7', '127.135', '126.215', '126.295', '127.150', '126.240', '1666736', '3276777', '6700'] // [['ZNU7', '127.205', '126.305', '127.055', '127.230', '127.005', '75434', '151140', '0'], ['ZNZ7', '127.135', '126.215', '126.295', '127.150', '126.240', '1666736', '3276777', '6700'], ['ZNH8', '', '126.095', '', '', '', '0', '', ''], ['ZNM8', '', '', '', '', '', '0', '', '']]
2017-09-06 16:30 Wed // ['3403957', '1851713', '0'] // ['ZNZ7', '127.040', '127.135', '127.150', '127.180', '127.020', '1346356', '3282967', '0'] // [['ZNU7', '127.120', '127.215', '127.230', '127.260', '127.105', '31204', '120990', '0'], ['ZNZ7', '127.040', '127.135', '127.150', '127.180', '127.020', '1346356', '3282967', '0'], ['ZNH8', '', '127.015', '', '', '', '0', '', ''], ['ZNM8', '', '', '', '', '', '0', '', '']]
2017-09-07 16:30 Thu // ['3413479', '1462740', '0'] // ['ZNZ7', '127.200', '127.030', '127.035', '127.230', '127.030', '1448157', '3306776', '0'] // [['ZNU7', '127.280', '127.110', '127.125', '127.305', '127.125', '29381', '106703', '0'], ['ZNZ7', '127.200', '127.030', '127.035', '127.230', '127.030', '1448157', '3306776', '0'], ['ZNH8', '', '126.230', '', '', '', '0', '', ''], ['ZNM8', '', '', '', '', '', '0', '', '']]
2017-09-08 16:30 Fri // ['3337662', '1584602', '225'] // ['ZNZ7', '127.165', '127.165', '127.205', '127.285', '127.125', '1339071', '3243424', '225'] // [['ZNU7', '127.245', '127.245', '127.275', '128.035', '127.205', '14761', '94238', '0'], ['ZNZ7', '127.165', '127.165', '127.205', '127.285', '127.125', '1339071', '3243424', '225'], ['ZNH8', '', '127.045', '', '', '', '0', '', ''], ['ZNM8', '', '0', '', '', '', '0', '', '']]
2017-09-11 17:11 Mon // ['3355805', '1433963', '0'] // ['ZNZ7', '126.300', '127.160', '127.090', '127.100', '126.280', '933598', '3267438', '0'] // [['ZNU7', '127.055', '127.240', '127.165', '127.175', '127.045', '11541', '88367', '0'], ['ZNZ7', '126.300', '127.160', '127.090', '127.100', '126.280', '933598', '3267438', '0'], ['ZNH8', '', '127.060', '', '', '', '0', '', ''], ['ZNM8', '', '0', '', '', '', '0', '', '']]
2017-09-12 16:30 Tue // ['3335660', '988398', '7000'] // ['ZNZ7', '126.215', '127.000', '126.305', '127.005', '126.180', '1149401', '3252582', '7000'] // [['ZNU7', '126.300', '127.080', '127.080', '127.080', '126.265', '11882', '83078', '0'], ['ZNZ7', '126.215', '127.000', '126.305', '127.005', '126.180', '1149401', '3252582', '7000'], ['ZNH8', '', '126.220', '', '', '', '0', '', ''], ['ZNM8', '', '0', '', '', '', '0', '', '']]
2017-09-13 16:30 Wed // ['3304468', '1228522', '5100'] // ['ZNZ7', '126.140', '126.205', '126.205', '126.250', '126.130', '947017', '3228904', '5100'] // [['ZNU7', '126.225', '126.290', '126.305', '127.010', '126.215', '17193', '75564', '0'], ['ZNZ7', '126.140', '126.205', '126.205', '126.250', '126.130', '947017', '3228904', '5100'], ['ZNH8', '', '126.105', '', '', '', '0', '', ''], ['ZNM8', '', '0', '', '', '', '0', '', '']]
2017-09-14 16:30 Thu // ['3328540', '1054695', '10150'] // ['ZNZ7', '126.140', '126.145', '126.160', '126.180', '126.055', '1357807', '3258319', '10150'] // [['ZNU7', '126.225', '126.230', '126.255', '126.260', '126.150', '9632', '70221', '0'], ['ZNZ7', '126.140', '126.145', '126.160', '126.180', '126.055', '1357807', '3258319', '10150'], ['ZNH8', '', '126.045', '', '', '', '0', '', ''], ['ZNM8', '', '0', '', '', '', '0', '', '']]
2017-09-15 16:30 Fri // ['3335646', '1480031', '24733'] // ['ZNZ7', '126.100', '126.130', '126.160', '126.180', '126.065', '1079539', '3270467', '24733'] // [['ZNU7', '126.190', '126.220', '126.260', '126.265', '126.165', '7982', '65179', '0'], ['ZNZ7', '126.100', '126.130', '126.160', '126.180', '126.065', '1079539', '3270467', '24733'], ['ZNH8', '', '126.030', '', '', '', '0', '', ''], ['ZNM8', '', '0', '', '', '', '0', '', '']]
2017-09-18 16:40 Mon // ['3310274', '1136337', '0'] // ['ZNZ7', '126.025', '126.100', '126.085', '126.090', '126.010', '754442', '3247730', '0'] // [['ZNU7', '126.120', '126.190', '126.170', '126.180', '126.115', '4625', '62544', '0'], ['ZNZ7', '126.025', '126.100', '126.085', '126.090', '126.010', '754442', '3247730', '0'], ['ZNH8', '125.220', '126.000', '125.220', '125.220', '125.220', '13', '', ''], ['ZNM8', '', '0', '', '', '', '0', '', '']]
2017-09-19 16:30 Tue // ['3314081', '797916', '6950'] // ['ZNZ7', '125.305', '126.025', '126.030', '126.070', '125.305', '1031080', '3253861', '6950'] // [['ZNU7', '126.080', '126.120', '126.145', '126.160', '126.080', '8120', '60209', '0'], ['ZNZ7', '125.305', '126.025', '126.030', '126.070', '125.305', '1031080', '3253861', '6950'], ['ZNH8', '', '125.245', '', '', '', '0', '11', '0'], ['ZNM8', '', '0', '', '', '', '0', '', '']]
2017-09-20 16:30 Wed // ['3273096', '1120647', '0'] // ['ZNZ7', '125.230', '125.315', '125.305', '126.055', '125.170', '1442026', '3221634', '0'] // [['ZNU7', '126.110', '126.090', '126.100', '126.140', '126.095', '9392', '51451', '0'], ['ZNZ7', '125.230', '125.315', '125.305', '126.055', '125.170', '1442026', '3221634', '0'], ['ZNH8', '125.085', '125.215', '125.225', '125.225', '125.085', '147', '11', '0'], ['ZNM8', '', '0', '', '', '', '0', '', '']]
2017-09-21 16:30 Thu // ['3267211', '1565961', '14200'] // ['ZNZ7', '125.195', '125.200', '125.220', '125.290', '125.180', '1170062', '3226333', '14200'] // [['ZNZ7', '125.195', '125.200', '125.220', '125.290', '125.180', '1170062', '3226333', '14200'], ['ZNH8', '125.120', '125.095', '125.120', '125.120', '125.120', '30', '83', '0'], ['ZNM8', '', '125.095', '', '', '', '0', '', '']]
2017-09-22 16:54 Fri // ['3220851', '1288529', '36847'] // ['ZNZ7', '125.260', '125.200', '125.190', '125.300', '125.185', '1165122', '3179840', '36847'] // [['ZNZ7', '125.260', '125.200', '125.190', '125.300', '125.185', '1165122', '3179840', '36847'], ['ZNH8', '125.195', '125.095', '125.195', '125.195', '125.195', '31', '216', '0'], ['ZNM8', '', '125.050', '', '', '', '0', '', '']]
2017-09-25 16:13 Mon // ['3213977', '1231894', '11000'] // ['ZNZ7', '126.015', '125.235', '125.240', '126.045', '125.230', '1212208', '3172939', '11000'] // [['ZNZ7', '126.015', '125.235', '125.240', '126.045', '125.230', '1212208', '3172939', '11000'], ['ZNH8', '125.255', '125.135', '125.220', '125.255', '125.220', '84', '243', '0'], ['ZNM8', '', '125.090', '', '', '', '0', '', '']]
2017-09-27 16:15 Wed // ['3212109', '1086031', '9364'] // ['ZNZ7', '125.155', '126.000', '125.300', '125.305', '125.100', '1842608', '3170919', '9364'] // [['ZNZ7', '125.155', '126.000', '125.300', '125.305', '125.100', '1842608', '3170919', '9364'], ['ZNH8', '125.055', '125.225', '125.055', '125.055', '125.055', '532', '395', '0'], ['ZNM8', '', '125.180', '', '', '', '0', '', '']]
2017-09-28 16:15 Thu // ['3236012', '2015235', '57913'] // ['ZNZ7', '125.170', '125.140', '125.135', '125.180', '125.020', '1575784', '3194304', '57913'] // [['ZNZ7', '125.170', '125.140', '125.135', '125.180', '125.020', '1575784', '3194304', '57913'], ['ZNH8', '124.275', '125.035', '125.020', '125.020', '124.245', '337', '913', '0'], ['ZNM8', '', '124.310', '', '', '', '0', '', '']]
2017-09-29 16:15 Fri // ['3188458', '1669305', '11662'] // ['ZNZ7', '125.075', '125.175', '125.170', '125.200', '125.065', '1660585', '3187166', '11662'] // [['ZNZ7', '125.075', '125.175', '125.170', '125.200', '125.065', '1660585', '3187166', '11662'], ['ZNH8', '124.295', '125.075', '125.050', '125.050', '124.295', '165', '1292', '0'], ['ZNM8', '', '125.030', '', '', '', '0', '', '']]
