2017-08-29 16:30 Tue // ['1619107', '1216283', '0'] // ['ZTU7', '108.090', '108.077', '108.082', '108.105', '108.080', '801978', '643451', '0'] // [['ZTU7', '108.090', '108.077', '108.082', '108.105', '108.080', '801978', '643451', '0'], ['ZTZ7', '108.057', '108.040', '108.045', '108.070', '108.045', '684003', '975656', '0'], ['ZTH8', '', '108.022', '', '', '', '0', '', '']]
2017-08-30 16:30 Wed // ['1551935', '1557115', '0'] // ['ZTZ7', '108.047', '108.057', '108.057', '108.060', '108.040', '509008', '1271103', '0'] // [['ZTU7', '108.085', '108.090', '108.092', '108.092', '108.075', '453953', '280832', '0'], ['ZTZ7', '108.047', '108.057', '108.057', '108.060', '108.040', '509008', '1271103', '0'], ['ZTH8', '', '108.040', '', '', '', '0', '', '']]
2017-08-31 16:30 Thu // ['1498013', '993780', '0'] // ['ZTZ7', '108.050', '108.047', '108.052', '108.057', '108.040', '310079', '1391064', '0'] // [['ZTU7', '108.087', '108.085', '108.087', '108.095', '108.077', '107833', '106949', '0'], ['ZTZ7', '108.050', '108.047', '108.052', '108.057', '108.040', '310079', '1391064', '0'], ['ZTH8', '', '108.030', '', '', '', '0', '', '']]
2017-09-01 16:30 Fri // ['1493852', '454265', '0'] // ['ZTZ7', '108.035', '108.050', '108.050', '108.067', '108.032', '286924', '1440292', '0'] // [['ZTU7', '108.077', '108.087', '108.087', '108.100', '108.070', '50080', '53560', '0'], ['ZTZ7', '108.035', '108.050', '108.050', '108.067', '108.032', '286924', '1440292', '0'], ['ZTH8', '', '108.032', '', '', '', '0', '', '']]
2017-09-04 16:30 Mon // ['1480207', '362674', '0'] // ['ZTZ7', '108.052', '108.035', '108.050', '108.055', '108.047', '29367', '1437783', '0'] // [['ZTU7', '108.090', '108.075', '108.090', '108.092', '108.087', '6180', '42424', '0'], ['ZTZ7', '108.052', '108.035', '108.050', '108.055', '108.047', '29367', '1437783', '0'], ['ZTH8', '', '108.017', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-05 16:30 Tue // ['1479929', '362674', '0'] // ['ZTZ7', '108.072', '108.035', '108.050', '108.077', '108.042', '297352', '1437807', '0'] // [['ZTU7', '108.105', '108.075', '108.090', '108.110', '108.085', '26158', '42122', '0'], ['ZTZ7', '108.072', '108.035', '108.050', '108.077', '108.042', '297352', '1437807', '0'], ['ZTH8', '', '108.017', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-06 16:30 Wed // ['1490582', '347987', '0'] // ['ZTZ7', '108.067', '108.075', '108.072', '108.077', '108.060', '293957', '1459018', '0'] // [['ZTU7', '108.105', '108.110', '108.110', '108.112', '108.100', '10390', '31564', '0'], ['ZTZ7', '108.067', '108.075', '108.072', '108.077', '108.060', '293957', '1459018', '0'], ['ZTH8', '', '108.057', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-07 16:30 Thu // ['1506774', '389784', '0'] // ['ZTZ7', '108.087', '108.065', '108.067', '108.095', '108.065', '301293', '1478196', '0'] // [['ZTU7', '108.125', '108.105', '108.105', '108.127', '108.105', '11049', '28578', '0'], ['ZTZ7', '108.087', '108.065', '108.067', '108.095', '108.065', '301293', '1478196', '0'], ['ZTH8', '', '108.047', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-08 16:30 Fri // ['1515264', '346972', '0'] // ['ZTZ7', '108.090', '108.085', '108.087', '108.100', '108.077', '255777', '1490830', '0'] // [['ZTU7', '108.127', '108.120', '108.135', '108.137', '108.120', '2511', '24434', '0'], ['ZTZ7', '108.090', '108.085', '108.087', '108.100', '108.077', '255777', '1490830', '0'], ['ZTH8', '', '108.067', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-11 17:11 Mon // ['1521373', '283005', '0'] // ['ZTZ7', '108.057', '108.090', '108.085', '108.087', '108.052', '246833', '1497281', '0'] // [['ZTU7', '108.095', '108.130', '108.120', '108.122', '108.095', '4075', '24092', '0'], ['ZTZ7', '108.057', '108.090', '108.085', '108.087', '108.052', '246833', '1497281', '0'], ['ZTH8', '', '108.072', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-12 16:30 Tue // ['1529008', '262555', '0'] // ['ZTZ7', '108.047', '108.060', '108.057', '108.060', '108.040', '246553', '1507149', '0'] // [['ZTU7', '108.090', '108.102', '108.100', '108.100', '108.085', '3541', '21859', '0'], ['ZTZ7', '108.047', '108.060', '108.057', '108.060', '108.040', '246553', '1507149', '0'], ['ZTH8', '', '108.042', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-13 16:30 Wed // ['1509790', '266890', '0'] // ['ZTZ7', '108.032', '108.047', '108.047', '108.052', '108.030', '219808', '1489492', '0'] // [['ZTU7', '108.082', '108.092', '108.092', '108.100', '108.082', '4357', '20298', '0'], ['ZTZ7', '108.032', '108.047', '108.047', '108.052', '108.030', '219808', '1489492', '0'], ['ZTH8', '', '108.030', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-14 16:30 Thu // ['1496290', '246677', '0'] // ['ZTZ7', '108.025', '108.035', '108.035', '108.040', '108.010', '287773', '1478312', '0'] // [['ZTU7', '108.067', '108.082', '108.085', '108.087', '108.065', '1922', '17978', '0'], ['ZTZ7', '108.025', '108.035', '108.035', '108.040', '108.010', '287773', '1478312', '0'], ['ZTH8', '', '108.017', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-15 16:30 Fri // ['1481631', '327372', '0'] // ['ZTZ7', '108.007', '108.022', '108.025', '108.032', '108.005', '254732', '1465169', '0'] // [['ZTU7', '108.057', '108.072', '108.082', '108.082', '108.057', '1478', '16462', '0'], ['ZTZ7', '108.007', '108.022', '108.025', '108.032', '108.005', '254732', '1465169', '0'], ['ZTH8', '', '108.005', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-18 16:40 Mon // ['1482715', '299041', '0'] // ['ZTZ7', '107.317', '108.007', '108.005', '108.007', '107.312', '214595', '1467269', '0'] // [['ZTU7', '108.047', '108.060', '108.057', '108.057', '108.047', '2374', '15446', '0'], ['ZTZ7', '107.317', '108.007', '108.005', '108.007', '107.312', '214595', '1467269', '0'], ['ZTH8', '', '107.310', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
