2017-08-29 16:30 Tue // ['809844', '642150', '0'] // ['ZBU7', '157.02', '156.24', '157.00', '158.04', '156.26', '409405', '240724', '0'] // [['ZBU7', '157.02', '156.24', '157.00', '158.04', '156.26', '409405', '240724', '0'], ['ZBZ7', '155.27', '155.17', '155.25', '156.28', '155.18', '279822', '569118', '0'], ['ZBH8', '', '154.26', '', '', '', '0', '2', '0']]
2017-08-30 16:30 Wed // ['798122', '701950', '2768'] // ['ZBU7', '157.01', '156.30', '157.01', '157.08', '156.23', '201809', '125357', '2768'] // [['ZBU7', '157.01', '156.30', '157.01', '157.08', '156.23', '201809', '125357', '2768'], ['ZBZ7', '155.25', '155.22', '155.26', '155.31', '155.15', '198529', '672763', '0'], ['ZBH8', '', '154.31', '', '', '', '0', '2', '0']]
2017-08-31 16:30 Thu // ['787693', '415463', '0'] // ['ZBZ7', '156.04', '155.21', '155.27', '156.07', '155.15', '256729', '714197', '0'] // [['ZBU7', '157.13', '156.29', '157.04', '157.16', '156.24', '54739', '73494', '0'], ['ZBZ7', '156.04', '155.21', '155.27', '156.07', '155.15', '256729', '714197', '0'], ['ZBH8', '', '154.30', '', '', '', '0', '2', '0']]
2017-09-01 16:30 Fri // ['766272', '335040', '0'] // ['ZBZ7', '155.02', '156.03', '156.05', '156.12', '154.30', '265528', '720569', '0'] // [['ZBU7', '156.12', '157.12', '157.14', '158.00', '156.07', '23377', '45701', '0'], ['ZBZ7', '155.02', '156.03', '156.05', '156.12', '154.30', '265528', '720569', '0'], ['ZBH8', '', '155.11', '', '', '', '0', '2', '0']]
2017-09-04 16:30 Mon // ['762098', '298468', '0'] // ['ZBZ7', '155.19', '155.06', '155.19', '155.23', '155.11', '22856', '727370', '0'] // [['ZBU7', '156.29', '156.15', '156.27', '157.00', '156.21', '1671', '34726', '0'], ['ZBZ7', '155.19', '155.06', '155.19', '155.23', '155.11', '22856', '727370', '0'], ['ZBH8', '', '154.14', '', '', '', '2', '2', '0'], ['ZBM8', '', '', '', '', '', '0', '', '']]
2017-09-05 16:30 Tue // ['759873', '298468', '0'] // ['ZBZ7', '157.01', '155.06', '155.19', '157.04', '155.05', '325080', '725684', '0'] // [['ZBU7', '158.12', '156.15', '156.27', '158.14', '156.15', '13301', '34187', '0'], ['ZBZ7', '157.01', '155.06', '155.19', '157.04', '155.05', '325080', '725684', '0'], ['ZBH8', '', '154.14', '', '', '', '2', '2', '0'], ['ZBM8', '', '', '', '', '', '0', '', '']]
2017-09-06 16:30 Wed // ['753180', '354088', '0'] // ['ZBZ7', '156.13', '157.00', '157.06', '157.12', '156.07', '250098', '724074', '0'] // [['ZBU7', '157.23', '158.09', '158.14', '158.21', '157.17', '6786', '29104', '0'], ['ZBZ7', '156.13', '157.00', '157.06', '157.12', '156.07', '250098', '724074', '0'], ['ZBH8', '', '156.02', '', '', '', '0', '2', '0'], ['ZBM8', '', '', '', '', '', '0', '', '']]
2017-09-07 16:30 Thu // ['750012', '267391', '0'] // ['ZBZ7', '157.21', '156.11', '156.12', '157.30', '156.11', '272529', '724401', '0'] // [['ZBU7', '158.28', '157.20', '157.22', '159.07', '157.21', '3854', '25609', '0'], ['ZBZ7', '157.21', '156.11', '156.12', '157.30', '156.11', '272529', '724401', '0'], ['ZBH8', '', '155.13', '', '', '', '0', '2', '0'], ['ZBM8', '', '', '', '', '', '0', '', '']]
2017-09-08 16:30 Fri // ['745026', '292753', '0'] // ['ZBZ7', '157.13', '157.12', '157.23', '158.09', '157.01', '240111', '722794', '0'] // [['ZBU7', '158.24', '158.21', '158.31', '159.16', '158.12', '2926', '22230', '0'], ['ZBZ7', '157.13', '157.12', '157.23', '158.09', '157.01', '240111', '722794', '0'], ['ZBH8', '', '156.14', '', '', '', '0', '2', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-11 17:11 Mon // ['743592', '260558', '0'] // ['ZBZ7', '155.31', '157.09', '156.25', '156.29', '155.23', '200466', '724420', '0'] // [['ZBU7', '157.09', '158.18', '158.04', '158.05', '157.03', '4638', '19170', '0'], ['ZBZ7', '155.31', '157.09', '156.25', '156.29', '155.23', '200466', '724420', '0'], ['ZBH8', '', '156.11', '', '', '', '0', '2', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-12 16:30 Tue // ['743199', '210578', '0'] // ['ZBZ7', '155.10', '156.00', '155.31', '156.03', '155.02', '207253', '727756', '0'] // [['ZBU7', '156.17', '157.09', '157.11', '157.11', '156.13', '1449', '15441', '0'], ['ZBZ7', '155.10', '156.00', '155.31', '156.03', '155.02', '207253', '727756', '0'], ['ZBH8', '', '155.02', '', '', '', '0', '2', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-13 16:30 Wed // ['742862', '214792', '0'] // ['ZBZ7', '154.27', '155.08', '155.08', '155.18', '154.24', '218171', '728101', '0'] // [['ZBU7', '156.03', '156.17', '156.15', '156.28', '156.03', '2247', '14759', '0'], ['ZBZ7', '154.27', '155.08', '155.08', '155.18', '154.24', '218171', '728101', '0'], ['ZBH8', '', '154.10', '', '', '', '0', '2', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-14 16:30 Thu // ['747465', '235089', '0'] // ['ZBZ7', '155.07', '154.26', '154.29', '155.08', '154.12', '267105', '735302', '0'] // [['ZBU7', '156.14', '156.03', '156.09', '156.15', '155.22', '2902', '12161', '0'], ['ZBZ7', '155.07', '154.26', '154.29', '155.08', '154.12', '267105', '735302', '0'], ['ZBH8', '', '153.28', '', '', '', '0', '2', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-15 16:30 Fri // ['736091', '283177', '0'] // ['ZBZ7', '155.03', '154.31', '155.10', '155.15', '154.24', '236759', '725235', '0'] // [['ZBU7', '156.11', '156.08', '156.20', '156.24', '156.02', '1866', '10854', '0'], ['ZBZ7', '155.03', '154.31', '155.10', '155.15', '154.24', '236759', '725235', '0'], ['ZBH8', '', '154.01', '', '', '', '0', '2', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-18 16:40 Mon // ['730970', '246398', '0'] // ['ZBZ7', '154.13', '155.01', '154.28', '155.01', '154.04', '174951', '721806', '0'] // [['ZBU7', '155.23', '156.10', '156.07', '156.09', '155.15', '1456', '9162', '0'], ['ZBZ7', '154.13', '155.01', '154.28', '155.01', '154.04', '174951', '721806', '0'], ['ZBH8', '153.08', '154.03', '153.03', '153.08', '153.03', '3', '2', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-19 16:30 Tue // ['733128', '183742', '0'] // ['ZBZ7', '154.02', '154.11', '154.15', '154.23', '154.01', '208263', '724785', '0'] // [['ZBU7', '155.11', '155.20', '155.26', '155.31', '155.11', '2807', '8340', '0'], ['ZBZ7', '154.02', '154.11', '154.15', '154.23', '154.01', '208263', '724785', '0'], ['ZBH8', '', '153.08', '', '', '', '0', '3', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-20 16:30 Wed // ['723358', '219659', '0'] // ['ZBZ7', '153.30', '154.04', '154.02', '154.14', '153.16', '258556', '717393', '0'] // [['ZBU7', '155.10', '155.13', '155.15', '155.20', '155.08', '2707', '5959', '0'], ['ZBZ7', '153.30', '154.04', '154.02', '154.14', '153.16', '258556', '717393', '0'], ['ZBH8', '152.28', '153.01', '152.17', '152.28', '152.12', '82', '6', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-21 16:30 Thu // ['718604', '273622', '0'] // ['ZBZ7', '153.30', '153.24', '153.29', '154.17', '153.21', '239019', '715100', '0'] // [['ZBZ7', '153.30', '153.24', '153.29', '154.17', '153.21', '239019', '715100', '0'], ['ZBH8', '152.24', '152.15', '152.24', '152.24', '152.24', '2', '48', '0'], ['ZBM8', '', '152.15', '', '', '', '0', '', '']]
2017-09-22 16:54 Fri // ['718631', '248906', '0'] // ['ZBZ7', '154.11', '153.28', '153.30', '154.19', '153.29', '220353', '715126', '0'] // [['ZBZ7', '154.11', '153.28', '153.30', '154.19', '153.29', '220353', '715126', '0'], ['ZBH8', '153.04', '152.19', '153.02', '153.04', '153.02', '17', '49', '0'], ['ZBM8', '', '152.06', '', '', '', '0', '', '']]
