2017-08-29 16:30 Tue // ['3418108', '2625418', '0'] // ['ZFU7', '118.255', '118.210', '118.220', '118.317', '118.217', '1338091', '942163', '0'] // [['ZFU7', '118.255', '118.210', '118.220', '118.317', '118.217', '1338091', '942163', '0'], ['ZFZ7', '118.172', '118.122', '118.130', '118.232', '118.130', '1127132', '2475945', '0'], ['ZFH8', '', '118.045', '', '', '', '0', '', '']]
2017-08-30 16:30 Wed // ['3365343', '2545071', '0'] // ['ZFZ7', '118.140', '118.165', '118.177', '118.177', '118.117', '792530', '2875719', '0'] // [['ZFU7', '118.230', '118.250', '118.252', '118.260', '118.205', '744684', '489624', '0'], ['ZFZ7', '118.140', '118.165', '118.177', '118.177', '118.117', '792530', '2875719', '0'], ['ZFH8', '', '118.087', '', '', '', '0', '', '']]
2017-08-31 16:30 Thu // ['3275548', '1585686', '0'] // ['ZFZ7', '118.160', '118.137', '118.147', '118.167', '118.115', '720955', '3086553', '0'] // [['ZFU7', '118.250', '118.225', '118.235', '118.257', '118.207', '180289', '188995', '0'], ['ZFZ7', '118.160', '118.137', '118.147', '118.167', '118.115', '720955', '3086553', '0'], ['ZFH8', '', '118.060', '', '', '', '0', '', '']]
2017-09-01 16:30 Fri // ['3231092', '985634', '17000'] // ['ZFZ7', '118.115', '118.160', '118.165', '118.215', '118.095', '709475', '3084478', '17000'] // [['ZFU7', '118.205', '118.250', '118.250', '118.307', '118.185', '108468', '146614', '0'], ['ZFZ7', '118.115', '118.160', '118.165', '118.215', '118.095', '709475', '3084478', '17000'], ['ZFH8', '', '118.082', '', '', '', '0', '', '']]
2017-09-04 16:30 Mon // ['3184065', '852910', '0'] // ['ZFZ7', '118.160', '118.117', '118.167', '118.172', '118.145', '68944', '3085889', '0'] // [['ZFU7', '118.250', '118.210', '118.245', '118.262', '118.237', '8269', '98176', '0'], ['ZFZ7', '118.160', '118.117', '118.167', '118.172', '118.145', '68944', '3085889', '0'], ['ZFH8', '', '118.040', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-05 16:30 Tue // ['3183182', '852910', '0'] // ['ZFZ7', '118.260', '118.117', '118.167', '118.270', '118.135', '833108', '3085548', '0'] // [['ZFU7', '119.020', '118.210', '118.245', '119.030', '118.230', '48804', '97634', '0'], ['ZFZ7', '118.260', '118.117', '118.167', '118.270', '118.135', '833108', '3085548', '0'], ['ZFH8', '', '118.040', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-06 16:30 Wed // ['3225663', '972208', '5000'] // ['ZFZ7', '118.205', '118.262', '118.267', '118.285', '118.195', '657304', '3150958', '5000'] // [['ZFU7', '118.287', '119.025', '119.042', '119.042', '118.280', '27632', '74705', '0'], ['ZFZ7', '118.205', '118.262', '118.267', '118.285', '118.195', '657304', '3150958', '5000'], ['ZFH8', '', '118.185', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-07 16:30 Thu // ['3207862', '788730', '5000'] // ['ZFZ7', '118.287', '118.197', '118.200', '118.310', '118.200', '732294', '3145967', '5000'] // [['ZFU7', '119.050', '118.282', '118.297', '119.070', '118.297', '23994', '61895', '0'], ['ZFZ7', '118.287', '118.197', '118.200', '118.310', '118.200', '732294', '3145967', '5000'], ['ZFH8', '', '118.120', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-08 16:30 Fri // ['3176474', '827197', '6458'] // ['ZFZ7', '118.272', '118.270', '118.290', '119.015', '118.245', '586892', '3127798', '6458'] // [['ZFU7', '119.035', '119.032', '119.050', '119.087', '119.012', '9610', '48676', '0'], ['ZFZ7', '118.272', '118.270', '118.290', '119.015', '118.245', '586892', '3127798', '6458'], ['ZFH8', '', '118.192', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-11 17:11 Mon // ['3177032', '655132', '0'] // ['ZFZ7', '118.160', '118.267', '118.195', '118.240', '118.152', '493554', '3128758', '0'] // [['ZFU7', '118.245', '119.030', '118.285', '119.000', '118.245', '6809', '48274', '0'], ['ZFZ7', '118.160', '118.267', '118.195', '118.240', '118.152', '493554', '3128758', '0'], ['ZFH8', '', '118.190', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-12 16:30 Tue // ['3179381', '518021', '5000'] // ['ZFZ7', '118.112', '118.175', '118.162', '118.172', '118.090', '599692', '3134878', '5000'] // [['ZFU7', '118.202', '118.265', '118.260', '118.260', '118.192', '22799', '44503', '0'], ['ZFZ7', '118.112', '118.175', '118.162', '118.172', '118.090', '599692', '3134878', '5000'], ['ZFH8', '', '118.097', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-13 16:30 Wed // ['3146416', '694159', '0'] // ['ZFZ7', '118.065', '118.110', '118.112', '118.132', '118.060', '462504', '3104725', '0'] // [['ZFU7', '118.167', '118.210', '118.212', '118.227', '118.167', '10096', '41691', '0'], ['ZFZ7', '118.065', '118.110', '118.112', '118.132', '118.060', '462504', '3104725', '0'], ['ZFH8', '', '118.032', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-14 16:30 Thu // ['3154233', '522083', '5800'] // ['ZFZ7', '118.045', '118.067', '118.077', '118.087', '118.002', '808781', '3117460', '5800'] // [['ZFU7', '118.155', '118.170', '118.182', '118.182', '118.115', '9522', '36773', '0'], ['ZFZ7', '118.045', '118.067', '118.077', '118.087', '118.002', '808781', '3117460', '5800'], ['ZFH8', '', '117.310', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-15 16:30 Fri // ['3106658', '936260', '0'] // ['ZFZ7', '118.015', '118.042', '118.060', '118.072', '118.000', '581108', '3074948', '0'] // [['ZFU7', '118.130', '118.152', '118.162', '118.167', '118.117', '2441', '31710', '0'], ['ZFZ7', '118.015', '118.042', '118.060', '118.072', '118.000', '581108', '3074948', '0'], ['ZFH8', '', '117.285', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-18 16:40 Mon // ['3050407', '655145', '5000'] // ['ZFZ7', '117.297', '118.015', '118.000', '118.007', '117.290', '413216', '3020190', '5000'] // [['ZFU7', '118.105', '118.127', '118.112', '118.112', '118.090', '4293', '30217', '0'], ['ZFZ7', '117.297', '118.015', '118.000', '118.007', '117.290', '413216', '3020190', '5000'], ['ZFH8', '', '117.257', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
