2017-09-22 19:22 Fri // ['156609', '150707', '150'] // ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'] // [['6AV7', '0.7964', '0.7928', '0.7924', '0.7983', '0.7910', '238', '841', '0'], ['6AX7', '0.7967', '0.7926', '0.7927', '0.7975', '0.7910', '220', '453', '0'], ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'], ['6AF8', '0.7965', '0.7919', '0.7928', '0.7972', '0.7928', '147', '112', '0'], ['6AH8', '0.7947', '0.7915', '0.7941', '0.7949', '0.7941', '53', '385', '0'], ['6AM8', '', '0.7906', '', '', '', '0', '17', '0'], ['6AU8', '0.7849', '0.7897', '0.7849', '0.7849', '0.7849', '1', '61', '0'], ['6AZ8', '', '0.7886', '', '', '', '0', '', ''], ['6AH9', '', '0.7876', '', '', '', '0', '', ''], ['6AM9', '', '0.7865', '', '', '', '0', '', ''], ['6AU9', '', '0.7855', '', '', '', '0', '', ''], ['6AZ9', '', '0.7838', '', '', '', '0', '', ''], ['6AH0', '', '0.7821', '', '', '', '0', '', ''], ['6AM0', '', '0.7804', '', '', '', '0', '', ''], ['6AU0', '', '0.7787', '', '', '', '0', '', ''], ['6AZ0', '', '0.7770', '', '', '', '0', '', ''], ['6AH1', '', '0.7754', '', '', '', '0', '', ''], ['6AM1', '', '0.7737', '', '', '', '0', '', ''], ['6AU1', '', '0.7720', '', '', '', '0', '', ''], ['6AZ1', '', '0.7703', '', '', '', '0', '', ''], ['6AH2', '', '0.7686', '', '', '', '0', '', ''], ['6AM2', '', '0.7669', '', '', '', '0', '', ''], ['6AU2', '', '0.7651', '', '', '', '0', '', '']]
2017-09-22 19:27 Fri // ['156609', '150707', '150'] // ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'] // [['6AV7', '0.7964', '0.7928', '0.7924', '0.7983', '0.7910', '238', '841', '0'], ['6AX7', '0.7967', '0.7926', '0.7927', '0.7975', '0.7910', '220', '453', '0'], ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'], ['6AF8', '0.7965', '0.7919', '0.7928', '0.7972', '0.7928', '147', '112', '0'], ['6AH8', '0.7947', '0.7915', '0.7941', '0.7949', '0.7941', '53', '385', '0'], ['6AM8', '', '0.7906', '', '', '', '0', '17', '0'], ['6AU8', '0.7849', '0.7897', '0.7849', '0.7849', '0.7849', '1', '61', '0'], ['6AZ8', '', '0.7886', '', '', '', '0', '', ''], ['6AH9', '', '0.7876', '', '', '', '0', '', ''], ['6AM9', '', '0.7865', '', '', '', '0', '', ''], ['6AU9', '', '0.7855', '', '', '', '0', '', ''], ['6AZ9', '', '0.7838', '', '', '', '0', '', ''], ['6AH0', '', '0.7821', '', '', '', '0', '', ''], ['6AM0', '', '0.7804', '', '', '', '0', '', ''], ['6AU0', '', '0.7787', '', '', '', '0', '', ''], ['6AZ0', '', '0.7770', '', '', '', '0', '', ''], ['6AH1', '', '0.7754', '', '', '', '0', '', ''], ['6AM1', '', '0.7737', '', '', '', '0', '', ''], ['6AU1', '', '0.7720', '', '', '', '0', '', ''], ['6AZ1', '', '0.7703', '', '', '', '0', '', ''], ['6AH2', '', '0.7686', '', '', '', '0', '', ''], ['6AM2', '', '0.7669', '', '', '', '0', '', ''], ['6AU2', '', '0.7651', '', '', '', '0', '', '']]
2017-09-22 19:28 Fri // ['156609', '150707', '150'] // ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'] // [['6AV7', '0.7964', '0.7928', '0.7924', '0.7983', '0.7910', '238', '841', '0'], ['6AX7', '0.7967', '0.7926', '0.7927', '0.7975', '0.7910', '220', '453', '0'], ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'], ['6AF8', '0.7965', '0.7919', '0.7928', '0.7972', '0.7928', '147', '112', '0'], ['6AH8', '0.7947', '0.7915', '0.7941', '0.7949', '0.7941', '53', '385', '0'], ['6AM8', '', '0.7906', '', '', '', '0', '17', '0'], ['6AU8', '0.7849', '0.7897', '0.7849', '0.7849', '0.7849', '1', '61', '0'], ['6AZ8', '', '0.7886', '', '', '', '0', '', ''], ['6AH9', '', '0.7876', '', '', '', '0', '', ''], ['6AM9', '', '0.7865', '', '', '', '0', '', ''], ['6AU9', '', '0.7855', '', '', '', '0', '', ''], ['6AZ9', '', '0.7838', '', '', '', '0', '', ''], ['6AH0', '', '0.7821', '', '', '', '0', '', ''], ['6AM0', '', '0.7804', '', '', '', '0', '', ''], ['6AU0', '', '0.7787', '', '', '', '0', '', ''], ['6AZ0', '', '0.7770', '', '', '', '0', '', ''], ['6AH1', '', '0.7754', '', '', '', '0', '', ''], ['6AM1', '', '0.7737', '', '', '', '0', '', ''], ['6AU1', '', '0.7720', '', '', '', '0', '', ''], ['6AZ1', '', '0.7703', '', '', '', '0', '', ''], ['6AH2', '', '0.7686', '', '', '', '0', '', ''], ['6AM2', '', '0.7669', '', '', '', '0', '', ''], ['6AU2', '', '0.7651', '', '', '', '0', '', '']]
2017-09-22 19:30 Fri // ['156609', '150707', '150'] // ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'] // [['6AV7', '0.7964', '0.7928', '0.7924', '0.7983', '0.7910', '238', '841', '0'], ['6AX7', '0.7967', '0.7926', '0.7927', '0.7975', '0.7910', '220', '453', '0'], ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'], ['6AF8', '0.7965', '0.7919', '0.7928', '0.7972', '0.7928', '147', '112', '0'], ['6AH8', '0.7947', '0.7915', '0.7941', '0.7949', '0.7941', '53', '385', '0'], ['6AM8', '', '0.7906', '', '', '', '0', '17', '0'], ['6AU8', '0.7849', '0.7897', '0.7849', '0.7849', '0.7849', '1', '61', '0'], ['6AZ8', '', '0.7886', '', '', '', '0', '', ''], ['6AH9', '', '0.7876', '', '', '', '0', '', ''], ['6AM9', '', '0.7865', '', '', '', '0', '', ''], ['6AU9', '', '0.7855', '', '', '', '0', '', ''], ['6AZ9', '', '0.7838', '', '', '', '0', '', ''], ['6AH0', '', '0.7821', '', '', '', '0', '', ''], ['6AM0', '', '0.7804', '', '', '', '0', '', ''], ['6AU0', '', '0.7787', '', '', '', '0', '', ''], ['6AZ0', '', '0.7770', '', '', '', '0', '', ''], ['6AH1', '', '0.7754', '', '', '', '0', '', ''], ['6AM1', '', '0.7737', '', '', '', '0', '', ''], ['6AU1', '', '0.7720', '', '', '', '0', '', ''], ['6AZ1', '', '0.7703', '', '', '', '0', '', ''], ['6AH2', '', '0.7686', '', '', '', '0', '', ''], ['6AM2', '', '0.7669', '', '', '', '0', '', ''], ['6AU2', '', '0.7651', '', '', '', '0', '', '']]
2017-09-22 19:31 Fri // ['156609', '150707', '150'] // ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'] // [['6AV7', '0.7964', '0.7928', '0.7924', '0.7983', '0.7910', '238', '841', '0'], ['6AX7', '0.7967', '0.7926', '0.7927', '0.7975', '0.7910', '220', '453', '0'], ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'], ['6AF8', '0.7965', '0.7919', '0.7928', '0.7972', '0.7928', '147', '112', '0'], ['6AH8', '0.7947', '0.7915', '0.7941', '0.7949', '0.7941', '53', '385', '0'], ['6AM8', '', '0.7906', '', '', '', '0', '17', '0'], ['6AU8', '0.7849', '0.7897', '0.7849', '0.7849', '0.7849', '1', '61', '0'], ['6AZ8', '', '0.7886', '', '', '', '0', '', ''], ['6AH9', '', '0.7876', '', '', '', '0', '', ''], ['6AM9', '', '0.7865', '', '', '', '0', '', ''], ['6AU9', '', '0.7855', '', '', '', '0', '', ''], ['6AZ9', '', '0.7838', '', '', '', '0', '', ''], ['6AH0', '', '0.7821', '', '', '', '0', '', ''], ['6AM0', '', '0.7804', '', '', '', '0', '', ''], ['6AU0', '', '0.7787', '', '', '', '0', '', ''], ['6AZ0', '', '0.7770', '', '', '', '0', '', ''], ['6AH1', '', '0.7754', '', '', '', '0', '', ''], ['6AM1', '', '0.7737', '', '', '', '0', '', ''], ['6AU1', '', '0.7720', '', '', '', '0', '', ''], ['6AZ1', '', '0.7703', '', '', '', '0', '', ''], ['6AH2', '', '0.7686', '', '', '', '0', '', ''], ['6AM2', '', '0.7669', '', '', '', '0', '', ''], ['6AU2', '', '0.7651', '', '', '', '0', '', '']]
2017-09-22 19:36 Fri // ['156609', '150707', '150'] // ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'] // [['6AV7', '0.7964', '0.7928', '0.7924', '0.7983', '0.7910', '238', '841', '0'], ['6AX7', '0.7967', '0.7926', '0.7927', '0.7975', '0.7910', '220', '453', '0'], ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'], ['6AF8', '0.7965', '0.7919', '0.7928', '0.7972', '0.7928', '147', '112', '0'], ['6AH8', '0.7947', '0.7915', '0.7941', '0.7949', '0.7941', '53', '385', '0'], ['6AM8', '', '0.7906', '', '', '', '0', '17', '0'], ['6AU8', '0.7849', '0.7897', '0.7849', '0.7849', '0.7849', '1', '61', '0'], ['6AZ8', '', '0.7886', '', '', '', '0', '', ''], ['6AH9', '', '0.7876', '', '', '', '0', '', ''], ['6AM9', '', '0.7865', '', '', '', '0', '', ''], ['6AU9', '', '0.7855', '', '', '', '0', '', ''], ['6AZ9', '', '0.7838', '', '', '', '0', '', ''], ['6AH0', '', '0.7821', '', '', '', '0', '', ''], ['6AM0', '', '0.7804', '', '', '', '0', '', ''], ['6AU0', '', '0.7787', '', '', '', '0', '', ''], ['6AZ0', '', '0.7770', '', '', '', '0', '', ''], ['6AH1', '', '0.7754', '', '', '', '0', '', ''], ['6AM1', '', '0.7737', '', '', '', '0', '', ''], ['6AU1', '', '0.7720', '', '', '', '0', '', ''], ['6AZ1', '', '0.7703', '', '', '', '0', '', ''], ['6AH2', '', '0.7686', '', '', '', '0', '', ''], ['6AM2', '', '0.7669', '', '', '', '0', '', ''], ['6AU2', '', '0.7651', '', '', '', '0', '', '']]
2017-09-22 19:40 Fri // ['156609', '150707', '150'] // ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'] // [['6AV7', '0.7964', '0.7928', '0.7924', '0.7983', '0.7910', '238', '841', '0'], ['6AX7', '0.7967', '0.7926', '0.7927', '0.7975', '0.7910', '220', '453', '0'], ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'], ['6AF8', '0.7965', '0.7919', '0.7928', '0.7972', '0.7928', '147', '112', '0'], ['6AH8', '0.7947', '0.7915', '0.7941', '0.7949', '0.7941', '53', '385', '0'], ['6AM8', '', '0.7906', '', '', '', '0', '17', '0'], ['6AU8', '0.7849', '0.7897', '0.7849', '0.7849', '0.7849', '1', '61', '0'], ['6AZ8', '', '0.7886', '', '', '', '0', '', ''], ['6AH9', '', '0.7876', '', '', '', '0', '', ''], ['6AM9', '', '0.7865', '', '', '', '0', '', ''], ['6AU9', '', '0.7855', '', '', '', '0', '', ''], ['6AZ9', '', '0.7838', '', '', '', '0', '', ''], ['6AH0', '', '0.7821', '', '', '', '0', '', ''], ['6AM0', '', '0.7804', '', '', '', '0', '', ''], ['6AU0', '', '0.7787', '', '', '', '0', '', ''], ['6AZ0', '', '0.7770', '', '', '', '0', '', ''], ['6AH1', '', '0.7754', '', '', '', '0', '', ''], ['6AM1', '', '0.7737', '', '', '', '0', '', ''], ['6AU1', '', '0.7720', '', '', '', '0', '', ''], ['6AZ1', '', '0.7703', '', '', '', '0', '', ''], ['6AH2', '', '0.7686', '', '', '', '0', '', ''], ['6AM2', '', '0.7669', '', '', '', '0', '', ''], ['6AU2', '', '0.7651', '', '', '', '0', '', '']]
2017-09-22 19:42 Fri // ['156609', '150707', '150'] // ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'] // [['6AV7', '0.7964', '0.7928', '0.7924', '0.7983', '0.7910', '238', '841', '0'], ['6AX7', '0.7967', '0.7926', '0.7927', '0.7975', '0.7910', '220', '453', '0'], ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'], ['6AF8', '0.7965', '0.7919', '0.7928', '0.7972', '0.7928', '147', '112', '0'], ['6AH8', '0.7947', '0.7915', '0.7941', '0.7949', '0.7941', '53', '385', '0'], ['6AM8', '', '0.7906', '', '', '', '0', '17', '0'], ['6AU8', '0.7849', '0.7897', '0.7849', '0.7849', '0.7849', '1', '61', '0'], ['6AZ8', '', '0.7886', '', '', '', '0', '', ''], ['6AH9', '', '0.7876', '', '', '', '0', '', ''], ['6AM9', '', '0.7865', '', '', '', '0', '', ''], ['6AU9', '', '0.7855', '', '', '', '0', '', ''], ['6AZ9', '', '0.7838', '', '', '', '0', '', ''], ['6AH0', '', '0.7821', '', '', '', '0', '', ''], ['6AM0', '', '0.7804', '', '', '', '0', '', ''], ['6AU0', '', '0.7787', '', '', '', '0', '', ''], ['6AZ0', '', '0.7770', '', '', '', '0', '', ''], ['6AH1', '', '0.7754', '', '', '', '0', '', ''], ['6AM1', '', '0.7737', '', '', '', '0', '', ''], ['6AU1', '', '0.7720', '', '', '', '0', '', ''], ['6AZ1', '', '0.7703', '', '', '', '0', '', ''], ['6AH2', '', '0.7686', '', '', '', '0', '', ''], ['6AM2', '', '0.7669', '', '', '', '0', '', ''], ['6AU2', '', '0.7651', '', '', '', '0', '', '']]
2017-09-22 19:48 Fri // ['156609', '150707', '150'] // ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'] // [['6AV7', '0.7964', '0.7928', '0.7924', '0.7983', '0.7910', '238', '841', '0'], ['6AX7', '0.7967', '0.7926', '0.7927', '0.7975', '0.7910', '220', '453', '0'], ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'], ['6AF8', '0.7965', '0.7919', '0.7928', '0.7972', '0.7928', '147', '112', '0'], ['6AH8', '0.7947', '0.7915', '0.7941', '0.7949', '0.7941', '53', '385', '0'], ['6AM8', '', '0.7906', '', '', '', '0', '17', '0'], ['6AU8', '0.7849', '0.7897', '0.7849', '0.7849', '0.7849', '1', '61', '0'], ['6AZ8', '', '0.7886', '', '', '', '0', '', ''], ['6AH9', '', '0.7876', '', '', '', '0', '', ''], ['6AM9', '', '0.7865', '', '', '', '0', '', ''], ['6AU9', '', '0.7855', '', '', '', '0', '', ''], ['6AZ9', '', '0.7838', '', '', '', '0', '', ''], ['6AH0', '', '0.7821', '', '', '', '0', '', ''], ['6AM0', '', '0.7804', '', '', '', '0', '', ''], ['6AU0', '', '0.7787', '', '', '', '0', '', ''], ['6AZ0', '', '0.7770', '', '', '', '0', '', ''], ['6AH1', '', '0.7754', '', '', '', '0', '', ''], ['6AM1', '', '0.7737', '', '', '', '0', '', ''], ['6AU1', '', '0.7720', '', '', '', '0', '', ''], ['6AZ1', '', '0.7703', '', '', '', '0', '', ''], ['6AH2', '', '0.7686', '', '', '', '0', '', ''], ['6AM2', '', '0.7669', '', '', '', '0', '', ''], ['6AU2', '', '0.7651', '', '', '', '0', '', '']]
2017-09-22 19:50 Fri // ['156609', '150707', '150'] // ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'] // [['6AV7', '0.7964', '0.7928', '0.7924', '0.7983', '0.7910', '238', '841', '0'], ['6AX7', '0.7967', '0.7926', '0.7927', '0.7975', '0.7910', '220', '453', '0'], ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'], ['6AF8', '0.7965', '0.7919', '0.7928', '0.7972', '0.7928', '147', '112', '0'], ['6AH8', '0.7947', '0.7915', '0.7941', '0.7949', '0.7941', '53', '385', '0'], ['6AM8', '', '0.7906', '', '', '', '0', '17', '0'], ['6AU8', '0.7849', '0.7897', '0.7849', '0.7849', '0.7849', '1', '61', '0'], ['6AZ8', '', '0.7886', '', '', '', '0', '', ''], ['6AH9', '', '0.7876', '', '', '', '0', '', ''], ['6AM9', '', '0.7865', '', '', '', '0', '', ''], ['6AU9', '', '0.7855', '', '', '', '0', '', ''], ['6AZ9', '', '0.7838', '', '', '', '0', '', ''], ['6AH0', '', '0.7821', '', '', '', '0', '', ''], ['6AM0', '', '0.7804', '', '', '', '0', '', ''], ['6AU0', '', '0.7787', '', '', '', '0', '', ''], ['6AZ0', '', '0.7770', '', '', '', '0', '', ''], ['6AH1', '', '0.7754', '', '', '', '0', '', ''], ['6AM1', '', '0.7737', '', '', '', '0', '', ''], ['6AU1', '', '0.7720', '', '', '', '0', '', ''], ['6AZ1', '', '0.7703', '', '', '', '0', '', ''], ['6AH2', '', '0.7686', '', '', '', '0', '', ''], ['6AM2', '', '0.7669', '', '', '', '0', '', ''], ['6AU2', '', '0.7651', '', '', '', '0', '', '']]
2017-09-22 19:52 Fri // ['156609', '150707', '150'] // ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'] // [['6AV7', '0.7964', '0.7928', '0.7924', '0.7983', '0.7910', '238', '841', '0'], ['6AX7', '0.7967', '0.7926', '0.7927', '0.7975', '0.7910', '220', '453', '0'], ['6AZ7', '0.7954', '0.7922', '0.7922', '0.7978', '0.7899', '105371', '154740', '150'], ['6AF8', '0.7965', '0.7919', '0.7928', '0.7972', '0.7928', '147', '112', '0'], ['6AH8', '0.7947', '0.7915', '0.7941', '0.7949', '0.7941', '53', '385', '0'], ['6AM8', '', '0.7906', '', '', '', '0', '17', '0'], ['6AU8', '0.7849', '0.7897', '0.7849', '0.7849', '0.7849', '1', '61', '0'], ['6AZ8', '', '0.7886', '', '', '', '0', '', ''], ['6AH9', '', '0.7876', '', '', '', '0', '', ''], ['6AM9', '', '0.7865', '', '', '', '0', '', ''], ['6AU9', '', '0.7855', '', '', '', '0', '', ''], ['6AZ9', '', '0.7838', '', '', '', '0', '', ''], ['6AH0', '', '0.7821', '', '', '', '0', '', ''], ['6AM0', '', '0.7804', '', '', '', '0', '', ''], ['6AU0', '', '0.7787', '', '', '', '0', '', ''], ['6AZ0', '', '0.7770', '', '', '', '0', '', ''], ['6AH1', '', '0.7754', '', '', '', '0', '', ''], ['6AM1', '', '0.7737', '', '', '', '0', '', ''], ['6AU1', '', '0.7720', '', '', '', '0', '', ''], ['6AZ1', '', '0.7703', '', '', '', '0', '', ''], ['6AH2', '', '0.7686', '', '', '', '0', '', ''], ['6AM2', '', '0.7669', '', '', '', '0', '', ''], ['6AU2', '', '0.7651', '', '', '', '0', '', '']]
