2017-09-22 19:22 Fri // ['1398818', '160199', '0'] // ['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'] // [['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'], ['ZCH8', '366.0', '363.0', '362.2', '368.6', '362.2', '22280', '233505', '0'], ['ZCK8', '374.6', '371.2', '370.4', '377.0', '370.4', '9148', '98789', '0'], ['ZCN8', '381.4', '378.0', '377.4', '383.6', '377.4', '9666', '131128', '0'], ['ZCU8', '387.4', '384.6', '383.6', '390.2', '383.6', '2781', '31782', '0'], ['ZCZ8', '396.2', '393.4', '392.0', '399.0', '392.0', '6341', '80505', '0'], ['ZCH9', '406.4', '404.0', '404.6', '408.6', '404.4', '304', '8117', '0'], ['ZCK9', '412.0', '409.2', '412.0', '412.0', '412.0', '41', '693', '0'], ['ZCN9', '416.4', '413.6', '415.0', '416.4', '415.0', '52', '1238', '0'], ['ZCU9', '409.6', '407.4', '410.0', '410.0', '409.6', '3', '274', '0'], ['ZCZ9', '411.4', '409.0', '408.4', '413.0', '408.4', '58', '2008', '0']]
2017-09-22 19:27 Fri // ['1398818', '160199', '0'] // ['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'] // [['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'], ['ZCH8', '366.0', '363.0', '362.2', '368.6', '362.2', '22280', '233505', '0'], ['ZCK8', '374.6', '371.2', '370.4', '377.0', '370.4', '9148', '98789', '0'], ['ZCN8', '381.4', '378.0', '377.4', '383.6', '377.4', '9666', '131128', '0'], ['ZCU8', '387.4', '384.6', '383.6', '390.2', '383.6', '2781', '31782', '0'], ['ZCZ8', '396.2', '393.4', '392.0', '399.0', '392.0', '6341', '80505', '0'], ['ZCH9', '406.4', '404.0', '404.6', '408.6', '404.4', '304', '8117', '0'], ['ZCK9', '412.0', '409.2', '412.0', '412.0', '412.0', '41', '693', '0'], ['ZCN9', '416.4', '413.6', '415.0', '416.4', '415.0', '52', '1238', '0'], ['ZCU9', '409.6', '407.4', '410.0', '410.0', '409.6', '3', '274', '0'], ['ZCZ9', '411.4', '409.0', '408.4', '413.0', '408.4', '58', '2008', '0']]
2017-09-22 19:28 Fri // ['1398818', '160199', '0'] // ['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'] // [['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'], ['ZCH8', '366.0', '363.0', '362.2', '368.6', '362.2', '22280', '233505', '0'], ['ZCK8', '374.6', '371.2', '370.4', '377.0', '370.4', '9148', '98789', '0'], ['ZCN8', '381.4', '378.0', '377.4', '383.6', '377.4', '9666', '131128', '0'], ['ZCU8', '387.4', '384.6', '383.6', '390.2', '383.6', '2781', '31782', '0'], ['ZCZ8', '396.2', '393.4', '392.0', '399.0', '392.0', '6341', '80505', '0'], ['ZCH9', '406.4', '404.0', '404.6', '408.6', '404.4', '304', '8117', '0'], ['ZCK9', '412.0', '409.2', '412.0', '412.0', '412.0', '41', '693', '0'], ['ZCN9', '416.4', '413.6', '415.0', '416.4', '415.0', '52', '1238', '0'], ['ZCU9', '409.6', '407.4', '410.0', '410.0', '409.6', '3', '274', '0'], ['ZCZ9', '411.4', '409.0', '408.4', '413.0', '408.4', '58', '2008', '0']]
2017-09-22 19:30 Fri // ['1398818', '160199', '0'] // ['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'] // [['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'], ['ZCH8', '366.0', '363.0', '362.2', '368.6', '362.2', '22280', '233505', '0'], ['ZCK8', '374.6', '371.2', '370.4', '377.0', '370.4', '9148', '98789', '0'], ['ZCN8', '381.4', '378.0', '377.4', '383.6', '377.4', '9666', '131128', '0'], ['ZCU8', '387.4', '384.6', '383.6', '390.2', '383.6', '2781', '31782', '0'], ['ZCZ8', '396.2', '393.4', '392.0', '399.0', '392.0', '6341', '80505', '0'], ['ZCH9', '406.4', '404.0', '404.6', '408.6', '404.4', '304', '8117', '0'], ['ZCK9', '412.0', '409.2', '412.0', '412.0', '412.0', '41', '693', '0'], ['ZCN9', '416.4', '413.6', '415.0', '416.4', '415.0', '52', '1238', '0'], ['ZCU9', '409.6', '407.4', '410.0', '410.0', '409.6', '3', '274', '0'], ['ZCZ9', '411.4', '409.0', '408.4', '413.0', '408.4', '58', '2008', '0']]
2017-09-22 19:31 Fri // ['1398818', '160199', '0'] // ['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'] // [['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'], ['ZCH8', '366.0', '363.0', '362.2', '368.6', '362.2', '22280', '233505', '0'], ['ZCK8', '374.6', '371.2', '370.4', '377.0', '370.4', '9148', '98789', '0'], ['ZCN8', '381.4', '378.0', '377.4', '383.6', '377.4', '9666', '131128', '0'], ['ZCU8', '387.4', '384.6', '383.6', '390.2', '383.6', '2781', '31782', '0'], ['ZCZ8', '396.2', '393.4', '392.0', '399.0', '392.0', '6341', '80505', '0'], ['ZCH9', '406.4', '404.0', '404.6', '408.6', '404.4', '304', '8117', '0'], ['ZCK9', '412.0', '409.2', '412.0', '412.0', '412.0', '41', '693', '0'], ['ZCN9', '416.4', '413.6', '415.0', '416.4', '415.0', '52', '1238', '0'], ['ZCU9', '409.6', '407.4', '410.0', '410.0', '409.6', '3', '274', '0'], ['ZCZ9', '411.4', '409.0', '408.4', '413.0', '408.4', '58', '2008', '0']]
2017-09-22 19:36 Fri // ['1398818', '160199', '0'] // ['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'] // [['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'], ['ZCH8', '366.0', '363.0', '362.2', '368.6', '362.2', '22280', '233505', '0'], ['ZCK8', '374.6', '371.2', '370.4', '377.0', '370.4', '9148', '98789', '0'], ['ZCN8', '381.4', '378.0', '377.4', '383.6', '377.4', '9666', '131128', '0'], ['ZCU8', '387.4', '384.6', '383.6', '390.2', '383.6', '2781', '31782', '0'], ['ZCZ8', '396.2', '393.4', '392.0', '399.0', '392.0', '6341', '80505', '0'], ['ZCH9', '406.4', '404.0', '404.6', '408.6', '404.4', '304', '8117', '0'], ['ZCK9', '412.0', '409.2', '412.0', '412.0', '412.0', '41', '693', '0'], ['ZCN9', '416.4', '413.6', '415.0', '416.4', '415.0', '52', '1238', '0'], ['ZCU9', '409.6', '407.4', '410.0', '410.0', '409.6', '3', '274', '0'], ['ZCZ9', '411.4', '409.0', '408.4', '413.0', '408.4', '58', '2008', '0']]
2017-09-22 19:40 Fri // ['1398818', '160199', '0'] // ['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'] // [['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'], ['ZCH8', '366.0', '363.0', '362.2', '368.6', '362.2', '22280', '233505', '0'], ['ZCK8', '374.6', '371.2', '370.4', '377.0', '370.4', '9148', '98789', '0'], ['ZCN8', '381.4', '378.0', '377.4', '383.6', '377.4', '9666', '131128', '0'], ['ZCU8', '387.4', '384.6', '383.6', '390.2', '383.6', '2781', '31782', '0'], ['ZCZ8', '396.2', '393.4', '392.0', '399.0', '392.0', '6341', '80505', '0'], ['ZCH9', '406.4', '404.0', '404.6', '408.6', '404.4', '304', '8117', '0'], ['ZCK9', '412.0', '409.2', '412.0', '412.0', '412.0', '41', '693', '0'], ['ZCN9', '416.4', '413.6', '415.0', '416.4', '415.0', '52', '1238', '0'], ['ZCU9', '409.6', '407.4', '410.0', '410.0', '409.6', '3', '274', '0'], ['ZCZ9', '411.4', '409.0', '408.4', '413.0', '408.4', '58', '2008', '0']]
2017-09-22 19:42 Fri // ['1398818', '160199', '0'] // ['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'] // [['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'], ['ZCH8', '366.0', '363.0', '362.2', '368.6', '362.2', '22280', '233505', '0'], ['ZCK8', '374.6', '371.2', '370.4', '377.0', '370.4', '9148', '98789', '0'], ['ZCN8', '381.4', '378.0', '377.4', '383.6', '377.4', '9666', '131128', '0'], ['ZCU8', '387.4', '384.6', '383.6', '390.2', '383.6', '2781', '31782', '0'], ['ZCZ8', '396.2', '393.4', '392.0', '399.0', '392.0', '6341', '80505', '0'], ['ZCH9', '406.4', '404.0', '404.6', '408.6', '404.4', '304', '8117', '0'], ['ZCK9', '412.0', '409.2', '412.0', '412.0', '412.0', '41', '693', '0'], ['ZCN9', '416.4', '413.6', '415.0', '416.4', '415.0', '52', '1238', '0'], ['ZCU9', '409.6', '407.4', '410.0', '410.0', '409.6', '3', '274', '0'], ['ZCZ9', '411.4', '409.0', '408.4', '413.0', '408.4', '58', '2008', '0']]
2017-09-22 19:48 Fri // ['1398818', '160199', '0'] // ['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'] // [['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'], ['ZCH8', '366.0', '363.0', '362.2', '368.6', '362.2', '22280', '233505', '0'], ['ZCK8', '374.6', '371.2', '370.4', '377.0', '370.4', '9148', '98789', '0'], ['ZCN8', '381.4', '378.0', '377.4', '383.6', '377.4', '9666', '131128', '0'], ['ZCU8', '387.4', '384.6', '383.6', '390.2', '383.6', '2781', '31782', '0'], ['ZCZ8', '396.2', '393.4', '392.0', '399.0', '392.0', '6341', '80505', '0'], ['ZCH9', '406.4', '404.0', '404.6', '408.6', '404.4', '304', '8117', '0'], ['ZCK9', '412.0', '409.2', '412.0', '412.0', '412.0', '41', '693', '0'], ['ZCN9', '416.4', '413.6', '415.0', '416.4', '415.0', '52', '1238', '0'], ['ZCU9', '409.6', '407.4', '410.0', '410.0', '409.6', '3', '274', '0'], ['ZCZ9', '411.4', '409.0', '408.4', '413.0', '408.4', '58', '2008', '0']]
2017-09-22 19:50 Fri // ['1398818', '160199', '0'] // ['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'] // [['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'], ['ZCH8', '366.0', '363.0', '362.2', '368.6', '362.2', '22280', '233505', '0'], ['ZCK8', '374.6', '371.2', '370.4', '377.0', '370.4', '9148', '98789', '0'], ['ZCN8', '381.4', '378.0', '377.4', '383.6', '377.4', '9666', '131128', '0'], ['ZCU8', '387.4', '384.6', '383.6', '390.2', '383.6', '2781', '31782', '0'], ['ZCZ8', '396.2', '393.4', '392.0', '399.0', '392.0', '6341', '80505', '0'], ['ZCH9', '406.4', '404.0', '404.6', '408.6', '404.4', '304', '8117', '0'], ['ZCK9', '412.0', '409.2', '412.0', '412.0', '412.0', '41', '693', '0'], ['ZCN9', '416.4', '413.6', '415.0', '416.4', '415.0', '52', '1238', '0'], ['ZCU9', '409.6', '407.4', '410.0', '410.0', '409.6', '3', '274', '0'], ['ZCZ9', '411.4', '409.0', '408.4', '413.0', '408.4', '58', '2008', '0']]
2017-09-22 19:52 Fri // ['1398818', '160199', '0'] // ['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'] // [['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'], ['ZCH8', '366.0', '363.0', '362.2', '368.6', '362.2', '22280', '233505', '0'], ['ZCK8', '374.6', '371.2', '370.4', '377.0', '370.4', '9148', '98789', '0'], ['ZCN8', '381.4', '378.0', '377.4', '383.6', '377.4', '9666', '131128', '0'], ['ZCU8', '387.4', '384.6', '383.6', '390.2', '383.6', '2781', '31782', '0'], ['ZCZ8', '396.2', '393.4', '392.0', '399.0', '392.0', '6341', '80505', '0'], ['ZCH9', '406.4', '404.0', '404.6', '408.6', '404.4', '304', '8117', '0'], ['ZCK9', '412.0', '409.2', '412.0', '412.0', '412.0', '41', '693', '0'], ['ZCN9', '416.4', '413.6', '415.0', '416.4', '415.0', '52', '1238', '0'], ['ZCU9', '409.6', '407.4', '410.0', '410.0', '409.6', '3', '274', '0'], ['ZCZ9', '411.4', '409.0', '408.4', '413.0', '408.4', '58', '2008', '0']]
2017-09-22 19:54 Fri // ['1398818', '160199', '0'] // ['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'] // [['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'], ['ZCH8', '366.0', '363.0', '362.2', '368.6', '362.2', '22280', '233505', '0'], ['ZCK8', '374.6', '371.2', '370.4', '377.0', '370.4', '9148', '98789', '0'], ['ZCN8', '381.4', '378.0', '377.4', '383.6', '377.4', '9666', '131128', '0'], ['ZCU8', '387.4', '384.6', '383.6', '390.2', '383.6', '2781', '31782', '0'], ['ZCZ8', '396.2', '393.4', '392.0', '399.0', '392.0', '6341', '80505', '0'], ['ZCH9', '406.4', '404.0', '404.6', '408.6', '404.4', '304', '8117', '0'], ['ZCK9', '412.0', '409.2', '412.0', '412.0', '412.0', '41', '693', '0'], ['ZCN9', '416.4', '413.6', '415.0', '416.4', '415.0', '52', '1238', '0'], ['ZCU9', '409.6', '407.4', '410.0', '410.0', '409.6', '3', '274', '0'], ['ZCZ9', '411.4', '409.0', '408.4', '413.0', '408.4', '58', '2008', '0']]
2017-09-22 19:56 Fri // ['1398818', '160199', '0'] // ['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'] // [['ZCZ7', '353.4', '350.2', '349.6', '356.2', '349.4', '127979', '810779', '0'], ['ZCH8', '366.0', '363.0', '362.2', '368.6', '362.2', '22280', '233505', '0'], ['ZCK8', '374.6', '371.2', '370.4', '377.0', '370.4', '9148', '98789', '0'], ['ZCN8', '381.4', '378.0', '377.4', '383.6', '377.4', '9666', '131128', '0'], ['ZCU8', '387.4', '384.6', '383.6', '390.2', '383.6', '2781', '31782', '0'], ['ZCZ8', '396.2', '393.4', '392.0', '399.0', '392.0', '6341', '80505', '0'], ['ZCH9', '406.4', '404.0', '404.6', '408.6', '404.4', '304', '8117', '0'], ['ZCK9', '412.0', '409.2', '412.0', '412.0', '412.0', '41', '693', '0'], ['ZCN9', '416.4', '413.6', '415.0', '416.4', '415.0', '52', '1238', '0'], ['ZCU9', '409.6', '407.4', '410.0', '410.0', '409.6', '3', '274', '0'], ['ZCZ9', '411.4', '409.0', '408.4', '413.0', '408.4', '58', '2008', '0']]
