2017-09-22 19:22 Fri // ['156277', '96190', '0'] // ['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'] // [['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'], ['YMH8', '22271', '22299', '22280', '22286', '22226', '138', '151', '0'], ['YMM8', '22210', '22268', '22210', '22210', '22210', '1', '17', '0'], ['YMU8', '', '22231', '', '', '', '0', '', '']]
2017-09-22 19:27 Fri // ['156277', '96190', '0'] // ['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'] // [['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'], ['YMH8', '22271', '22299', '22280', '22286', '22226', '138', '151', '0'], ['YMM8', '22210', '22268', '22210', '22210', '22210', '1', '17', '0'], ['YMU8', '', '22231', '', '', '', '0', '', '']]
2017-09-22 19:28 Fri // ['156277', '96190', '0'] // ['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'] // [['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'], ['YMH8', '22271', '22299', '22280', '22286', '22226', '138', '151', '0'], ['YMM8', '22210', '22268', '22210', '22210', '22210', '1', '17', '0'], ['YMU8', '', '22231', '', '', '', '0', '', '']]
2017-09-22 19:30 Fri // ['156277', '96190', '0'] // ['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'] // [['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'], ['YMH8', '22271', '22299', '22280', '22286', '22226', '138', '151', '0'], ['YMM8', '22210', '22268', '22210', '22210', '22210', '1', '17', '0'], ['YMU8', '', '22231', '', '', '', '0', '', '']]
2017-09-22 19:31 Fri // ['156277', '96190', '0'] // ['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'] // [['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'], ['YMH8', '22271', '22299', '22280', '22286', '22226', '138', '151', '0'], ['YMM8', '22210', '22268', '22210', '22210', '22210', '1', '17', '0'], ['YMU8', '', '22231', '', '', '', '0', '', '']]
2017-09-22 19:36 Fri // ['156277', '96190', '0'] // ['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'] // [['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'], ['YMH8', '22271', '22299', '22280', '22286', '22226', '138', '151', '0'], ['YMM8', '22210', '22268', '22210', '22210', '22210', '1', '17', '0'], ['YMU8', '', '22231', '', '', '', '0', '', '']]
2017-09-22 19:40 Fri // ['156277', '96190', '0'] // ['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'] // [['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'], ['YMH8', '22271', '22299', '22280', '22286', '22226', '138', '151', '0'], ['YMM8', '22210', '22268', '22210', '22210', '22210', '1', '17', '0'], ['YMU8', '', '22231', '', '', '', '0', '', '']]
2017-09-22 19:42 Fri // ['156277', '96190', '0'] // ['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'] // [['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'], ['YMH8', '22271', '22299', '22280', '22286', '22226', '138', '151', '0'], ['YMM8', '22210', '22268', '22210', '22210', '22210', '1', '17', '0'], ['YMU8', '', '22231', '', '', '', '0', '', '']]
2017-09-22 19:48 Fri // ['156277', '96190', '0'] // ['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'] // [['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'], ['YMH8', '22271', '22299', '22280', '22286', '22226', '138', '151', '0'], ['YMM8', '22210', '22268', '22210', '22210', '22210', '1', '17', '0'], ['YMU8', '', '22231', '', '', '', '0', '', '']]
2017-09-22 19:50 Fri // ['156277', '96190', '0'] // ['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'] // [['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'], ['YMH8', '22271', '22299', '22280', '22286', '22226', '138', '151', '0'], ['YMM8', '22210', '22268', '22210', '22210', '22210', '1', '17', '0'], ['YMU8', '', '22231', '', '', '', '0', '', '']]
2017-09-22 19:52 Fri // ['156277', '96190', '0'] // ['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'] // [['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'], ['YMH8', '22271', '22299', '22280', '22286', '22226', '138', '151', '0'], ['YMM8', '22210', '22268', '22210', '22210', '22210', '1', '17', '0'], ['YMU8', '', '22231', '', '', '', '0', '', '']]
2017-09-22 19:54 Fri // ['156277', '96190', '0'] // ['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'] // [['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'], ['YMH8', '22271', '22299', '22280', '22286', '22226', '138', '151', '0'], ['YMM8', '22210', '22268', '22210', '22210', '22210', '1', '17', '0'], ['YMU8', '', '22231', '', '', '', '0', '', '']]
2017-09-22 19:56 Fri // ['156277', '96190', '0'] // ['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'] // [['YMZ7', '22306', '22333', '22326', '22334', '22258', '110519', '156109', '0'], ['YMH8', '22271', '22299', '22280', '22286', '22226', '138', '151', '0'], ['YMM8', '22210', '22268', '22210', '22210', '22210', '1', '17', '0'], ['YMU8', '', '22231', '', '', '', '0', '', '']]
