2017-09-22 19:22 Fri // ['3085999', '1118264', '0'] // ['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'] // [['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'], ['ESH8', '2499.00', '2500.25', '2499.75', '2500.25', '2491.50', '1322', '12405', '0'], ['ESM8', '', '2499.50', '', '', '', '0', '476', '0'], ['ESU8', '2497.50', '2499.25', '2497.50', '2497.50', '2497.50', '1', '28', '0'], ['ESZ8', '', '2500.00', '', '', '', '0', '5', '0']]
2017-09-22 19:27 Fri // ['3085999', '1118264', '0'] // ['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'] // [['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'], ['ESH8', '2499.00', '2500.25', '2499.75', '2500.25', '2491.50', '1322', '12405', '0'], ['ESM8', '', '2499.50', '', '', '', '0', '476', '0'], ['ESU8', '2497.50', '2499.25', '2497.50', '2497.50', '2497.50', '1', '28', '0'], ['ESZ8', '', '2500.00', '', '', '', '0', '5', '0']]
2017-09-22 19:28 Fri // ['3085999', '1118264', '0'] // ['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'] // [['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'], ['ESH8', '2499.00', '2500.25', '2499.75', '2500.25', '2491.50', '1322', '12405', '0'], ['ESM8', '', '2499.50', '', '', '', '0', '476', '0'], ['ESU8', '2497.50', '2499.25', '2497.50', '2497.50', '2497.50', '1', '28', '0'], ['ESZ8', '', '2500.00', '', '', '', '0', '5', '0']]
2017-09-22 19:30 Fri // ['3085999', '1118264', '0'] // ['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'] // [['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'], ['ESH8', '2499.00', '2500.25', '2499.75', '2500.25', '2491.50', '1322', '12405', '0'], ['ESM8', '', '2499.50', '', '', '', '0', '476', '0'], ['ESU8', '2497.50', '2499.25', '2497.50', '2497.50', '2497.50', '1', '28', '0'], ['ESZ8', '', '2500.00', '', '', '', '0', '5', '0']]
2017-09-22 19:31 Fri // ['3085999', '1118264', '0'] // ['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'] // [['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'], ['ESH8', '2499.00', '2500.25', '2499.75', '2500.25', '2491.50', '1322', '12405', '0'], ['ESM8', '', '2499.50', '', '', '', '0', '476', '0'], ['ESU8', '2497.50', '2499.25', '2497.50', '2497.50', '2497.50', '1', '28', '0'], ['ESZ8', '', '2500.00', '', '', '', '0', '5', '0']]
2017-09-22 19:36 Fri // ['3085999', '1118264', '0'] // ['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'] // [['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'], ['ESH8', '2499.00', '2500.25', '2499.75', '2500.25', '2491.50', '1322', '12405', '0'], ['ESM8', '', '2499.50', '', '', '', '0', '476', '0'], ['ESU8', '2497.50', '2499.25', '2497.50', '2497.50', '2497.50', '1', '28', '0'], ['ESZ8', '', '2500.00', '', '', '', '0', '5', '0']]
2017-09-22 19:40 Fri // ['3085999', '1118264', '0'] // ['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'] // [['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'], ['ESH8', '2499.00', '2500.25', '2499.75', '2500.25', '2491.50', '1322', '12405', '0'], ['ESM8', '', '2499.50', '', '', '', '0', '476', '0'], ['ESU8', '2497.50', '2499.25', '2497.50', '2497.50', '2497.50', '1', '28', '0'], ['ESZ8', '', '2500.00', '', '', '', '0', '5', '0']]
2017-09-22 19:42 Fri // ['3085999', '1118264', '0'] // ['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'] // [['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'], ['ESH8', '2499.00', '2500.25', '2499.75', '2500.25', '2491.50', '1322', '12405', '0'], ['ESM8', '', '2499.50', '', '', '', '0', '476', '0'], ['ESU8', '2497.50', '2499.25', '2497.50', '2497.50', '2497.50', '1', '28', '0'], ['ESZ8', '', '2500.00', '', '', '', '0', '5', '0']]
2017-09-22 19:48 Fri // ['3085999', '1118264', '0'] // ['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'] // [['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'], ['ESH8', '2499.00', '2500.25', '2499.75', '2500.25', '2491.50', '1322', '12405', '0'], ['ESM8', '', '2499.50', '', '', '', '0', '476', '0'], ['ESU8', '2497.50', '2499.25', '2497.50', '2497.50', '2497.50', '1', '28', '0'], ['ESZ8', '', '2500.00', '', '', '', '0', '5', '0']]
2017-09-22 19:50 Fri // ['3085999', '1118264', '0'] // ['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'] // [['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'], ['ESH8', '2499.00', '2500.25', '2499.75', '2500.25', '2491.50', '1322', '12405', '0'], ['ESM8', '', '2499.50', '', '', '', '0', '476', '0'], ['ESU8', '2497.50', '2499.25', '2497.50', '2497.50', '2497.50', '1', '28', '0'], ['ESZ8', '', '2500.00', '', '', '', '0', '5', '0']]
2017-09-22 19:52 Fri // ['3085999', '1118264', '0'] // ['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'] // [['ESZ7', '2499.75', '2501.00', '2500.75', '2501.00', '2492.00', '1008511', '3073085', '0'], ['ESH8', '2499.00', '2500.25', '2499.75', '2500.25', '2491.50', '1322', '12405', '0'], ['ESM8', '', '2499.50', '', '', '', '0', '476', '0'], ['ESU8', '2497.50', '2499.25', '2497.50', '2497.50', '2497.50', '1', '28', '0'], ['ESZ8', '', '2500.00', '', '', '', '0', '5', '0']]
