2017-09-22 19:22 Fri // ['431997', '216197', '0'] // ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'] // [['6EV7', '1.19615', '1.19465', '1.19595', '1.2018', '1.1954', '1373', '1507', '0'], ['6EX7', '1.1978', '1.1964', '1.1977', '1.2031', '1.1973', '2241', '1434', '0'], ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'], ['6EF8', '1.2023', '1.2008', '1.20215', '1.20775', '1.2019', '1845', '395', '0'], ['6EH8', '1.2071', '1.20515', '1.20725', '1.2124', '1.20645', '282', '2341', '0'], ['6EM8', '1.2155', '1.21185', '1.2140', '1.2175', '1.2140', '83', '1200', '0'], ['6EU8', '1.2230', '1.2188', '1.2230', '1.2230', '1.2230', '17', '660', '0'], ['6EZ8', '', '1.2259', '', '', '', '23', '21', '0'], ['6EH9', '', '1.23325', '', '', '', '0', '27', '0'], ['6EM9', '', '1.2405', '', '', '', '0', '22', '0'], ['6EU9', '1.2462', '1.24775', '1.2482', '1.2482', '1.2462', '6', '52', '0'], ['6EZ9', '', '1.2546', '', '', '', '0', '', ''], ['6EH0', '', '1.26145', '', '', '', '0', '', ''], ['6EM0', '', '1.2683', '', '', '', '0', '', ''], ['6EU0', '', '1.27515', '', '', '', '0', '', ''], ['6EZ0', '', '1.28205', '', '', '', '0', '', ''], ['6EH1', '', '1.2889', '', '', '', '0', '', ''], ['6EM1', '', '1.29575', '', '', '', '0', '', ''], ['6EU1', '', '1.3026', '', '', '', '0', '', ''], ['6EZ1', '', '1.30945', '', '', '', '0', '', ''], ['6EH2', '', '1.3163', '', '', '', '0', '', ''], ['6EM2', '', '1.32315', '', '', '', '0', '', ''], ['6EU2', '', '1.3305', '', '', '', '0', '', '']]
2017-09-22 19:27 Fri // ['431997', '216197', '0'] // ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'] // [['6EV7', '1.19615', '1.19465', '1.19595', '1.2018', '1.1954', '1373', '1507', '0'], ['6EX7', '1.1978', '1.1964', '1.1977', '1.2031', '1.1973', '2241', '1434', '0'], ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'], ['6EF8', '1.2023', '1.2008', '1.20215', '1.20775', '1.2019', '1845', '395', '0'], ['6EH8', '1.2071', '1.20515', '1.20725', '1.2124', '1.20645', '282', '2341', '0'], ['6EM8', '1.2155', '1.21185', '1.2140', '1.2175', '1.2140', '83', '1200', '0'], ['6EU8', '1.2230', '1.2188', '1.2230', '1.2230', '1.2230', '17', '660', '0'], ['6EZ8', '', '1.2259', '', '', '', '23', '21', '0'], ['6EH9', '', '1.23325', '', '', '', '0', '27', '0'], ['6EM9', '', '1.2405', '', '', '', '0', '22', '0'], ['6EU9', '1.2462', '1.24775', '1.2482', '1.2482', '1.2462', '6', '52', '0'], ['6EZ9', '', '1.2546', '', '', '', '0', '', ''], ['6EH0', '', '1.26145', '', '', '', '0', '', ''], ['6EM0', '', '1.2683', '', '', '', '0', '', ''], ['6EU0', '', '1.27515', '', '', '', '0', '', ''], ['6EZ0', '', '1.28205', '', '', '', '0', '', ''], ['6EH1', '', '1.2889', '', '', '', '0', '', ''], ['6EM1', '', '1.29575', '', '', '', '0', '', ''], ['6EU1', '', '1.3026', '', '', '', '0', '', ''], ['6EZ1', '', '1.30945', '', '', '', '0', '', ''], ['6EH2', '', '1.3163', '', '', '', '0', '', ''], ['6EM2', '', '1.32315', '', '', '', '0', '', ''], ['6EU2', '', '1.3305', '', '', '', '0', '', '']]
2017-09-22 19:28 Fri // ['431997', '216197', '0'] // ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'] // [['6EV7', '1.19615', '1.19465', '1.19595', '1.2018', '1.1954', '1373', '1507', '0'], ['6EX7', '1.1978', '1.1964', '1.1977', '1.2031', '1.1973', '2241', '1434', '0'], ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'], ['6EF8', '1.2023', '1.2008', '1.20215', '1.20775', '1.2019', '1845', '395', '0'], ['6EH8', '1.2071', '1.20515', '1.20725', '1.2124', '1.20645', '282', '2341', '0'], ['6EM8', '1.2155', '1.21185', '1.2140', '1.2175', '1.2140', '83', '1200', '0'], ['6EU8', '1.2230', '1.2188', '1.2230', '1.2230', '1.2230', '17', '660', '0'], ['6EZ8', '', '1.2259', '', '', '', '23', '21', '0'], ['6EH9', '', '1.23325', '', '', '', '0', '27', '0'], ['6EM9', '', '1.2405', '', '', '', '0', '22', '0'], ['6EU9', '1.2462', '1.24775', '1.2482', '1.2482', '1.2462', '6', '52', '0'], ['6EZ9', '', '1.2546', '', '', '', '0', '', ''], ['6EH0', '', '1.26145', '', '', '', '0', '', ''], ['6EM0', '', '1.2683', '', '', '', '0', '', ''], ['6EU0', '', '1.27515', '', '', '', '0', '', ''], ['6EZ0', '', '1.28205', '', '', '', '0', '', ''], ['6EH1', '', '1.2889', '', '', '', '0', '', ''], ['6EM1', '', '1.29575', '', '', '', '0', '', ''], ['6EU1', '', '1.3026', '', '', '', '0', '', ''], ['6EZ1', '', '1.30945', '', '', '', '0', '', ''], ['6EH2', '', '1.3163', '', '', '', '0', '', ''], ['6EM2', '', '1.32315', '', '', '', '0', '', ''], ['6EU2', '', '1.3305', '', '', '', '0', '', '']]
2017-09-22 19:30 Fri // ['431997', '216197', '0'] // ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'] // [['6EV7', '1.19615', '1.19465', '1.19595', '1.2018', '1.1954', '1373', '1507', '0'], ['6EX7', '1.1978', '1.1964', '1.1977', '1.2031', '1.1973', '2241', '1434', '0'], ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'], ['6EF8', '1.2023', '1.2008', '1.20215', '1.20775', '1.2019', '1845', '395', '0'], ['6EH8', '1.2071', '1.20515', '1.20725', '1.2124', '1.20645', '282', '2341', '0'], ['6EM8', '1.2155', '1.21185', '1.2140', '1.2175', '1.2140', '83', '1200', '0'], ['6EU8', '1.2230', '1.2188', '1.2230', '1.2230', '1.2230', '17', '660', '0'], ['6EZ8', '', '1.2259', '', '', '', '23', '21', '0'], ['6EH9', '', '1.23325', '', '', '', '0', '27', '0'], ['6EM9', '', '1.2405', '', '', '', '0', '22', '0'], ['6EU9', '1.2462', '1.24775', '1.2482', '1.2482', '1.2462', '6', '52', '0'], ['6EZ9', '', '1.2546', '', '', '', '0', '', ''], ['6EH0', '', '1.26145', '', '', '', '0', '', ''], ['6EM0', '', '1.2683', '', '', '', '0', '', ''], ['6EU0', '', '1.27515', '', '', '', '0', '', ''], ['6EZ0', '', '1.28205', '', '', '', '0', '', ''], ['6EH1', '', '1.2889', '', '', '', '0', '', ''], ['6EM1', '', '1.29575', '', '', '', '0', '', ''], ['6EU1', '', '1.3026', '', '', '', '0', '', ''], ['6EZ1', '', '1.30945', '', '', '', '0', '', ''], ['6EH2', '', '1.3163', '', '', '', '0', '', ''], ['6EM2', '', '1.32315', '', '', '', '0', '', ''], ['6EU2', '', '1.3305', '', '', '', '0', '', '']]
2017-09-22 19:31 Fri // ['431997', '216197', '0'] // ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'] // [['6EV7', '1.19615', '1.19465', '1.19595', '1.2018', '1.1954', '1373', '1507', '0'], ['6EX7', '1.1978', '1.1964', '1.1977', '1.2031', '1.1973', '2241', '1434', '0'], ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'], ['6EF8', '1.2023', '1.2008', '1.20215', '1.20775', '1.2019', '1845', '395', '0'], ['6EH8', '1.2071', '1.20515', '1.20725', '1.2124', '1.20645', '282', '2341', '0'], ['6EM8', '1.2155', '1.21185', '1.2140', '1.2175', '1.2140', '83', '1200', '0'], ['6EU8', '1.2230', '1.2188', '1.2230', '1.2230', '1.2230', '17', '660', '0'], ['6EZ8', '', '1.2259', '', '', '', '23', '21', '0'], ['6EH9', '', '1.23325', '', '', '', '0', '27', '0'], ['6EM9', '', '1.2405', '', '', '', '0', '22', '0'], ['6EU9', '1.2462', '1.24775', '1.2482', '1.2482', '1.2462', '6', '52', '0'], ['6EZ9', '', '1.2546', '', '', '', '0', '', ''], ['6EH0', '', '1.26145', '', '', '', '0', '', ''], ['6EM0', '', '1.2683', '', '', '', '0', '', ''], ['6EU0', '', '1.27515', '', '', '', '0', '', ''], ['6EZ0', '', '1.28205', '', '', '', '0', '', ''], ['6EH1', '', '1.2889', '', '', '', '0', '', ''], ['6EM1', '', '1.29575', '', '', '', '0', '', ''], ['6EU1', '', '1.3026', '', '', '', '0', '', ''], ['6EZ1', '', '1.30945', '', '', '', '0', '', ''], ['6EH2', '', '1.3163', '', '', '', '0', '', ''], ['6EM2', '', '1.32315', '', '', '', '0', '', ''], ['6EU2', '', '1.3305', '', '', '', '0', '', '']]
2017-09-22 19:36 Fri // ['431997', '216197', '0'] // ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'] // [['6EV7', '1.19615', '1.19465', '1.19595', '1.2018', '1.1954', '1373', '1507', '0'], ['6EX7', '1.1978', '1.1964', '1.1977', '1.2031', '1.1973', '2241', '1434', '0'], ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'], ['6EF8', '1.2023', '1.2008', '1.20215', '1.20775', '1.2019', '1845', '395', '0'], ['6EH8', '1.2071', '1.20515', '1.20725', '1.2124', '1.20645', '282', '2341', '0'], ['6EM8', '1.2155', '1.21185', '1.2140', '1.2175', '1.2140', '83', '1200', '0'], ['6EU8', '1.2230', '1.2188', '1.2230', '1.2230', '1.2230', '17', '660', '0'], ['6EZ8', '', '1.2259', '', '', '', '23', '21', '0'], ['6EH9', '', '1.23325', '', '', '', '0', '27', '0'], ['6EM9', '', '1.2405', '', '', '', '0', '22', '0'], ['6EU9', '1.2462', '1.24775', '1.2482', '1.2482', '1.2462', '6', '52', '0'], ['6EZ9', '', '1.2546', '', '', '', '0', '', ''], ['6EH0', '', '1.26145', '', '', '', '0', '', ''], ['6EM0', '', '1.2683', '', '', '', '0', '', ''], ['6EU0', '', '1.27515', '', '', '', '0', '', ''], ['6EZ0', '', '1.28205', '', '', '', '0', '', ''], ['6EH1', '', '1.2889', '', '', '', '0', '', ''], ['6EM1', '', '1.29575', '', '', '', '0', '', ''], ['6EU1', '', '1.3026', '', '', '', '0', '', ''], ['6EZ1', '', '1.30945', '', '', '', '0', '', ''], ['6EH2', '', '1.3163', '', '', '', '0', '', ''], ['6EM2', '', '1.32315', '', '', '', '0', '', ''], ['6EU2', '', '1.3305', '', '', '', '0', '', '']]
2017-09-22 19:40 Fri // ['431997', '216197', '0'] // ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'] // [['6EV7', '1.19615', '1.19465', '1.19595', '1.2018', '1.1954', '1373', '1507', '0'], ['6EX7', '1.1978', '1.1964', '1.1977', '1.2031', '1.1973', '2241', '1434', '0'], ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'], ['6EF8', '1.2023', '1.2008', '1.20215', '1.20775', '1.2019', '1845', '395', '0'], ['6EH8', '1.2071', '1.20515', '1.20725', '1.2124', '1.20645', '282', '2341', '0'], ['6EM8', '1.2155', '1.21185', '1.2140', '1.2175', '1.2140', '83', '1200', '0'], ['6EU8', '1.2230', '1.2188', '1.2230', '1.2230', '1.2230', '17', '660', '0'], ['6EZ8', '', '1.2259', '', '', '', '23', '21', '0'], ['6EH9', '', '1.23325', '', '', '', '0', '27', '0'], ['6EM9', '', '1.2405', '', '', '', '0', '22', '0'], ['6EU9', '1.2462', '1.24775', '1.2482', '1.2482', '1.2462', '6', '52', '0'], ['6EZ9', '', '1.2546', '', '', '', '0', '', ''], ['6EH0', '', '1.26145', '', '', '', '0', '', ''], ['6EM0', '', '1.2683', '', '', '', '0', '', ''], ['6EU0', '', '1.27515', '', '', '', '0', '', ''], ['6EZ0', '', '1.28205', '', '', '', '0', '', ''], ['6EH1', '', '1.2889', '', '', '', '0', '', ''], ['6EM1', '', '1.29575', '', '', '', '0', '', ''], ['6EU1', '', '1.3026', '', '', '', '0', '', ''], ['6EZ1', '', '1.30945', '', '', '', '0', '', ''], ['6EH2', '', '1.3163', '', '', '', '0', '', ''], ['6EM2', '', '1.32315', '', '', '', '0', '', ''], ['6EU2', '', '1.3305', '', '', '', '0', '', '']]
2017-09-22 19:42 Fri // ['431997', '216197', '0'] // ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'] // [['6EV7', '1.19615', '1.19465', '1.19595', '1.2018', '1.1954', '1373', '1507', '0'], ['6EX7', '1.1978', '1.1964', '1.1977', '1.2031', '1.1973', '2241', '1434', '0'], ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'], ['6EF8', '1.2023', '1.2008', '1.20215', '1.20775', '1.2019', '1845', '395', '0'], ['6EH8', '1.2071', '1.20515', '1.20725', '1.2124', '1.20645', '282', '2341', '0'], ['6EM8', '1.2155', '1.21185', '1.2140', '1.2175', '1.2140', '83', '1200', '0'], ['6EU8', '1.2230', '1.2188', '1.2230', '1.2230', '1.2230', '17', '660', '0'], ['6EZ8', '', '1.2259', '', '', '', '23', '21', '0'], ['6EH9', '', '1.23325', '', '', '', '0', '27', '0'], ['6EM9', '', '1.2405', '', '', '', '0', '22', '0'], ['6EU9', '1.2462', '1.24775', '1.2482', '1.2482', '1.2462', '6', '52', '0'], ['6EZ9', '', '1.2546', '', '', '', '0', '', ''], ['6EH0', '', '1.26145', '', '', '', '0', '', ''], ['6EM0', '', '1.2683', '', '', '', '0', '', ''], ['6EU0', '', '1.27515', '', '', '', '0', '', ''], ['6EZ0', '', '1.28205', '', '', '', '0', '', ''], ['6EH1', '', '1.2889', '', '', '', '0', '', ''], ['6EM1', '', '1.29575', '', '', '', '0', '', ''], ['6EU1', '', '1.3026', '', '', '', '0', '', ''], ['6EZ1', '', '1.30945', '', '', '', '0', '', ''], ['6EH2', '', '1.3163', '', '', '', '0', '', ''], ['6EM2', '', '1.32315', '', '', '', '0', '', ''], ['6EU2', '', '1.3305', '', '', '', '0', '', '']]
2017-09-22 19:48 Fri // ['431997', '216197', '0'] // ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'] // [['6EV7', '1.19615', '1.19465', '1.19595', '1.2018', '1.1954', '1373', '1507', '0'], ['6EX7', '1.1978', '1.1964', '1.1977', '1.2031', '1.1973', '2241', '1434', '0'], ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'], ['6EF8', '1.2023', '1.2008', '1.20215', '1.20775', '1.2019', '1845', '395', '0'], ['6EH8', '1.2071', '1.20515', '1.20725', '1.2124', '1.20645', '282', '2341', '0'], ['6EM8', '1.2155', '1.21185', '1.2140', '1.2175', '1.2140', '83', '1200', '0'], ['6EU8', '1.2230', '1.2188', '1.2230', '1.2230', '1.2230', '17', '660', '0'], ['6EZ8', '', '1.2259', '', '', '', '23', '21', '0'], ['6EH9', '', '1.23325', '', '', '', '0', '27', '0'], ['6EM9', '', '1.2405', '', '', '', '0', '22', '0'], ['6EU9', '1.2462', '1.24775', '1.2482', '1.2482', '1.2462', '6', '52', '0'], ['6EZ9', '', '1.2546', '', '', '', '0', '', ''], ['6EH0', '', '1.26145', '', '', '', '0', '', ''], ['6EM0', '', '1.2683', '', '', '', '0', '', ''], ['6EU0', '', '1.27515', '', '', '', '0', '', ''], ['6EZ0', '', '1.28205', '', '', '', '0', '', ''], ['6EH1', '', '1.2889', '', '', '', '0', '', ''], ['6EM1', '', '1.29575', '', '', '', '0', '', ''], ['6EU1', '', '1.3026', '', '', '', '0', '', ''], ['6EZ1', '', '1.30945', '', '', '', '0', '', ''], ['6EH2', '', '1.3163', '', '', '', '0', '', ''], ['6EM2', '', '1.32315', '', '', '', '0', '', ''], ['6EU2', '', '1.3305', '', '', '', '0', '', '']]
2017-09-22 19:50 Fri // ['431997', '216197', '0'] // ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'] // [['6EV7', '1.19615', '1.19465', '1.19595', '1.2018', '1.1954', '1373', '1507', '0'], ['6EX7', '1.1978', '1.1964', '1.1977', '1.2031', '1.1973', '2241', '1434', '0'], ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'], ['6EF8', '1.2023', '1.2008', '1.20215', '1.20775', '1.2019', '1845', '395', '0'], ['6EH8', '1.2071', '1.20515', '1.20725', '1.2124', '1.20645', '282', '2341', '0'], ['6EM8', '1.2155', '1.21185', '1.2140', '1.2175', '1.2140', '83', '1200', '0'], ['6EU8', '1.2230', '1.2188', '1.2230', '1.2230', '1.2230', '17', '660', '0'], ['6EZ8', '', '1.2259', '', '', '', '23', '21', '0'], ['6EH9', '', '1.23325', '', '', '', '0', '27', '0'], ['6EM9', '', '1.2405', '', '', '', '0', '22', '0'], ['6EU9', '1.2462', '1.24775', '1.2482', '1.2482', '1.2462', '6', '52', '0'], ['6EZ9', '', '1.2546', '', '', '', '0', '', ''], ['6EH0', '', '1.26145', '', '', '', '0', '', ''], ['6EM0', '', '1.2683', '', '', '', '0', '', ''], ['6EU0', '', '1.27515', '', '', '', '0', '', ''], ['6EZ0', '', '1.28205', '', '', '', '0', '', ''], ['6EH1', '', '1.2889', '', '', '', '0', '', ''], ['6EM1', '', '1.29575', '', '', '', '0', '', ''], ['6EU1', '', '1.3026', '', '', '', '0', '', ''], ['6EZ1', '', '1.30945', '', '', '', '0', '', ''], ['6EH2', '', '1.3163', '', '', '', '0', '', ''], ['6EM2', '', '1.32315', '', '', '', '0', '', ''], ['6EU2', '', '1.3305', '', '', '', '0', '', '']]
2017-09-22 19:52 Fri // ['431997', '216197', '0'] // ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'] // [['6EV7', '1.19615', '1.19465', '1.19595', '1.2018', '1.1954', '1373', '1507', '0'], ['6EX7', '1.1978', '1.1964', '1.1977', '1.2031', '1.1973', '2241', '1434', '0'], ['6EZ7', '1.20015', '1.1986', '1.1995', '1.20595', '1.1991', '212018', '424338', '0'], ['6EF8', '1.2023', '1.2008', '1.20215', '1.20775', '1.2019', '1845', '395', '0'], ['6EH8', '1.2071', '1.20515', '1.20725', '1.2124', '1.20645', '282', '2341', '0'], ['6EM8', '1.2155', '1.21185', '1.2140', '1.2175', '1.2140', '83', '1200', '0'], ['6EU8', '1.2230', '1.2188', '1.2230', '1.2230', '1.2230', '17', '660', '0'], ['6EZ8', '', '1.2259', '', '', '', '23', '21', '0'], ['6EH9', '', '1.23325', '', '', '', '0', '27', '0'], ['6EM9', '', '1.2405', '', '', '', '0', '22', '0'], ['6EU9', '1.2462', '1.24775', '1.2482', '1.2482', '1.2462', '6', '52', '0'], ['6EZ9', '', '1.2546', '', '', '', '0', '', ''], ['6EH0', '', '1.26145', '', '', '', '0', '', ''], ['6EM0', '', '1.2683', '', '', '', '0', '', ''], ['6EU0', '', '1.27515', '', '', '', '0', '', ''], ['6EZ0', '', '1.28205', '', '', '', '0', '', ''], ['6EH1', '', '1.2889', '', '', '', '0', '', ''], ['6EM1', '', '1.29575', '', '', '', '0', '', ''], ['6EU1', '', '1.3026', '', '', '', '0', '', ''], ['6EZ1', '', '1.30945', '', '', '', '0', '', ''], ['6EH2', '', '1.3163', '', '', '', '0', '', ''], ['6EM2', '', '1.32315', '', '', '', '0', '', ''], ['6EU2', '', '1.3305', '', '', '', '0', '', '']]
