2017-09-22 19:22 Fri // ['23891', '3030', '0'] // ['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'] // [['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'], ['RYH8', '', '134.47', '', '', '', '0', '', ''], ['RYM8', '', '134.52', '', '', '', '0', '', ''], ['RYU8', '', '134.54', '', '', '', '0', '', ''], ['RYZ8', '', '134.52', '', '', '', '0', '', ''], ['RYH9', '', '134.52', '', '', '', '0', '', '']]
2017-09-22 19:27 Fri // ['23891', '3030', '0'] // ['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'] // [['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'], ['RYH8', '', '134.47', '', '', '', '0', '', ''], ['RYM8', '', '134.52', '', '', '', '0', '', ''], ['RYU8', '', '134.54', '', '', '', '0', '', ''], ['RYZ8', '', '134.52', '', '', '', '0', '', ''], ['RYH9', '', '134.52', '', '', '', '0', '', '']]
2017-09-22 19:28 Fri // ['23891', '3030', '0'] // ['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'] // [['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'], ['RYH8', '', '134.47', '', '', '', '0', '', ''], ['RYM8', '', '134.52', '', '', '', '0', '', ''], ['RYU8', '', '134.54', '', '', '', '0', '', ''], ['RYZ8', '', '134.52', '', '', '', '0', '', ''], ['RYH9', '', '134.52', '', '', '', '0', '', '']]
2017-09-22 19:30 Fri // ['23891', '3030', '0'] // ['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'] // [['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'], ['RYH8', '', '134.47', '', '', '', '0', '', ''], ['RYM8', '', '134.52', '', '', '', '0', '', ''], ['RYU8', '', '134.54', '', '', '', '0', '', ''], ['RYZ8', '', '134.52', '', '', '', '0', '', ''], ['RYH9', '', '134.52', '', '', '', '0', '', '']]
2017-09-22 19:31 Fri // ['23891', '3030', '0'] // ['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'] // [['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'], ['RYH8', '', '134.47', '', '', '', '0', '', ''], ['RYM8', '', '134.52', '', '', '', '0', '', ''], ['RYU8', '', '134.54', '', '', '', '0', '', ''], ['RYZ8', '', '134.52', '', '', '', '0', '', ''], ['RYH9', '', '134.52', '', '', '', '0', '', '']]
2017-09-22 19:36 Fri // ['23891', '3030', '0'] // ['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'] // [['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'], ['RYH8', '', '134.47', '', '', '', '0', '', ''], ['RYM8', '', '134.52', '', '', '', '0', '', ''], ['RYU8', '', '134.54', '', '', '', '0', '', ''], ['RYZ8', '', '134.52', '', '', '', '0', '', ''], ['RYH9', '', '134.52', '', '', '', '0', '', '']]
2017-09-22 19:40 Fri // ['23891', '3030', '0'] // ['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'] // [['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'], ['RYH8', '', '134.47', '', '', '', '0', '', ''], ['RYM8', '', '134.52', '', '', '', '0', '', ''], ['RYU8', '', '134.54', '', '', '', '0', '', ''], ['RYZ8', '', '134.52', '', '', '', '0', '', ''], ['RYH9', '', '134.52', '', '', '', '0', '', '']]
2017-09-22 19:42 Fri // ['23891', '3030', '0'] // ['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'] // [['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'], ['RYH8', '', '134.47', '', '', '', '0', '', ''], ['RYM8', '', '134.52', '', '', '', '0', '', ''], ['RYU8', '', '134.54', '', '', '', '0', '', ''], ['RYZ8', '', '134.52', '', '', '', '0', '', ''], ['RYH9', '', '134.52', '', '', '', '0', '', '']]
2017-09-22 19:48 Fri // ['23891', '3030', '0'] // ['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'] // [['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'], ['RYH8', '', '134.47', '', '', '', '0', '', ''], ['RYM8', '', '134.52', '', '', '', '0', '', ''], ['RYU8', '', '134.54', '', '', '', '0', '', ''], ['RYZ8', '', '134.52', '', '', '', '0', '', ''], ['RYH9', '', '134.52', '', '', '', '0', '', '']]
2017-09-22 19:50 Fri // ['23891', '3030', '0'] // ['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'] // [['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'], ['RYH8', '', '134.47', '', '', '', '0', '', ''], ['RYM8', '', '134.52', '', '', '', '0', '', ''], ['RYU8', '', '134.54', '', '', '', '0', '', ''], ['RYZ8', '', '134.52', '', '', '', '0', '', ''], ['RYH9', '', '134.52', '', '', '', '0', '', '']]
2017-09-22 19:52 Fri // ['23891', '3030', '0'] // ['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'] // [['RYZ7', '133.90', '134.42', '134.33', '134.50', '133.67', '3194', '23891', '0'], ['RYH8', '', '134.47', '', '', '', '0', '', ''], ['RYM8', '', '134.52', '', '', '', '0', '', ''], ['RYU8', '', '134.54', '', '', '', '0', '', ''], ['RYZ8', '', '134.52', '', '', '', '0', '', ''], ['RYH9', '', '134.52', '', '', '', '0', '', '']]
