2017-09-22 19:22 Fri // ['266259', '343882', '0'] // ['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'] // [['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'], ['NQH8', '5944.25', '5955.50', '5951.50', '5952.50', '5922.75', '584', '362', '0'], ['NQM8', '5937.75', '5965.75', '5937.75', '5937.75', '5937.75', '1', '45', '0'], ['NQU8', '', '5979.25', '', '', '', '0', '', ''], ['NQZ8', '', '5986.25', '', '', '', '0', '2', '0']]
2017-09-22 19:27 Fri // ['266259', '343882', '0'] // ['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'] // [['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'], ['NQH8', '5944.25', '5955.50', '5951.50', '5952.50', '5922.75', '584', '362', '0'], ['NQM8', '5937.75', '5965.75', '5937.75', '5937.75', '5937.75', '1', '45', '0'], ['NQU8', '', '5979.25', '', '', '', '0', '', ''], ['NQZ8', '', '5986.25', '', '', '', '0', '2', '0']]
2017-09-22 19:28 Fri // ['266259', '343882', '0'] // ['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'] // [['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'], ['NQH8', '5944.25', '5955.50', '5951.50', '5952.50', '5922.75', '584', '362', '0'], ['NQM8', '5937.75', '5965.75', '5937.75', '5937.75', '5937.75', '1', '45', '0'], ['NQU8', '', '5979.25', '', '', '', '0', '', ''], ['NQZ8', '', '5986.25', '', '', '', '0', '2', '0']]
2017-09-22 19:30 Fri // ['266259', '343882', '0'] // ['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'] // [['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'], ['NQH8', '5944.25', '5955.50', '5951.50', '5952.50', '5922.75', '584', '362', '0'], ['NQM8', '5937.75', '5965.75', '5937.75', '5937.75', '5937.75', '1', '45', '0'], ['NQU8', '', '5979.25', '', '', '', '0', '', ''], ['NQZ8', '', '5986.25', '', '', '', '0', '2', '0']]
2017-09-22 19:31 Fri // ['266259', '343882', '0'] // ['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'] // [['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'], ['NQH8', '5944.25', '5955.50', '5951.50', '5952.50', '5922.75', '584', '362', '0'], ['NQM8', '5937.75', '5965.75', '5937.75', '5937.75', '5937.75', '1', '45', '0'], ['NQU8', '', '5979.25', '', '', '', '0', '', ''], ['NQZ8', '', '5986.25', '', '', '', '0', '2', '0']]
2017-09-22 19:36 Fri // ['266259', '343882', '0'] // ['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'] // [['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'], ['NQH8', '5944.25', '5955.50', '5951.50', '5952.50', '5922.75', '584', '362', '0'], ['NQM8', '5937.75', '5965.75', '5937.75', '5937.75', '5937.75', '1', '45', '0'], ['NQU8', '', '5979.25', '', '', '', '0', '', ''], ['NQZ8', '', '5986.25', '', '', '', '0', '2', '0']]
2017-09-22 19:40 Fri // ['266259', '343882', '0'] // ['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'] // [['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'], ['NQH8', '5944.25', '5955.50', '5951.50', '5952.50', '5922.75', '584', '362', '0'], ['NQM8', '5937.75', '5965.75', '5937.75', '5937.75', '5937.75', '1', '45', '0'], ['NQU8', '', '5979.25', '', '', '', '0', '', ''], ['NQZ8', '', '5986.25', '', '', '', '0', '2', '0']]
2017-09-22 19:42 Fri // ['266259', '343882', '0'] // ['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'] // [['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'], ['NQH8', '5944.25', '5955.50', '5951.50', '5952.50', '5922.75', '584', '362', '0'], ['NQM8', '5937.75', '5965.75', '5937.75', '5937.75', '5937.75', '1', '45', '0'], ['NQU8', '', '5979.25', '', '', '', '0', '', ''], ['NQZ8', '', '5986.25', '', '', '', '0', '2', '0']]
2017-09-22 19:48 Fri // ['266259', '343882', '0'] // ['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'] // [['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'], ['NQH8', '5944.25', '5955.50', '5951.50', '5952.50', '5922.75', '584', '362', '0'], ['NQM8', '5937.75', '5965.75', '5937.75', '5937.75', '5937.75', '1', '45', '0'], ['NQU8', '', '5979.25', '', '', '', '0', '', ''], ['NQZ8', '', '5986.25', '', '', '', '0', '2', '0']]
2017-09-22 19:50 Fri // ['266259', '343882', '0'] // ['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'] // [['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'], ['NQH8', '5944.25', '5955.50', '5951.50', '5952.50', '5922.75', '584', '362', '0'], ['NQM8', '5937.75', '5965.75', '5937.75', '5937.75', '5937.75', '1', '45', '0'], ['NQU8', '', '5979.25', '', '', '', '0', '', ''], ['NQZ8', '', '5986.25', '', '', '', '0', '2', '0']]
2017-09-22 19:52 Fri // ['266259', '343882', '0'] // ['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'] // [['NQZ7', '5936.25', '5945.25', '5944.25', '5945.50', '5911.00', '270536', '265850', '0'], ['NQH8', '5944.25', '5955.50', '5951.50', '5952.50', '5922.75', '584', '362', '0'], ['NQM8', '5937.75', '5965.75', '5937.75', '5937.75', '5937.75', '1', '45', '0'], ['NQU8', '', '5979.25', '', '', '', '0', '', ''], ['NQZ8', '', '5986.25', '', '', '', '0', '2', '0']]
