2017-09-22 19:22 Fri // ['538765', '58204', '1050'] // ['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'] // [['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'], ['RTYH8', '1443.60', '1445.20', '1443.40', '1443.80', '1443.40', '91', '2', '0'], ['RTYM8', '', '1441.90', '', '', '', '0', '', ''], ['RTYU8', '', '1441.00', '', '', '', '0', '', ''], ['RTYZ8', '', '1440.20', '', '', '', '0', '', '']]
2017-09-22 19:27 Fri // ['538765', '58204', '1050'] // ['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'] // [['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'], ['RTYH8', '1443.60', '1445.20', '1443.40', '1443.80', '1443.40', '91', '2', '0'], ['RTYM8', '', '1441.90', '', '', '', '0', '', ''], ['RTYU8', '', '1441.00', '', '', '', '0', '', ''], ['RTYZ8', '', '1440.20', '', '', '', '0', '', '']]
2017-09-22 19:28 Fri // ['538765', '58204', '1050'] // ['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'] // [['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'], ['RTYH8', '1443.60', '1445.20', '1443.40', '1443.80', '1443.40', '91', '2', '0'], ['RTYM8', '', '1441.90', '', '', '', '0', '', ''], ['RTYU8', '', '1441.00', '', '', '', '0', '', ''], ['RTYZ8', '', '1440.20', '', '', '', '0', '', '']]
2017-09-22 19:30 Fri // ['538765', '58204', '1050'] // ['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'] // [['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'], ['RTYH8', '1443.60', '1445.20', '1443.40', '1443.80', '1443.40', '91', '2', '0'], ['RTYM8', '', '1441.90', '', '', '', '0', '', ''], ['RTYU8', '', '1441.00', '', '', '', '0', '', ''], ['RTYZ8', '', '1440.20', '', '', '', '0', '', '']]
2017-09-22 19:31 Fri // ['538765', '58204', '1050'] // ['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'] // [['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'], ['RTYH8', '1443.60', '1445.20', '1443.40', '1443.80', '1443.40', '91', '2', '0'], ['RTYM8', '', '1441.90', '', '', '', '0', '', ''], ['RTYU8', '', '1441.00', '', '', '', '0', '', ''], ['RTYZ8', '', '1440.20', '', '', '', '0', '', '']]
2017-09-22 19:36 Fri // ['538765', '58204', '1050'] // ['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'] // [['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'], ['RTYH8', '1443.60', '1445.20', '1443.40', '1443.80', '1443.40', '91', '2', '0'], ['RTYM8', '', '1441.90', '', '', '', '0', '', ''], ['RTYU8', '', '1441.00', '', '', '', '0', '', ''], ['RTYZ8', '', '1440.20', '', '', '', '0', '', '']]
2017-09-22 19:40 Fri // ['538765', '58204', '1050'] // ['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'] // [['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'], ['RTYH8', '1443.60', '1445.20', '1443.40', '1443.80', '1443.40', '91', '2', '0'], ['RTYM8', '', '1441.90', '', '', '', '0', '', ''], ['RTYU8', '', '1441.00', '', '', '', '0', '', ''], ['RTYZ8', '', '1440.20', '', '', '', '0', '', '']]
2017-09-22 19:42 Fri // ['538765', '58204', '1050'] // ['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'] // [['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'], ['RTYH8', '1443.60', '1445.20', '1443.40', '1443.80', '1443.40', '91', '2', '0'], ['RTYM8', '', '1441.90', '', '', '', '0', '', ''], ['RTYU8', '', '1441.00', '', '', '', '0', '', ''], ['RTYZ8', '', '1440.20', '', '', '', '0', '', '']]
2017-09-22 19:48 Fri // ['538765', '58204', '1050'] // ['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'] // [['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'], ['RTYH8', '1443.60', '1445.20', '1443.40', '1443.80', '1443.40', '91', '2', '0'], ['RTYM8', '', '1441.90', '', '', '', '0', '', ''], ['RTYU8', '', '1441.00', '', '', '', '0', '', ''], ['RTYZ8', '', '1440.20', '', '', '', '0', '', '']]
2017-09-22 19:50 Fri // ['538765', '58204', '1050'] // ['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'] // [['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'], ['RTYH8', '1443.60', '1445.20', '1443.40', '1443.80', '1443.40', '91', '2', '0'], ['RTYM8', '', '1441.90', '', '', '', '0', '', ''], ['RTYU8', '', '1441.00', '', '', '', '0', '', ''], ['RTYZ8', '', '1440.20', '', '', '', '0', '', '']]
2017-09-22 19:52 Fri // ['538765', '58204', '1050'] // ['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'] // [['RTYZ7', '1450.70', '1445.40', '1444.40', '1456.00', '1438.60', '59589', '538763', '1050'], ['RTYH8', '1443.60', '1445.20', '1443.40', '1443.80', '1443.40', '91', '2', '0'], ['RTYM8', '', '1441.90', '', '', '', '0', '', ''], ['RTYU8', '', '1441.00', '', '', '', '0', '', ''], ['RTYZ8', '', '1440.20', '', '', '', '0', '', '']]
