2017-09-22 19:22 Fri // ['665844', '183941', '0'] // ['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'] // [['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'], ['ZSF8', '995.2', '981.0', '980.0', '997.0', '979.4', '29348', '98164', '0'], ['ZSH8', '1004.4', '990.2', '989.0', '1006.0', '988.4', '17981', '72153', '0'], ['ZSK8', '1012.4', '998.4', '997.0', '1013.6', '997.0', '8090', '40160', '0'], ['ZSN8', '1018.4', '1005.0', '1004.0', '1020.0', '1003.4', '11081', '64324', '0'], ['ZSQ8', '1018.6', '1005.2', '1017.0', '1019.2', '1015.0', '178', '2180', '0'], ['ZSU8', '1007.6', '996.2', '1000.0', '1009.2', '1000.0', '57', '976', '0'], ['ZSX8', '999.0', '988.6', '987.6', '1000.4', '986.4', '4333', '31026', '0'], ['ZSF9', '1003.2', '994.6', '1000.0', '1005.0', '999.4', '20', '224', '0'], ['ZSH9', '', '997.6', '', '', '', '0', '300', '0'], ['ZSK9', '1010.0', '1001.0', '1010.0', '1010.0', '1010.0', '4', '53', '0'], ['ZSN9', '', '1005.2', '', '', '', '0', '111', '0'], ['ZSQ9', '', '1001.6', '', '', '', '0', '14', '0'], ['ZSU9', '998.0', '997.4', '998.0', '998.0', '998.0', '5', '21', '0'], ['ZSX9', '998.0', '987.2', '992.6', '998.0', '992.6', '10', '505', '0'], ['ZSN0', '', '1001.2', '', '', '', '0', '5', '0'], ['ZSX0', '983.0', '978.2', '983.0', '983.0', '983.0', '2', '15', '0']]
2017-09-22 19:27 Fri // ['665844', '183941', '0'] // ['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'] // [['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'], ['ZSF8', '995.2', '981.0', '980.0', '997.0', '979.4', '29348', '98164', '0'], ['ZSH8', '1004.4', '990.2', '989.0', '1006.0', '988.4', '17981', '72153', '0'], ['ZSK8', '1012.4', '998.4', '997.0', '1013.6', '997.0', '8090', '40160', '0'], ['ZSN8', '1018.4', '1005.0', '1004.0', '1020.0', '1003.4', '11081', '64324', '0'], ['ZSQ8', '1018.6', '1005.2', '1017.0', '1019.2', '1015.0', '178', '2180', '0'], ['ZSU8', '1007.6', '996.2', '1000.0', '1009.2', '1000.0', '57', '976', '0'], ['ZSX8', '999.0', '988.6', '987.6', '1000.4', '986.4', '4333', '31026', '0'], ['ZSF9', '1003.2', '994.6', '1000.0', '1005.0', '999.4', '20', '224', '0'], ['ZSH9', '', '997.6', '', '', '', '0', '300', '0'], ['ZSK9', '1010.0', '1001.0', '1010.0', '1010.0', '1010.0', '4', '53', '0'], ['ZSN9', '', '1005.2', '', '', '', '0', '111', '0'], ['ZSQ9', '', '1001.6', '', '', '', '0', '14', '0'], ['ZSU9', '998.0', '997.4', '998.0', '998.0', '998.0', '5', '21', '0'], ['ZSX9', '998.0', '987.2', '992.6', '998.0', '992.6', '10', '505', '0'], ['ZSN0', '', '1001.2', '', '', '', '0', '5', '0'], ['ZSX0', '983.0', '978.2', '983.0', '983.0', '983.0', '2', '15', '0']]
2017-09-22 19:28 Fri // ['665844', '183941', '0'] // ['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'] // [['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'], ['ZSF8', '995.2', '981.0', '980.0', '997.0', '979.4', '29348', '98164', '0'], ['ZSH8', '1004.4', '990.2', '989.0', '1006.0', '988.4', '17981', '72153', '0'], ['ZSK8', '1012.4', '998.4', '997.0', '1013.6', '997.0', '8090', '40160', '0'], ['ZSN8', '1018.4', '1005.0', '1004.0', '1020.0', '1003.4', '11081', '64324', '0'], ['ZSQ8', '1018.6', '1005.2', '1017.0', '1019.2', '1015.0', '178', '2180', '0'], ['ZSU8', '1007.6', '996.2', '1000.0', '1009.2', '1000.0', '57', '976', '0'], ['ZSX8', '999.0', '988.6', '987.6', '1000.4', '986.4', '4333', '31026', '0'], ['ZSF9', '1003.2', '994.6', '1000.0', '1005.0', '999.4', '20', '224', '0'], ['ZSH9', '', '997.6', '', '', '', '0', '300', '0'], ['ZSK9', '1010.0', '1001.0', '1010.0', '1010.0', '1010.0', '4', '53', '0'], ['ZSN9', '', '1005.2', '', '', '', '0', '111', '0'], ['ZSQ9', '', '1001.6', '', '', '', '0', '14', '0'], ['ZSU9', '998.0', '997.4', '998.0', '998.0', '998.0', '5', '21', '0'], ['ZSX9', '998.0', '987.2', '992.6', '998.0', '992.6', '10', '505', '0'], ['ZSN0', '', '1001.2', '', '', '', '0', '5', '0'], ['ZSX0', '983.0', '978.2', '983.0', '983.0', '983.0', '2', '15', '0']]
2017-09-22 19:30 Fri // ['665844', '183941', '0'] // ['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'] // [['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'], ['ZSF8', '995.2', '981.0', '980.0', '997.0', '979.4', '29348', '98164', '0'], ['ZSH8', '1004.4', '990.2', '989.0', '1006.0', '988.4', '17981', '72153', '0'], ['ZSK8', '1012.4', '998.4', '997.0', '1013.6', '997.0', '8090', '40160', '0'], ['ZSN8', '1018.4', '1005.0', '1004.0', '1020.0', '1003.4', '11081', '64324', '0'], ['ZSQ8', '1018.6', '1005.2', '1017.0', '1019.2', '1015.0', '178', '2180', '0'], ['ZSU8', '1007.6', '996.2', '1000.0', '1009.2', '1000.0', '57', '976', '0'], ['ZSX8', '999.0', '988.6', '987.6', '1000.4', '986.4', '4333', '31026', '0'], ['ZSF9', '1003.2', '994.6', '1000.0', '1005.0', '999.4', '20', '224', '0'], ['ZSH9', '', '997.6', '', '', '', '0', '300', '0'], ['ZSK9', '1010.0', '1001.0', '1010.0', '1010.0', '1010.0', '4', '53', '0'], ['ZSN9', '', '1005.2', '', '', '', '0', '111', '0'], ['ZSQ9', '', '1001.6', '', '', '', '0', '14', '0'], ['ZSU9', '998.0', '997.4', '998.0', '998.0', '998.0', '5', '21', '0'], ['ZSX9', '998.0', '987.2', '992.6', '998.0', '992.6', '10', '505', '0'], ['ZSN0', '', '1001.2', '', '', '', '0', '5', '0'], ['ZSX0', '983.0', '978.2', '983.0', '983.0', '983.0', '2', '15', '0']]
2017-09-22 19:31 Fri // ['665844', '183941', '0'] // ['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'] // [['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'], ['ZSF8', '995.2', '981.0', '980.0', '997.0', '979.4', '29348', '98164', '0'], ['ZSH8', '1004.4', '990.2', '989.0', '1006.0', '988.4', '17981', '72153', '0'], ['ZSK8', '1012.4', '998.4', '997.0', '1013.6', '997.0', '8090', '40160', '0'], ['ZSN8', '1018.4', '1005.0', '1004.0', '1020.0', '1003.4', '11081', '64324', '0'], ['ZSQ8', '1018.6', '1005.2', '1017.0', '1019.2', '1015.0', '178', '2180', '0'], ['ZSU8', '1007.6', '996.2', '1000.0', '1009.2', '1000.0', '57', '976', '0'], ['ZSX8', '999.0', '988.6', '987.6', '1000.4', '986.4', '4333', '31026', '0'], ['ZSF9', '1003.2', '994.6', '1000.0', '1005.0', '999.4', '20', '224', '0'], ['ZSH9', '', '997.6', '', '', '', '0', '300', '0'], ['ZSK9', '1010.0', '1001.0', '1010.0', '1010.0', '1010.0', '4', '53', '0'], ['ZSN9', '', '1005.2', '', '', '', '0', '111', '0'], ['ZSQ9', '', '1001.6', '', '', '', '0', '14', '0'], ['ZSU9', '998.0', '997.4', '998.0', '998.0', '998.0', '5', '21', '0'], ['ZSX9', '998.0', '987.2', '992.6', '998.0', '992.6', '10', '505', '0'], ['ZSN0', '', '1001.2', '', '', '', '0', '5', '0'], ['ZSX0', '983.0', '978.2', '983.0', '983.0', '983.0', '2', '15', '0']]
2017-09-22 19:36 Fri // ['665844', '183941', '0'] // ['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'] // [['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'], ['ZSF8', '995.2', '981.0', '980.0', '997.0', '979.4', '29348', '98164', '0'], ['ZSH8', '1004.4', '990.2', '989.0', '1006.0', '988.4', '17981', '72153', '0'], ['ZSK8', '1012.4', '998.4', '997.0', '1013.6', '997.0', '8090', '40160', '0'], ['ZSN8', '1018.4', '1005.0', '1004.0', '1020.0', '1003.4', '11081', '64324', '0'], ['ZSQ8', '1018.6', '1005.2', '1017.0', '1019.2', '1015.0', '178', '2180', '0'], ['ZSU8', '1007.6', '996.2', '1000.0', '1009.2', '1000.0', '57', '976', '0'], ['ZSX8', '999.0', '988.6', '987.6', '1000.4', '986.4', '4333', '31026', '0'], ['ZSF9', '1003.2', '994.6', '1000.0', '1005.0', '999.4', '20', '224', '0'], ['ZSH9', '', '997.6', '', '', '', '0', '300', '0'], ['ZSK9', '1010.0', '1001.0', '1010.0', '1010.0', '1010.0', '4', '53', '0'], ['ZSN9', '', '1005.2', '', '', '', '0', '111', '0'], ['ZSQ9', '', '1001.6', '', '', '', '0', '14', '0'], ['ZSU9', '998.0', '997.4', '998.0', '998.0', '998.0', '5', '21', '0'], ['ZSX9', '998.0', '987.2', '992.6', '998.0', '992.6', '10', '505', '0'], ['ZSN0', '', '1001.2', '', '', '', '0', '5', '0'], ['ZSX0', '983.0', '978.2', '983.0', '983.0', '983.0', '2', '15', '0']]
2017-09-22 19:40 Fri // ['665844', '183941', '0'] // ['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'] // [['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'], ['ZSF8', '995.2', '981.0', '980.0', '997.0', '979.4', '29348', '98164', '0'], ['ZSH8', '1004.4', '990.2', '989.0', '1006.0', '988.4', '17981', '72153', '0'], ['ZSK8', '1012.4', '998.4', '997.0', '1013.6', '997.0', '8090', '40160', '0'], ['ZSN8', '1018.4', '1005.0', '1004.0', '1020.0', '1003.4', '11081', '64324', '0'], ['ZSQ8', '1018.6', '1005.2', '1017.0', '1019.2', '1015.0', '178', '2180', '0'], ['ZSU8', '1007.6', '996.2', '1000.0', '1009.2', '1000.0', '57', '976', '0'], ['ZSX8', '999.0', '988.6', '987.6', '1000.4', '986.4', '4333', '31026', '0'], ['ZSF9', '1003.2', '994.6', '1000.0', '1005.0', '999.4', '20', '224', '0'], ['ZSH9', '', '997.6', '', '', '', '0', '300', '0'], ['ZSK9', '1010.0', '1001.0', '1010.0', '1010.0', '1010.0', '4', '53', '0'], ['ZSN9', '', '1005.2', '', '', '', '0', '111', '0'], ['ZSQ9', '', '1001.6', '', '', '', '0', '14', '0'], ['ZSU9', '998.0', '997.4', '998.0', '998.0', '998.0', '5', '21', '0'], ['ZSX9', '998.0', '987.2', '992.6', '998.0', '992.6', '10', '505', '0'], ['ZSN0', '', '1001.2', '', '', '', '0', '5', '0'], ['ZSX0', '983.0', '978.2', '983.0', '983.0', '983.0', '2', '15', '0']]
2017-09-22 19:42 Fri // ['665844', '183941', '0'] // ['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'] // [['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'], ['ZSF8', '995.2', '981.0', '980.0', '997.0', '979.4', '29348', '98164', '0'], ['ZSH8', '1004.4', '990.2', '989.0', '1006.0', '988.4', '17981', '72153', '0'], ['ZSK8', '1012.4', '998.4', '997.0', '1013.6', '997.0', '8090', '40160', '0'], ['ZSN8', '1018.4', '1005.0', '1004.0', '1020.0', '1003.4', '11081', '64324', '0'], ['ZSQ8', '1018.6', '1005.2', '1017.0', '1019.2', '1015.0', '178', '2180', '0'], ['ZSU8', '1007.6', '996.2', '1000.0', '1009.2', '1000.0', '57', '976', '0'], ['ZSX8', '999.0', '988.6', '987.6', '1000.4', '986.4', '4333', '31026', '0'], ['ZSF9', '1003.2', '994.6', '1000.0', '1005.0', '999.4', '20', '224', '0'], ['ZSH9', '', '997.6', '', '', '', '0', '300', '0'], ['ZSK9', '1010.0', '1001.0', '1010.0', '1010.0', '1010.0', '4', '53', '0'], ['ZSN9', '', '1005.2', '', '', '', '0', '111', '0'], ['ZSQ9', '', '1001.6', '', '', '', '0', '14', '0'], ['ZSU9', '998.0', '997.4', '998.0', '998.0', '998.0', '5', '21', '0'], ['ZSX9', '998.0', '987.2', '992.6', '998.0', '992.6', '10', '505', '0'], ['ZSN0', '', '1001.2', '', '', '', '0', '5', '0'], ['ZSX0', '983.0', '978.2', '983.0', '983.0', '983.0', '2', '15', '0']]
2017-09-22 19:48 Fri // ['665844', '183941', '0'] // ['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'] // [['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'], ['ZSF8', '995.2', '981.0', '980.0', '997.0', '979.4', '29348', '98164', '0'], ['ZSH8', '1004.4', '990.2', '989.0', '1006.0', '988.4', '17981', '72153', '0'], ['ZSK8', '1012.4', '998.4', '997.0', '1013.6', '997.0', '8090', '40160', '0'], ['ZSN8', '1018.4', '1005.0', '1004.0', '1020.0', '1003.4', '11081', '64324', '0'], ['ZSQ8', '1018.6', '1005.2', '1017.0', '1019.2', '1015.0', '178', '2180', '0'], ['ZSU8', '1007.6', '996.2', '1000.0', '1009.2', '1000.0', '57', '976', '0'], ['ZSX8', '999.0', '988.6', '987.6', '1000.4', '986.4', '4333', '31026', '0'], ['ZSF9', '1003.2', '994.6', '1000.0', '1005.0', '999.4', '20', '224', '0'], ['ZSH9', '', '997.6', '', '', '', '0', '300', '0'], ['ZSK9', '1010.0', '1001.0', '1010.0', '1010.0', '1010.0', '4', '53', '0'], ['ZSN9', '', '1005.2', '', '', '', '0', '111', '0'], ['ZSQ9', '', '1001.6', '', '', '', '0', '14', '0'], ['ZSU9', '998.0', '997.4', '998.0', '998.0', '998.0', '5', '21', '0'], ['ZSX9', '998.0', '987.2', '992.6', '998.0', '992.6', '10', '505', '0'], ['ZSN0', '', '1001.2', '', '', '', '0', '5', '0'], ['ZSX0', '983.0', '978.2', '983.0', '983.0', '983.0', '2', '15', '0']]
2017-09-22 19:50 Fri // ['665844', '183941', '0'] // ['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'] // [['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'], ['ZSF8', '995.2', '981.0', '980.0', '997.0', '979.4', '29348', '98164', '0'], ['ZSH8', '1004.4', '990.2', '989.0', '1006.0', '988.4', '17981', '72153', '0'], ['ZSK8', '1012.4', '998.4', '997.0', '1013.6', '997.0', '8090', '40160', '0'], ['ZSN8', '1018.4', '1005.0', '1004.0', '1020.0', '1003.4', '11081', '64324', '0'], ['ZSQ8', '1018.6', '1005.2', '1017.0', '1019.2', '1015.0', '178', '2180', '0'], ['ZSU8', '1007.6', '996.2', '1000.0', '1009.2', '1000.0', '57', '976', '0'], ['ZSX8', '999.0', '988.6', '987.6', '1000.4', '986.4', '4333', '31026', '0'], ['ZSF9', '1003.2', '994.6', '1000.0', '1005.0', '999.4', '20', '224', '0'], ['ZSH9', '', '997.6', '', '', '', '0', '300', '0'], ['ZSK9', '1010.0', '1001.0', '1010.0', '1010.0', '1010.0', '4', '53', '0'], ['ZSN9', '', '1005.2', '', '', '', '0', '111', '0'], ['ZSQ9', '', '1001.6', '', '', '', '0', '14', '0'], ['ZSU9', '998.0', '997.4', '998.0', '998.0', '998.0', '5', '21', '0'], ['ZSX9', '998.0', '987.2', '992.6', '998.0', '992.6', '10', '505', '0'], ['ZSN0', '', '1001.2', '', '', '', '0', '5', '0'], ['ZSX0', '983.0', '978.2', '983.0', '983.0', '983.0', '2', '15', '0']]
2017-09-22 19:52 Fri // ['665844', '183941', '0'] // ['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'] // [['ZSX7', '985.2', '970.6', '970.0', '987.0', '969.0', '155621', '355613', '0'], ['ZSF8', '995.2', '981.0', '980.0', '997.0', '979.4', '29348', '98164', '0'], ['ZSH8', '1004.4', '990.2', '989.0', '1006.0', '988.4', '17981', '72153', '0'], ['ZSK8', '1012.4', '998.4', '997.0', '1013.6', '997.0', '8090', '40160', '0'], ['ZSN8', '1018.4', '1005.0', '1004.0', '1020.0', '1003.4', '11081', '64324', '0'], ['ZSQ8', '1018.6', '1005.2', '1017.0', '1019.2', '1015.0', '178', '2180', '0'], ['ZSU8', '1007.6', '996.2', '1000.0', '1009.2', '1000.0', '57', '976', '0'], ['ZSX8', '999.0', '988.6', '987.6', '1000.4', '986.4', '4333', '31026', '0'], ['ZSF9', '1003.2', '994.6', '1000.0', '1005.0', '999.4', '20', '224', '0'], ['ZSH9', '', '997.6', '', '', '', '0', '300', '0'], ['ZSK9', '1010.0', '1001.0', '1010.0', '1010.0', '1010.0', '4', '53', '0'], ['ZSN9', '', '1005.2', '', '', '', '0', '111', '0'], ['ZSQ9', '', '1001.6', '', '', '', '0', '14', '0'], ['ZSU9', '998.0', '997.4', '998.0', '998.0', '998.0', '5', '21', '0'], ['ZSX9', '998.0', '987.2', '992.6', '998.0', '992.6', '10', '505', '0'], ['ZSN0', '', '1001.2', '', '', '', '0', '5', '0'], ['ZSX0', '983.0', '978.2', '983.0', '983.0', '983.0', '2', '15', '0']]
