2017-09-22 19:22 Fri // ['3220851', '1288529', '36847'] // ['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'] // [['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'], ['ZNH8', '125.195', '125.095', '125.195', '125.195', '125.195', '32', '216', '0'], ['ZNM8', '', '125.050', '', '', '', '0', '', '']]
2017-09-22 19:27 Fri // ['3220851', '1288529', '36847'] // ['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'] // [['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'], ['ZNH8', '125.195', '125.095', '125.195', '125.195', '125.195', '32', '216', '0'], ['ZNM8', '', '125.050', '', '', '', '0', '', '']]
2017-09-22 19:28 Fri // ['3220851', '1288529', '36847'] // ['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'] // [['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'], ['ZNH8', '125.195', '125.095', '125.195', '125.195', '125.195', '32', '216', '0'], ['ZNM8', '', '125.050', '', '', '', '0', '', '']]
2017-09-22 19:30 Fri // ['3220851', '1288529', '36847'] // ['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'] // [['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'], ['ZNH8', '125.195', '125.095', '125.195', '125.195', '125.195', '32', '216', '0'], ['ZNM8', '', '125.050', '', '', '', '0', '', '']]
2017-09-22 19:31 Fri // ['3220851', '1288529', '36847'] // ['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'] // [['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'], ['ZNH8', '125.195', '125.095', '125.195', '125.195', '125.195', '32', '216', '0'], ['ZNM8', '', '125.050', '', '', '', '0', '', '']]
2017-09-22 19:36 Fri // ['3220851', '1288529', '36847'] // ['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'] // [['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'], ['ZNH8', '125.195', '125.095', '125.195', '125.195', '125.195', '32', '216', '0'], ['ZNM8', '', '125.050', '', '', '', '0', '', '']]
2017-09-22 19:40 Fri // ['3220851', '1288529', '36847'] // ['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'] // [['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'], ['ZNH8', '125.195', '125.095', '125.195', '125.195', '125.195', '32', '216', '0'], ['ZNM8', '', '125.050', '', '', '', '0', '', '']]
2017-09-22 19:42 Fri // ['3220851', '1288529', '36847'] // ['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'] // [['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'], ['ZNH8', '125.195', '125.095', '125.195', '125.195', '125.195', '32', '216', '0'], ['ZNM8', '', '125.050', '', '', '', '0', '', '']]
2017-09-22 19:48 Fri // ['3220851', '1288529', '36847'] // ['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'] // [['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'], ['ZNH8', '125.195', '125.095', '125.195', '125.195', '125.195', '32', '216', '0'], ['ZNM8', '', '125.050', '', '', '', '0', '', '']]
2017-09-22 19:50 Fri // ['3220851', '1288529', '36847'] // ['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'] // [['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'], ['ZNH8', '125.195', '125.095', '125.195', '125.195', '125.195', '32', '216', '0'], ['ZNM8', '', '125.050', '', '', '', '0', '', '']]
2017-09-22 19:52 Fri // ['3220851', '1288529', '36847'] // ['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'] // [['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'], ['ZNH8', '125.195', '125.095', '125.195', '125.195', '125.195', '32', '216', '0'], ['ZNM8', '', '125.050', '', '', '', '0', '', '']]
2017-09-22 19:54 Fri // ['3220851', '1288529', '36847'] // ['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'] // [['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'], ['ZNH8', '125.195', '125.095', '125.195', '125.195', '125.195', '32', '216', '0'], ['ZNM8', '', '125.050', '', '', '', '0', '', '']]
2017-09-22 19:56 Fri // ['3220851', '1288529', '36847'] // ['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'] // [['ZNZ7', '125.265', '125.200', '125.190', '125.300', '125.185', '1172212', '3179840', '36847'], ['ZNH8', '125.195', '125.095', '125.195', '125.195', '125.195', '32', '216', '0'], ['ZNM8', '', '125.050', '', '', '', '0', '', '']]
