2017-09-22 19:22 Fri // ['1520258', '298833', '0'] // ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'] // [['ZTU7', '108.027', '108.025', '108.030', '108.032', '108.027', '665', '11252', '0'], ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'], ['ZTH8', '', '107.262', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:27 Fri // ['1520258', '298833', '0'] // ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'] // [['ZTU7', '108.027', '108.025', '108.030', '108.032', '108.027', '665', '11252', '0'], ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'], ['ZTH8', '', '107.262', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:28 Fri // ['1520258', '298833', '0'] // ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'] // [['ZTU7', '108.027', '108.025', '108.030', '108.032', '108.027', '665', '11252', '0'], ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'], ['ZTH8', '', '107.262', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:30 Fri // ['1520258', '298833', '0'] // ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'] // [['ZTU7', '108.027', '108.025', '108.030', '108.032', '108.027', '665', '11252', '0'], ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'], ['ZTH8', '', '107.262', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:31 Fri // ['1520258', '298833', '0'] // ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'] // [['ZTU7', '108.027', '108.025', '108.030', '108.032', '108.027', '665', '11252', '0'], ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'], ['ZTH8', '', '107.262', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:36 Fri // ['1520258', '298833', '0'] // ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'] // [['ZTU7', '108.027', '108.025', '108.030', '108.032', '108.027', '665', '11252', '0'], ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'], ['ZTH8', '', '107.262', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:40 Fri // ['1520258', '298833', '0'] // ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'] // [['ZTU7', '108.027', '108.025', '108.030', '108.032', '108.027', '665', '11252', '0'], ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'], ['ZTH8', '', '107.262', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:42 Fri // ['1520258', '298833', '0'] // ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'] // [['ZTU7', '108.027', '108.025', '108.030', '108.032', '108.027', '665', '11252', '0'], ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'], ['ZTH8', '', '107.262', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:48 Fri // ['1520258', '298833', '0'] // ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'] // [['ZTU7', '108.027', '108.025', '108.030', '108.032', '108.027', '665', '11252', '0'], ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'], ['ZTH8', '', '107.262', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:50 Fri // ['1520258', '298833', '0'] // ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'] // [['ZTU7', '108.027', '108.025', '108.030', '108.032', '108.027', '665', '11252', '0'], ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'], ['ZTH8', '', '107.262', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:52 Fri // ['1520258', '298833', '0'] // ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'] // [['ZTU7', '108.027', '108.025', '108.030', '108.032', '108.027', '665', '11252', '0'], ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'], ['ZTH8', '', '107.262', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:54 Fri // ['1520258', '298833', '0'] // ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'] // [['ZTU7', '108.027', '108.025', '108.030', '108.032', '108.027', '665', '11252', '0'], ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'], ['ZTH8', '', '107.262', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:56 Fri // ['1520258', '298833', '0'] // ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'] // [['ZTU7', '108.027', '108.025', '108.030', '108.032', '108.027', '665', '11252', '0'], ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '247774', '1509006', '0'], ['ZTH8', '', '107.262', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
