2017-09-22 19:22 Fri // ['718631', '248906', '0'] // ['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'] // [['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'], ['ZBH8', '153.04', '152.19', '153.02', '153.04', '153.02', '18', '49', '0'], ['ZBM8', '', '152.06', '', '', '', '0', '', '']]
2017-09-22 19:27 Fri // ['718631', '248906', '0'] // ['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'] // [['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'], ['ZBH8', '153.04', '152.19', '153.02', '153.04', '153.02', '18', '49', '0'], ['ZBM8', '', '152.06', '', '', '', '0', '', '']]
2017-09-22 19:28 Fri // ['718631', '248906', '0'] // ['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'] // [['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'], ['ZBH8', '153.04', '152.19', '153.02', '153.04', '153.02', '18', '49', '0'], ['ZBM8', '', '152.06', '', '', '', '0', '', '']]
2017-09-22 19:30 Fri // ['718631', '248906', '0'] // ['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'] // [['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'], ['ZBH8', '153.04', '152.19', '153.02', '153.04', '153.02', '18', '49', '0'], ['ZBM8', '', '152.06', '', '', '', '0', '', '']]
2017-09-22 19:31 Fri // ['718631', '248906', '0'] // ['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'] // [['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'], ['ZBH8', '153.04', '152.19', '153.02', '153.04', '153.02', '18', '49', '0'], ['ZBM8', '', '152.06', '', '', '', '0', '', '']]
2017-09-22 19:36 Fri // ['718631', '248906', '0'] // ['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'] // [['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'], ['ZBH8', '153.04', '152.19', '153.02', '153.04', '153.02', '18', '49', '0'], ['ZBM8', '', '152.06', '', '', '', '0', '', '']]
2017-09-22 19:40 Fri // ['718631', '248906', '0'] // ['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'] // [['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'], ['ZBH8', '153.04', '152.19', '153.02', '153.04', '153.02', '18', '49', '0'], ['ZBM8', '', '152.06', '', '', '', '0', '', '']]
2017-09-22 19:42 Fri // ['718631', '248906', '0'] // ['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'] // [['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'], ['ZBH8', '153.04', '152.19', '153.02', '153.04', '153.02', '18', '49', '0'], ['ZBM8', '', '152.06', '', '', '', '0', '', '']]
2017-09-22 19:48 Fri // ['718631', '248906', '0'] // ['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'] // [['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'], ['ZBH8', '153.04', '152.19', '153.02', '153.04', '153.02', '18', '49', '0'], ['ZBM8', '', '152.06', '', '', '', '0', '', '']]
2017-09-22 19:50 Fri // ['718631', '248906', '0'] // ['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'] // [['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'], ['ZBH8', '153.04', '152.19', '153.02', '153.04', '153.02', '18', '49', '0'], ['ZBM8', '', '152.06', '', '', '', '0', '', '']]
2017-09-22 19:52 Fri // ['718631', '248906', '0'] // ['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'] // [['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'], ['ZBH8', '153.04', '152.19', '153.02', '153.04', '153.02', '18', '49', '0'], ['ZBM8', '', '152.06', '', '', '', '0', '', '']]
2017-09-22 19:54 Fri // ['718631', '248906', '0'] // ['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'] // [['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'], ['ZBH8', '153.04', '152.19', '153.02', '153.04', '153.02', '18', '49', '0'], ['ZBM8', '', '152.06', '', '', '', '0', '', '']]
2017-09-22 19:56 Fri // ['718631', '248906', '0'] // ['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'] // [['ZBZ7', '154.12', '153.28', '153.30', '154.19', '153.29', '222334', '715126', '0'], ['ZBH8', '153.04', '152.19', '153.02', '153.04', '153.02', '18', '49', '0'], ['ZBM8', '', '152.06', '', '', '', '0', '', '']]
