2017-09-22 19:22 Fri // ['2979467', '768916', '0'] // ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'] // [['ZFU7', '118.022', '117.317', '118.035', '118.035', '118.017', '2819', '19585', '0'], ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'], ['ZFH8', '', '117.120', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:27 Fri // ['2979467', '768916', '0'] // ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'] // [['ZFU7', '118.022', '117.317', '118.035', '118.035', '118.017', '2819', '19585', '0'], ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'], ['ZFH8', '', '117.120', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:28 Fri // ['2979467', '768916', '0'] // ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'] // [['ZFU7', '118.022', '117.317', '118.035', '118.035', '118.017', '2819', '19585', '0'], ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'], ['ZFH8', '', '117.120', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:30 Fri // ['2979467', '768916', '0'] // ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'] // [['ZFU7', '118.022', '117.317', '118.035', '118.035', '118.017', '2819', '19585', '0'], ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'], ['ZFH8', '', '117.120', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:31 Fri // ['2979467', '768916', '0'] // ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'] // [['ZFU7', '118.022', '117.317', '118.035', '118.035', '118.017', '2819', '19585', '0'], ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'], ['ZFH8', '', '117.120', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:36 Fri // ['2979467', '768916', '0'] // ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'] // [['ZFU7', '118.022', '117.317', '118.035', '118.035', '118.017', '2819', '19585', '0'], ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'], ['ZFH8', '', '117.120', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:40 Fri // ['2979467', '768916', '0'] // ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'] // [['ZFU7', '118.022', '117.317', '118.035', '118.035', '118.017', '2819', '19585', '0'], ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'], ['ZFH8', '', '117.120', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:42 Fri // ['2979467', '768916', '0'] // ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'] // [['ZFU7', '118.022', '117.317', '118.035', '118.035', '118.017', '2819', '19585', '0'], ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'], ['ZFH8', '', '117.120', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:48 Fri // ['2979467', '768916', '0'] // ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'] // [['ZFU7', '118.022', '117.317', '118.035', '118.035', '118.017', '2819', '19585', '0'], ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'], ['ZFH8', '', '117.120', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:50 Fri // ['2979467', '768916', '0'] // ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'] // [['ZFU7', '118.022', '117.317', '118.035', '118.035', '118.017', '2819', '19585', '0'], ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'], ['ZFH8', '', '117.120', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:52 Fri // ['2979467', '768916', '0'] // ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'] // [['ZFU7', '118.022', '117.317', '118.035', '118.035', '118.017', '2819', '19585', '0'], ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'], ['ZFH8', '', '117.120', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:54 Fri // ['2979467', '768916', '0'] // ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'] // [['ZFU7', '118.022', '117.317', '118.035', '118.035', '118.017', '2819', '19585', '0'], ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'], ['ZFH8', '', '117.120', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 19:56 Fri // ['2979467', '768916', '0'] // ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'] // [['ZFU7', '118.022', '117.317', '118.035', '118.035', '118.017', '2819', '19585', '0'], ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '614685', '2959882', '0'], ['ZFH8', '', '117.120', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
