2017-09-22 19:22 Fri // ['197880', '197487', '156'] // ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'] // [['6JV7', '0.0089305', '0.008892', '0.0088985', '0.0089645', '0.0088985', '504', '714', '0'], ['6JX7', '0.008944', '0.008903', '0.0089315', '0.0089725', '0.0089315', '220', '358', '0'], ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'], ['6JF8', '0.008984', '0.008934', '0.0089625', '0.0089995', '0.0089625', '16', '282', '0'], ['6JH8', '0.009005', '0.0089625', '0.009007', '0.0090125', '0.009000', '127', '904', '0'], ['6JM8', '', '0.009009', '', '', '', '0', '47', '0'], ['6JU8', '0.009096', '0.009059', '0.009096', '0.009096', '0.009096', '2', '13', '0'], ['6JZ8', '0.0091935', '0.009113', '0.0091935', '0.0091935', '0.0091935', '3', '41', '0'], ['6JH9', '', '0.009168', '', '', '', '0', '', ''], ['6JM9', '', '0.009224', '', '', '', '0', '', ''], ['6JU9', '', '0.0092805', '', '', '', '0', '', ''], ['6JZ9', '', '0.0093405', '', '', '', '0', '', ''], ['6JH0', '', '0.009402', '', '', '', '0', '', ''], ['6JM0', '', '0.009464', '', '', '', '0', '', ''], ['6JU0', '', '0.0095265', '', '', '', '0', '', ''], ['6JZ0', '', '0.0095905', '', '', '', '0', '', ''], ['6JH1', '', '0.009655', '', '', '', '0', '', ''], ['6JM1', '', '0.0097205', '', '', '', '0', '', ''], ['6JU1', '', '0.0097865', '', '', '', '0', '', ''], ['6JZ1', '', '0.009854', '', '', '', '0', '', ''], ['6JH2', '', '0.009922', '', '', '', '0', '', ''], ['6JM2', '', '0.009991', '', '', '', '0', '', ''], ['6JU2', '', '0.0100665', '', '', '', '0', '', '']]
2017-09-22 19:27 Fri // ['197880', '197487', '156'] // ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'] // [['6JV7', '0.0089305', '0.008892', '0.0088985', '0.0089645', '0.0088985', '504', '714', '0'], ['6JX7', '0.008944', '0.008903', '0.0089315', '0.0089725', '0.0089315', '220', '358', '0'], ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'], ['6JF8', '0.008984', '0.008934', '0.0089625', '0.0089995', '0.0089625', '16', '282', '0'], ['6JH8', '0.009005', '0.0089625', '0.009007', '0.0090125', '0.009000', '127', '904', '0'], ['6JM8', '', '0.009009', '', '', '', '0', '47', '0'], ['6JU8', '0.009096', '0.009059', '0.009096', '0.009096', '0.009096', '2', '13', '0'], ['6JZ8', '0.0091935', '0.009113', '0.0091935', '0.0091935', '0.0091935', '3', '41', '0'], ['6JH9', '', '0.009168', '', '', '', '0', '', ''], ['6JM9', '', '0.009224', '', '', '', '0', '', ''], ['6JU9', '', '0.0092805', '', '', '', '0', '', ''], ['6JZ9', '', '0.0093405', '', '', '', '0', '', ''], ['6JH0', '', '0.009402', '', '', '', '0', '', ''], ['6JM0', '', '0.009464', '', '', '', '0', '', ''], ['6JU0', '', '0.0095265', '', '', '', '0', '', ''], ['6JZ0', '', '0.0095905', '', '', '', '0', '', ''], ['6JH1', '', '0.009655', '', '', '', '0', '', ''], ['6JM1', '', '0.0097205', '', '', '', '0', '', ''], ['6JU1', '', '0.0097865', '', '', '', '0', '', ''], ['6JZ1', '', '0.009854', '', '', '', '0', '', ''], ['6JH2', '', '0.009922', '', '', '', '0', '', ''], ['6JM2', '', '0.009991', '', '', '', '0', '', ''], ['6JU2', '', '0.0100665', '', '', '', '0', '', '']]
2017-09-22 19:28 Fri // ['197880', '197487', '156'] // ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'] // [['6JV7', '0.0089305', '0.008892', '0.0088985', '0.0089645', '0.0088985', '504', '714', '0'], ['6JX7', '0.008944', '0.008903', '0.0089315', '0.0089725', '0.0089315', '220', '358', '0'], ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'], ['6JF8', '0.008984', '0.008934', '0.0089625', '0.0089995', '0.0089625', '16', '282', '0'], ['6JH8', '0.009005', '0.0089625', '0.009007', '0.0090125', '0.009000', '127', '904', '0'], ['6JM8', '', '0.009009', '', '', '', '0', '47', '0'], ['6JU8', '0.009096', '0.009059', '0.009096', '0.009096', '0.009096', '2', '13', '0'], ['6JZ8', '0.0091935', '0.009113', '0.0091935', '0.0091935', '0.0091935', '3', '41', '0'], ['6JH9', '', '0.009168', '', '', '', '0', '', ''], ['6JM9', '', '0.009224', '', '', '', '0', '', ''], ['6JU9', '', '0.0092805', '', '', '', '0', '', ''], ['6JZ9', '', '0.0093405', '', '', '', '0', '', ''], ['6JH0', '', '0.009402', '', '', '', '0', '', ''], ['6JM0', '', '0.009464', '', '', '', '0', '', ''], ['6JU0', '', '0.0095265', '', '', '', '0', '', ''], ['6JZ0', '', '0.0095905', '', '', '', '0', '', ''], ['6JH1', '', '0.009655', '', '', '', '0', '', ''], ['6JM1', '', '0.0097205', '', '', '', '0', '', ''], ['6JU1', '', '0.0097865', '', '', '', '0', '', ''], ['6JZ1', '', '0.009854', '', '', '', '0', '', ''], ['6JH2', '', '0.009922', '', '', '', '0', '', ''], ['6JM2', '', '0.009991', '', '', '', '0', '', ''], ['6JU2', '', '0.0100665', '', '', '', '0', '', '']]
2017-09-22 19:30 Fri // ['197880', '197487', '156'] // ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'] // [['6JV7', '0.0089305', '0.008892', '0.0088985', '0.0089645', '0.0088985', '504', '714', '0'], ['6JX7', '0.008944', '0.008903', '0.0089315', '0.0089725', '0.0089315', '220', '358', '0'], ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'], ['6JF8', '0.008984', '0.008934', '0.0089625', '0.0089995', '0.0089625', '16', '282', '0'], ['6JH8', '0.009005', '0.0089625', '0.009007', '0.0090125', '0.009000', '127', '904', '0'], ['6JM8', '', '0.009009', '', '', '', '0', '47', '0'], ['6JU8', '0.009096', '0.009059', '0.009096', '0.009096', '0.009096', '2', '13', '0'], ['6JZ8', '0.0091935', '0.009113', '0.0091935', '0.0091935', '0.0091935', '3', '41', '0'], ['6JH9', '', '0.009168', '', '', '', '0', '', ''], ['6JM9', '', '0.009224', '', '', '', '0', '', ''], ['6JU9', '', '0.0092805', '', '', '', '0', '', ''], ['6JZ9', '', '0.0093405', '', '', '', '0', '', ''], ['6JH0', '', '0.009402', '', '', '', '0', '', ''], ['6JM0', '', '0.009464', '', '', '', '0', '', ''], ['6JU0', '', '0.0095265', '', '', '', '0', '', ''], ['6JZ0', '', '0.0095905', '', '', '', '0', '', ''], ['6JH1', '', '0.009655', '', '', '', '0', '', ''], ['6JM1', '', '0.0097205', '', '', '', '0', '', ''], ['6JU1', '', '0.0097865', '', '', '', '0', '', ''], ['6JZ1', '', '0.009854', '', '', '', '0', '', ''], ['6JH2', '', '0.009922', '', '', '', '0', '', ''], ['6JM2', '', '0.009991', '', '', '', '0', '', ''], ['6JU2', '', '0.0100665', '', '', '', '0', '', '']]
2017-09-22 19:31 Fri // ['197880', '197487', '156'] // ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'] // [['6JV7', '0.0089305', '0.008892', '0.0088985', '0.0089645', '0.0088985', '504', '714', '0'], ['6JX7', '0.008944', '0.008903', '0.0089315', '0.0089725', '0.0089315', '220', '358', '0'], ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'], ['6JF8', '0.008984', '0.008934', '0.0089625', '0.0089995', '0.0089625', '16', '282', '0'], ['6JH8', '0.009005', '0.0089625', '0.009007', '0.0090125', '0.009000', '127', '904', '0'], ['6JM8', '', '0.009009', '', '', '', '0', '47', '0'], ['6JU8', '0.009096', '0.009059', '0.009096', '0.009096', '0.009096', '2', '13', '0'], ['6JZ8', '0.0091935', '0.009113', '0.0091935', '0.0091935', '0.0091935', '3', '41', '0'], ['6JH9', '', '0.009168', '', '', '', '0', '', ''], ['6JM9', '', '0.009224', '', '', '', '0', '', ''], ['6JU9', '', '0.0092805', '', '', '', '0', '', ''], ['6JZ9', '', '0.0093405', '', '', '', '0', '', ''], ['6JH0', '', '0.009402', '', '', '', '0', '', ''], ['6JM0', '', '0.009464', '', '', '', '0', '', ''], ['6JU0', '', '0.0095265', '', '', '', '0', '', ''], ['6JZ0', '', '0.0095905', '', '', '', '0', '', ''], ['6JH1', '', '0.009655', '', '', '', '0', '', ''], ['6JM1', '', '0.0097205', '', '', '', '0', '', ''], ['6JU1', '', '0.0097865', '', '', '', '0', '', ''], ['6JZ1', '', '0.009854', '', '', '', '0', '', ''], ['6JH2', '', '0.009922', '', '', '', '0', '', ''], ['6JM2', '', '0.009991', '', '', '', '0', '', ''], ['6JU2', '', '0.0100665', '', '', '', '0', '', '']]
2017-09-22 19:36 Fri // ['197880', '197487', '156'] // ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'] // [['6JV7', '0.0089305', '0.008892', '0.0088985', '0.0089645', '0.0088985', '504', '714', '0'], ['6JX7', '0.008944', '0.008903', '0.0089315', '0.0089725', '0.0089315', '220', '358', '0'], ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'], ['6JF8', '0.008984', '0.008934', '0.0089625', '0.0089995', '0.0089625', '16', '282', '0'], ['6JH8', '0.009005', '0.0089625', '0.009007', '0.0090125', '0.009000', '127', '904', '0'], ['6JM8', '', '0.009009', '', '', '', '0', '47', '0'], ['6JU8', '0.009096', '0.009059', '0.009096', '0.009096', '0.009096', '2', '13', '0'], ['6JZ8', '0.0091935', '0.009113', '0.0091935', '0.0091935', '0.0091935', '3', '41', '0'], ['6JH9', '', '0.009168', '', '', '', '0', '', ''], ['6JM9', '', '0.009224', '', '', '', '0', '', ''], ['6JU9', '', '0.0092805', '', '', '', '0', '', ''], ['6JZ9', '', '0.0093405', '', '', '', '0', '', ''], ['6JH0', '', '0.009402', '', '', '', '0', '', ''], ['6JM0', '', '0.009464', '', '', '', '0', '', ''], ['6JU0', '', '0.0095265', '', '', '', '0', '', ''], ['6JZ0', '', '0.0095905', '', '', '', '0', '', ''], ['6JH1', '', '0.009655', '', '', '', '0', '', ''], ['6JM1', '', '0.0097205', '', '', '', '0', '', ''], ['6JU1', '', '0.0097865', '', '', '', '0', '', ''], ['6JZ1', '', '0.009854', '', '', '', '0', '', ''], ['6JH2', '', '0.009922', '', '', '', '0', '', ''], ['6JM2', '', '0.009991', '', '', '', '0', '', ''], ['6JU2', '', '0.0100665', '', '', '', '0', '', '']]
2017-09-22 19:40 Fri // ['197880', '197487', '156'] // ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'] // [['6JV7', '0.0089305', '0.008892', '0.0088985', '0.0089645', '0.0088985', '504', '714', '0'], ['6JX7', '0.008944', '0.008903', '0.0089315', '0.0089725', '0.0089315', '220', '358', '0'], ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'], ['6JF8', '0.008984', '0.008934', '0.0089625', '0.0089995', '0.0089625', '16', '282', '0'], ['6JH8', '0.009005', '0.0089625', '0.009007', '0.0090125', '0.009000', '127', '904', '0'], ['6JM8', '', '0.009009', '', '', '', '0', '47', '0'], ['6JU8', '0.009096', '0.009059', '0.009096', '0.009096', '0.009096', '2', '13', '0'], ['6JZ8', '0.0091935', '0.009113', '0.0091935', '0.0091935', '0.0091935', '3', '41', '0'], ['6JH9', '', '0.009168', '', '', '', '0', '', ''], ['6JM9', '', '0.009224', '', '', '', '0', '', ''], ['6JU9', '', '0.0092805', '', '', '', '0', '', ''], ['6JZ9', '', '0.0093405', '', '', '', '0', '', ''], ['6JH0', '', '0.009402', '', '', '', '0', '', ''], ['6JM0', '', '0.009464', '', '', '', '0', '', ''], ['6JU0', '', '0.0095265', '', '', '', '0', '', ''], ['6JZ0', '', '0.0095905', '', '', '', '0', '', ''], ['6JH1', '', '0.009655', '', '', '', '0', '', ''], ['6JM1', '', '0.0097205', '', '', '', '0', '', ''], ['6JU1', '', '0.0097865', '', '', '', '0', '', ''], ['6JZ1', '', '0.009854', '', '', '', '0', '', ''], ['6JH2', '', '0.009922', '', '', '', '0', '', ''], ['6JM2', '', '0.009991', '', '', '', '0', '', ''], ['6JU2', '', '0.0100665', '', '', '', '0', '', '']]
2017-09-22 19:42 Fri // ['197880', '197487', '156'] // ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'] // [['6JV7', '0.0089305', '0.008892', '0.0088985', '0.0089645', '0.0088985', '504', '714', '0'], ['6JX7', '0.008944', '0.008903', '0.0089315', '0.0089725', '0.0089315', '220', '358', '0'], ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'], ['6JF8', '0.008984', '0.008934', '0.0089625', '0.0089995', '0.0089625', '16', '282', '0'], ['6JH8', '0.009005', '0.0089625', '0.009007', '0.0090125', '0.009000', '127', '904', '0'], ['6JM8', '', '0.009009', '', '', '', '0', '47', '0'], ['6JU8', '0.009096', '0.009059', '0.009096', '0.009096', '0.009096', '2', '13', '0'], ['6JZ8', '0.0091935', '0.009113', '0.0091935', '0.0091935', '0.0091935', '3', '41', '0'], ['6JH9', '', '0.009168', '', '', '', '0', '', ''], ['6JM9', '', '0.009224', '', '', '', '0', '', ''], ['6JU9', '', '0.0092805', '', '', '', '0', '', ''], ['6JZ9', '', '0.0093405', '', '', '', '0', '', ''], ['6JH0', '', '0.009402', '', '', '', '0', '', ''], ['6JM0', '', '0.009464', '', '', '', '0', '', ''], ['6JU0', '', '0.0095265', '', '', '', '0', '', ''], ['6JZ0', '', '0.0095905', '', '', '', '0', '', ''], ['6JH1', '', '0.009655', '', '', '', '0', '', ''], ['6JM1', '', '0.0097205', '', '', '', '0', '', ''], ['6JU1', '', '0.0097865', '', '', '', '0', '', ''], ['6JZ1', '', '0.009854', '', '', '', '0', '', ''], ['6JH2', '', '0.009922', '', '', '', '0', '', ''], ['6JM2', '', '0.009991', '', '', '', '0', '', ''], ['6JU2', '', '0.0100665', '', '', '', '0', '', '']]
2017-09-22 19:48 Fri // ['197880', '197487', '156'] // ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'] // [['6JV7', '0.0089305', '0.008892', '0.0088985', '0.0089645', '0.0088985', '504', '714', '0'], ['6JX7', '0.008944', '0.008903', '0.0089315', '0.0089725', '0.0089315', '220', '358', '0'], ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'], ['6JF8', '0.008984', '0.008934', '0.0089625', '0.0089995', '0.0089625', '16', '282', '0'], ['6JH8', '0.009005', '0.0089625', '0.009007', '0.0090125', '0.009000', '127', '904', '0'], ['6JM8', '', '0.009009', '', '', '', '0', '47', '0'], ['6JU8', '0.009096', '0.009059', '0.009096', '0.009096', '0.009096', '2', '13', '0'], ['6JZ8', '0.0091935', '0.009113', '0.0091935', '0.0091935', '0.0091935', '3', '41', '0'], ['6JH9', '', '0.009168', '', '', '', '0', '', ''], ['6JM9', '', '0.009224', '', '', '', '0', '', ''], ['6JU9', '', '0.0092805', '', '', '', '0', '', ''], ['6JZ9', '', '0.0093405', '', '', '', '0', '', ''], ['6JH0', '', '0.009402', '', '', '', '0', '', ''], ['6JM0', '', '0.009464', '', '', '', '0', '', ''], ['6JU0', '', '0.0095265', '', '', '', '0', '', ''], ['6JZ0', '', '0.0095905', '', '', '', '0', '', ''], ['6JH1', '', '0.009655', '', '', '', '0', '', ''], ['6JM1', '', '0.0097205', '', '', '', '0', '', ''], ['6JU1', '', '0.0097865', '', '', '', '0', '', ''], ['6JZ1', '', '0.009854', '', '', '', '0', '', ''], ['6JH2', '', '0.009922', '', '', '', '0', '', ''], ['6JM2', '', '0.009991', '', '', '', '0', '', ''], ['6JU2', '', '0.0100665', '', '', '', '0', '', '']]
2017-09-22 19:50 Fri // ['197880', '197487', '156'] // ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'] // [['6JV7', '0.0089305', '0.008892', '0.0088985', '0.0089645', '0.0088985', '504', '714', '0'], ['6JX7', '0.008944', '0.008903', '0.0089315', '0.0089725', '0.0089315', '220', '358', '0'], ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'], ['6JF8', '0.008984', '0.008934', '0.0089625', '0.0089995', '0.0089625', '16', '282', '0'], ['6JH8', '0.009005', '0.0089625', '0.009007', '0.0090125', '0.009000', '127', '904', '0'], ['6JM8', '', '0.009009', '', '', '', '0', '47', '0'], ['6JU8', '0.009096', '0.009059', '0.009096', '0.009096', '0.009096', '2', '13', '0'], ['6JZ8', '0.0091935', '0.009113', '0.0091935', '0.0091935', '0.0091935', '3', '41', '0'], ['6JH9', '', '0.009168', '', '', '', '0', '', ''], ['6JM9', '', '0.009224', '', '', '', '0', '', ''], ['6JU9', '', '0.0092805', '', '', '', '0', '', ''], ['6JZ9', '', '0.0093405', '', '', '', '0', '', ''], ['6JH0', '', '0.009402', '', '', '', '0', '', ''], ['6JM0', '', '0.009464', '', '', '', '0', '', ''], ['6JU0', '', '0.0095265', '', '', '', '0', '', ''], ['6JZ0', '', '0.0095905', '', '', '', '0', '', ''], ['6JH1', '', '0.009655', '', '', '', '0', '', ''], ['6JM1', '', '0.0097205', '', '', '', '0', '', ''], ['6JU1', '', '0.0097865', '', '', '', '0', '', ''], ['6JZ1', '', '0.009854', '', '', '', '0', '', ''], ['6JH2', '', '0.009922', '', '', '', '0', '', ''], ['6JM2', '', '0.009991', '', '', '', '0', '', ''], ['6JU2', '', '0.0100665', '', '', '', '0', '', '']]
2017-09-22 19:52 Fri // ['197880', '197487', '156'] // ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'] // [['6JV7', '0.0089305', '0.008892', '0.0088985', '0.0089645', '0.0088985', '504', '714', '0'], ['6JX7', '0.008944', '0.008903', '0.0089315', '0.0089725', '0.0089315', '220', '358', '0'], ['6JZ7', '0.0089655', '0.008917', '0.0089275', '0.0089905', '0.0089185', '168508', '195521', '156'], ['6JF8', '0.008984', '0.008934', '0.0089625', '0.0089995', '0.0089625', '16', '282', '0'], ['6JH8', '0.009005', '0.0089625', '0.009007', '0.0090125', '0.009000', '127', '904', '0'], ['6JM8', '', '0.009009', '', '', '', '0', '47', '0'], ['6JU8', '0.009096', '0.009059', '0.009096', '0.009096', '0.009096', '2', '13', '0'], ['6JZ8', '0.0091935', '0.009113', '0.0091935', '0.0091935', '0.0091935', '3', '41', '0'], ['6JH9', '', '0.009168', '', '', '', '0', '', ''], ['6JM9', '', '0.009224', '', '', '', '0', '', ''], ['6JU9', '', '0.0092805', '', '', '', '0', '', ''], ['6JZ9', '', '0.0093405', '', '', '', '0', '', ''], ['6JH0', '', '0.009402', '', '', '', '0', '', ''], ['6JM0', '', '0.009464', '', '', '', '0', '', ''], ['6JU0', '', '0.0095265', '', '', '', '0', '', ''], ['6JZ0', '', '0.0095905', '', '', '', '0', '', ''], ['6JH1', '', '0.009655', '', '', '', '0', '', ''], ['6JM1', '', '0.0097205', '', '', '', '0', '', ''], ['6JU1', '', '0.0097865', '', '', '', '0', '', ''], ['6JZ1', '', '0.009854', '', '', '', '0', '', ''], ['6JH2', '', '0.009922', '', '', '', '0', '', ''], ['6JM2', '', '0.009991', '', '', '', '0', '', ''], ['6JU2', '', '0.0100665', '', '', '', '0', '', '']]
