2017-08-29 09:20 Tue // ['551653', '369814', '3198'] // ['GCZ7', '1328.4', '1315.3', '1320.5', '1331.9', '1318.9', '246837', '418934', '2404'] // [['GCQ7', '1322.6', '1309.7', '1318.8', '1322.6', '1318.2', '54', '616', '0'], ['GCU7', '1321.6', '1309.8', '1313.0', '1325.0', '1313.0', '783', '1170', '0'], ['GCV7', '1324.9', '1311.8', '1315.6', '1328.2', '1315.4', '7763', '64032', '150'], ['GCX7', '', '0.0', '', '', '', '0', '', ''], ['GCZ7', '1328.4', '1315.3', '1320.5', '1331.9', '1318.9', '246837', '418934', '2404'], ['GCG8', '1331.4', '1318.9', '1324.6', '1335.0', '1323.8', '708', '28091', '0'], ['GCJ8', '1336.1', '1322.5', '1333.9', '1338.5', '1329.5', '513', '6656', '0'], ['GCM8', '1339.2', '1326.1', '1332.2', '1342.6', '1330.0', '1078', '9457', '0'], ['GCQ8', '1339.4', '1329.7', '1335.6', '1346.0', '1334.4', '610', '7067', '0'], ['GCV8', '1348.7', '1333.2', '1344.0', '1348.7', '1343.8', '28', '2627', '0'], ['GCZ8', '1346.2', '1336.9', '1345.0', '1352.1', '1342.0', '118', '8573', '644'], ['GCG9', '', '1340.7', '', '', '', '0', '9', '0'], ['GCJ9', '', '1344.5', '', '', '', '0', '', ''], ['GCM9', '', '1348.4', '', '', '', '0', '748', '0'], ['GCZ9', '', '1359.7', '', '', '', '0', '2464', '0'], ['GCM0', '', '1370.6', '', '', '', '0', '284', '0'], ['GCZ0', '', '1382.6', '', '', '', '0', '675', '0'], ['GCM1', '', '1395.1', '', '', '', '0', '15', '0'], ['GCZ1', '', '1408.5', '', '', '', '0', '225', '0'], ['GCM2', '', '1421.5', '', '', '', '0', '5', '0'], ['GCZ2', '', '1435.5', '', '', '', '0', '5', '0'], ['GCM3', '', '1449.5', '', '', '', '0', '', '']]
2017-08-30 09:20 Wed2017-08-31 09:20 Thu // ['536995', '328541', '1197'] // ['GCZ7', '1313.9', '1314.1', '1314.1', '1317.2', '1302.3', '164830', '423730', '519'] // [['GCU7', '1306.3', '1308.1', '1306.6', '1307.0', '1301.7', '84', '867', '0'], ['GCV7', '1310.1', '1310.4', '1310.4', '1313.0', '1298.6', '5331', '45480', '32'], ['GCX7', '', '1312.3', '', '', '', '0', '', ''], ['GCZ7', '1313.9', '1314.1', '1314.1', '1317.2', '1302.3', '164830', '423730', '519'], ['GCG8', '1317.3', '1317.8', '1317.3', '1320.3', '1306.9', '7455', '27930', '0'], ['GCJ8', '1318.5', '1321.4', '1319.6', '1319.6', '1315.0', '2464', '6625', '600'], ['GCM8', '1324.9', '1324.9', '1324.9', '1326.5', '1314.8', '3728', '9657', '0'], ['GCQ8', '', '1328.5', '', '', '', '1229', '7246', '0'], ['GCV8', '', '1332.1', '', '', '', '121', '2631', '0'], ['GCZ8', '1335.4', '1335.8', '1329.0', '1335.4', '1329.0', '656', '8276', '46'], ['GCG9', '', '1339.4', '', '', '', '0', '108', '0'], ['GCJ9', '', '1343.0', '', '', '', '0', '', ''], ['GCM9', '', '1346.7', '', '', '', '0', '773', '0'], ['GCZ9', '', '1358.0', '', '', '', '0', '2463', '0'], ['GCM0', '', '1368.9', '', '', '', '0', '284', '0'], ['GCZ0', '', '1380.9', '', '', '', '0', '675', '0'], ['GCM1', '', '1393.4', '', '', '', '0', '15', '0'], ['GCZ1', '', '1406.8', '', '', '', '0', '225', '0'], ['GCM2', '', '1419.8', '', '', '', '0', '5', '0'], ['GCZ2', '', '1433.8', '', '', '', '0', '5', '0'], ['GCM3', '', '1447.8', '', '', '', '0', '', '']]
2017-09-01 09:20 Fri // ['551698', '418609', '3506'] // ['GCZ7', '1328.2', '1322.2', '1326.9', '1334.5', '1323.0', '177823', '436466', '925'] // [['GCU7', '1324.5', '1316.2', '1320.2', '1327.7', '1318.8', '19', '851', '0'], ['GCV7', '1325.9', '1318.5', '1323.0', '1330.8', '1319.3', '2784', '45880', '1775'], ['GCX7', '', '1320.4', '', '', '', '10', '10', '0'], ['GCZ7', '1328.2', '1322.2', '1326.9', '1334.5', '1323.0', '177823', '436466', '925'], ['GCG8', '1333.0', '1325.9', '1330.3', '1337.4', '1326.9', '4892', '28299', '332'], ['GCJ8', '1333.6', '1329.4', '1334.0', '1339.3', '1330.5', '1188', '7269', '0'], ['GCM8', '1339.4', '1332.8', '1337.6', '1344.7', '1334.5', '1151', '9394', '300'], ['GCQ8', '1345.0', '1336.2', '1338.0', '1347.9', '1337.4', '752', '7521', '0'], ['GCV8', '1341.4', '1339.7', '1341.4', '1341.4', '1341.4', '57', '2631', '0'], ['GCZ8', '1347.7', '1343.4', '1347.7', '1347.7', '1347.7', '173', '8876', '0'], ['GCG9', '', '1347.0', '', '', '', '0', '108', '0'], ['GCJ9', '', '1350.6', '', '', '', '0', '', ''], ['GCM9', '', '1354.3', '', '', '', '0', '719', '174'], ['GCZ9', '', '1365.6', '', '', '', '0', '2463', '0'], ['GCM0', '', '1376.5', '', '', '', '0', '284', '0'], ['GCZ0', '', '1388.5', '', '', '', '0', '675', '0'], ['GCM1', '', '1401.0', '', '', '', '0', '15', '0'], ['GCZ1', '', '1414.4', '', '', '', '0', '226', '0'], ['GCM2', '', '1427.4', '', '', '', '0', '5', '0'], ['GCZ2', '', '1441.4', '', '', '', '0', '6', '0'], ['GCM3', '', '1455.4', '', '', '', '0', '', '']]
2017-09-04 09:20 Mon // ['558133', '393671', '538'] // ['GCZ7', '1340.6', '1330.4', '1339.7', '1345.5', '1336.7', '145541', '437893', '226'] // [['GCU7', '1334.9', '1324.5', '1335.2', '1336.8', '1332.6', '19', '833', '0'], ['GCV7', '1336.7', '1326.6', '1338.0', '1341.5', '1333.0', '2325', '46492', '0'], ['GCX7', '1339.7', '1328.5', '1338.1', '1342.3', '1337.6', '115', '2', '0'], ['GCZ7', '1340.6', '1330.4', '1339.7', '1345.5', '1336.7', '145541', '437893', '226'], ['GCG8', '1343.6', '1334.2', '1340.2', '1348.9', '1340.2', '211', '32191', '74'], ['GCJ8', '1347.6', '1337.7', '1347.2', '1351.4', '1345.8', '155', '7225', '181'], ['GCM8', '1349.8', '1341.2', '1350.5', '1354.5', '1348.9', '76', '9366', '0'], ['GCQ8', '1357.1', '1344.7', '1354.4', '1357.6', '1354.4', '12', '7972', '0'], ['GCV8', '1358.7', '1348.3', '1358.7', '1361.6', '1358.7', '13', '2678', '57'], ['GCZ8', '1361.0', '1352.0', '1360.2', '1361.0', '1360.1', '6', '8971', '0'], ['GCG9', '', '1355.6', '', '', '', '0', '108', '0'], ['GCJ9', '', '1359.2', '', '', '', '0', '', ''], ['GCM9', '', '1362.9', '', '', '', '0', '728', '0'], ['GCQ9', '', '', '', '', '', '0', '', ''], ['GCZ9', '1387.5', '1374.2', '1387.5', '1387.5', '1387.5', '1', '2463', '0'], ['GCM0', '', '1385.1', '', '', '', '0', '284', '0'], ['GCZ0', '', '1397.1', '', '', '', '0', '675', '0'], ['GCM1', '', '1409.6', '', '', '', '0', '15', '0'], ['GCZ1', '', '1423.0', '', '', '', '0', '226', '0'], ['GCM2', '', '1436.0', '', '', '', '0', '5', '0'], ['GCZ2', '', '1450.0', '', '', '', '0', '6', '0'], ['GCM3', '', '1464.0', '', '', '', '0', '', '']]
2017-09-05 09:20 Tue // ['558133', '393671', '538'] // ['GCZ7', '1336.2', '1330.4', '1339.7', '1345.5', '1331.1', '354531', '437893', '226'] // [['GCU7', '1330.3', '1324.5', '1335.2', '1337.0', '1328.6', '53', '833', '0'], ['GCV7', '1332.7', '1326.6', '1338.0', '1341.5', '1327.4', '5046', '46492', '0'], ['GCX7', '1334.5', '1328.5', '1338.1', '1342.3', '1330.4', '166', '2', '0'], ['GCZ7', '1336.2', '1330.4', '1339.7', '1345.5', '1331.1', '354531', '437893', '226'], ['GCG8', '1339.7', '1334.2', '1340.2', '1348.9', '1337.0', '576', '32191', '74'], ['GCJ8', '1343.2', '1337.7', '1347.2', '1351.4', '1342.1', '202', '7225', '181'], ['GCM8', '1346.8', '1341.2', '1350.5', '1354.5', '1346.8', '182', '9366', '0'], ['GCQ8', '1346.3', '1344.7', '1354.4', '1357.6', '1346.3', '41', '7972', '0'], ['GCV8', '1358.7', '1348.3', '1358.7', '1361.6', '1358.7', '32', '2678', '57'], ['GCZ8', '1362.4', '1352.0', '1360.2', '1362.4', '1360.1', '19', '8971', '0'], ['GCG9', '', '1355.6', '', '', '', '0', '108', '0'], ['GCJ9', '', '1359.2', '', '', '', '0', '', ''], ['GCM9', '1366.0', '1362.9', '1366.0', '1366.0', '1366.0', '1', '728', '0'], ['GCQ9', '', '', '', '', '', '0', '', ''], ['GCZ9', '1387.5', '1374.2', '1387.5', '1387.5', '1387.5', '1', '2463', '0'], ['GCM0', '1399.9', '1385.1', '1386.5', '1399.9', '1386.3', '12', '284', '0'], ['GCZ0', '', '1397.1', '', '', '', '0', '675', '0'], ['GCM1', '', '1409.6', '', '', '', '0', '15', '0'], ['GCZ1', '', '1423.0', '', '', '', '0', '226', '0'], ['GCM2', '', '1436.0', '', '', '', '0', '5', '0'], ['GCZ2', '', '1450.0', '', '', '', '0', '6', '0'], ['GCM3', '', '1464.0', '', '', '', '0', '', '']]
2017-09-06 09:20 Wed // ['576404', '579412', '1604'] // ['GCZ7', '1344.9', '1344.5', '1345.0', '1347.7', '1341.5', '126095', '455594', '1188'] // [['GCU7', '1340.3', '1339.2', '1340.0', '1340.3', '1340.0', '10', '835', '0'], ['GCV7', '1341.0', '1340.6', '1341.0', '1343.5', '1337.8', '1845', '45252', '275'], ['GCX7', '1343.2', '1342.6', '1343.7', '1345.1', '1341.2', '58', '118', '0'], ['GCZ7', '1344.9', '1344.5', '1345.0', '1347.7', '1341.5', '126095', '455594', '1188'], ['GCG8', '1348.3', '1348.4', '1348.7', '1351.1', '1346.0', '2630', '33076', '23'], ['GCJ8', '1352.2', '1351.9', '1353.0', '1354.7', '1350.5', '1500', '7625', '0'], ['GCM8', '1355.9', '1355.5', '1356.6', '1356.6', '1354.2', '711', '9489', '15'], ['GCQ8', '', '1359.0', '', '', '', '173', '7983', '0'], ['GCV8', '', '1362.6', '', '', '', '5', '2870', '3'], ['GCZ8', '', '1366.4', '', '', '', '35', '9050', '50'], ['GCG9', '', '1370.0', '', '', '', '0', '108', '0'], ['GCJ9', '', '1373.5', '', '', '', '0', '', ''], ['GCM9', '', '1377.1', '', '', '', '0', '729', '50'], ['GCQ9', '', '', '', '', '', '0', '', ''], ['GCZ9', '', '1388.3', '', '', '', '0', '2464', '0'], ['GCM0', '', '1399.2', '', '', '', '0', '284', '0'], ['GCZ0', '', '1411.2', '', '', '', '0', '675', '0'], ['GCM1', '', '1423.7', '', '', '', '0', '15', '0'], ['GCZ1', '', '1437.1', '', '', '', '0', '226', '0'], ['GCM2', '', '1450.1', '', '', '', '0', '5', '0'], ['GCZ2', '', '1464.1', '', '', '', '0', '6', '0'], ['GCM3', '', '1478.1', '', '', '', '0', '', '']]
2017-09-07 09:20 Thu // ['567504', '328513', '982'] // ['GCZ7', '1346.3', '1339.0', '1339.0', '1353.7', '1337.2', '165290', '445944', '467'] // [['GCU7', '1341.0', '1333.9', '1336.4', '1342.0', '1336.4', '6', '830', '0'], ['GCV7', '1342.0', '1335.2', '1334.7', '1349.4', '1333.5', '2891', '44907', '10'], ['GCX7', '1344.1', '1337.1', '1337.8', '1349.3', '1337.8', '76', '166', '0'], ['GCZ7', '1346.3', '1339.0', '1339.0', '1353.7', '1337.2', '165290', '445944', '467'], ['GCG8', '1350.1', '1343.0', '1341.7', '1356.8', '1341.7', '1260', '33931', '0'], ['GCJ8', '1353.6', '1346.5', '1351.1', '1359.3', '1351.1', '767', '7472', '100'], ['GCM8', '1357.2', '1350.1', '1349.3', '1361.5', '1349.3', '612', '9582', '94'], ['GCQ8', '1360.6', '1353.6', '1362.0', '1365.1', '1360.6', '162', '8031', '0'], ['GCV8', '1356.8', '1357.2', '1356.8', '1356.8', '1356.8', '35', '3014', '161'], ['GCZ8', '', '1361.1', '', '', '', '4', '9116', '75'], ['GCG9', '', '1364.7', '', '', '', '0', '108', '0'], ['GCJ9', '', '1368.2', '', '', '', '0', '', ''], ['GCM9', '', '1371.8', '', '', '', '0', '729', '0'], ['GCQ9', '', '', '', '', '', '0', '', ''], ['GCZ9', '', '1383.0', '', '', '', '0', '2463', '0'], ['GCM0', '', '1393.9', '', '', '', '0', '284', '0'], ['GCZ0', '', '1405.9', '', '', '', '0', '675', '75'], ['GCM1', '', '1418.4', '', '', '', '0', '15', '0'], ['GCZ1', '', '1431.8', '', '', '', '0', '226', '0'], ['GCM2', '', '1444.8', '', '', '', '0', '5', '0'], ['GCZ2', '', '1458.8', '', '', '', '0', '6', '0'], ['GCM3', '', '1472.8', '', '', '', '0', '', '']]
2017-09-08 09:20 Fri // ['581304', '380899', '1612'] // ['GCZ7', '1353.0', '1350.3', '1354.0', '1362.4', '1351.1', '216021', '458598', '872'] // [['GCU7', '1350.0', '1345.1', '1351.0', '1355.8', '1350.0', '32', '832', '0'], ['GCV7', '1348.8', '1346.5', '1349.9', '1358.5', '1347.2', '3403', '45141', '682'], ['GCX7', '1349.7', '1348.4', '1352.2', '1359.0', '1349.6', '73', '195', '0'], ['GCZ7', '1353.0', '1350.3', '1354.0', '1362.4', '1351.1', '216021', '458598', '872'], ['GCG8', '1356.8', '1354.3', '1357.9', '1365.8', '1356.0', '5066', '34696', '58'], ['GCJ8', '1359.9', '1358.1', '1363.2', '1370.0', '1359.9', '597', '7734', '0'], ['GCM8', '1368.9', '1361.8', '1367.9', '1373.6', '1367.8', '805', '9354', '0'], ['GCQ8', '1371.4', '1365.5', '1373.8', '1378.0', '1371.4', '426', '8054', '0'], ['GCV8', '1377.3', '1369.3', '1377.3', '1377.3', '1377.3', '171', '3018', '0'], ['GCZ8', '1381.3', '1373.2', '1381.4', '1381.4', '1380.9', '217', '9169', '0'], ['GCG9', '', '1376.8', '', '', '', '0', '108', '0'], ['GCJ9', '', '1380.3', '', '', '', '0', '1', '0'], ['GCM9', '1391.1', '1383.9', '1391.1', '1391.1', '1391.1', '1', '729', '0'], ['GCQ9', '', '', '', '', '', '0', '', ''], ['GCZ9', '', '1395.1', '', '', '', '0', '2464', '0'], ['GCM0', '', '1406.0', '', '', '', '0', '284', '0'], ['GCZ0', '', '1418.0', '', '', '', '0', '675', '0'], ['GCM1', '', '1430.5', '', '', '', '0', '15', '0'], ['GCZ1', '', '1443.9', '', '', '', '0', '226', '0'], ['GCM2', '', '1456.9', '', '', '', '0', '5', '0'], ['GCZ2', '', '1470.9', '', '', '', '0', '6', '0'], ['GCM3', '', '1484.9', '', '', '', '0', '', '']]
2017-09-11 09:20 Mon // ['582514', '412827', '1112'] // ['GCZ7', '1337.3', '1351.2', '1341.5', '1344.6', '1335.2', '168554', '458500', '184'] // [['GCU7', '', '1346.0', '', '', '', '0', '828', '0'], ['GCV7', '1333.2', '1347.3', '1338.8', '1340.0', '1331.2', '3913', '44078', '150'], ['GCX7', '1335.1', '1349.1', '1346.0', '1346.0', '1335.1', '102', '257', '0'], ['GCZ7', '1337.3', '1351.2', '1341.5', '1344.6', '1335.2', '168554', '458500', '184'], ['GCG8', '1341.0', '1355.3', '1345.0', '1347.8', '1340.0', '253', '36282', '135'], ['GCJ8', '1345.0', '1359.1', '1350.0', '1350.7', '1345.0', '46', '8068', '217'], ['GCM8', '1348.6', '1362.9', '1350.1', '1355.4', '1348.3', '122', '9501', '37'], ['GCQ8', '1354.7', '1366.7', '1359.0', '1359.0', '1354.4', '19', '7946', '0'], ['GCV8', '', '1370.4', '', '', '', '10', '3018', '69'], ['GCZ8', '1360.4', '1374.5', '1365.7', '1366.5', '1360.4', '184', '9502', '320'], ['GCG9', '', '1378.1', '', '', '', '0', '129', '0'], ['GCJ9', '', '1381.6', '', '', '', '0', '1', '0'], ['GCM9', '', '1385.2', '', '', '', '0', '729', '0'], ['GCQ9', '', '', '', '', '', '0', '', ''], ['GCZ9', '', '1396.4', '', '', '', '0', '2464', '0'], ['GCM0', '', '1407.3', '', '', '', '0', '284', '0'], ['GCZ0', '', '1419.3', '', '', '', '0', '675', '0'], ['GCM1', '', '1431.8', '', '', '', '0', '15', '0'], ['GCZ1', '', '1445.2', '', '', '', '0', '226', '0'], ['GCM2', '', '1458.2', '', '', '', '0', '5', '0'], ['GCZ2', '', '1472.2', '', '', '', '0', '6', '0'], ['GCM3', '', '1486.2', '', '', '', '0', '', '']]
2017-09-12 09:20 Tue // ['577135', '316333', '2578'] // ['GCZ7', '1329.9', '1335.7', '1331.7', '1333.5', '1326.7', '160543', '454091', '1640'] // [['GCU7', '1326.4', '1331.0', '1327.0', '1327.0', '1325.2', '11', '821', '0'], ['GCV7', '1326.3', '1331.8', '1328.3', '1329.4', '1322.9', '2978', '41758', '135'], ['GCX7', '1327.2', '1333.2', '1330.5', '1330.7', '1324.4', '64', '369', '0'], ['GCZ7', '1329.9', '1335.7', '1331.7', '1333.5', '1326.7', '160543', '454091', '1640'], ['GCG8', '1334.0', '1339.8', '1337.3', '1337.3', '1331.0', '409', '36752', '33'], ['GCJ8', '1338.1', '1343.6', '1337.9', '1340.3', '1335.4', '274', '8261', '270'], ['GCM8', '1341.6', '1347.5', '1344.9', '1344.9', '1339.6', '551', '9341', '0'], ['GCQ8', '1343.1', '1351.3', '1346.3', '1346.3', '1343.1', '728', '8405', '250'], ['GCV8', '', '1355.2', '', '', '', '100', '3018', '0'], ['GCZ8', '1353.3', '1359.3', '1353.3', '1353.3', '1353.3', '753', '9784', '250'], ['GCG9', '', '1362.9', '', '', '', '0', '129', '0'], ['GCJ9', '', '1366.4', '', '', '', '0', '1', '0'], ['GCM9', '', '1370.0', '', '', '', '0', '729', '0'], ['GCQ9', '', '', '', '', '', '0', '', ''], ['GCZ9', '', '1381.2', '', '', '', '0', '2464', '0'], ['GCM0', '1397.4', '1392.1', '1397.4', '1397.4', '1397.4', '1', '285', '0'], ['GCZ0', '1406.6', '1404.1', '1406.6', '1406.6', '1406.6', '1', '675', '0'], ['GCM1', '', '1416.6', '', '', '', '0', '15', '0'], ['GCZ1', '', '1430.0', '', '', '', '0', '226', '0'], ['GCM2', '', '1443.0', '', '', '', '0', '5', '0'], ['GCZ2', '', '1457.0', '', '', '', '0', '6', '0'], ['GCM3', '', '1471.0', '', '', '', '0', '', '']]
2017-09-13 09:20 Wed // ['582953', '302181', '2908'] // ['GCZ7', '1335.0', '1332.7', '1336.2', '1340.5', '1333.5', '127722', '459972', '1314'] // [['GCU7', '', '1328.0', '', '', '', '0', '816', '0'], ['GCV7', '1331.3', '1328.8', '1332.9', '1336.1', '1329.8', '3179', '39914', '782'], ['GCX7', '1333.5', '1330.5', '1334.1', '1334.9', '1332.9', '35', '385', '0'], ['GCZ7', '1335.0', '1332.7', '1336.2', '1340.5', '1333.5', '127722', '459972', '1314'], ['GCG8', '1338.7', '1336.8', '1341.1', '1342.3', '1338.4', '369', '37209', '0'], ['GCJ8', '1342.6', '1340.6', '1345.8', '1345.9', '1342.6', '375', '8464', '262'], ['GCM8', '1346.5', '1344.4', '1346.9', '1349.9', '1345.8', '548', '9229', '0'], ['GCQ8', '1351.3', '1348.1', '1351.3', '1351.3', '1351.3', '406', '8756', '0'], ['GCV8', '', '1351.9', '', '', '', '52', '3018', '0'], ['GCZ8', '1357.5', '1355.9', '1361.7', '1361.7', '1357.5', '127', '10380', '0'], ['GCG9', '', '1359.6', '', '', '', '0', '129', '0'], ['GCJ9', '', '1363.3', '', '', '', '0', '1', '0'], ['GCM9', '', '1367.1', '', '', '', '0', '729', '0'], ['GCQ9', '', '', '', '', '', '0', '', ''], ['GCZ9', '', '1378.9', '', '', '', '0', '2764', '500'], ['GCM0', '', '1389.8', '', '', '', '0', '284', '0'], ['GCZ0', '', '1401.8', '', '', '', '0', '676', '25'], ['GCM1', '', '1413.9', '', '', '', '0', '15', '0'], ['GCZ1', '', '1426.9', '', '', '', '0', '201', '25'], ['GCM2', '', '1439.9', '', '', '', '0', '5', '0'], ['GCZ2', '', '1453.9', '', '', '', '0', '6', '0'], ['GCM3', '', '1467.9', '', '', '', '0', '', '']]
