2017-08-29 09:20 Tue // ['192458', '157802', '135'] // ['SIU7', '17.645', '17.441', '17.540', '17.665', '17.410', '60253', '31025', '135'] // [['SIQ7', '', '17.431', '', '', '', '0', '0', '0'], ['SIU7', '17.645', '17.441', '17.540', '17.665', '17.410', '60253', '31025', '135'], ['SIV7', '17.625', '17.467', '17.510', '17.665', '17.480', '195', '842', '0'], ['SIX7', '', '0.000', '', '', '', '0', '', ''], ['SIZ7', '17.735', '17.529', '17.610', '17.755', '17.495', '43706', '144744', '0'], ['SIF8', '17.580', '17.560', '17.650', '17.650', '17.580', '7', '55', '0'], ['SIH8', '17.835', '17.622', '17.700', '17.835', '17.640', '295', '9016', '0'], ['SIK8', '', '17.684', '', '', '', '15', '2722', '0'], ['SIN8', '17.880', '17.746', '17.880', '17.880', '17.880', '6', '1464', '0'], ['SIU8', '17.890', '17.808', '17.890', '17.890', '17.890', '27', '319', '0'], ['SIZ8', '17.955', '17.904', '17.950', '17.975', '17.950', '4', '1687', '0'], ['SIF9', '', '17.951', '', '', '', '0', '49', '0'], ['SIH9', '', '17.993', '', '', '', '0', '', ''], ['SIK9', '', '18.028', '', '', '', '0', '', ''], ['SIN9', '18.065', '18.066', '18.000', '18.240', '18.000', '8', '110', '0'], ['SIZ9', '', '18.261', '', '', '', '0', '129', '0'], ['SIN0', '', '18.492', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.704', '', '', '', '0', '295', '0'], ['SIN1', '', '18.877', '', '', '', '0', '', ''], ['SIZ1', '', '19.050', '', '', '', '0', '', ''], ['SIN2', '', '19.222', '', '', '', '0', '', '']]
2017-08-30 09:20 Wed2017-08-31 09:20 Thu // ['178827', '111482', '0'] // ['SIZ7', '17.455', '17.503', '17.510', '17.515', '17.340', '34532', '157217', '0'] // [['SIU7', '17.375', '17.404', '17.420', '17.420', '17.255', '1247', '4098', '0'], ['SIV7', '17.410', '17.438', '17.395', '17.430', '17.275', '81', '890', '0'], ['SIX7', '', '17.470', '', '', '', '0', '', ''], ['SIZ7', '17.455', '17.503', '17.510', '17.515', '17.340', '34532', '157217', '0'], ['SIF8', '', '17.535', '', '', '', '5', '58', '0'], ['SIH8', '17.540', '17.597', '17.570', '17.575', '17.485', '885', '9596', '0'], ['SIK8', '', '17.660', '', '', '', '10', '2742', '0'], ['SIN8', '', '17.723', '', '', '', '78', '1482', '0'], ['SIU8', '', '17.786', '', '', '', '5', '422', '0'], ['SIZ8', '', '17.882', '', '', '', '0', '1736', '0'], ['SIF9', '', '17.929', '', '', '', '0', '49', '0'], ['SIH9', '', '17.971', '', '', '', '0', '', ''], ['SIK9', '', '18.006', '', '', '', '0', '', ''], ['SIN9', '', '18.045', '', '', '', '0', '110', '0'], ['SIZ9', '', '18.240', '', '', '', '0', '131', '0'], ['SIN0', '', '18.471', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.683', '', '', '', '0', '295', '0'], ['SIN1', '', '18.856', '', '', '', '0', '', ''], ['SIZ1', '', '19.029', '', '', '', '0', '', ''], ['SIN2', '', '19.201', '', '', '', '0', '', '']]
2017-09-01 09:20 Fri // ['179356', '85153', '205'] // ['SIZ7', '17.670', '17.575', '17.660', '17.800', '17.505', '46200', '158889', '205'] // [['SIU7', '17.570', '17.480', '17.565', '17.685', '17.445', '235', '2177', '0'], ['SIV7', '17.575', '17.508', '17.545', '17.700', '17.470', '130', '900', '0'], ['SIX7', '17.560', '17.541', '17.560', '17.560', '17.560', '5', '6', '0'], ['SIZ7', '17.670', '17.575', '17.660', '17.800', '17.505', '46200', '158889', '205'], ['SIF8', '17.835', '17.606', '17.675', '17.835', '17.640', '8', '57', '0'], ['SIH8', '17.755', '17.667', '17.680', '17.835', '17.625', '142', '10298', '0'], ['SIK8', '', '17.728', '', '', '', '2', '2761', '0'], ['SIN8', '', '17.789', '', '', '', '4', '1477', '0'], ['SIU8', '', '17.850', '', '', '', '0', '442', '0'], ['SIZ8', '17.970', '17.945', '17.970', '17.970', '17.970', '1', '1763', '0'], ['SIF9', '', '17.992', '', '', '', '0', '49', '0'], ['SIH9', '', '18.034', '', '', '', '0', '', ''], ['SIK9', '', '18.069', '', '', '', '0', '', ''], ['SIN9', '', '18.108', '', '', '', '0', '110', '0'], ['SIZ9', '', '18.303', '', '', '', '0', '131', '0'], ['SIN0', '', '18.534', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.746', '', '', '', '0', '295', '0'], ['SIN1', '', '18.919', '', '', '', '0', '', ''], ['SIZ1', '', '19.092', '', '', '', '0', '', ''], ['SIN2', '', '19.264', '', '', '', '0', '', '']]
2017-09-04 09:20 Mon // ['180204', '104583', '343'] // ['SIZ7', '17.910', '17.816', '17.880', '17.985', '17.835', '29622', '159225', '143'] // [['SIU7', '17.835', '17.719', '17.780', '17.880', '17.775', '279', '1875', '0'], ['SIV7', '17.810', '17.747', '17.905', '17.905', '17.800', '111', '912', '0'], ['SIX7', '17.905', '17.781', '17.855', '17.945', '17.855', '15', '15', '0'], ['SIZ7', '17.910', '17.816', '17.880', '17.985', '17.835', '29622', '159225', '143'], ['SIF8', '17.965', '17.848', '17.975', '17.990', '17.965', '11', '59', '0'], ['SIH8', '17.975', '17.909', '17.975', '18.070', '17.975', '58', '10820', '50'], ['SIK8', '', '17.969', '', '', '', '0', '2780', '100'], ['SIN8', '', '18.030', '', '', '', '0', '1731', '50'], ['SIU8', '', '18.091', '', '', '', '0', '442', '0'], ['SIZ8', '', '18.186', '', '', '', '0', '1759', '0'], ['SIF9', '', '18.233', '', '', '', '0', '49', '0'], ['SIH9', '', '18.275', '', '', '', '0', '', ''], ['SIK9', '', '18.310', '', '', '', '0', '', ''], ['SIN9', '', '18.349', '', '', '', '0', '110', '0'], ['SIZ9', '18.650', '18.544', '18.650', '18.650', '18.650', '1', '131', '0'], ['SIN0', '', '18.775', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.987', '', '', '', '0', '295', '0'], ['SIN1', '', '19.160', '', '', '', '0', '', ''], ['SIZ1', '', '19.333', '', '', '', '0', '', ''], ['SIN2', '', '19.505', '', '', '', '0', '', '']]
2017-09-05 09:20 Tue // ['180204', '104583', '343'] // ['SIZ7', '17.970', '17.816', '17.880', '18.065', '17.835', '75505', '159225', '143'] // [['SIU7', '17.855', '17.719', '17.780', '17.960', '17.775', '798', '1875', '0'], ['SIV7', '17.920', '17.747', '17.905', '17.960', '17.800', '237', '912', '0'], ['SIX7', '17.925', '17.781', '17.855', '17.945', '17.855', '26', '15', '0'], ['SIZ7', '17.970', '17.816', '17.880', '18.065', '17.835', '75505', '159225', '143'], ['SIF8', '17.995', '17.848', '17.975', '18.005', '17.950', '24', '59', '0'], ['SIH8', '18.085', '17.909', '17.975', '18.150', '17.975', '178', '10820', '50'], ['SIK8', '18.210', '17.969', '18.210', '18.210', '18.210', '11', '2780', '100'], ['SIN8', '', '18.030', '', '', '', '4', '1731', '50'], ['SIU8', '18.240', '18.091', '18.240', '18.260', '18.240', '106', '442', '0'], ['SIZ8', '', '18.186', '', '', '', '2', '1759', '0'], ['SIF9', '', '18.233', '', '', '', '0', '49', '0'], ['SIH9', '', '18.275', '', '', '', '0', '', ''], ['SIK9', '', '18.310', '', '', '', '0', '', ''], ['SIN9', '', '18.349', '', '', '', '0', '110', '0'], ['SIZ9', '18.650', '18.544', '18.650', '18.650', '18.650', '1', '131', '0'], ['SIN0', '', '18.775', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.987', '', '', '', '0', '295', '0'], ['SIN1', '', '19.160', '', '', '', '0', '', ''], ['SIZ1', '', '19.333', '', '', '', '0', '', ''], ['SIN2', '', '19.505', '', '', '', '0', '', '']]
2017-09-06 09:20 Wed // ['184523', '132234', '911'] // ['SIZ7', '18.040', '17.941', '17.980', '18.065', '17.945', '28171', '163192', '911'] // [['SIU7', '17.915', '17.845', '17.915', '17.970', '17.860', '139', '1610', '0'], ['SIV7', '17.960', '17.871', '17.940', '17.990', '17.885', '53', '957', '0'], ['SIX7', '', '17.906', '', '', '', '0', '36', '0'], ['SIZ7', '18.040', '17.941', '17.980', '18.065', '17.945', '28171', '163192', '911'], ['SIF8', '', '17.973', '', '', '', '1', '61', '0'], ['SIH8', '18.120', '18.035', '18.075', '18.135', '18.040', '2670', '11389', '0'], ['SIK8', '18.190', '18.096', '18.170', '18.190', '18.160', '118', '2818', '0'], ['SIN8', '', '18.157', '', '', '', '45', '1722', '0'], ['SIU8', '', '18.218', '', '', '', '13', '393', '0'], ['SIZ8', '', '18.313', '', '', '', '4', '1761', '0'], ['SIF9', '', '18.360', '', '', '', '0', '49', '0'], ['SIH9', '', '18.402', '', '', '', '0', '', ''], ['SIK9', '', '18.437', '', '', '', '0', '', ''], ['SIN9', '', '18.476', '', '', '', '0', '110', '0'], ['SIZ9', '', '18.671', '', '', '', '0', '129', '0'], ['SIN0', '', '18.902', '', '', '', '0', '1', '0'], ['SIZ0', '', '19.114', '', '', '', '0', '295', '0'], ['SIN1', '', '19.287', '', '', '', '0', '', ''], ['SIZ1', '', '19.460', '', '', '', '0', '', ''], ['SIN2', '', '19.632', '', '', '', '0', '', '']]
2017-09-07 09:20 Thu // ['184401', '78980', '0'] // ['SIZ7', '18.035', '17.910', '17.950', '18.145', '17.865', '39115', '160806', '0'] // [['SIU7', '17.985', '17.816', '17.840', '18.040', '17.795', '251', '1565', '0'], ['SIV7', '18.000', '17.838', '17.855', '18.020', '17.820', '90', '949', '0'], ['SIX7', '17.925', '17.875', '17.930', '17.955', '17.925', '26', '36', '0'], ['SIZ7', '18.035', '17.910', '17.950', '18.145', '17.865', '39115', '160806', '0'], ['SIF8', '18.080', '17.942', '18.080', '18.080', '18.080', '1', '61', '0'], ['SIH8', '18.125', '18.004', '18.050', '18.185', '17.975', '307', '13695', '0'], ['SIK8', '18.245', '18.064', '18.060', '18.245', '18.035', '123', '2821', '0'], ['SIN8', '', '18.124', '', '', '', '12', '1734', '0'], ['SIU8', '', '18.184', '', '', '', '0', '388', '0'], ['SIZ8', '', '18.279', '', '', '', '1', '1763', '0'], ['SIF9', '', '18.326', '', '', '', '0', '49', '0'], ['SIH9', '', '18.368', '', '', '', '0', '', ''], ['SIK9', '', '18.403', '', '', '', '0', '', ''], ['SIN9', '', '18.442', '', '', '', '0', '110', '0'], ['SIZ9', '18.675', '18.637', '18.675', '18.675', '18.675', '1', '129', '0'], ['SIN0', '', '18.868', '', '', '', '0', '1', '0'], ['SIZ0', '19.090', '19.080', '19.090', '19.090', '19.090', '36', '294', '0'], ['SIN1', '', '19.253', '', '', '', '0', '', ''], ['SIZ1', '', '19.426', '', '', '', '0', '', ''], ['SIN2', '', '19.598', '', '', '', '0', '', '']]
2017-09-08 09:20 Fri // ['187478', '92952', '86'] // ['SIZ7', '18.160', '18.116', '18.205', '18.290', '18.135', '43127', '163136', '0'] // [['SIU7', '18.160', '18.016', '18.090', '18.160', '18.075', '100', '1620', '0'], ['SIV7', '18.085', '18.042', '18.100', '18.205', '18.070', '149', '972', '0'], ['SIX7', '18.225', '18.080', '18.225', '18.225', '18.225', '15', '33', '0'], ['SIZ7', '18.160', '18.116', '18.205', '18.290', '18.135', '43127', '163136', '0'], ['SIF8', '18.195', '18.148', '18.260', '18.300', '18.190', '163', '62', '0'], ['SIH8', '18.255', '18.209', '18.280', '18.360', '18.245', '716', '14235', '82'], ['SIK8', '18.380', '18.269', '18.360', '18.380', '18.360', '252', '2867', '0'], ['SIN8', '', '18.329', '', '', '', '2', '1789', '0'], ['SIU8', '', '18.389', '', '', '', '0', '405', '0'], ['SIZ8', '', '18.482', '', '', '', '0', '1776', '4'], ['SIF9', '', '18.529', '', '', '', '0', '49', '0'], ['SIH9', '', '18.571', '', '', '', '0', '', ''], ['SIK9', '', '18.606', '', '', '', '0', '', ''], ['SIN9', '', '18.651', '', '', '', '0', '110', '0'], ['SIZ9', '', '18.818', '', '', '', '0', '129', '0'], ['SIN0', '', '19.001', '', '', '', '0', '1', '0'], ['SIZ0', '', '19.168', '', '', '', '0', '294', '0'], ['SIN1', '', '19.341', '', '', '', '0', '', ''], ['SIZ1', '', '19.514', '', '', '', '0', '', ''], ['SIN2', '', '19.686', '', '', '', '0', '', '']]
2017-09-11 09:20 Mon // ['188929', '91322', '740'] // ['SIZ7', '17.840', '18.123', '17.920', '17.955', '17.770', '37801', '163488', '360'] // [['SIU7', '17.755', '18.027', '17.890', '17.890', '17.695', '263', '1301', '0'], ['SIV7', '17.750', '18.051', '17.840', '17.870', '17.750', '94', '1066', '0'], ['SIX7', '17.815', '18.087', '17.840', '17.840', '17.750', '5', '56', '0'], ['SIZ7', '17.840', '18.123', '17.920', '17.955', '17.770', '37801', '163488', '360'], ['SIF8', '17.845', '18.155', '17.895', '17.960', '17.845', '129', '138', '0'], ['SIH8', '17.930', '18.217', '17.940', '18.040', '17.870', '1738', '14433', '95'], ['SIK8', '18.040', '18.277', '18.000', '18.040', '18.000', '34', '3546', '190'], ['SIN8', '18.060', '18.338', '18.060', '18.060', '18.060', '2', '1948', '95'], ['SIU8', '', '18.401', '', '', '', '28', '493', '0'], ['SIZ8', '18.200', '18.494', '18.300', '18.300', '18.200', '30', '1877', '0'], ['SIF9', '', '18.541', '', '', '', '0', '49', '0'], ['SIH9', '', '18.583', '', '', '', '0', '', ''], ['SIK9', '', '18.618', '', '', '', '0', '', ''], ['SIN9', '', '18.664', '', '', '', '0', '110', '0'], ['SIZ9', '', '18.831', '', '', '', '0', '129', '0'], ['SIN0', '', '19.014', '', '', '', '0', '1', '0'], ['SIZ0', '', '19.181', '', '', '', '0', '294', '0'], ['SIN1', '', '19.354', '', '', '', '0', '', ''], ['SIZ1', '', '19.527', '', '', '', '0', '', ''], ['SIN2', '', '19.699', '', '', '', '0', '', '']]
2017-09-12 09:20 Tue // ['187413', '87955', '105'] // ['SIZ7', '17.855', '17.902', '17.885', '17.920', '17.785', '32961', '160753', '105'] // [['SIU7', '17.820', '17.807', '17.780', '17.820', '17.705', '220', '1054', '0'], ['SIV7', '17.795', '17.831', '17.820', '17.825', '17.735', '40', '1105', '0'], ['SIX7', '17.800', '17.866', '17.825', '17.825', '17.795', '4', '59', '0'], ['SIZ7', '17.855', '17.902', '17.885', '17.920', '17.785', '32961', '160753', '105'], ['SIF8', '17.865', '17.935', '17.865', '17.865', '17.865', '2', '138', '0'], ['SIH8', '17.950', '17.997', '17.905', '18.005', '17.895', '762', '15070', '0'], ['SIK8', '18.005', '18.059', '18.005', '18.005', '18.005', '36', '3995', '0'], ['SIN8', '', '18.122', '', '', '', '0', '1970', '0'], ['SIU8', '', '18.187', '', '', '', '40', '727', '0'], ['SIZ8', '18.250', '18.280', '18.185', '18.250', '18.180', '47', '1959', '0'], ['SIF9', '', '18.327', '', '', '', '0', '49', '0'], ['SIH9', '', '18.369', '', '', '', '0', '', ''], ['SIK9', '', '18.404', '', '', '', '0', '', ''], ['SIN9', '', '18.451', '', '', '', '0', '110', '0'], ['SIZ9', '', '18.618', '', '', '', '0', '129', '0'], ['SIN0', '', '18.801', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.968', '', '', '', '0', '294', '0'], ['SIN1', '', '19.141', '', '', '', '0', '', ''], ['SIZ1', '', '19.314', '', '', '', '0', '', ''], ['SIN2', '', '19.486', '', '', '', '0', '', '']]
2017-09-13 09:20 Wed // ['188477', '68435', '142'] // ['SIZ7', '17.880', '17.890', '17.970', '18.125', '17.860', '30377', '159840', '50'] // [['SIU7', '17.910', '17.795', '17.860', '17.910', '17.845', '128', '1077', '0'], ['SIV7', '17.810', '17.820', '18.030', '18.030', '17.810', '206', '1076', '0'], ['SIX7', '17.850', '17.855', '17.900', '17.970', '17.850', '6', '62', '0'], ['SIZ7', '17.880', '17.890', '17.970', '18.125', '17.860', '30377', '159840', '50'], ['SIF8', '17.965', '17.924', '17.965', '17.965', '17.965', '4', '136', '0'], ['SIH8', '17.960', '17.987', '18.075', '18.160', '17.960', '1065', '15740', '92'], ['SIK8', '18.115', '18.050', '18.250', '18.250', '18.080', '161', '4266', '0'], ['SIN8', '', '18.114', '', '', '', '26', '2049', '0'], ['SIU8', '', '18.182', '', '', '', '6', '1217', '0'], ['SIZ8', '18.400', '18.278', '18.395', '18.400', '18.395', '27', '2431', '0'], ['SIF9', '', '18.325', '', '', '', '0', '49', '0'], ['SIH9', '', '18.367', '', '', '', '0', '', ''], ['SIK9', '', '18.402', '', '', '', '0', '', ''], ['SIN9', '', '18.450', '', '', '', '0', '110', '0'], ['SIZ9', '', '18.617', '', '', '', '0', '129', '0'], ['SIN0', '', '18.800', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.967', '', '', '', '0', '294', '0'], ['SIN1', '', '19.140', '', '', '', '0', '', ''], ['SIZ1', '', '19.313', '', '', '', '0', '', ''], ['SIN2', '', '19.485', '', '', '', '0', '', '']]
2017-09-14 09:20 Thu // ['189220', '92814', '1060'] // ['SIZ7', '17.785', '17.867', '17.845', '17.860', '17.660', '49229', '158024', '57'] // [['SIU7', '17.730', '17.772', '17.650', '17.750', '17.580', '148', '924', '0'], ['SIV7', '17.770', '17.797', '17.760', '17.770', '17.600', '99', '1028', '0'], ['SIX7', '17.780', '17.832', '17.760', '17.780', '17.645', '12', '64', '0'], ['SIZ7', '17.785', '17.867', '17.845', '17.860', '17.660', '49229', '158024', '57'], ['SIF8', '17.870', '17.903', '17.865', '17.870', '17.810', '4', '133', '0'], ['SIH8', '17.885', '17.967', '17.835', '17.945', '17.770', '526', '17178', '150'], ['SIK8', '17.975', '18.034', '17.885', '17.975', '17.870', '372', '4632', '350'], ['SIN8', '', '18.100', '', '', '', '216', '2279', '300'], ['SIU8', '', '18.169', '', '', '', '89', '1631', '150'], ['SIZ8', '18.185', '18.267', '18.185', '18.185', '18.185', '9', '2744', '53'], ['SIF9', '', '18.314', '', '', '', '0', '49', '0'], ['SIH9', '', '18.356', '', '', '', '0', '', ''], ['SIK9', '', '18.391', '', '', '', '0', '', ''], ['SIN9', '', '18.440', '', '', '', '0', '110', '0'], ['SIZ9', '', '18.607', '', '', '', '0', '129', '0'], ['SIN0', '', '18.790', '', '', '', '0', '1', '0'], ['SIZ0', '18.900', '18.957', '18.900', '18.900', '18.900', '4', '294', '0'], ['SIN1', '', '19.130', '', '', '', '0', '', ''], ['SIZ1', '', '19.303', '', '', '', '0', '', ''], ['SIN2', '', '19.475', '', '', '', '0', '', '']]
