2017-08-29 09:20 Tue // ['1622728', '1216283', '0'] // ['ZTU7', '108.100', '108.077', '108.082', '108.105', '108.080', '342235', '647818', '0'] // [['ZTU7', '108.100', '108.077', '108.082', '108.105', '108.080', '342235', '647818', '0'], ['ZTZ7', '108.067', '108.040', '108.045', '108.070', '108.045', '295290', '974910', '0'], ['ZTH8', '', '108.022', '', '', '', '0', '', '']]
2017-08-30 09:20 Wed2017-08-31 09:20 Thu2017-09-01 09:20 Fri // ['1493960', '454265', '0'] // ['ZTZ7', '108.047', '108.050', '108.050', '108.067', '108.045', '126793', '1440372', '0'] // [['ZTU7', '108.082', '108.087', '108.087', '108.100', '108.082', '23110', '53588', '0'], ['ZTZ7', '108.047', '108.050', '108.050', '108.067', '108.045', '126793', '1440372', '0'], ['ZTH8', '', '108.032', '', '', '', '0', '', '']]
2017-09-04 09:20 Mon // ['1480207', '362674', '0'] // ['ZTZ7', '108.052', '108.035', '108.050', '108.055', '108.047', '18870', '1437783', '0'] // [['ZTU7', '108.090', '108.075', '108.090', '108.092', '108.087', '5417', '42424', '0'], ['ZTZ7', '108.052', '108.035', '108.050', '108.055', '108.047', '18870', '1437783', '0'], ['ZTH8', '', '108.017', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-05 09:20 Tue // ['1480207', '362674', '0'] // ['ZTZ7', '108.060', '108.035', '108.050', '108.060', '108.042', '100801', '1437783', '0'] // [['ZTU7', '108.097', '108.075', '108.090', '108.097', '108.085', '10696', '42424', '0'], ['ZTZ7', '108.060', '108.035', '108.050', '108.060', '108.042', '100801', '1437783', '0'], ['ZTH8', '', '108.017', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-06 09:20 Wed // ['1491933', '347987', '0'] // ['ZTZ7', '108.075', '108.075', '108.072', '108.077', '108.067', '74577', '1460369', '0'] // [['ZTU7', '108.110', '108.110', '108.110', '108.112', '108.105', '3930', '31564', '0'], ['ZTZ7', '108.075', '108.075', '108.072', '108.077', '108.067', '74577', '1460369', '0'], ['ZTH8', '', '108.057', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-07 09:20 Thu // ['1506750', '389784', '0'] // ['ZTZ7', '108.077', '108.065', '108.067', '108.080', '108.065', '81171', '1478003', '0'] // [['ZTU7', '108.112', '108.105', '108.105', '108.115', '108.105', '6268', '28747', '0'], ['ZTZ7', '108.077', '108.065', '108.067', '108.080', '108.065', '81171', '1478003', '0'], ['ZTH8', '', '108.047', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-08 09:20 Fri // ['1515270', '346972', '0'] // ['ZTZ7', '108.085', '108.085', '108.087', '108.100', '108.082', '102614', '1490836', '0'] // [['ZTU7', '108.135', '108.120', '108.135', '108.137', '108.130', '1286', '24434', '0'], ['ZTZ7', '108.085', '108.085', '108.087', '108.100', '108.082', '102614', '1490836', '0'], ['ZTH8', '', '108.067', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-11 09:20 Mon // ['1521439', '283005', '0'] // ['ZTZ7', '108.067', '108.090', '108.085', '108.087', '108.065', '64597', '1497347', '0'] // [['ZTU7', '108.107', '108.130', '108.120', '108.122', '108.107', '645', '24092', '0'], ['ZTZ7', '108.067', '108.090', '108.085', '108.087', '108.065', '64597', '1497347', '0'], ['ZTH8', '', '108.072', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-12 09:20 Tue // ['1530767', '262555', '0'] // ['ZTZ7', '108.047', '108.060', '108.057', '108.060', '108.045', '86267', '1507181', '0'] // [['ZTU7', '108.090', '108.102', '108.100', '108.100', '108.090', '230', '23586', '0'], ['ZTZ7', '108.047', '108.060', '108.057', '108.060', '108.045', '86267', '1507181', '0'], ['ZTH8', '', '108.042', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-13 09:20 Wed // ['1509802', '266890', '0'] // ['ZTZ7', '108.042', '108.047', '108.047', '108.052', '108.040', '57807', '1489504', '0'] // [['ZTU7', '108.085', '108.092', '108.092', '108.100', '108.085', '1016', '20298', '0'], ['ZTZ7', '108.042', '108.047', '108.047', '108.052', '108.040', '57807', '1489504', '0'], ['ZTH8', '', '108.030', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-14 09:20 Thu // ['1497448', '246677', '0'] // ['ZTZ7', '108.015', '108.035', '108.035', '108.040', '108.012', '121488', '1479470', '0'] // [['ZTU7', '108.065', '108.082', '108.085', '108.087', '108.065', '1653', '17978', '0'], ['ZTZ7', '108.015', '108.035', '108.035', '108.040', '108.012', '121488', '1479470', '0'], ['ZTH8', '', '108.017', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-15 09:20 Fri // ['1481719', '327372', '0'] // ['ZTZ7', '108.020', '108.022', '108.025', '108.032', '108.010', '106328', '1465257', '0'] // [['ZTU7', '108.067', '108.072', '108.082', '108.082', '108.067', '226', '16462', '0'], ['ZTZ7', '108.020', '108.022', '108.025', '108.032', '108.010', '106328', '1465257', '0'], ['ZTH8', '', '108.005', '', '', '', '0', '', ''], ['ZTM8', '', '', '', '', '', '0', '', '']]
2017-09-19 09:20 Tue // ['1501129', '249677', '0'] // ['ZTZ7', '108.000', '108.000', '107.315', '108.007', '107.312', '75582', '1487209', '0'] // [['ZTU7', '108.055', '108.052', '108.057', '108.057', '108.055', '106', '13920', '0'], ['ZTZ7', '108.000', '108.000', '107.315', '108.007', '107.312', '75582', '1487209', '0'], ['ZTH8', '', '107.302', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-20 09:20 Wed // ['1505109', '247072', '0'] // ['ZTZ7', '107.317', '107.312', '107.312', '108.005', '107.310', '57741', '1491801', '0'] // [['ZTU7', '108.055', '108.047', '108.055', '108.055', '108.055', '207', '13308', '0'], ['ZTZ7', '107.317', '107.312', '107.312', '108.005', '107.310', '57741', '1491801', '0'], ['ZTH8', '', '107.295', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-21 09:20 Thu // ['1510378', '325179', '0'] // ['ZTZ7', '107.287', '107.285', '107.285', '107.292', '107.280', '100968', '1498396', '0'] // [['ZTU7', '108.027', '108.027', '108.025', '108.030', '108.025', '1169', '11982', '0'], ['ZTZ7', '107.287', '107.285', '107.285', '107.292', '107.280', '100968', '1498396', '0'], ['ZTH8', '', '107.267', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 09:20 Fri // ['1520313', '298833', '0'] // ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '86701', '1509061', '0'] // [['ZTU7', '108.032', '108.025', '108.030', '108.032', '108.030', '312', '11252', '0'], ['ZTZ7', '107.290', '107.280', '107.280', '107.295', '107.280', '86701', '1509061', '0'], ['ZTH8', '', '107.262', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-25 09:27 Mon // ['1542025', '262053', '0'] // ['ZTZ7', '107.285', '107.285', '107.285', '107.297', '107.280', '80180', '1530698', '0'] // [['ZTU7', '', '108.030', '', '', '', '494', '11327', '0'], ['ZTZ7', '107.285', '107.285', '107.285', '107.297', '107.280', '80180', '1530698', '0'], ['ZTH8', '', '107.267', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-27 09:27 Wed // ['1589423', '335851', '0'] // ['ZTZ7', '107.270', '107.290', '107.285', '107.287', '107.265', '145258', '1579930', '0'] // [['ZTU7', '108.017', '108.032', '108.025', '108.025', '108.017', '169', '9493', '0'], ['ZTZ7', '107.270', '107.290', '107.285', '107.287', '107.265', '145258', '1579930', '0'], ['ZTH8', '', '107.272', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-28 09:27 Thu // ['1614899', '434847', '0'] // ['ZTZ7', '107.277', '107.275', '107.277', '107.280', '107.260', '84583', '1606253', '0'] // [['ZTU7', '108.022', '108.025', '108.015', '108.022', '108.010', '159', '8646', '0'], ['ZTZ7', '107.277', '107.275', '107.277', '107.280', '107.260', '84583', '1606253', '0'], ['ZTH8', '', '107.257', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-29 09:27 Fri // ['1595787', '335371', '0'] // ['ZTZ7', '107.290', '107.292', '107.290', '107.292', '107.282', '116072', '1588569', '0'] // [['ZTU7', '', '108.037', '', '', '', '0', '7218', '0'], ['ZTZ7', '107.290', '107.292', '107.290', '107.292', '107.282', '116072', '1588569', '0'], ['ZTH8', '', '107.275', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
