2017-08-29 09:20 Tue // ['821401', '642150', '0'] // ['ZBU7', '157.26', '156.24', '157.00', '158.04', '156.26', '183324', '247354', '0'] // [['ZBU7', '157.26', '156.24', '157.00', '158.04', '156.26', '183324', '247354', '0'], ['ZBZ7', '156.17', '155.17', '155.25', '156.28', '155.20', '113908', '574045', '0'], ['ZBH8', '', '154.26', '', '', '', '0', '2', '0']]
2017-08-30 09:20 Wed2017-08-31 09:20 Thu // ['787752', '415463', '0'] // ['ZBZ7', '155.25', '155.21', '155.27', '155.29', '155.15', '63346', '714240', '0'] // [['ZBU7', '157.02', '156.29', '157.04', '157.05', '156.24', '19138', '73510', '0'], ['ZBZ7', '155.25', '155.21', '155.27', '155.29', '155.15', '63346', '714240', '0'], ['ZBH8', '', '154.30', '', '', '', '0', '2', '0']]
2017-09-01 09:20 Fri // ['766649', '335040', '0'] // ['ZBZ7', '155.20', '156.03', '156.05', '156.12', '155.16', '110604', '720632', '0'] // [['ZBU7', '156.29', '157.12', '157.14', '158.00', '156.26', '10967', '46015', '0'], ['ZBZ7', '155.20', '156.03', '156.05', '156.12', '155.16', '110604', '720632', '0'], ['ZBH8', '', '155.11', '', '', '', '0', '2', '0']]
2017-09-04 09:20 Mon // ['762098', '298468', '0'] // ['ZBZ7', '155.16', '155.06', '155.19', '155.23', '155.11', '18602', '727370', '0'] // [['ZBU7', '156.25', '156.15', '156.27', '157.00', '156.21', '1266', '34726', '0'], ['ZBZ7', '155.16', '155.06', '155.19', '155.23', '155.11', '18602', '727370', '0'], ['ZBH8', '', '154.14', '', '', '', '1', '2', '0'], ['ZBM8', '', '', '', '', '', '0', '', '']]
2017-09-05 09:20 Tue // ['762098', '298468', '0'] // ['ZBZ7', '156.03', '155.06', '155.19', '156.07', '155.05', '109472', '727370', '0'] // [['ZBU7', '157.12', '156.15', '156.27', '157.16', '156.15', '6199', '34726', '0'], ['ZBZ7', '156.03', '155.06', '155.19', '156.07', '155.05', '109472', '727370', '0'], ['ZBH8', '', '154.14', '', '', '', '2', '2', '0'], ['ZBM8', '', '', '', '', '', '0', '', '']]
2017-09-06 09:20 Wed // ['753717', '354088', '0'] // ['ZBZ7', '157.04', '157.00', '157.06', '157.12', '156.31', '70434', '724611', '0'] // [['ZBU7', '158.12', '158.09', '158.14', '158.21', '158.08', '2056', '29104', '0'], ['ZBZ7', '157.04', '157.00', '157.06', '157.12', '156.31', '70434', '724611', '0'], ['ZBH8', '', '156.02', '', '', '', '0', '2', '0'], ['ZBM8', '', '', '', '', '', '0', '', '']]
2017-09-07 09:20 Thu // ['751366', '267391', '0'] // ['ZBZ7', '156.22', '156.11', '156.12', '157.00', '156.11', '72234', '725712', '0'] // [['ZBU7', '158.00', '157.20', '157.22', '158.07', '157.21', '1352', '25652', '0'], ['ZBZ7', '156.22', '156.11', '156.12', '157.00', '156.11', '72234', '725712', '0'], ['ZBH8', '', '155.13', '', '', '', '0', '2', '0'], ['ZBM8', '', '', '', '', '', '0', '', '']]
2017-09-08 09:20 Fri // ['745085', '292753', '0'] // ['ZBZ7', '157.14', '157.12', '157.23', '158.09', '157.11', '100241', '722853', '0'] // [['ZBU7', '158.22', '158.21', '158.31', '159.16', '158.22', '577', '22230', '0'], ['ZBZ7', '157.14', '157.12', '157.23', '158.09', '157.11', '100241', '722853', '0'], ['ZBH8', '', '156.14', '', '', '', '0', '2', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-11 09:20 Mon // ['744699', '260558', '0'] // ['ZBZ7', '156.14', '157.09', '156.25', '156.29', '156.10', '75057', '725527', '0'] // [['ZBU7', '157.23', '158.18', '158.04', '158.05', '157.20', '2550', '19170', '0'], ['ZBZ7', '156.14', '157.09', '156.25', '156.29', '156.10', '75057', '725527', '0'], ['ZBH8', '', '156.11', '', '', '', '0', '2', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-12 09:20 Tue // ['743811', '210578', '0'] // ['ZBZ7', '155.12', '156.00', '155.31', '156.03', '155.12', '69129', '728368', '0'] // [['ZBU7', '156.22', '157.09', '157.11', '157.11', '156.22', '274', '15441', '0'], ['ZBZ7', '155.12', '156.00', '155.31', '156.03', '155.12', '69129', '728368', '0'], ['ZBH8', '', '155.02', '', '', '', '0', '2', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-13 09:20 Wed // ['742772', '214792', '0'] // ['ZBZ7', '155.09', '155.08', '155.08', '155.18', '155.07', '64392', '728011', '0'] // [['ZBU7', '156.20', '156.17', '156.15', '156.28', '156.15', '665', '14759', '0'], ['ZBZ7', '155.09', '155.08', '155.08', '155.18', '155.07', '64392', '728011', '0'], ['ZBH8', '', '154.10', '', '', '', '0', '2', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-14 09:20 Thu // ['747952', '235089', '0'] // ['ZBZ7', '154.27', '154.26', '154.29', '155.08', '154.12', '127011', '735789', '0'] // [['ZBU7', '156.04', '156.03', '156.09', '156.15', '155.22', '535', '12161', '0'], ['ZBZ7', '154.27', '154.26', '154.29', '155.08', '154.12', '127011', '735789', '0'], ['ZBH8', '', '153.28', '', '', '', '0', '2', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-15 09:20 Fri // ['736245', '283177', '0'] // ['ZBZ7', '155.10', '154.31', '155.10', '155.15', '154.31', '106057', '725388', '0'] // [['ZBU7', '156.20', '156.08', '156.20', '156.24', '156.11', '270', '10855', '0'], ['ZBZ7', '155.10', '154.31', '155.10', '155.15', '154.31', '106057', '725388', '0'], ['ZBH8', '', '154.01', '', '', '', '0', '2', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-19 09:20 Tue // ['733308', '183742', '0'] // ['ZBZ7', '154.16', '154.11', '154.15', '154.23', '154.09', '64616', '724965', '0'] // [['ZBU7', '155.25', '155.20', '155.26', '155.31', '155.20', '978', '8340', '0'], ['ZBZ7', '154.16', '154.11', '154.15', '154.23', '154.09', '64616', '724965', '0'], ['ZBH8', '', '153.08', '', '', '', '0', '3', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
