['2017-08-29 13:45 Tue', '21826', '21791', '21751', '21837', '21644', '22132', '19598', '133200', '148117', 'YMU7']
['2017-08-30 13:45 Wed', '21892', '21874', '21872', '21959', '21832', '22132', '19598', '85700', '154077', 'YMU7']
['2017-08-31 13:45 Thu', '21922', '21871', '21886', '21985', '21874', '22132', '19598', '82400', '149478', 'YMU7']
['2017-09-01 13:45 Fri', '22023', '21950', '21976', '22037', '21966', '22132', '19598', '70600', '150918', 'YMU7']
['2017-09-04 13:45 Mon', '21919', '21980', '21885', '21944', '21877', '22132', '19598', '26500', '150970', 'YMU7']
['2017-09-05 13:45 Tue', '21719', '21980', '21885', '21948', '21703', '22132', '19598', '163600', '150731', 'YMU7']
['2017-09-06 13:45 Wed', '21826', '21764', '21781', '21844', '21740', '22132', '19598', '111400', '147245', 'YMU7']
['2017-09-07 13:45 Thu', '21774', '21812', '21800', '21853', '21747', '22132', '19598', '126000', '146294', 'YMU7']
['2017-09-08 13:45 Fri', '21779', '21770', '21769', '21810', '21679', '22089', '19549', '90200', '31064', 'YMZ7']
['2017-09-11 13:45 Mon', '22025', '21778', '21835', '22030', '21817', '22089', '19549', '98000', '72959', 'YMZ7']
['2017-09-12 13:45 Tue', '22090', '22017', '22033', '22100', '22022', '22100', '19549', '91100', '110200', 'YMZ7']
['2017-09-13 13:45 Wed', '22092', '22090', '22104', '22107', '22054', '22107', '19549', '88100', '124919', 'YMZ7']
['2017-09-14 13:45 Thu', '22163', '22112', '22118', '22173', '22075', '22173', '19549', '86900', '141097', 'YMZ7']
['2017-09-15 13:45 Fri', '22208', '22172', '22175', '22214', '22128', '22214', '19549', '79300', '150684', 'YMZ7']
['2017-09-19 13:45 Tue', '22328', '22299', '22299', '22341', '22296', '22341', '19549', '67500', '151889', 'YMZ7']
['2017-09-20 13:45 Wed', '22332', '22336', '22344', '22356', '22316', '22356', '19549', '61700', '153797', 'YMZ7']
['2017-09-21 13:45 Thu', '22336', '22376', '22372', '22387', '22327', '22389', '19549', '74600', '155845', 'YMZ7']
['2017-09-22 13:45 Fri', '22271', '22333', '22326', '22334', '22258', '22389', '19549', '88400', '156109', 'YMZ7']
['2017-09-25 13:45 Mon', '22240', '22299', '22301', '22343', '22174', '22389', '19549', '114900', '158743', 'YMZ7']
['2017-09-27 13:45 Wed', '22255', '22259', '22250', '22326', '22208', '22389', '19549', '78300', '157643', 'YMZ7']
['2017-09-28 13:45 Thu', '22334', '22298', '22288', '22345', '22237', '22389', '19549', '76300', '156565', 'YMZ7']
['2017-09-29 13:45 Fri', '22317', '22320', '22319', '22330', '22281', '22389', '19549', '57400', '156955', 'YMZ7']
['2017-10-02 13:45 Mon', '22468', '22346', '22366', '22474', '22281', '22474', '19549', '78800', '156203', 'YMZ7']
['2017-10-03 13:45 Tue', '22573', '22507', '22512', '22582', '22500', '22582', '19549', '56400', '156118', 'YMZ7']
['2017-10-04 13:45 Wed', '22615', '22608', '22610', '22631', '22580', '22631', '19549', '55900', '153477', 'YMZ7']
['2017-10-05 13:45 Thu', '22710', '22607', '22597', '22718', '22596', '22718', '19549', '53000', '153328', 'YMZ7']
['2017-10-06 13:45 Fri', '22697', '22740', '22730', '22739', '22680', '22744', '19549', '60300', '153246', 'YMZ7']
