['2017-08-29 13:45 Tue', '1.2006', '1.1979', '1.1979', '1.2070', '1.1956', '1.2070', '1.0341', '', '', 'EURUSD:CUR']
['2017-08-30 13:45 Wed', '1.1901', '1.1972', '1.1972', '1.1984', '1.1892', '1.2070', '1.0341', '', '', 'EURUSD:CUR']
['2017-08-31 13:45 Thu', '1.1889', '1.1884', '1.1884', '1.1908', '1.1823', '1.2070', '1.0341', '', '', 'EURUSD:CUR']
['2017-09-01 13:45 Fri', '1.1863', '1.1910', '1.1910', '1.1980', '1.1850', '1.2070', '1.0341', '', '', 'EURUSD:CUR']
['2017-09-04 13:45 Mon', '1.1902', '1.1860', '1.1859', '1.1922', '1.1852', '1.2070', '1.0341', '', '', 'EURUSD:CUR']
['2017-09-05 13:45 Tue', '1.1896', '1.1896', '1.1896', '1.1941', '1.1868', '1.2070', '1.0341', '', '', 'EURUSD:CUR']
['2017-09-06 13:45 Wed', '1.1922', '1.1914', '1.1914', '1.1950', '1.1903', '1.2070', '1.0341', '', '', 'EURUSD:CUR']
['2017-09-07 13:45 Thu', '1.1997', '1.1917', '1.1917', '1.2059', '1.1914', '1.2070', '1.0341', '', '', 'EURUSD:CUR']
['2017-09-08 13:45 Fri', '1.2029', '1.2023', '1.2023', '1.2092', '1.2015', '1.2092', '1.0341', '', '', 'EURUSD:CUR']
['2017-09-11 13:45 Mon', '1.1967', '1.2036', '1.2036', '1.2036', '1.1957', '1.2092', '1.0341', '', '', 'EURUSD:CUR']
['2017-09-12 13:45 Tue', '1.1958', '1.1953', '1.1953', '1.1978', '1.1926', '1.2092', '1.0341', '', '', 'EURUSD:CUR']
['2017-09-13 13:45 Wed', '1.1892', '1.1967', '1.1967', '1.1995', '1.1880', '1.2092', '1.0341', '', '', 'EURUSD:CUR']
['2017-09-14 13:45 Thu', '1.1901', '1.1885', '1.1885', '1.1910', '1.1838', '1.2092', '1.0341', '', '', 'EURUSD:CUR']
['2017-09-15 13:45 Fri', '1.1940', '1.1919', '1.1919', '1.1987', '1.1901', '1.2092', '1.0341', '', '', 'EURUSD:CUR']
['2017-09-19 13:45 Tue', '1.1981', '1.1954', '1.1954', '1.2006', '1.1950', '1.2092', '1.0341', '', '', 'EURUSD:CUR']
['2017-09-20 13:45 Wed', '1.2006', '1.1994', '1.1994', '1.2022', '1.1984', '1.2092', '1.0341', '', '', 'EURUSD:CUR']
['2017-09-21 13:45 Thu', '1.1931', '1.1892', '1.1892', '1.1954', '1.1866', '1.2092', '1.0341', '', '', 'EURUSD:CUR']
['2017-09-22 13:45 Fri', '1.1948', '1.1941', '1.1941', '1.2004', '1.1937', '1.2092', '1.0341', '', '', 'EURUSD:CUR']
