['2017-08-29 13:45 Tue', '133.26', '133.28', '133.17', '133.36', '133.15', '133.52', '131.30', '413700', '1258208', 'FGBMU7']
['2017-08-30 13:45 Wed', '133.16', '133.16', '133.24', '133.24', '133.06', '133.52', '131.30', '444100', '1225760', 'FGBMU7']
['2017-08-31 13:45 Thu', '133.16', '133.14', '133.17', '133.22', '133.07', '133.52', '131.30', '536800', '1194337', 'FGBMU7']
['2017-09-01 13:45 Fri', '133.10', '133.09', '133.18', '133.19', '132.99', '133.52', '131.30', '626100', '1110197', 'FGBMU7']
['2017-09-04 13:45 Mon', '133.20', '133.20', '133.16', '133.23', '133.13', '133.52', '131.30', '779900', '986853', 'FGBMU7']
['2017-09-05 13:45 Tue', '133.45', '133.36', '133.19', '133.46', '133.14', '133.52', '131.30', '942900', '604687', 'FGBMU7']
['2017-09-06 13:45 Wed', '131.59', '131.68', '131.85', '131.85', '131.57', '131.87', '129.72', '560500', '1246447', 'FGBMZ7']
['2017-09-07 13:45 Thu', '131.89', '131.89', '131.60', '131.91', '131.54', '131.91', '129.72', '475800', '1349377', 'FGBMZ7']
['2017-09-08 13:45 Fri', '131.82', '131.83', '131.96', '131.98', '131.75', '131.98', '129.72', '337200', '1356751', 'FGBMZ7']
['2017-09-11 13:45 Mon', '131.77', '131.79', '131.78', '131.83', '131.74', '131.98', '129.72', '258399', '1356145', 'FGBMZ7']
['2017-09-12 13:45 Tue', '131.49', '131.47', '131.77', '131.77', '131.45', '131.98', '129.72', '413800', '1355249', 'FGBMZ7']
['2017-09-13 13:45 Wed', '131.49', '131.45', '131.53', '131.59', '131.42', '131.98', '129.72', '361700', '1376621', 'FGBMZ7']
['2017-09-14 13:45 Thu', '131.41', '131.38', '131.49', '131.60', '131.32', '131.98', '129.72', '449400', '1363969', 'FGBMZ7']
['2017-09-15 13:45 Fri', '131.25', '131.18', '131.47', '131.49', '131.12', '131.98', '129.72', '417300', '1377172', 'FGBMZ7']
['2017-09-19 13:45 Tue', '131.19', '131.17', '131.14', '131.27', '131.13', '131.98', '129.72', '441000', '1385273', 'FGBMZ7']
['2017-09-20 13:45 Wed', '131.22', '131.24', '131.19', '131.27', '131.14', '131.98', '129.72', '268900', '1367037', 'FGBMZ7']
['2017-09-21 13:45 Thu', '131.09', '131.11', '131.09', '131.15', '130.94', '131.98', '129.72', '557500', '1360978', 'FGBMZ7']
['2017-09-22 13:45 Fri', '131.09', '131.07', '131.12', '131.16', '131.00', '131.98', '129.72', '336500', '1371681', 'FGBMZ7']
