['2017-08-29 13:45 Tue', '1314.12', '1310.32', '1310.33', '1326.08', '1308.89', '1352.74', '1122.89', '', '', 'XAUUSD:CUR']
['2017-08-30 13:45 Wed', '1308.90', '1309.23', '1309.23', '1313.78', '1305.28', '1352.74', '1122.89', '', '', 'XAUUSD:CUR']
['2017-08-31 13:45 Thu', '1318.46', '1308.60', '1308.59', '1318.78', '1298.46', '1352.74', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-01 13:45 Fri', '1324.63', '1321.43', '1321.43', '1328.91', '1316.52', '1352.74', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-04 13:45 Mon', '1334.17', '1325.23', '1336.39', '1339.81', '1331.89', '1352.74', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-05 13:45 Tue', '1338.25', '1333.87', '1335.27', '1339.68', '1326.27', '1352.74', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-06 13:45 Wed', '1334.31', '1339.71', '1339.88', '1342.55', '1332.29', '1352.74', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-07 13:45 Thu', '1344.43', '1334.22', '1334.31', '1349.43', '1332.61', '1349.51', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-08 13:45 Fri', '1346.45', '1349.22', '1349.22', '1357.61', '1342.88', '1357.61', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-11 13:45 Mon', '1331.47', '1346.59', '1337.67', '1340.01', '1329.90', '1357.61', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-12 13:45 Tue', '1328.48', '1327.54', '1327.54', '1329.37', '1322.71', '1357.61', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-13 13:45 Wed', '1323.81', '1331.81', '1331.81', '1337.18', '1320.95', '1357.61', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-14 13:45 Thu', '1327.21', '1323.21', '1323.21', '1327.89', '1315.80', '1357.61', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-15 13:45 Fri', '1322.07', '1329.74', '1329.74', '1334.42', '1319.88', '1357.61', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-19 13:45 Tue', '1307.38', '1307.44', '1307.44', '1311.39', '1305.26', '1357.61', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-20 13:45 Wed', '1313.82', '1311.15', '1311.15', '1316.13', '1309.77', '1357.61', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-21 13:45 Thu', '1292.78', '1301.10', '1301.09', '1301.75', '1288.20', '1357.61', '1122.89', '', '', 'XAUUSD:CUR']
['2017-09-22 13:45 Fri', '1295.21', '1291.20', '1291.20', '1298.79', '1289.79', '1357.61', '1122.89', '', '', 'XAUUSD:CUR']
