['2017-08-29 13:45 Tue', '0.009', '0.011', '0.003', '0.013', '0.003', '0.153', '-0.091', '0', '', 'GJGB10:IND']
['2017-08-30 13:45 Wed', '0.011', '0.009', '0.008', '0.019', '0.008', '0.153', '-0.091', '0', '', 'GJGB10:IND']
['2017-08-31 13:45 Thu', '0.009', '0.011', '0.013', '0.017', '0.005', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-01 13:45 Fri', '-0.001', '0.009', '0.008', '0.009', '-0.007', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-04 13:45 Mon', '-0.009', '-0.001', '-0.005', '0.001', '-0.011', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-05 13:45 Tue', '0.006', '-0.009', '0.001', '0.015', '-0.005', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-06 13:45 Wed', '0.012', '0.006', '0.012', '0.028', '0.008', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-07 13:45 Thu', '0.010', '0.012', '0.012', '0.024', '0.005', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-08 13:45 Fri', '0.004', '0.010', '0.012', '0.012', '-0.005', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-11 13:45 Mon', '0.010', '0.004', '0.004', '0.010', '0.001', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-12 13:45 Tue', '0.020', '0.010', '0.016', '0.037', '0.013', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-13 13:45 Wed', '0.034', '0.020', '0.040', '0.041', '0.020', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-14 13:45 Thu', '0.050', '0.034', '0.030', '0.050', '0.025', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-15 13:45 Fri', '0.029', '0.050', '0.036', '0.037', '0.018', '0.153', '-0.091', '', '', 'GJGB10:IND']
