['2017-08-29 13:45 Tue', '5855.00', '5844.75', '5820.00', '5864.50', '5777.25', '5995.75', '4599.00', '269600', '282261', 'NQU7']
['2017-08-30 13:45 Wed', '5930.00', '5869.75', '5869.75', '5932.75', '5862.50', '5995.75', '4599.00', '190100', '287457', 'NQU7']
['2017-08-31 13:45 Thu', '5980.00', '5935.00', '5936.25', '5988.00', '5932.50', '5995.75', '4599.00', '189300', '292978', 'NQU7']
['2017-09-01 13:45 Fri', '5990.75', '5990.75', '5994.00', '6019.75', '5973.25', '6019.75', '4599.00', '179200', '293170', 'NQU7']
['2017-09-04 13:45 Mon', '5979.25', '5988.25', '5956.50', '5982.25', '5946.50', '6019.75', '4599.00', '49200', '291435', 'NQU7']
['2017-09-05 13:45 Tue', '5904.25', '5988.25', '5956.50', '5984.75', '5889.50', '6019.75', '4599.00', '358400', '290210', 'NQU7']
['2017-09-06 13:45 Wed', '5949.25', '5939.25', '5943.50', '5961.50', '5909.25', '6019.75', '4599.00', '259300', '274638', 'NQU7']
['2017-09-07 13:45 Thu', '5967.50', '5955.00', '5952.00', '5981.50', '5932.25', '6019.75', '4599.00', '244400', '269340', 'NQU7']
['2017-09-08 13:45 Fri', '5937.25', '5977.50', '5977.25', '5979.50', '5934.50', '6025.75', '4694.00', '155000', '58125', 'NQZ7']
['2017-09-11 13:45 Mon', '5989.50', '5924.50', '5943.75', '6000.25', '5942.00', '6025.75', '4694.00', '202800', '114235', 'NQZ7']
['2017-09-12 13:45 Tue', '6002.00', '5990.75', '5990.00', '6012.25', '5980.75', '6025.75', '4694.00', '196300', '183300', 'NQZ7']
['2017-09-13 13:45 Wed', '6001.75', '6004.50', '6006.75', '6008.75', '5983.50', '6025.75', '4694.00', '173900', '228552', 'NQZ7']
['2017-09-14 13:45 Thu', '5982.50', '6009.00', '6006.75', '6009.25', '5970.25', '6025.75', '4694.00', '192600', '253328', 'NQZ7']
['2017-09-15 13:45 Fri', '5994.25', '5970.75', '5971.75', '6015.75', '5948.00', '6025.75', '4694.00', '199500', '276501', 'NQZ7']
['2017-09-19 13:45 Tue', '5994.50', '5986.75', '5989.75', '6004.75', '5975.00', '6025.75', '4694.00', '161700', '272263', 'NQZ7']
['2017-09-20 13:45 Wed', '5971.50', '5997.00', '5997.00', '6000.50', '5953.50', '6025.75', '4694.00', '190700', '264264', 'NQZ7']
['2017-09-21 13:45 Thu', '5959.50', '5978.50', '5976.00', '5980.25', '5919.25', '6025.75', '4694.00', '255700', '265749', 'NQZ7']
['2017-09-22 13:45 Fri', '5925.50', '5945.25', '5944.25', '5945.50', '5911.00', '6025.75', '4694.00', '210300', '265850', 'NQZ7']
