['2017-08-29 13:45 Tue', '19405', '19465', '19270', '19415', '19045', '20285', '18325', '52400', '56853', 'NIYU7']
['2017-08-30 13:45 Wed', '19565', '19470', '19470', '19580', '19435', '20285', '18325', '33500', '55577', 'NIYU7']
['2017-08-31 13:45 Thu', '19680', '19565', '19565', '19735', '19560', '20285', '18325', '37500', '56147', 'NIYU7']
['2017-09-01 13:45 Fri', '19715', '19675', '19660', '19745', '19620', '20285', '18325', '31800', '56705', 'NIYU7']
['2017-09-04 13:45 Mon', '19515', '19690', '19450', '19625', '19420', '20285', '18325', '25300', '57344', 'NIYU7']
['2017-09-05 13:45 Tue', '19270', '19690', '19450', '19625', '19265', '20285', '18325', '89900', '57403', 'NIYU7']
['2017-09-06 13:45 Wed', '19470', '19355', '19350', '19485', '19260', '20285', '18325', '39000', '42623', 'NIYU7']
['2017-09-07 13:45 Thu', '19385', '19460', '19435', '19480', '19355', '20285', '18325', '10300', '26662', 'NIYU7']
['2017-09-08 13:45 Fri', '19150', '19270', '19280', '19280', '19090', '20085', '19010', '31400', '43089', 'NIYZ7']
['2017-09-11 13:45 Mon', '19540', '19150', '19200', '19540', '19200', '20085', '19010', '31600', '45539', 'NIYZ7']
['2017-09-12 13:45 Tue', '19715', '19550', '19570', '19735', '19515', '20085', '19010', '30700', '45847', 'NIYZ7']
['2017-09-13 13:45 Wed', '19735', '19725', '19765', '19775', '19665', '20085', '19010', '26400', '47312', 'NIYZ7']
['2017-09-14 13:45 Thu', '19725', '19745', '19730', '19775', '19655', '20085', '19010', '28800', '47204', 'NIYZ7']
['2017-09-15 13:45 Fri', '19835', '19735', '19720', '19895', '19620', '20085', '19010', '34200', '48328', 'NIYZ7']
['2017-09-19 13:45 Tue', '20135', '19990', '20005', '20180', '19970', '20180', '19010', '37100', '48928', 'NIYZ7']
['2017-09-20 13:45 Wed', '20165', '20150', '20140', '20215', '20120', '20215', '19010', '18900', '50750', 'NIYZ7']
['2017-09-21 13:45 Thu', '20240', '20285', '20270', '20365', '20185', '20365', '19010', '35400', '50817', 'NIYZ7']
['2017-09-22 13:45 Fri', '20200', '20265', '20235', '20285', '20125', '20365', '19010', '25900', '55895', 'NIYZ7']
['2017-09-25 13:45 Mon', '20170', '20200', '20215', '20315', '20105', '20365', '19010', '34000', '55754', 'NIYZ7']
['2017-09-27 13:45 Wed', '20345', '20240', '20215', '20430', '20210', '20430', '19010', '50400', '53620', 'NIYZ7']
['2017-09-28 13:45 Thu', '20340', '20390', '20385', '20405', '20295', '20430', '19010', '33500', '52362', 'NIYZ7']
['2017-09-29 13:45 Fri', '20365', '20330', '20310', '20370', '20275', '20430', '19010', '29100', '50539', 'NIYZ7']
['2017-10-02 13:45 Mon', '20455', '20350', '20365', '20465', '20355', '20465', '19010', '28500', '48463', 'NIYZ7']
['2017-10-03 13:45 Tue', '20625', '20470', '20485', '20625', '20440', '20625', '19010', '30200', '50466', 'NIYZ7']
['2017-10-04 13:45 Wed', '20665', '20675', '20670', '20685', '20585', '20685', '19010', '29200', '51124', 'NIYZ7']
['2017-10-05 13:45 Thu', '20685', '20665', '20660', '20690', '20600', '20690', '19010', '23600', '48885', 'NIYZ7']
['2017-10-06 13:45 Fri', '20650', '20700', '20710', '20760', '20635', '20760', '19010', '29600', '51575', 'NIYZ7']
