['2017-08-29 13:45 Tue', '17.4437', '17.4520', '17.4458', '17.6685', '17.4120', '20.1381', '15.1892', '', '', 'XAG:CUR']
['2017-08-30 13:45 Wed', '17.4316', '17.3815', '17.3866', '17.4849', '17.3133', '20.1381', '15.1892', '', '', 'XAG:CUR']
['2017-08-31 13:45 Thu', '17.5504', '17.4314', '17.4435', '17.5950', '17.2830', '20.1381', '15.1892', '', '', 'XAG:CUR']
['2017-09-01 13:45 Fri', '17.7170', '17.5791', '17.5786', '17.7557', '17.4460', '20.1381', '15.1892', '', '', 'XAG:CUR']
['2017-09-04 13:45 Mon', '17.8955', '17.7300', '17.8012', '17.9503', '17.7882', '20.1381', '15.1892', '', '', 'XAG:CUR']
['2017-09-05 13:45 Tue', '17.8530', '17.8742', '17.8675', '18.0105', '17.7854', '20.1381', '15.1892', '', '', 'XAG:CUR']
['2017-09-06 13:45 Wed', '17.8660', '17.8865', '17.8957', '17.9970', '17.8255', '20.1381', '15.1892', '', '', 'XAG:CUR']
['2017-09-07 13:45 Thu', '18.0275', '17.8793', '17.8790', '18.1330', '17.7990', '20.0694', '15.1892', '', '', 'XAG:CUR']
['2017-09-08 13:45 Fri', '18.0275', '18.1262', '18.1049', '18.2178', '17.9000', '20.0694', '15.1892', '', '', 'XAG:CUR']
['2017-09-11 13:45 Mon', '17.8485', '17.9695', '17.9713', '17.9713', '17.7110', '20.0694', '15.1892', '', '', 'XAG:CUR']
['2017-09-12 13:45 Tue', '17.8396', '17.8075', '17.8105', '17.8660', '17.7244', '20.0694', '15.1892', '', '', 'XAG:CUR']
['2017-09-13 13:45 Wed', '17.7722', '17.9080', '17.9080', '17.9620', '17.6698', '20.0694', '15.1892', '', '', 'XAG:CUR']
['2017-09-14 13:45 Thu', '17.7470', '17.7756', '17.7733', '17.7947', '17.6099', '20.0694', '15.1892', '', '', 'XAG:CUR']
['2017-09-15 13:45 Fri', '17.6350', '17.7952', '17.7952', '17.8511', '17.5905', '20.0694', '15.1892', '', '', 'XAG:CUR']
['2017-09-19 13:45 Tue', '17.2422', '17.2110', '17.2110', '17.2951', '17.1185', '20.0694', '15.1892', '', '', 'XAG:CUR']
['2017-09-20 13:45 Wed', '17.3498', '17.3150', '17.3150', '17.3996', '17.2518', '20.0694', '15.1892', '', '', 'XAG:CUR']
['2017-09-21 13:45 Thu', '16.9949', '17.1826', '17.1791', '17.1991', '16.8357', '20.0694', '15.1892', '', '', 'XAG:CUR']
['2017-09-22 13:45 Fri', '16.9545', '16.9630', '16.9635', '17.0675', '16.9117', '19.9432', '15.1892', '', '', 'XAG:CUR']
