['2017-08-29 13:45 Tue', '2444.88', '2444.24', '2431.94', '2445.04', '2428.20', '2490.87', '2083.79', '423780192', '', 'SPX:IND']
['2017-08-30 13:45 Wed', '2458.91', '2446.30', '2446.06', '2458.91', '2443.77', '2490.87', '2083.79', '404512352', '', 'SPX:IND']
['2017-08-31 13:45 Thu', '2468.17', '2457.59', '2462.65', '2470.25', '2462.65', '2490.87', '2083.79', '411614752', '', 'SPX:IND']
['2017-09-01 13:45 Fri', '2479.49', '2471.65', '2474.42', '2480.38', '2473.85', '2490.87', '2083.79', '645169344', '', 'SPX:IND']
['2017-09-04 13:45 Mon', '2476.55', '2471.65', '2474.42', '2480.38', '2473.85', '2490.87', '2083.79', '403108736', '', 'SPX:IND']
['2017-09-05 13:45 Tue', '2450.99', '2476.55', '2470.35', '2471.97', '2446.55', '2490.87', '2083.79', '403108736', '', 'SPX:IND']
['2017-09-06 13:45 Wed', '2465.66', '2457.85', '2463.83', '2467.47', '2459.20', '2490.87', '2083.79', '554105664', '', 'SPX:IND']
['2017-09-07 13:45 Thu', '2463.17', '2465.54', '2468.06', '2468.62', '2460.29', '2490.87', '2083.79', '538996416', '', 'SPX:IND']
['2017-09-08 13:45 Fri', '2464.10', '2465.10', '2462.25', '2467.11', '2459.40', '2490.87', '2083.79', '516352736', '', 'SPX:IND']
['2017-09-11 13:45 Mon', '2488.27', '2461.43', '2474.52', '2488.95', '2474.52', '2490.87', '2083.79', '501930912', '', 'SPX:IND']
['2017-09-12 13:45 Tue', '2495.39', '2488.11', '2491.94', '2495.69', '2490.37', '2495.69', '2083.79', '515607584', '', 'SPX:IND']
['2017-09-13 13:45 Wed', '2495.69', '2496.48', '2493.89', '2497.22', '2492.14', '2497.22', '2083.79', '490795712', '', 'SPX:IND']
['2017-09-14 13:45 Thu', '2496.44', '2498.37', '2494.56', '2498.43', '2491.35', '2498.43', '2083.79', '492082400', '', 'SPX:IND']
['2017-09-15 13:45 Fri', '2497.18', '2495.62', '2495.67', '2499.25', '2493.16', '2499.25', '2083.79', '533267200', '', 'SPX:IND']
['2017-09-19 13:45 Tue', '2506.38', '2503.87', '2506.29', '2507.84', '2503.19', '2508.32', '2083.79', '517468352', '', 'SPX:IND']
['2017-09-20 13:45 Wed', '2505.64', '2506.65', '2506.84', '2508.85', '2504.30', '2508.85', '2083.79', '501361152', '', 'SPX:IND']
['2017-09-21 13:45 Thu', '2504.94', '2508.24', '2507.16', '2507.16', '2499.00', '2508.85', '2083.79', '536200416', '', 'SPX:IND']
['2017-09-22 13:45 Fri', '2498.21', '2500.60', '2497.26', '2501.28', '2496.54', '2508.85', '2083.79', '463948288', '', 'SPX:IND']
['2017-09-25 13:45 Mon', '2493.47', '2502.22', '2499.39', '2502.54', '2488.03', '2508.85', '2083.79', '452975168', '', 'SPX:IND']
['2017-09-27 13:45 Wed', '2501.38', '2496.84', '2503.30', '2507.60', '2495.91', '2508.85', '2083.79', '470071744', '', 'SPX:IND']
['2017-09-28 13:45 Thu', '2509.51', '2507.04', '2503.41', '2509.73', '2502.93', '2511.75', '2083.79', '522320192', '', 'SPX:IND']
['2017-09-29 13:45 Fri', '2517.04', '2510.06', '2509.96', '2517.97', '2507.99', '2517.97', '2083.79', '469529440', '', 'SPX:IND']
