['2017-08-29 13:45 Tue', '368.50', '368.10', '369.90', '370.10', '365.50', '392.50', '365.50', '39200', '258341', 'FXXPU7']
['2017-08-30 13:45 Wed', '371.70', '370.90', '370.30', '371.70', '369.60', '392.50', '365.50', '20400', '259553', 'FXXPU7']
['2017-08-31 13:45 Thu', '374.20', '373.90', '372.40', '374.70', '371.80', '392.50', '365.50', '29800', '259504', 'FXXPU7']
['2017-09-01 13:45 Fri', '376.30', '376.10', '374.40', '376.90', '374.40', '392.50', '365.50', '23800', '259654', 'FXXPU7']
['2017-09-04 13:45 Mon', '374.40', '374.00', '374.60', '374.80', '372.70', '392.50', '365.50', '10800', '259664', 'FXXPU7']
['2017-09-05 13:45 Tue', '371.50', '373.70', '374.20', '375.80', '371.50', '392.50', '365.50', '23500', '259422', 'FXXPU7']
['2017-09-06 13:45 Wed', '375.10', '374.00', '372.30', '375.10', '371.40', '392.50', '365.50', '21800', '261598', 'FXXPU7']
['2017-09-07 13:45 Thu', '374.80', '375.10', '374.90', '376.20', '373.30', '392.50', '365.50', '38100', '260083', 'FXXPU7']
['2017-09-08 13:45 Fri', '375.60', '375.40', '373.70', '375.60', '373.40', '392.50', '365.50', '27700', '257533', 'FXXPU7']
['2017-09-11 13:45 Mon', '380.70', '379.10', '377.60', '380.70', '377.50', '392.50', '365.50', '46000', '252639', 'FXXPU7']
['2017-09-12 13:45 Tue', '381.40', '381.60', '380.30', '382.00', '380.30', '392.50', '365.50', '67000', '237331', 'FXXPU7']
['2017-09-13 13:45 Wed', '381.20', '381.60', '381.20', '382.20', '379.80', '392.50', '365.50', '79000', '132533', 'FXXPU7']
['2017-09-14 13:45 Thu', '380.20', '380.70', '379.70', '380.80', '378.90', '385.00', '364.50', '43400', '256793', 'FXXPZ7']
['2017-09-15 13:45 Fri', '379.20', '378.90', '379.90', '380.20', '378.20', '385.00', '364.50', '29400', '259145', 'FXXPZ7']
['2017-09-19 13:45 Tue', '380.40', '380.60', '379.90', '380.70', '379.70', '385.00', '364.50', '20300', '264629', 'FXXPZ7']
['2017-09-20 13:45 Wed', '380.30', '380.00', '380.40', '380.90', '379.80', '385.00', '364.50', '15100', '267616', 'FXXPZ7']
['2017-09-21 13:45 Thu', '381.60', '381.60', '381.60', '382.10', '380.70', '385.00', '364.50', '23100', '264816', 'FXXPZ7']
['2017-09-22 13:45 Fri', '382.00', '381.40', '380.60', '382.10', '380.30', '385.00', '364.50', '21600', '266883', 'FXXPZ7']
['2017-09-25 13:45 Mon', '382.10', '382.70', '381.40', '383.00', '381.00', '385.00', '364.50', '22300', '266590', 'FXXPZ7']
['2017-09-27 13:45 Wed', '384.30', '384.10', '383.20', '384.80', '382.90', '385.00', '364.50', '26000', '268437', 'FXXPZ7']
['2017-09-28 13:45 Thu', '385.00', '384.50', '384.60', '385.00', '383.40', '385.00', '364.50', '14100', '269861', 'FXXPZ7']
['2017-09-29 13:45 Fri', '387.40', '386.30', '385.40', '387.50', '384.40', '387.50', '364.50', '21800', '272887', 'FXXPZ7']
['2017-10-02 13:45 Mon', '388.90', '388.20', '387.80', '389.00', '387.10', '389.00', '364.50', '22100', '275787', 'FXXPZ7']
['2017-10-03 13:45 Tue', '389.30', '389.50', '389.40', '389.60', '388.40', '389.60', '364.50', '14300', '274814', 'FXXPZ7']
['2017-10-04 13:45 Wed', '388.80', '388.80', '389.40', '389.70', '387.80', '389.70', '364.50', '22200', '275963', 'FXXPZ7']
['2017-10-05 13:45 Thu', '390.00', '389.30', '389.20', '390.10', '388.00', '390.10', '364.50', '18700', '271829', 'FXXPZ7']
['2017-10-06 13:45 Fri', '388.00', '388.10', '390.10', '390.10', '387.60', '390.10', '364.50', '23300', '277551', 'FXXPZ7']
