['2017-08-29 13:45 Tue', '127.25', '127.000', '127.031', '127.594', '127.031', '127.594', '122.063', '2200000', '1105525', 'TYU7']
['2017-08-30 13:45 Wed', '127.109', '127.188', '127.203', '127.234', '126.984', '127.594', '122.063', '1100000', '542077', 'TYU7']
['2017-08-31 13:45 Thu', '126.875', '126.813', '126.891', '126.969', '126.719', '127.328', '124.438', '805300', '3234592', 'TYZ7']
['2017-09-01 13:45 Fri', '126.703', '126.984', '127.016', '127.234', '126.609', '127.328', '124.438', '1400000', '3235554', 'TYZ7']
['2017-09-04 13:45 Mon', '126.891', '126.672', '126.922', '126.953', '126.797', '127.328', '124.438', '173600', '3280023', 'TYZ7']
['2017-09-05 13:45 Tue', '127.391', '126.672', '126.922', '127.469', '126.750', '127.469', '124.438', '1400000', '3276777', 'TYZ7']
['2017-09-06 13:45 Wed', '127.203', '127.422', '127.469', '127.563', '127.125', '127.563', '124.438', '1100000', '3282967', 'TYZ7']
['2017-09-07 13:45 Thu', '127.50', '127.094', '127.109', '127.719', '127.094', '127.719', '124.438', '1300000', '3306776', 'TYZ7']
['2017-09-08 13:45 Fri', '127.438', '127.516', '127.641', '127.891', '127.391', '127.891', '124.438', '1200000', '3243424', 'TYZ7']
['2017-09-11 13:45 Mon', '126.969', '127.500', '127.281', '127.313', '126.953', '127.891', '124.438', '759100', '3267438', 'TYZ7']
['2017-09-12 13:45 Tue', '126.594', '127.000', '126.953', '127.016', '126.563', '127.891', '124.438', '957900', '3252582', 'TYZ7']
['2017-09-13 13:45 Wed', '126.531', '126.641', '126.641', '126.781', '126.469', '127.891', '124.438', '776800', '3228904', 'TYZ7']
['2017-09-14 13:45 Thu', '126.375', '126.453', '126.50', '126.563', '126.172', '127.891', '124.438', '1200000', '3258319', 'TYZ7']
['2017-09-15 13:45 Fri', '126.328', '126.406', '126.50', '126.563', '126.203', '127.891', '124.438', '988500', '3270467', 'TYZ7']
