['2017-08-29 13:45 Tue', '157.188', '156.750', '157.00', '158.125', '156.813', '158.125', '148.000', '357900', '240724', 'USU7']
['2017-08-30 13:45 Wed', '156.969', '156.938', '157.031', '157.250', '156.719', '158.125', '148.000', '183100', '125357', 'USU7']
['2017-08-31 13:45 Thu', '155.875', '155.656', '155.844', '156.219', '155.469', '156.875', '149.000', '168400', '714197', 'USZ7']
['2017-09-01 13:45 Fri', '155.281', '156.094', '156.156', '156.375', '154.938', '156.875', '149.000', '235900', '720569', 'USZ7']
['2017-09-04 13:45 Mon', '155.594', '155.188', '155.594', '155.719', '155.344', '156.875', '149.000', '22900', '727370', 'USZ7']
['2017-09-05 13:45 Tue', '156.875', '155.188', '155.594', '157.094', '155.156', '157.094', '149.000', '264100', '725684', 'USZ7']
['2017-09-06 13:45 Wed', '156.625', '157.000', '157.188', '157.375', '156.406', '157.375', '149.000', '190900', '724074', 'USZ7']
['2017-09-07 13:45 Thu', '157.375', '156.344', '156.375', '157.938', '156.344', '157.938', '149.000', '237200', '724401', 'USZ7']
['2017-09-08 13:45 Fri', '157.125', '157.375', '157.719', '158.281', '157.031', '158.281', '149.000', '203700', '722794', 'USZ7']
['2017-09-11 13:45 Mon', '155.844', '157.281', '156.781', '156.906', '155.844', '158.281', '149.000', '160800', '724420', 'USZ7']
['2017-09-12 13:45 Tue', '155.156', '156.000', '155.969', '156.094', '155.063', '158.281', '149.000', '171000', '727756', 'USZ7']
['2017-09-13 13:45 Wed', '155.031', '155.250', '155.25', '155.563', '154.906', '158.281', '149.000', '175100', '728101', 'USZ7']
['2017-09-14 13:45 Thu', '154.906', '154.813', '154.906', '155.250', '154.375', '158.281', '149.000', '229300', '735302', 'USZ7']
['2017-09-15 13:45 Fri', '155.031', '154.969', '155.313', '155.469', '154.750', '158.281', '149.000', '200500', '725235', 'USZ7']
