['2017-08-29 13:45 Tue', '118.539', '118.383', '118.406', '118.727', '118.406', '118.727', '117.133', '969200', '2475945', 'FVZ7']
['2017-08-30 13:45 Wed', '118.438', '118.516', '118.555', '118.555', '118.367', '118.727', '117.133', '649000', '2875719', 'FVZ7']
['2017-08-31 13:45 Thu', '118.453', '118.430', '118.461', '118.516', '118.359', '118.727', '117.133', '440600', '3086553', 'FVZ7']
['2017-09-01 13:45 Fri', '118.367', '118.500', '118.516', '118.672', '118.297', '118.727', '117.133', '627800', '3084478', 'FVZ7']
['2017-09-04 13:45 Mon', '118.50', '118.367', '118.523', '118.539', '118.453', '118.727', '117.133', '68900', '3085889', 'FVZ7']
['2017-09-05 13:45 Tue', '118.797', '118.367', '118.523', '118.844', '118.422', '118.844', '117.133', '684900', '3085548', 'FVZ7']
['2017-09-06 13:45 Wed', '118.68', '118.820', '118.836', '118.891', '118.625', '118.891', '117.133', '514100', '3150958', 'FVZ7']
['2017-09-07 13:45 Thu', '118.836', '118.617', '118.625', '118.969', '118.625', '118.969', '117.133', '633600', '3145967', 'FVZ7']
['2017-09-08 13:45 Fri', '118.805', '118.844', '118.906', '119.047', '118.766', '119.047', '117.133', '496200', '3127798', 'FVZ7']
['2017-09-11 13:45 Mon', '118.531', '118.836', '118.609', '118.750', '118.523', '119.047', '117.133', '396800', '3128758', 'FVZ7']
['2017-09-12 13:45 Tue', '118.297', '118.547', '118.508', '118.539', '118.281', '119.047', '117.133', '489300', '3134878', 'FVZ7']
['2017-09-13 13:45 Wed', '118.266', '118.344', '118.352', '118.414', '118.219', '119.047', '117.133', '368700', '3104725', 'FVZ7']
['2017-09-14 13:45 Thu', '118.102', '118.211', '118.242', '118.273', '118.008', '119.047', '117.133', '688900', '3117460', 'FVZ7']
['2017-09-15 13:45 Fri', '118.055', '118.133', '118.188', '118.227', '118.000', '119.047', '117.133', '524800', '3074948', 'FVZ7']
['2017-09-19 13:45 Tue', '117.891', '117.945', '117.938', '118.031', '117.883', '119.047', '117.133', '388000', '2989105', 'FVZ7']
['2017-09-20 13:45 Wed', '117.977', '117.898', '117.891', '118.023', '117.891', '119.047', '117.133', '357600', '2956487', 'FVZ7']
['2017-09-21 13:45 Thu', '117.664', '117.648', '117.672', '117.766', '117.617', '119.047', '117.133', '595500', '2977991', 'FVZ7']
['2017-09-22 13:45 Fri', '117.703', '117.617', '117.602', '117.805', '117.602', '119.047', '117.133', '494600', '2959882', 'FVZ7']
