['2017-08-29 13:45 Tue', '46.10', '46.57', '46.81', '46.95', '45.77', '58.30', '42.51', '90600', '80009', 'WTCLV7']
['2017-08-30 13:45 Wed', '46.01', '46.44', '46.28', '46.72', '45.85', '58.30', '42.51', '76900', '75347', 'WTCLV7']
['2017-08-31 13:45 Thu', '47.30', '45.96', '45.78', '47.35', '45.78', '58.30', '42.51', '56900', '70186', 'WTCLV7']
['2017-09-01 13:45 Fri', '47.17', '47.23', '47.05', '47.28', '46.57', '58.30', '42.51', '42300', '74019', 'WTCLV7']
['2017-09-04 13:45 Mon', '47.34', '47.40', '47.44', '47.66', '47.17', '58.30', '42.51', '12200', '74638', 'WTCLV7']
['2017-09-05 13:45 Tue', '48.51', '47.40', '47.40', '48.98', '47.37', '58.30', '42.51', '56100', '75046', 'WTCLV7']
['2017-09-06 13:45 Wed', '49.12', '48.66', '48.58', '49.42', '48.54', '58.30', '42.51', '41600', '72794', 'WTCLV7']
['2017-09-07 13:45 Thu', '49.04', '49.16', '49.17', '49.33', '48.64', '58.30', '42.51', '33600', '71049', 'WTCLV7']
['2017-09-08 13:45 Fri', '47.71', '49.09', '49.13', '49.25', '47.69', '58.30', '42.51', '41200', '68607', 'WTCLV7']
['2017-09-11 13:45 Mon', '47.99', '47.48', '47.62', '48.27', '47.01', '58.30', '42.51', '35600', '69011', 'WTCLV7']
['2017-09-12 13:45 Tue', '48.27', '48.07', '48.07', '48.44', '47.74', '58.30', '42.51', '29800', '65065', 'WTCLV7']
['2017-09-13 13:45 Wed', '49.29', '48.23', '48.28', '49.36', '48.14', '58.30', '42.51', '49700', '59587', 'WTCLV7']
['2017-09-14 13:45 Thu', '50.07', '49.30', '49.20', '50.49', '49.15', '58.30', '42.51', '57800', '50108', 'WTCLV7']
['2017-09-15 13:45 Fri', '49.70', '49.89', '49.75', '50.12', '49.41', '58.30', '42.51', '39900', '39326', 'WTCLV7']
['2017-09-19 13:45 Tue', '49.50', '49.91', '49.90', '50.40', '49.44', '58.30', '42.51', '8500', '24968', 'WTCLV7']
['2017-09-20 13:45 Wed', '50.89', '49.90', '50.25', '51.11', '50.14', '58.33', '42.84', '56000', '76286', 'WTCLX7']
['2017-09-21 13:45 Thu', '50.51', '50.69', '50.75', '50.80', '50.08', '58.33', '42.84', '47300', '76842', 'WTCLX7']
['2017-09-22 13:45 Fri', '50.52', '50.55', '50.67', '50.77', '50.30', '58.33', '42.84', '30500', '79063', 'WTCLX7']
['2017-09-25 13:45 Mon', '51.96', '50.66', '50.57', '51.97', '50.40', '58.33', '42.84', '41400', '78270', 'WTCLX7']
['2017-09-27 13:45 Wed', '52.06', '51.88', '52.09', '52.33', '51.63', '58.33', '42.84', '36500', '73920', 'WTCLX7']
['2017-09-28 13:45 Thu', '51.39', '52.14', '52.08', '52.85', '51.21', '58.33', '42.84', '45600', '71753', 'WTCLX7']
['2017-09-29 13:45 Fri', '51.52', '51.56', '51.58', '51.77', '51.26', '58.33', '42.84', '21700', '70561', 'WTCLX7']
['2017-10-02 13:45 Mon', '50.46', '51.67', '51.60', '51.69', '50.08', '58.33', '42.84', '18800', '69685', 'WTCLX7']
['2017-10-03 13:45 Tue', '50.46', '50.58', '50.51', '50.72', '50.22', '58.33', '42.84', '19600', '69894', 'WTCLX7']
['2017-10-04 13:45 Wed', '50.11', '50.42', '50.08', '50.66', '49.77', '58.33', '42.84', '28000', '67828', 'WTCLX7']
['2017-10-05 13:45 Thu', '50.74', '49.98', '49.91', '51.22', '49.86', '58.33', '42.84', '32700', '65639', 'WTCLX7']
['2017-10-06 13:45 Fri', '49.33', '50.79', '50.71', '50.82', '49.10', '58.33', '42.84', '41900', '67616', 'WTCLX7']
