['2017-08-29 16:30 Tue', '5031.92', '5079.75', '5035.38', '5041.89', '4995.07', '5442.10', '4310.88', '38321920', '', 'CAC:IND']
['2017-08-30 16:30 Wed', '5056.34', '5031.92', '5063.24', '5069.12', '5046.07', '5442.10', '4310.88', '86250248', '', 'CAC:IND']
['2017-08-31 16:30 Thu', '5085.59', '5056.34', '5083.12', '5104.78', '5068.44', '5442.10', '4310.88', '63598332', '', 'CAC:IND']
['2017-09-01 16:30 Fri', '5123.26', '5085.59', '5117.19', '5138.42', '5115.95', '5442.10', '4310.88', '78118088', '', 'CAC:IND']
['2017-09-04 16:30 Mon', '5103.97', '5123.26', '5088.28', '5114.70', '5088.28', '5442.10', '4310.88', '78118088', '', 'CAC:IND']
['2017-09-05 16:30 Tue', '5086.56', '5103.97', '5107.19', '5125.80', '5081.08', '5442.10', '4310.88', '45537424', '', 'CAC:IND']
['2017-09-06 16:30 Wed', '5101.41', '5086.56', '5054.32', '5114.29', '5050.09', '5442.10', '4310.88', '74381680', '', 'CAC:IND']
['2017-09-07 16:30 Thu', '5114.62', '5101.41', '5118.84', '5148.06', '5103.15', '5442.10', '4310.88', '87486888', '', 'CAC:IND']
['2017-09-08 16:30 Fri', '5113.49', '5114.62', '5099.31', '5117.89', '5086.51', '5442.10', '4310.88', '87486888', '', 'CAC:IND']
['2017-09-11 17:11 Mon', '5176.71', '5113.49', '5145.78', '5180.25', '5145.78', '5442.10', '4310.88', '79294040', '', 'CAC:IND']
['2017-09-12 16:30 Tue', '5209.01', '5176.71', '5192.75', '5219.08', '5184.47', '5442.10', '4310.88', '79294040', '', 'CAC:IND']
['2017-09-13 16:30 Wed', '5217.59', '5209.01', '5205.21', '5227.00', '5200.21', '5442.10', '4310.88', '82209440', '', 'CAC:IND']
['2017-09-14 16:30 Thu', '5225.20', '5217.59', '5205.18', '5233.54', '5201.65', '5442.10', '4310.88', '89023816', '', 'CAC:IND']
['2017-09-15 16:30 Fri', '5213.91', '5225.20', '5220.89', '5237.17', '5201.97', '5442.10', '4310.88', '81851976', '', 'CAC:IND']
['2017-09-18 16:40 Mon', '5229.32', '5213.91', '5231.99', '5239.88', '5221.56', '5442.10', '4310.88', '63440260', '', 'CAC:IND']
['2017-09-19 16:30 Tue', '5237.44', '5229.32', '5223.29', '5238.29', '5219.71', '5442.10', '4342.64', '63440260', '', 'CAC:IND']
['2017-09-20 16:30 Wed', '5241.66', '5237.44', '5230.51', '5248.79', '5230.02', '5442.10', '4342.64', '68991728', '', 'CAC:IND']
['2017-09-21 16:30 Thu', '5267.29', '5241.66', '5259.02', '5275.42', '5257.44', '5442.10', '4342.64', '67783544', '', 'CAC:IND']
['2017-09-22 16:54 Fri', '5281.29', '5267.29', '5277.39', '5295.93', '5271.88', '5442.10', '4342.64', '73657568', '', 'CAC:IND']
['2017-09-25 16:13 Mon', '5267.13', '5281.29', '5267.99', '5286.83', '5260.46', '5442.10', '4342.64', '73657568', '', 'CAC:IND']
['2017-09-27 16:15 Wed', '5281.96', '5268.76', '5281.30', '5289.89', '5272.32', '5442.10', '4342.64', '73030128', '', 'CAC:IND']
['2017-09-28 16:15 Thu', '5293.77', '5281.96', '5286.05', '5295.27', '5279.10', '5442.10', '4342.64', '76340128', '', 'CAC:IND']
['2017-09-29 16:15 Fri', '5329.81', '5293.77', '5297.42', '5329.81', '5284.74', '5442.10', '4342.64', '69907136', '', 'CAC:IND']
