['2017-08-29 16:30 Tue', {'Name': 'Germany', 'Value': '13.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Norway', 'Value': '13.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '16.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '19.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '20.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '25.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '30.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '34.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '39.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '56.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '70.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '144.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '178.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '198.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '542.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '6167.30', 'Unit': 'Spread', 'bptChange': ''}]
['2017-08-30 16:30 Wed', {'Name': 'Norway', 'Value': '13.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Germany', 'Value': '14.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '16.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '19.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '20.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '20.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '23.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '31.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '34.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '38.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '56.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '71.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '145.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '181.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '198.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '544.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '6470.00', 'Unit': 'Spread', 'bptChange': ''}]
['2017-08-31 16:30 Thu', {'Name': 'Germany', 'Value': '13.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Norway', 'Value': '13.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '16.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '19.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '20.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '21.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '22.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '31.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '32.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '37.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '56.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '70.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '145.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '179.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '195.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '544.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '6368.00', 'Unit': 'Spread', 'bptChange': ''}]
['2017-09-01 16:30 Fri', {'Name': 'Germany', 'Value': '13.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Norway', 'Value': '13.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '17.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '19.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '20.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '22.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '31.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '34.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '37.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '55.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '68.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '144.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '178.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '193.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '545.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '6193.50', 'Unit': 'Spread', 'bptChange': ''}]
['2017-09-04 16:30 Mon', {'Name': 'Germany', 'Value': '13.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Norway', 'Value': '13.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '17.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '19.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '20.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '20.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '21.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '31.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '34.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '36.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '55.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '67.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '144.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '176.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '189.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '537.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '6168.40', 'Unit': 'Spread', 'bptChange': ''}]
['2017-09-05 16:30 Tue', {'Name': 'Norway', 'Value': '13.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Germany', 'Value': '13.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '17.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '19.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '20.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '23.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '31.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '34.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '37.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '55.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '68.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '144.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '175.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '189.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '538.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '6182.20', 'Unit': 'Spread', 'bptChange': ''}]
['2017-09-06 16:30 Wed', {'Name': 'Norway', 'Value': '13.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Germany', 'Value': '13.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '17.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '19.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '20.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '23.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '31.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '34.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '37.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '55.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '68.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '144.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '175.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '189.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '538.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '6182.20', 'Unit': 'Spread', 'bptChange': ''}]
['2017-09-07 16:30 Thu', {'Name': 'Germany', 'Value': '13.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Norway', 'Value': '13.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '16.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '19.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '20.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '20.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '22.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '31.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '31.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '34.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '54.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '67.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '143.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '168.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '183.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '525.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '6156.60', 'Unit': 'Spread', 'bptChange': ''}]
['2017-09-08 16:30 Fri', {'Name': 'Germany', 'Value': '13.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Norway', 'Value': '13.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '16.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '19.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '20.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '22.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '22.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '32.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '34.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '34.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '54.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '64.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '140.80', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '168.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '180.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '527.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '6225.50', 'Unit': 'Spread', 'bptChange': ''}]
['2017-09-11 17:10 Mon', {'Name': 'Norway', 'Value': '13.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Germany', 'Value': '13.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '16.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '19.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '20.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '21.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '22.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '33.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '33.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '34.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '55.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '64.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '141.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '164.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '179.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '505.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '6271.60', 'Unit': 'Spread', 'bptChange': ''}]
['2017-09-11 17:11 Mon', {'Name': 'Norway', 'Value': '13.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Germany', 'Value': '13.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Netherlands', 'Value': '16.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Belgium', 'Value': '19.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'France', 'Value': '20.30', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Sweden', 'Value': '20.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'NewZealand', 'Value': '21.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedStates', 'Value': '22.90', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Canada', 'Value': '27.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'UnitedKingdom', 'Value': '28.10', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Ireland', 'Value': '33.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'HongKong', 'Value': '33.70', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Japan', 'Value': '34.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Poland', 'Value': '55.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Spain', 'Value': '64.40', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Italy', 'Value': '141.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Portugal', 'Value': '164.50', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Mexico', 'Value': '178.00', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Brazil', 'Value': '179.20', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Greece', 'Value': '505.60', 'Unit': 'Spread', 'bptChange': ''}, {'Name': 'Venezuela', 'Value': '6271.60', 'Unit': 'Spread', 'bptChange': ''}]
