['2017-08-29 16:30 Tue', '46.39', '46.44', '46.86', '46.96', '45.76', '58.34', '42.52', '863600', '535948', 'CLV7']
['2017-08-30 16:30 Wed', '45.98', '45.96', '46.31', '46.72', '45.84', '58.34', '42.52', '859500', '525791', 'CLV7']
['2017-08-31 16:30 Thu', '47.11', '47.23', '45.95', '47.47', '45.58', '58.34', '42.52', '881300', '517701', 'CLV7']
['2017-09-01 16:30 Fri', '47.33', '47.29', '47.08', '47.34', '46.56', '58.34', '42.52', '718800', '527656', 'CLV7']
['2017-09-04 16:30 Mon', '47.37', '47.29', '47.28', '47.65', '47.15', '58.34', '42.52', '204500', '526975', 'CLV7']
['2017-09-05 16:30 Tue', '48.55', '48.66', '47.28', '48.95', '47.15', '58.34', '42.52', '1000000', '519924', 'CLV7']
['2017-09-06 16:30 Wed', '49.14', '49.16', '48.59', '49.42', '48.52', '58.34', '42.52', '746400', '518140', 'CLV7']
['2017-09-07 16:30 Thu', '49.12', '49.09', '49.14', '49.33', '48.63', '58.34', '42.52', '662200', '453038', 'CLV7']
['2017-09-08 16:30 Fri', '47.54', '47.48', '49.09', '49.26', '47.27', '58.34', '42.52', '783100', '421000', 'CLV7']
['2017-09-11 17:11 Mon', '48.10', '48.07', '47.58', '48.27', '47.00', '58.34', '42.52', '723600', '384975', 'CLV7']
['2017-09-12 16:30 Tue', '48.27', '48.23', '48.12', '48.44', '47.73', '58.34', '42.52', '622200', '332807', 'CLV7']
['2017-09-13 16:30 Wed', '49.32', '49.30', '48.34', '49.40', '48.12', '58.34', '42.52', '659200', '300216', 'CLV7']
['2017-09-14 16:30 Thu', '49.72', '49.89', '49.31', '50.50', '49.15', '58.34', '42.52', '659500', '243183', 'CLV7']
['2017-09-15 16:30 Fri', '49.88', '49.89', '49.72', '50.13', '49.41', '58.34', '42.52', '403200', '160272', 'CLV7']
['2017-09-18 16:40 Mon', '49.91', '49.91', '49.85', '50.33', '49.19', '58.34', '42.52', '169600', '117164', 'CLV7']
['2017-09-19 16:30 Tue', '49.56', '49.48', '49.91', '50.42', '49.33', '58.34', '42.52', '96200', '84082', 'CLV7']
['2017-09-20 16:30 Wed', '50.29', '50.41', '49.84', '50.65', '49.75', '58.34', '42.52', '25200', '25801', 'CLV7']
['2017-09-21 16:30 Thu', '50.72', '50.55', '50.72', '50.81', '50.07', '58.37', '42.84', '556800', '589197', 'CLX7']
['2017-09-22 16:54 Fri', '50.63', '50.66', '50.73', '50.78', '50.29', '58.37', '42.84', '455900', '584674', 'CLX7']
['2017-09-25 16:13 Mon', '52.18', '52.22', '50.68', '52.28', '50.39', '58.37', '42.84', '668700', '580896', 'CLX7']
['2017-09-27 16:15 Wed', '52.06', '52.14', '52.09', '52.34', '51.63', '58.37', '42.84', '611100', '546765', 'CLX7']
['2017-09-28 16:15 Thu', '51.59', '51.56', '52.05', '52.86', '51.22', '58.37', '42.84', '779000', '540544', 'CLX7']
['2017-09-29 16:15 Fri', '51.58', '51.67', '51.58', '51.77', '51.25', '58.37', '42.84', '530700', '529373', 'CLX7']
['2017-10-02 16:15 Mon', '50.55', '50.58', '51.64', '51.71', '50.07', '58.37', '42.84', '581400', '522982', 'CLX7']
['2017-10-03 16:15 Tue', '50.35', '50.42', '50.59', '50.73', '50.22', '58.37', '42.84', '436000', '518158', 'CLX7']
['2017-10-04 16:15 Wed', '49.84', '49.98', '50.16', '50.67', '49.76', '58.37', '42.84', '581600', '513316', 'CLX7']
['2017-10-05 16:15 Thu', '50.74', '50.79', '49.88', '51.22', '49.85', '58.37', '42.84', '630300', '511107', 'CLX7']
['2017-10-06 16:15 Fri', '49.34', '49.29', '50.75', '50.82', '49.10', '58.37', '42.84', '677000', '495395', 'CLX7']
