['2017-08-29 16:30 Tue', '3.0995', '3.1045', '3.0925', '3.1215', '3.0765', '3.1215', '2.1060', '71900', '212556', 'HGZ7']
['2017-08-30 16:30 Wed', '3.0855', '3.0870', '3.105', '3.1175', '3.0840', '3.1215', '2.1110', '76500', '220489', 'HGZ7']
['2017-08-31 16:30 Thu', '3.101', '3.0985', '3.088', '3.1355', '3.0870', '3.1355', '2.1110', '81400', '220009', 'HGZ7']
['2017-09-01 16:30 Fri', '3.1225', '3.1180', '3.102', '3.1250', '3.0910', '3.1355', '2.1110', '71000', '222574', 'HGZ7']
['2017-09-04 16:30 Mon', '3.155', '3.1180', '3.1225', '3.1765', '3.1130', '3.1765', '2.1110', '56600', '225022', 'HGZ7']
['2017-09-05 16:30 Tue', '3.1265', '3.1280', '3.1225', '3.1785', '3.1130', '3.1785', '2.1110', '148900', '224983', 'HGZ7']
['2017-09-06 16:30 Wed', '3.155', '3.1515', '3.13', '3.1605', '3.1250', '3.1785', '2.1270', '83100', '224606', 'HGZ7']
['2017-09-07 16:30 Thu', '3.1495', '3.1435', '3.1585', '3.1600', '3.1115', '3.1785', '2.1270', '94200', '223790', 'HGZ7']
['2017-09-08 16:30 Fri', '3.038', '3.0415', '3.148', '3.1635', '3.0340', '3.1785', '2.1275', '146500', '219998', 'HGZ7']
['2017-09-11 17:11 Mon', '3.072', '3.0660', '3.0425', '3.0830', '3.0325', '3.1785', '2.1275', '93300', '212653', 'HGZ7']
['2017-09-12 16:30 Tue', '3.0385', '3.0360', '3.071', '3.0750', '3.0190', '3.1785', '2.1275', '103900', '211857', 'HGZ7']
['2017-09-13 16:30 Wed', '2.9835', '2.9810', '3.041', '3.0450', '2.9710', '3.1785', '2.1275', '112700', '208199', 'HGZ7']
['2017-09-14 16:30 Thu', '2.961', '2.9575', '2.9775', '2.9895', '2.9365', '3.1785', '2.1275', '110700', '203274', 'HGZ7']
['2017-09-15 16:30 Fri', '2.9515', '2.9490', '2.9625', '2.9755', '2.9310', '3.1785', '2.1275', '105400', '200547', 'HGZ7']
