['2017-08-29 16:30 Tue', '11982.50', '11943.50', '12045.00', '12074.00', '11863.00', '12948.50', '11439.00', '129900', '119547', 'FDXU7']
['2017-08-30 16:30 Wed', '12022.50', '12006.50', '12010.00', '12037.50', '11984.00', '12948.50', '11439.00', '81500', '119991', 'FDXU7']
['2017-08-31 16:30 Thu', '12066.50', '12066.00', '12043.00', '12113.50', '12028.50', '12948.50', '11439.00', '82500', '117906', 'FDXU7']
['2017-09-01 16:30 Fri', '12156.50', '12142.50', '12061.50', '12189.50', '12060.00', '12948.50', '11439.00', '79700', '116347', 'FDXU7']
['2017-09-04 16:30 Mon', '12126.50', '12106.00', '12080.00', '12137.00', '12030.00', '12948.50', '11439.00', '47300', '114872', 'FDXU7']
['2017-09-05 16:30 Tue', '12073.00', '12117.00', '12110.50', '12209.00', '12038.50', '12948.50', '11439.00', '109100', '114992', 'FDXU7']
['2017-09-06 16:30 Wed', '12277.50', '12218.00', '12061.00', '12301.00', '12050.00', '12948.50', '11439.00', '111300', '114756', 'FDXU7']
['2017-09-07 16:30 Thu', '12317.00', '12305.00', '12264.50', '12365.00', '12259.50', '12948.50', '11439.00', '109400', '118332', 'FDXU7']
['2017-09-08 16:30 Fri', '12289.50', '12301.50', '12259.50', '12323.50', '12242.50', '12948.50', '11439.00', '79000', '117504', 'FDXU7']
['2017-09-15 16:52 Fri', '12507.00', '', '12527.00', '12552.00', '12494.50', '12935.50', '11865.00', '63000', '111600', 'FDXZ7']
['2017-09-15 17:09 Fri', '12506.50', '12512.00', '12527.00', '12552.00', '12494.50', '12935.50', '11865.00', '64099', '111600', 'FDXZ7']
['2017-09-15 17:29 Fri', '12504.50', '12512.00', '12527.00', '12552.00', '12494.50', '12935.50', '11865.00', '64500', '111600', 'FDXZ7']
