['2017-08-29 16:30 Tue', '92.381', '92.207', '92.300', '92.475', '91.621', '103.820', '91.621', '', '', 'DXY:CUR']
['2017-08-30 16:30 Wed', '92.907', '92.249', '92.362', '92.946', '92.251', '103.820', '91.621', '', '', 'DXY:CUR']
['2017-08-31 16:30 Thu', '92.656', '92.884', '92.882', '93.347', '92.633', '103.820', '91.621', '', '', 'DXY:CUR']
['2017-09-01 16:30 Fri', '92.830', '92.668', '92.632', '92.926', '92.100', '103.820', '91.621', '', '', 'DXY:CUR']
['2017-09-04 16:30 Mon', '92.587', '92.814', '92.677', '92.711', '92.445', '103.820', '91.621', '', '', 'DXY:CUR']
['2017-09-05 16:30 Tue', '92.321', '92.635', '92.654', '92.727', '92.183', '103.820', '91.621', '', '', 'DXY:CUR']
['2017-09-06 16:30 Wed', '92.266', '92.252', '92.218', '92.375', '91.988', '103.820', '91.621', '', '', 'DXY:CUR']
['2017-09-07 16:30 Thu', '91.521', '92.290', '92.218', '92.253', '91.405', '103.820', '91.405', '', '', 'DXY:CUR']
['2017-09-08 16:30 Fri', '91.308', '91.663', '91.481', '91.513', '91.011', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-11 17:11 Mon', '91.938', '91.352', '91.437', '91.985', '91.415', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-12 16:30 Tue', '91.931', '91.875', '91.870', '92.080', '91.769', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-13 16:30 Wed', '92.430', '91.882', '91.903', '92.530', '91.710', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-14 16:30 Thu', '92.162', '92.520', '92.395', '92.661', '92.070', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-15 16:30 Fri', '91.754', '92.124', '92.026', '92.166', '91.577', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-18 16:40 Mon', '92.019', '91.872', '91.932', '92.210', '91.799', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-19 16:30 Tue', '91.793', '92.047', '91.972', '92.049', '91.747', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-20 16:30 Wed', '92.416', '91.793', '91.827', '92.697', '91.526', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-21 16:30 Thu', '92.194', '92.508', '92.571', '92.657', '92.101', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-22 16:54 Fri', '92.217', '92.259', '92.166', '92.221', '91.781', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-25 16:13 Mon', '92.672', '92.171', '92.390', '92.724', '92.206', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-27 16:15 Wed', '93.430', '92.966', '93.057', '93.607', '93.005', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-28 16:15 Thu', '93.148', '93.361', '93.434', '93.666', '93.073', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-29 16:15 Fri', '93.075', '93.085', '93.166', '93.265', '92.949', '103.820', '91.011', '', '', 'DXY:CUR']
