['2017-08-29 16:30 Tue', '7358.50', '7333.00', '7361.00', '7370.50', '7280.50', '7521.50', '6986.50', '112900', '764016', 'FFIU7']
['2017-08-30 16:30 Wed', '7371.00', '7365.00', '7360.00', '7377.00', '7343.50', '7521.50', '6986.50', '64500', '753100', 'FFIU7']
['2017-08-31 16:30 Thu', '7425.50', '7432.50', '7379.00', '7440.00', '7370.00', '7521.50', '6986.50', '98900', '752388', 'FFIU7']
['2017-09-01 16:30 Fri', '7443.50', '7443.50', '7432.00', '7457.00', '7416.00', '7521.50', '6986.50', '70200', '760669', 'FFIU7']
['2017-09-04 16:30 Mon', '7419.50', '7410.50', '7418.00', '7431.00', '7394.00', '7521.50', '6986.50', '52600', '760714', 'FFIU7']
['2017-09-05 16:30 Tue', '7339.50', '7369.50', '7422.00', '7433.00', '7327.50', '7521.50', '6986.50', '93400', '756328', 'FFIU7']
['2017-09-06 16:30 Wed', '7360.50', '7348.50', '7336.50', '7374.50', '7313.00', '7521.50', '6986.50', '89500', '745620', 'FFIU7']
['2017-09-07 16:30 Thu', '7396.00', '7395.50', '7352.50', '7413.50', '7347.50', '7521.50', '6986.50', '91600', '729425', 'FFIU7']
['2017-09-08 16:30 Fri', '7359.50', '7379.00', '7396.50', '7396.50', '7357.00', '7521.50', '6986.50', '127900', '720086', 'FFIU7']
['2017-09-11 17:11 Mon', '7427.00', '7407.50', '7387.50', '7435.50', '7385.50', '7521.50', '6986.50', '157000', '667041', 'FFIU7']
['2017-09-12 16:30 Tue', '7399.00', '7407.50', '7430.00', '7436.50', '7386.00', '7521.50', '6986.50', '183700', '498415', 'FFIU7']
['2017-09-13 16:30 Wed', '7390.00', '7388.00', '7400.50', '7403.00', '7335.00', '7521.50', '6986.50', '199900', '230132', 'FFIU7']
['2017-09-14 16:30 Thu', '7264.50', '7260.00', '7356.50', '7360.00', '7245.00', '7455.00', '7061.00', '146700', '723276', 'FFIZ7']
['2017-09-15 16:30 Fri', '7172.00', '7169.00', '7241.00', '7254.00', '7153.00', '7455.00', '7061.00', '134900', '740443', 'FFIZ7']
