['2017-08-29 16:30 Tue', '1313.90', '1318.90', '1320.50', '1331.90', '1310.60', '1370.80', '1139.70', '442100', '418934', 'GCZ7']
['2017-08-30 16:30 Wed', '1313.40', '1314.10', '1314.80', '1319.30', '1310.10', '1370.80', '1139.70', '299600', '423858', 'GCZ7']
['2017-08-31 16:30 Thu', '1327.40', '1322.20', '1314.10', '1329.00', '1302.30', '1370.80', '1139.70', '357100', '420043', 'GCZ7']
['2017-09-01 16:30 Fri', '1330.40', '1330.40', '1326.90', '1334.50', '1321.40', '1370.80', '1139.70', '357100', '421666', 'GCZ7']
['2017-09-04 16:30 Mon', '1339.40', '1330.40', '1339.70', '1345.50', '1336.70', '1370.80', '1139.70', '173200', '437893', 'GCZ7']
['2017-09-05 16:30 Tue', '1343.90', '1344.50', '1339.70', '1349.70', '1331.10', '1370.80', '1139.70', '544300', '434981', 'GCZ7']
['2017-09-06 16:30 Wed', '1338.90', '1339.00', '1345.00', '1347.70', '1336.40', '1368.80', '1139.70', '296000', '435966', 'GCZ7']
['2017-09-07 16:30 Thu', '1353.40', '1350.30', '1339.00', '1355.50', '1337.20', '1368.80', '1139.70', '351800', '444795', 'GCZ7']
['2017-09-08 16:30 Fri', '1351.40', '1351.20', '1354.00', '1362.40', '1347.10', '1363.80', '1139.70', '375500', '456876', 'GCZ7']
['2017-09-11 17:11 Mon', '1331.70', '1335.70', '1341.50', '1344.60', '1330.60', '1363.80', '1139.70', '292000', '454725', 'GCZ7']
['2017-09-12 16:30 Tue', '1335.60', '1332.70', '1331.70', '1336.20', '1326.70', '1363.80', '1139.70', '279600', '451372', 'GCZ7']
['2017-09-13 16:30 Wed', '1326.30', '1328.00', '1336.20', '1340.50', '1324.50', '1363.80', '1139.70', '296000', '457657', 'GCZ7']
['2017-09-14 16:30 Thu', '1332.00', '1329.30', '1327.60', '1334.50', '1319.50', '1363.80', '1139.70', '324800', '455974', 'GCZ7']
['2017-09-15 16:30 Fri', '1325.20', '1325.20', '1333.70', '1338.20', '1323.40', '1363.80', '1139.70', '310900', '452222', 'GCZ7']
['2017-09-18 16:40 Mon', '1311.40', '1310.80', '1324.00', '1324.00', '1308.10', '1363.80', '1139.70', '258600', '448726', 'GCZ7']
['2017-09-19 16:30 Tue', '1314.60', '1310.60', '1310.50', '1315.30', '1308.70', '1363.80', '1139.70', '266600', '448496', 'GCZ7']
['2017-09-20 16:30 Wed', '1304.00', '1316.40', '1314.70', '1319.80', '1299.50', '1363.80', '1139.70', '339400', '447995', 'GCZ7']
['2017-09-21 16:30 Thu', '1294.30', '1294.80', '1304.80', '1305.00', '1291.20', '1363.80', '1139.70', '386600', '451035', 'GCZ7']
['2017-09-22 16:54 Fri', '1299.90', '1297.50', '1294.10', '1301.90', '1294.10', '1363.40', '1139.70', '255500', '439574', 'GCZ7']
['2017-09-25 16:13 Mon', '1313.60', '1311.50', '1301.50', '1314.90', '1291.70', '1363.40', '1139.70', '354000', '432413', 'GCZ7']
['2017-09-27 16:15 Wed', '1286.30', '1287.80', '1297.30', '1299.20', '1285.30', '1362.40', '1139.70', '358400', '433112', 'GCZ7']
['2017-09-28 16:15 Thu', '1289.70', '1288.70', '1285.10', '1291.60', '1280.40', '1362.40', '1139.70', '277800', '428428', 'GCZ7']
['2017-09-29 16:15 Fri', '1283.00', '1284.80', '1290.10', '1293.20', '1282.40', '1362.40', '1139.70', '274700', '424083', 'GCZ7']
['2017-10-02 16:15 Mon', '1274.60', '1275.80', '1282.20', '1282.80', '1273.70', '1362.40', '1139.70', '262200', '421741', 'GCZ7']
['2017-10-03 16:15 Tue', '1274.60', '1274.60', '1273.10', '1277.40', '1271.00', '1362.40', '1139.70', '200000', '420373', 'GCZ7']
['2017-10-04 16:15 Wed', '1277.90', '1276.80', '1274.50', '1285.00', '1273.10', '1362.40', '1139.70', '264600', '416075', 'GCZ7']
['2017-10-05 16:15 Thu', '1270.70', '1273.20', '1277.50', '1281.60', '1269.80', '1362.40', '1139.70', '212300', '411557', 'GCZ7']
['2017-10-06 16:15 Fri', '1277.50', '1274.90', '1270.60', '1278.10', '1262.80', '1362.40', '1139.70', '358400', '407572', 'GCZ7']
