['2017-08-29 16:30 Tue', '27765.01', '27863.29', '27744.58', '27839.83', '27638.73', '28071.59', '21488.82', '', '', 'HSI']
['2017-08-30 16:30 Wed', '28094.61', '27765.01', '27957.74', '28127.90', '27912.82', '28127.90', '21488.82', '', '', 'HSI']
['2017-08-31 16:30 Thu', '27970.30', '28094.61', '27934.45', '27994.06', '27861.48', '28127.90', '21488.82', '', '', 'HSI']
['2017-09-01 16:30 Fri', '27953.16', '27970.30', '28015.22', '28116.70', '27915.44', '28127.90', '21488.82', '', '', 'HSI']
['2017-09-04 16:30 Mon', '27740.26', '27953.16', '27881.71', '27884.46', '27662.29', '28127.90', '21488.82', '', '', 'HSI']
['2017-09-05 16:30 Tue', '27741.35', '27740.26', '27797.44', '27871.76', '27685.30', '28127.90', '21488.82', '', '', 'HSI']
['2017-09-06 16:30 Wed', '27613.76', '27741.35', '27671.56', '27684.26', '27421.79', '28127.90', '21488.82', '', '', 'HSI']
['2017-09-07 16:30 Thu', '27522.92', '27613.76', '27817.87', '27817.87', '27492.82', '28127.90', '21488.82', '', '', 'HSI']
['2017-09-08 16:30 Fri', '27668.47', '27522.92', '27571.59', '27708.09', '27569.13', '28127.90', '21488.82', '', '', 'HSI']
['2017-09-11 17:10 Mon', '27955.13', '27668.47', '27877.69', '27976.98', '27859.00', '28127.90', '21488.82', '', '', 'HSI']
['2017-09-11 17:11 Mon', '27955.13', '27668.47', '27877.69', '27976.98', '27859.00', '28127.90', '21488.82', '', '', 'HSI']
['2017-09-12 16:30 Tue', '27972.24', '27955.13', '28068.70', '28071.54', '27883.83', '28127.90', '21488.82', '', '', 'HSI']
['2017-09-13 16:30 Wed', '27894.08', '27972.24', '27984.27', '27984.27', '27751.28', '28127.90', '21488.82', '', '', 'HSI']
['2017-09-14 16:30 Thu', '27777.20', '27894.08', '27788.84', '27895.07', '27699.09', '28127.90', '21488.82', '', '', 'HSI']
['2017-09-15 16:30 Fri', '27807.59', '27777.20', '27736.60', '27893.58', '27514.04', '28127.90', '21488.82', '', '', 'HSI']
['2017-09-18 16:40 Mon', '28159.77', '27807.59', '27971.37', '28160.39', '27917.18', '28160.39', '21488.82', '', '', 'HSI']
['2017-09-19 16:30 Tue', '28051.41', '28159.77', '28200.54', '28248.12', '28032.17', '28248.12', '21488.82', '', '', 'HSI']
['2017-09-20 16:30 Wed', '28127.80', '28051.41', '28099.29', '28149.36', '28013.11', '28248.12', '21488.82', '', '', 'HSI']
['2017-09-21 16:30 Thu', '28110.33', '28127.80', '28091.24', '28184.37', '28046.94', '28248.12', '21488.82', '', '', 'HSI']
['2017-09-22 16:54 Fri', '27880.53', '28110.33', '27949.83', '27960.92', '27845.52', '28248.12', '21488.82', '', '', 'HSI']
