['2017-08-29 16:30 Tue', '-0.145', '-0.129', '-0.136', '-0.129', '-0.145', '-0.027', '-0.255', '', '', 'GJGB5:IND']
['2017-08-30 16:30 Wed', '-0.130', '-0.145', '-0.135', '-0.126', '-0.136', '-0.027', '-0.255', '', '', 'GJGB5:IND']
['2017-08-31 16:30 Thu', '-0.136', '-0.130', '-0.126', '-0.122', '-0.137', '-0.027', '-0.255', '', '', 'GJGB5:IND']
['2017-09-01 16:30 Fri', '-0.146', '-0.136', '-0.138', '-0.138', '-0.150', '-0.027', '-0.255', '0', '', 'GJGB5:IND']
['2017-09-04 16:30 Mon', '-0.144', '-0.146', '-0.150', '-0.140', '-0.151', '-0.027', '-0.255', '', '', 'GJGB5:IND']
['2017-09-05 16:30 Tue', '-0.129', '-0.144', '-0.133', '-0.128', '-0.140', '-0.027', '-0.255', '', '', 'GJGB5:IND']
['2017-09-06 16:30 Wed', '-0.135', '-0.129', '-0.136', '-0.134', '-0.142', '-0.027', '-0.255', '', '', 'GJGB5:IND']
['2017-09-07 16:30 Thu', '-0.137', '-0.135', '-0.130', '-0.130', '-0.141', '-0.027', '-0.255', '', '', 'GJGB5:IND']
['2017-09-08 16:30 Fri', '-0.151', '-0.137', '-0.143', '-0.143', '-0.166', '-0.027', '-0.255', '', '', 'GJGB5:IND']
['2017-09-15 16:52 Fri', '-0.119', '-0.095', '-0.105', '-0.105', '-0.135', '-0.027', '-0.255', '', '', 'GJGB5:IND']
['2017-09-15 17:09 Fri', '-0.119', '-0.095', '-0.105', '-0.105', '-0.135', '-0.027', '-0.255', '', '', 'GJGB5:IND']
['2017-09-15 17:29 Fri', '-0.119', '-0.095', '-0.105', '-0.105', '-0.135', '-0.027', '-0.255', '', '', 'GJGB5:IND']
