['2017-08-29 16:30 Tue', '21408.62', '21726.21', '21612.12', '21616.18', '21335.23', '22065.42', '15922.35', '195159856', '', 'FTSEMIB:IND']
['2017-08-30 16:30 Wed', '21503.46', '21408.62', '21538.43', '21560.70', '21405.91', '22065.42', '15922.35', '408644320', '', 'FTSEMIB:IND']
['2017-08-31 16:30 Thu', '21670.02', '21503.46', '21587.54', '21767.50', '21542.96', '22065.42', '15922.35', '264824848', '', 'FTSEMIB:IND']
['2017-09-01 16:30 Fri', '21858.56', '21670.02', '21743.06', '21885.84', '21732.58', '22065.42', '15922.35', '309210560', '', 'FTSEMIB:IND']
['2017-09-04 16:30 Mon', '21790.62', '21858.56', '21692.62', '21859.36', '21689.37', '22065.42', '15922.35', '309210560', '', 'FTSEMIB:IND']
['2017-09-05 16:30 Tue', '21737.69', '21790.62', '21806.00', '21916.00', '21708.85', '22065.42', '15922.35', '217718208', '', 'FTSEMIB:IND']
['2017-09-06 16:30 Wed', '21814.56', '21737.69', '21607.44', '21908.31', '21596.91', '22065.42', '15922.35', '290291328', '', 'FTSEMIB:IND']
['2017-09-07 16:30 Thu', '21722.51', '21814.56', '21852.96', '21875.80', '21695.14', '22065.42', '15922.35', '338231008', '', 'FTSEMIB:IND']
['2017-09-08 16:30 Fri', '21776.66', '21722.51', '21689.03', '21827.63', '21581.89', '22065.42', '15922.35', '338231008', '', 'FTSEMIB:IND']
['2017-09-11 17:11 Mon', '22134.11', '21776.66', '21901.19', '22134.11', '21901.19', '22134.11', '15922.35', '354959360', '', 'FTSEMIB:IND']
['2017-09-12 16:30 Tue', '22233.40', '22134.11', '22195.57', '22308.46', '22157.31', '22308.46', '15922.35', '354959360', '', 'FTSEMIB:IND']
['2017-09-13 16:30 Wed', '22233.30', '22233.40', '22206.88', '22309.95', '22193.06', '22309.95', '15922.35', '367585920', '', 'FTSEMIB:IND']
['2017-09-14 16:30 Thu', '22281.14', '22233.30', '22201.44', '22324.77', '22182.99', '22324.77', '15922.35', '398702112', '', 'FTSEMIB:IND']
['2017-09-15 16:30 Fri', '22229.49', '22281.14', '22302.07', '22302.07', '22210.02', '22324.77', '15922.35', '422980128', '', 'FTSEMIB:IND']
['2017-09-18 16:40 Mon', '22364.74', '22229.49', '22285.56', '22390.96', '22274.33', '22390.96', '15922.35', '449029248', '', 'FTSEMIB:IND']
['2017-09-19 16:30 Tue', '22425.42', '22364.74', '22357.14', '22425.42', '22319.08', '22425.42', '15922.35', '449029248', '', 'FTSEMIB:IND']
['2017-09-20 16:30 Wed', '22355.58', '22425.42', '22421.70', '22462.48', '22320.24', '22462.48', '15922.35', '290710144', '', 'FTSEMIB:IND']
['2017-09-21 16:30 Thu', '22491.73', '22355.58', '22410.11', '22529.86', '22399.58', '22529.86', '15922.35', '292677920', '', 'FTSEMIB:IND']
['2017-09-22 16:54 Fri', '22530.83', '22491.73', '22449.00', '22613.48', '22437.91', '22613.48', '15922.35', '322014496', '', 'FTSEMIB:IND']
['2017-09-25 16:13 Mon', '22389.57', '22530.83', '22498.91', '22555.57', '22367.27', '22613.48', '15922.35', '322014496', '', 'FTSEMIB:IND']
['2017-09-27 16:15 Wed', '22622.19', '22430.65', '22472.64', '22650.00', '22464.87', '22650.00', '15922.35', '296593504', '', 'FTSEMIB:IND']
['2017-09-28 16:15 Thu', '22587.67', '22622.19', '22656.19', '22668.97', '22564.03', '22668.97', '15922.35', '452156160', '', 'FTSEMIB:IND']
['2017-09-29 16:15 Fri', '22696.32', '22587.67', '22620.92', '22696.32', '22540.91', '22696.32', '15922.35', '386928832', '', 'FTSEMIB:IND']
['2017-10-02 16:15 Mon', '22811.19', '22696.32', '22714.12', '22811.19', '22660.23', '22811.19', '15922.35', '346073056', '', 'FTSEMIB:IND']
['2017-10-03 16:15 Tue', '22784.82', '22811.19', '22828.82', '22860.14', '22743.84', '22860.14', '16039.59', '367489568', '', 'FTSEMIB:IND']
['2017-10-04 16:15 Wed', '22456.38', '22784.82', '22780.35', '22782.48', '22433.89', '22860.14', '16039.59', '286110592', '', 'FTSEMIB:IND']
['2017-10-05 16:15 Thu', '22566.03', '22456.38', '22422.00', '22613.96', '22386.80', '22860.14', '16039.59', '523619840', '', 'FTSEMIB:IND']
['2017-10-06 16:15 Fri', '22392.31', '22566.03', '22542.37', '22556.18', '22346.83', '22860.14', '16039.59', '454785888', '', 'FTSEMIB:IND']
