['2017-08-29 16:30 Tue', '5862.137', '5838.082', '5785.289', '5871.785', '5785.223', '5995.770', '4647.590', '124501656', '', 'NDX:IND']
['2017-08-30 16:30 Wed', '5932.902', '5862.137', '5870.879', '5940.566', '5865.344', '5995.770', '4647.590', '113402144', '', 'NDX:IND']
['2017-08-31 16:30 Thu', '5988.605', '5932.900', '5948.738', '5995.445', '5945.953', '5995.770', '4647.590', '135754960', '', 'NDX:IND']
['2017-09-01 16:30 Fri', '5987.902', '5988.604', '6001.820', '6009.609', '5972.270', '6009.609', '4647.590', '169609232', '', 'NDX:IND']
['2017-09-04 16:30 Mon', '5987.900', '5988.604', '6001.820', '6009.607', '5972.269', '6009.607', '4647.590', '111439896', '', 'NDX:IND']
['2017-09-05 16:30 Tue', '5932.730', '5987.900', '5966.645', '5980.914', '5890.250', '6009.607', '4647.590', '111439896', '', 'NDX:IND']
['2017-09-06 16:30 Wed', '5951.125', '5932.731', '5949.543', '5964.379', '5909.918', '6009.607', '4647.590', '150855200', '', 'NDX:IND']
['2017-09-07 16:30 Thu', '5964.313', '5951.126', '5960.438', '5980.148', '5943.887', '6009.607', '4647.590', '142855472', '', 'NDX:IND']
['2017-09-08 16:30 Fri', '5913.367', '5964.312', '5957.191', '5958.809', '5907.961', '6009.607', '4647.590', '144188688', '', 'NDX:IND']
['2017-09-11 17:11 Mon', '5980.527', '5913.369', '5962.348', '5990.867', '5960.871', '6009.607', '4647.590', '134449712', '', 'NDX:IND']
['2017-09-12 16:30 Tue', '5995.637', '5980.525', '5998.746', '6002.969', '5968.086', '6009.607', '4647.590', '148205040', '', 'NDX:IND']
['2017-09-13 16:30 Wed', '6004.379', '5995.635', '5982.852', '6004.473', '5974.875', '6009.607', '4647.590', '146302240', '', 'NDX:IND']
['2017-09-14 16:30 Thu', '5968.816', '6004.380', '5981.855', '5997.234', '5965.059', '6009.607', '4647.590', '137266176', '', 'NDX:IND']
['2017-09-15 16:30 Fri', '5988.000', '5968.817', '5965.664', '6009.445', '5957.848', '6009.607', '4647.590', '138979728', '', 'NDX:IND']
['2017-09-18 16:40 Mon', '5981.117', '5987.999', '5997.512', '6012.953', '5963.168', '6012.953', '4647.590', '396357824', '', 'NDX:IND']
['2017-09-19 16:30 Tue', '5991.078', '5981.118', '5991.926', '5998.242', '5971.172', '6012.954', '4647.590', '145964128', '', 'NDX:IND']
['2017-09-20 16:30 Wed', '5973.605', '5991.078', '5987.715', '5994.527', '5927.703', '6012.954', '4647.590', '140738768', '', 'NDX:IND']
['2017-09-21 16:30 Thu', '5934.914', '5973.604', '5965.598', '5965.598', '5915.742', '6012.954', '4647.590', '156137808', '', 'NDX:IND']
['2017-09-22 16:54 Fri', '5932.320', '5934.914', '5912.195', '5937.590', '5911.480', '6012.954', '4647.590', '128249224', '', 'NDX:IND']
['2017-09-25 16:13 Mon', '5867.348', '5932.321', '5904.063', '5908.566', '5839.895', '6012.954', '4647.590', '124283488', '', 'NDX:IND']
['2017-09-27 16:15 Wed', '5937.789', '5881.336', '5912.965', '5957.746', '5900.352', '6012.954', '4647.590', '142562560', '', 'NDX:IND']
['2017-09-28 16:15 Thu', '5933.070', '5937.791', '5920.656', '5939.215', '5908.621', '6012.954', '4647.590', '152991408', '', 'NDX:IND']
['2017-09-29 16:15 Fri', '5979.297', '5933.069', '5941.785', '5980.219', '5930.816', '6012.954', '4647.590', '133267056', '', 'NDX:IND']
['2017-10-02 16:15 Mon', '5981.918', '5979.298', '5988.957', '6005.199', '5955.828', '6012.954', '4647.590', '154031456', '', 'NDX:IND']
['2017-10-03 16:15 Tue', '5995.059', '5981.918', '5986.852', '5999.188', '5976.652', '6012.954', '4647.590', '138789104', '', 'NDX:IND']
['2017-10-04 16:15 Wed', '5998.836', '5995.060', '5983.313', '6009.813', '5976.121', '6012.954', '4647.590', '110658432', '', 'NDX:IND']
['2017-10-05 16:15 Thu', '6057.145', '5998.836', '6018.273', '6059.207', '6014.766', '6059.207', '4647.590', '131155424', '', 'NDX:IND']
['2017-10-06 16:15 Fri', '6064.570', '6057.143', '6037.441', '6064.676', '6037.020', '6064.676', '4647.590', '129542608', '', 'NDX:IND']
